111159  , -2360.86    , array([ 1.51779    ,  0.202523   ,  2.09762    ,  3.77515    ,  4.99896    ])
111160  , -2360.07    , array([ 1.51779    ,  0.204202   ,  2.09762    ,  3.77515    ,  4.99896    ])
111161  , -2360.07    , array([ 1.51779    ,  0.204288   ,  2.09762    ,  3.77515    ,  4.99896    ])
111162  , -2360.07    , array([ 1.51779    ,  0.204343   ,  2.09762    ,  3.77515    ,  4.99896    ])
111163  , -2360.07    , array([ 1.51779    ,  0.204288   ,  2.09762    ,  3.77515    ,  4.99896    ])
111164  , -3313       , array([ 1.51779    ,  0.204288   ,  3.09762    ,  3.77515    ,  4.99896    ])
111165  , -4309.36    , array([ 1.51779    ,  0.204288   ,  0.479588   ,  3.77515    ,  4.99896    ])
111166  , -2360.07    , array([ 1.51779    ,  0.204288   ,  2.09762    ,  3.77515    ,  4.99896    ])
111167  , -2382.77    , array([ 1.51779    ,  0.204288   ,  1.47959    ,  3.77515    ,  4.99896    ])
111168  , -2611.58    , array([ 1.51779    ,  0.204288   ,  2.47959    ,  3.77515    ,  4.99896    ])
111169  , -2295.48    , array([ 1.51779    ,  0.204288   ,  1.81503    ,  3.77515    ,  4.99896    ])
111170  , -2295.43    , array([ 1.51779    ,  0.204288   ,  1.81183    ,  3.77515    ,  4.99896    ])
111171  , -2295.37    , array([ 1.51779    ,  0.204288   ,  1.8021     ,  3.77515    ,  4.99896    ])
111172  , -2295.37    , array([ 1.51779    ,  0.204288   ,  1.80506    ,  3.77515    ,  4.99896    ])
111173  , -2295.38    , array([ 1.51779    ,  0.204288   ,  1.79915    ,  3.77515    ,  4.99896    ])
111174  , -2295.37    , array([ 1.51779    ,  0.204288   ,  1.8021     ,  3.77515    ,  4.99896    ])
111175  , -2535.49    , array([ 1.51779    ,  0.204288   ,  1.8021     ,  4.77515    ,  4.99896    ])
111176  , -5138.7     , array([ 1.51779    ,  0.204288   ,  1.8021     ,  2.15712    ,  4.99896    ])
111177  , -2295.37    , array([ 1.51779    ,  0.204288   ,  1.8021     ,  3.77515    ,  4.99896    ])
