288851  , -1632.52    , array([ 1.43771    ,  0.0676753  ,  3.79262e-22,  8.18164e-27,  0.0242359  ])
288852  , -1632.52    , array([ 1.43771    ,  0.0676753  ,  3.79262e-22,  8.18164e-27,  0.0242359  ])
288853  , -1632.52    , array([ 1.43915    ,  0.0676753  ,  3.79262e-22,  8.18164e-27,  0.0242359  ])
288854  , -1632.52    , array([ 1.43771    ,  0.067743   ,  3.79262e-22,  8.18164e-27,  0.0242359  ])
288855  , -1632.52    , array([ 1.43771    ,  0.0676753  ,  3.79642e-22,  8.18164e-27,  0.0242359  ])
288856  , -1632.52    , array([ 1.43771    ,  0.0676753  ,  3.79262e-22,  8.18983e-27,  0.0242359  ])
288857  , -1632.52    , array([ 1.43771    ,  0.0676753  ,  3.79262e-22,  8.18164e-27,  0.0242602  ])
288858  , -1632.52    , array([ 1.43771    ,  0.0676753  ,  3.79262e-22,  8.18164e-27,  0.0242359  ])
288859  , -1632.52    , array([ 1.43771    ,  0.0676753  ,  3.79262e-22,  8.18164e-27,  0.0242359  ])
288860  , -1632.52    , array([ 1.43915    ,  0.0676753  ,  3.79262e-22,  8.18164e-27,  0.0242359  ])
288861  , -1632.52    , array([ 1.43771    ,  0.067743   ,  3.79262e-22,  8.18164e-27,  0.0242359  ])
288862  , -1632.52    , array([ 1.43771    ,  0.0676753  ,  3.79642e-22,  8.18164e-27,  0.0242359  ])
288863  , -1632.52    , array([ 1.43771    ,  0.0676753  ,  3.79262e-22,  8.18983e-27,  0.0242359  ])
288864  , -1632.52    , array([ 1.43771    ,  0.0676753  ,  3.79262e-22,  8.18164e-27,  0.0242602  ])
288865  , -1632.52    , array([ 1.43771    ,  0.0676753  ,  3.79262e-22,  8.18164e-27,  0.0242359  ])
288866  , -1632.52    , array([ 1.43771    ,  0.0676753  ,  3.79262e-22,  8.18164e-27,  0.0242359  ])
288867  , -1632.52    , array([ 1.43915    ,  0.0676753  ,  3.79262e-22,  8.18164e-27,  0.0242359  ])
288868  , -1632.52    , array([ 1.43771    ,  0.067743   ,  3.79262e-22,  8.18164e-27,  0.0242359  ])
288869  , -1632.52    , array([ 1.43771    ,  0.0676753  ,  3.79642e-22,  8.18164e-27,  0.0242359  ])
288870  , -1632.52    , array([ 1.43771    ,  0.0676753  ,  3.79262e-22,  8.18983e-27,  0.0242359  ])
288871  , -1632.52    , array([ 1.43771    ,  0.0676753  ,  3.79262e-22,  8.18164e-27,  0.0242602  ])
288872  , -1632.52    , array([ 1.43771    ,  0.0676753  ,  3.79262e-22,  8.18164e-27,  0.0242359  ])
288873  , -1632.52    , array([ 1.43771    ,  0.0676753  ,  3.79262e-22,  8.18164e-27,  0.0242359  ])
288874  , -1632.52    , array([ 1.43915    ,  0.0676753  ,  3.79262e-22,  8.18164e-27,  0.0242359  ])
288875  , -1632.52    , array([ 1.43771    ,  0.067743   ,  3.79262e-22,  8.18164e-27,  0.0242359  ])
288876  , -1632.52    , array([ 1.43771    ,  0.0676753  ,  3.79642e-22,  8.18164e-27,  0.0242359  ])
