2036    , -2495.21    , array([ 4.42451    ,  0.0500118  ,  4.19503    ,  3.12858    ,  0.0163462  ])
2037    , -2489.3     , array([ 4.42451    ,  0.0500118  ,  4.19503    ,  3.12546    ,  0.0163626  ])
2038    , -2153.38    , array([ 2.17214    ,  0.109387   ,  1.73457    ,  1.46202    ,  0.0366351  ])
2039    , -2153.38    , array([ 2.17214    ,  0.109387   ,  1.73457    ,  1.46202    ,  0.0366351  ])
2040    , -2153.77    , array([ 2.17432    ,  0.109387   ,  1.73457    ,  1.46202    ,  0.0366351  ])
2041    , -2159.1     , array([ 2.17214    ,  0.109497   ,  1.73457    ,  1.46202    ,  0.0366351  ])
2042    , -2153.53    , array([ 2.17214    ,  0.109387   ,  1.7363     ,  1.46202    ,  0.0366351  ])
2043    , -2153.77    , array([ 2.17214    ,  0.109387   ,  1.73457    ,  1.46348    ,  0.0366351  ])
2044    , -2148.65    , array([ 2.17214    ,  0.109387   ,  1.73457    ,  1.46202    ,  0.0366718  ])
2045    , -60766.4    , array([ 0.114361   ,  0.326641   ,  0.891835   ,  1.12024    ,  0.119701   ])
2046    , -60766.4    , array([ 0.114361   ,  0.326641   ,  0.891835   ,  1.12024    ,  0.119701   ])
2047    , -60709.9    , array([ 0.114475   ,  0.326641   ,  0.891835   ,  1.12024    ,  0.119701   ])
2048    , -60782      , array([ 0.114361   ,  0.326968   ,  0.891835   ,  1.12024    ,  0.119701   ])
2049    , -60758.5    , array([ 0.114361   ,  0.326641   ,  0.892727   ,  1.12024    ,  0.119701   ])
2050    , -60765.9    , array([ 0.114361   ,  0.326641   ,  0.891835   ,  1.12136    ,  0.119701   ])
2051    , -60790.7    , array([ 0.114361   ,  0.326641   ,  0.891835   ,  1.12024    ,  0.119821   ])
2052    , -2109.06    , array([ 1.42862    ,  0.127815   ,  1.57788    ,  1.40765    ,  0.043359   ])
2053    , -2109.06    , array([ 1.42862    ,  0.127815   ,  1.57788    ,  1.40765    ,  0.043359   ])
2054    , -2109.19    , array([ 1.43005    ,  0.127815   ,  1.57788    ,  1.40765    ,  0.043359   ])
2055    , -2114.62    , array([ 1.42862    ,  0.127943   ,  1.57788    ,  1.40765    ,  0.043359   ])
2056    , -2109.1     , array([ 1.42862    ,  0.127815   ,  1.57946    ,  1.40765    ,  0.043359   ])
2057    , -2109.49    , array([ 1.42862    ,  0.127815   ,  1.57788    ,  1.40906    ,  0.043359   ])
