
Round_1_Replicate_1
21120   , -1378.59    , array([ 1.02132    ,  0.0718588  ,  4.42598    ,  2.91623    ,  0.032189   ])
21121   , -1378.59    , array([ 1.02132    ,  0.0718672  ,  4.42598    ,  2.91623    ,  0.032189   ])
21122   , -1396.8     , array([ 1.02132    ,  0.0718672  ,  5.42598    ,  2.91623    ,  0.032189   ])
21123   , -1420.56    , array([ 1.02132    ,  0.0718672  ,  2.80794    ,  2.91623    ,  0.032189   ])
21124   , -1378.59    , array([ 1.02132    ,  0.0718672  ,  4.42598    ,  2.91623    ,  0.032189   ])
21125   , -1383.51    , array([ 1.02132    ,  0.0718672  ,  3.80794    ,  2.91623    ,  0.032189   ])
21126   , -1381.87    , array([ 1.02132    ,  0.0718672  ,  4.80794    ,  2.91623    ,  0.032189   ])
21127   , -1378.5     , array([ 1.02132    ,  0.0718672  ,  4.3574     ,  2.91623    ,  0.032189   ])
21128   , -1378.5     , array([ 1.02132    ,  0.0718672  ,  4.35664    ,  0.589086   ,  29.9963    ])
32533   , -4923.01    , array([ 2.21266    ,  0.835661   ,  1.16207    ,  0.589086   ,  29.9963    ])
32534   , -4922.9     , array([ 2.21266    ,  0.835661   ,  1.16664    ,  0.589086   ,  29.9963    ])
32535   , -7159.97    , array([ 2.21266    ,  0.835661   ,  1.16664    ,  1.58909    ,  29.9963    ])
32537   , -4922.9     , array([ 2.21266    ,  0.835661   ,  1.16664    ,  0.589086   ,  29.9963    ])
32539   , -4600.78    , array([ 2.21266    ,  0.835661   ,  1.16664    ,  0.971052   ,  29.9963    ])
32540   , -4416.01    , array([ 2.21266    ,  0.835661   ,  1.16664    ,  0.780071   ,  29.9963    ])
32541   , -4411.01    , array([ 2.21266    ,  0.835661   ,  1.16664    ,  0.824542   ,  29.9963    ])
32542   , -4408.91    , array([ 2.21266    ,  0.835661   ,  1.16664    ,  0.809933   ,  29.9963    ])
32543   , -4408.91    , array([ 2.21266    ,  0.835661   ,  1.16664    ,  0.807725   ,  29.9963    ])
32544   , -4408.98    , array([ 2.21266    ,  0.835661   ,  1.16664    ,  0.805538   ,  29.9963    ])
32545   , -4408.91    , array([ 2.21266    ,  0.835661   ,  1.16664    ,  0.807725   ,  29.9963    ])
32547   , -4408.93    , array([ 2.21266    ,  0.835661   ,  1.16664    ,  0.807725   ,  28.3782    ])
32548   , -4408.91    , array([ 2.21266    ,  0.835661   ,  1.16664    ,  0.807725   ,  29.9963    ])
32549   , -4408.91    , array([ 2.21266    ,  0.835661   ,  1.16664    ,  0.807725   ,  29.3782    ])
32551   , -4408.91    , array([ 2.21266    ,  0.835661   ,  1.16664    ,  0.807725   ,  29.6872    ])
32553   , -4408.91    , array([ 2.21266    ,  0.835661   ,  1.16664    ,  0.807725   ,  29.8782    ])
32555   , -4408.91    , array([ 2.21266    ,  0.835661   ,  1.16664    ,  0.807725   ,  29.9512    ])
32557   , -4408.91    , array([ 2.21266    ,  0.835661   ,  1.16664    ,  0.807725   ,  29.979     ])
32559   , -4408.91    , array([ 2.21266    ,  0.835661   ,  1.16664    ,  0.807725   ,  29.9897    ])
32560   , -4408.91    , array([ 2.21266    ,  0.835661   ,  1.16664    ,  0.807725   ,  29.9994    ])
32562   , -4408.91    , array([ 2.21266    ,  0.835661   ,  1.16664    ,  0.807725   ,  29.9982    ])
32564   , -4408.91    , array([ 2.21266    ,  0.835661   ,  1.16664    ,  0.807725   ,  29.9989    ])
32565   , -4408.91    , array([ 2.21266    ,  0.835661   ,  1.16664    ,  0.807725   ,  29.9996    ])
32566   , -4408.91    , array([ 2.21266    ,  0.835661   ,  1.16664    ,  0.807725   ,  29.9998    ])
32567   , -4408.91    , array([ 2.21266    ,  0.835661   ,  1.16664    ,  0.807725   ,  29.9999    ])
32568   , -4408.91    , array([ 2.21266    ,  0.835661   ,  1.16664    ,  0.807725   ,  30         ])
32571   , -4408.91    , array([ 2.21266    ,  0.835661   ,  1.16664    ,  0.807725   ,  30         ])
32572   , -4041.95    , array([ 3.21266    ,  0.835661   ,  1.16664    ,  0.807725   ,  30         ])
32573   , -5235.76    , array([ 4.8307     ,  0.835661   ,  1.16664    ,  0.807725   ,  30         ])
32574   , -4041.95    , array([ 3.21266    ,  0.835661   ,  1.16664    ,  0.807725   ,  30         ])
32575   , -4385.41    , array([ 3.8307     ,  0.835661   ,  1.16664    ,  0.807725   ,  30         ])
32576   , -3985.53    , array([ 2.8307     ,  0.835661   ,  1.16664    ,  0.807725   ,  30         ])
32577   , -3984.75    , array([ 2.84067    ,  0.835661   ,  1.16664    ,  0.807725   ,  30         ])
32578   , -3982.96    , array([ 2.90008    ,  0.835661   ,  1.16664    ,  0.807725   ,  30         ])
32579   , -3992.96    , array([ 3.01948    ,  0.835661   ,  1.16664    ,  0.807725   ,  30         ])
32580   , -3982.92    , array([ 2.89221    ,  0.835661   ,  1.16664    ,  0.807725   ,  30         ])
32581   , -3982.96    , array([ 2.88541    ,  0.835661   ,  1.16664    ,  0.807725   ,  30         ])
32582   , -3982.92    , array([ 2.89221    ,  0.835661   ,  1.16664    ,  0.807725   ,  30         ])
32583   , -11731.4    , array([ 2.89221    ,  1.83566    ,  1.16664    ,  0.807725   ,  30         ])
32585   , -3982.92    , array([ 2.89221    ,  0.835661   ,  1.16664    ,  0.8077     ,  1.0846     ])
34416   , -1561.94    , array([ 1.03201    ,  0.16105    ,  4.60319    ,  1.8906     ,  0.0846019  ])
34418   , -6863.68    , array([ 1.03201    ,  0.16105    ,  4.60319    ,  1.8906     ,  0.466568   ])
34419   , -4868.15    , array([ 1.03201    ,  0.16105    ,  4.60319    ,  1.8906     ,  0.275542   ])
34422   , -2643.92    , array([ 1.03201    ,  0.16105    ,  4.60319    ,  1.8906     ,  0.157535   ])
34423   , -3685.64    , array([ 1.03201    ,  0.16105    ,  4.60319    ,  1.8906     ,  0.0501601  ])
34424   , -1694.08    , array([ 1.03201    ,  0.16105    ,  4.60319    ,  1.8906     ,  0.110656   ])
34425   , -1554.55    , array([ 1.03201    ,  0.16105    ,  4.60319    ,  1.8906     ,  0.0854527  ])
34426   , -1533       , array([ 1.03201    ,  0.16105    ,  4.60319    ,  1.8906     ,  0.0929801  ])
34427   , -1566.86    , array([ 1.03201    ,  0.16105    ,  4.60319    ,  1.8906     ,  0.0997318  ])
34428   , -1531.67    , array([ 1.03201    ,  0.16105    ,  4.60319    ,  1.8906     ,  0.0912804  ])
34429   , -1531.66    , array([ 1.03201    ,  0.16105    ,  4.60319    ,  1.8906     ,  0.0915079  ])
34430   , -1531.66    , array([ 1.03201    ,  0.16105    ,  4.60319    ,  1.8906     ,  0.0914388  ])
34431   , -1531.66    , array([ 1.03201    ,  0.16105    ,  4.60319    ,  1.8906     ,  0.0913704  ])
34432   , -1531.66    , array([ 1.03201    ,  0.16105    ,  4.60319    ,  1.8906     ,  0.0914388  ])
34433   , -1591.12    , array([ 1.03201    ,  0.16105    ,  5.60319    ,  1.8906     ,  0.0914388  ])
34434   , -1799.2     , array([ 1.03201    ,  0.16105    ,  2.98516    ,  1.8906     ,  0.0914388  ])
34435   , -1531.66    , array([ 1.03201    ,  0.16105    ,  4.60319    ,  1.8906     ,  0.0914388  ])
34436   , -1574.06    , array([ 1.03201    ,  0.16105    ,  3.98516    ,  1.8906     ,  0.0914388  ])
34437   , -1537.03    , array([ 1.03201    ,  0.16105    ,  4.98516    ,  1.8906     ,  0.0914388  ])
34438   , -1530.86    , array([ 1.03201    ,  0.16105    ,  4.70908    ,  1.8906     ,  0.0914388  ])
34439   , -1530.86    , array([ 1.03201    ,  0.16105    ,  4.70429    ,  1.8906     ,  0.0914388  ])
34440   , -1530.86    , array([ 1.03201    ,  0.16105    ,  4.70328    ,  1.8906     ,  0.0914388  ])
34441   , -1530.86    , array([ 1.03201    ,  0.16105    ,  4.70228    ,  1.8906     ,  0.0914388  ])
34442   , -1530.86    , array([ 1.03201    ,  0.16105    ,  4.70328    ,  1.8906     ,  0.0914388  ])
34443   , -1786.83    , array([ 1.03201    ,  0.16105    ,  4.70328    ,  2.8906     ,  0.0914388  ])
34444   , -2036.61    , array([ 1.03201    ,  0.16105    ,  4.70328    ,  0.272567   ,  0.0914388  ])
34445   , -1530.86    , array([ 1.03201    ,  0.16105    ,  4.70328    ,  1.8906     ,  0.0914388  ])
34446   , -1551.62    , array([ 1.03201    ,  0.16105    ,  4.70328    ,  1.27257    ,  0.0914388  ])
34447   , -1592.52    , array([ 1.03201    ,  0.16105    ,  4.70328    ,  2.27257    ,  0.0914388  ])
34448   , -1519.5     , array([ 1.03201    ,  0.16105    ,  4.70328    ,  1.6677     ,  0.0914388  ])
34449   , -1519.46    , array([ 1.03201    ,  0.16105    ,  4.70328    ,  1.66006    ,  0.0914388  ])
34450   , -1519.45    , array([ 1.03201    ,  0.16105    ,  4.70328    ,  1.65207    ,  0.0914388  ])
34451   , -1519.45    , array([ 1.03201    ,  0.16105    ,  4.70328    ,  1.65445    ,  0.0914388  ])
34452   , -1519.45    , array([ 1.03201    ,  0.16105    ,  4.70328    ,  1.64968    ,  0.0914388  ])
34453   , -1519.45    , array([ 1.03201    ,  0.16105    ,  4.70328    ,  1.65207    ,  0.0914388  ])
34455   , -2742.73    , array([ 1.07561    ,  0.25791    ,  3.71328    ,  1.45996    ,  0.233895   ])
34456   , -1519.45    , array([ 1.03201    ,  0.16105    ,  4.70328    ,  1.65207    ,  0.0914388  ])
34457   , -1992.52    , array([ 1.04866    ,  0.198047   ,  4.32513    ,  1.57869    ,  0.145852   ])
34458   , -1709.11    , array([ 1.02171    ,  0.138184   ,  4.93699    ,  1.69742    ,  0.0578095  ])
34459   , -1522.62    , array([ 1.03216    ,  0.161394   ,  4.69976    ,  1.65139    ,  0.091945likelihood = -2123.01
theta = 8152.37
Optimized parameters = [  2.31348046   0.26617017   1.21098224   3.10303344  29.99999999]

Round_1_Replicate_2
