5415    , -2805.58    , array([ 0.830198   ,  99.9244    ,  1.33563e-60,  0.0194933  ])
5416    , -2805.58    , array([ 0.830198   ,  99.8245    ,  1.33697e-60,  0.0194933  ])
5417    , -2806.13    , array([ 0.830198   ,  99.8245    ,  1.33563e-60,  0.0195128  ])
5418    , -2805.58    , array([ 0.830198   ,  99.8245    ,  1.33563e-60,  0.0194933  ])
5419    , -2805.58    , array([ 0.830198   ,  99.8245    ,  1.33563e-60,  0.0194933  ])
5420    , -2805.58    , array([ 0.831029   ,  99.8245    ,  1.33563e-60,  0.0194933  ])
5421    , -2805.58    , array([ 0.830198   ,  99.9244    ,  1.33563e-60,  0.0194933  ])
5422    , -2805.58    , array([ 0.830198   ,  99.8245    ,  1.33697e-60,  0.0194933  ])
5423    , -2806.13    , array([ 0.830198   ,  99.8245    ,  1.33563e-60,  0.0195128  ])
5424    , -2805.58    , array([ 0.830198   ,  99.8245    ,  1.33563e-60,  0.0194933  ])
5425    , -2805.58    , array([ 0.830198   ,  99.8245    ,  1.33563e-60,  0.0194933  ])
5426    , -2805.58    , array([ 0.831029   ,  99.8245    ,  1.33563e-60,  0.0194933  ])
5427    , -2805.58    , array([ 0.830198   ,  99.9244    ,  1.33563e-60,  0.0194933  ])
5428    , -2805.58    , array([ 0.830198   ,  99.8245    ,  1.33697e-60,  0.0194933  ])
5429    , -2806.13    , array([ 0.830198   ,  99.8245    ,  1.33563e-60,  0.0195128  ])
5430    , -2805.58    , array([ 0.830198   ,  99.8245    ,  1.33563e-60,  0.0194933  ])
5431    , -2805.58    , array([ 0.830198   ,  99.8245    ,  1.33563e-60,  0.0194933  ])
5432    , -2805.58    , array([ 0.831029   ,  99.8245    ,  1.33563e-60,  0.0194933  ])
5433    , -2805.58    , array([ 0.830198   ,  99.9244    ,  1.33563e-60,  0.0194933  ])
5434    , -2805.58    , array([ 0.830198   ,  99.8245    ,  1.33697e-60,  0.0194933  ])
5435    , -2806.13    , array([ 0.830198   ,  99.8245    ,  1.33563e-60,  0.0195128  ])
5436    , -2805.58    , array([ 0.830198   ,  99.8245    ,  1.33563e-60,  0.0194933  ])
5437    , -2805.58    , array([ 0.830198   ,  99.8245    ,  1.33563e-60,  0.0194933  ])
5438    , -2805.58    , array([ 0.831029   ,  99.8245    ,  1.33563e-60,  0.0194933  ])
5439    , -2805.58    , array([ 0.830198   ,  99.9244    ,  1.33563e-60,  0.0194933  ])
5440    , -2805.58    , array([ 0.830198   ,  99.8245    ,  1.33697e-60,  0.0194933  ])
5441    , -2806.13    , array([ 0.830198   ,  99.8245    ,  1.33563e-60,  0.0195128  ])
5442    , -2805.58    , array([ 0.830198   ,  99.8245    ,  1.33563e-60,  0.0194933  ])
5443    , -2805.58    , array([ 0.830198   ,  99.8245    ,  1.33563e-60,  0.0194933  ])
5444    , -2805.58    , array([ 0.831029   ,  99.8245    ,  1.33563e-60,  0.0194933  ])
5445    , -2805.58    , array([ 0.830198   ,  99.9244    ,  1.33563e-60,  0.0194933  ])
5446    , -2805.58    , array([ 0.830198   ,  99.8245    ,  1.33697e-60,  0.0194933  ])
5447    , -2806.13    , array([ 0.830198   ,  99.8245    ,  1.33563e-60,  0.0195128  ])
5451    , -2825.57    , array([ 0.830198   ,  69.3842    ,  1.33563e-60,  0.0202941  ])
5452    , -2825.57    , array([ 0.830198   ,  69.3842    ,  1.33563e-60,  0.0202941  ])
5453    , -2825.57    , array([ 0.831029   ,  69.3842    ,  1.33563e-60,  0.0202941  ])
5454    , -2825.58    , array([ 0.830198   ,  69.4536    ,  1.33563e-60,  0.0202941  ])
5455    , -2825.57    , array([ 0.830198   ,  69.3842    ,  1.33697e-60,  0.0202941  ])
5456    , -2826.14    , array([ 0.830198   ,  69.3842    ,  1.33563e-60,  0.0203144  ])
5458    , -2810.09    , array([ 0.830198   ,  91.9604    ,  1.33563e-60,  0.0196712  ])
5459    , -2810.09    , array([ 0.830198   ,  91.9604    ,  1.33563e-60,  0.0196712  ])
5460    , -2810.09    , array([ 0.831029   ,  91.9604    ,  1.33563e-60,  0.0196712  ])
5461    , -2810.1     , array([ 0.830198   ,  92.0524    ,  1.33563e-60,  0.0196712  ])
5462    , -2810.09    , array([ 0.830198   ,  91.9604    ,  1.33697e-60,  0.0196712  ])
5463    , -2810.65    , array([ 0.830198   ,  91.9604    ,  1.33563e-60,  0.0196908  ])
5465    , -2806.22    , array([ 0.830198   ,  98.6702    ,  1.33563e-60,  0.0195184  ])
5466    , -2806.22    , array([ 0.830198   ,  98.6702    ,  1.33563e-60,  0.0195184  ])
5467    , -2806.22    , array([ 0.831029   ,  98.6702    ,  1.33563e-60,  0.0195184  ])
5468    , -2806.22    , array([ 0.830198   ,  98.7689    ,  1.33563e-60,  0.0195184  ])
5469    , -2806.22    , array([ 0.830198   ,  98.6702    ,  1.33697e-60,  0.0195184  ])
5470    , -2806.77    , array([ 0.830198   ,  98.6702    ,  1.33563e-60,  0.019538   ])
5473    , -2805.73    , array([ 0.830198   ,  99.5426    ,  1.33563e-60,  0.0194994  ])
5474    , -2805.73    , array([ 0.830198   ,  99.5426    ,  1.33563e-60,  0.0194994  ])
5475    , -2805.73    , array([ 0.831029   ,  99.5426    ,  1.33563e-60,  0.0194994  ])
5476    , -2805.74    , array([ 0.830198   ,  99.6422    ,  1.33563e-60,  0.0194994  ])
5477    , -2805.73    , array([ 0.830198   ,  99.5426    ,  1.33697e-60,  0.0194994  ])
5478    , -2806.28    , array([ 0.830198   ,  99.5426    ,  1.33563e-60,  0.0195189  ])
5479    , -2805.49    , array([ 0.830198   ,  99.9818    ,  1.33563e-60,  0.0194899  ])
5480    , -2805.49    , array([ 0.830198   ,  99.9818    ,  1.33563e-60,  0.0194899  ])
5481    , -2805.49    , array([ 0.831029   ,  99.9818    ,  1.33563e-60,  0.0194899  ])
5483    , -2805.49    , array([ 0.830198   ,  99.9818    ,  1.33697e-60,  0.0194899  ])
5484    , -2806.04    , array([ 0.830198   ,  99.9818    ,  1.33563e-60,  0.0195094  ])
