[001:05:16]	33729.238572	[     6.229,      3.911,      0.383,      0.022,      0.675,      7.209,      0.741,      1.335]	cm
[001:05:23]	33850.9697034	[     6.229,      3.911,      0.383,      0.022,      0.675,      7.209,      0.741,      1.206]	cm
[001:05:36]	33336.7813414	[     1.492,      0.784,      4.184,  3.135e-05,      2.628,      3.381,      3.019,      4.194]	c
[001:05:49]	28202.1807923	[     1.492,      0.784,      4.184,      0.022,      0.675,      3.381,      3.019,      4.194]	c
[001:05:58]	27549.2594182	[     1.492,      0.784,      4.184,      0.022,      0.675,      7.209,      2.899,      1.418]	c
[001:06:05]	107959.630008	[     2.342,      3.234,     89.849,      2.396,      0.428,  3.163e-05,      2.076,      3.360]	r
[001:06:55]	737473.253092	[     7.855,      0.036,      0.598,  1.457e-05,      0.001,      0.003,      2.240,      4.768]	r
[001:07:18]	30554.9985842	[     1.387,      0.914,      4.184,      0.022,      0.675,      7.209,      3.019,      4.194]	cm
[001:07:42]	21490.5135584	[     1.927,      0.562,      4.184,      0.022,      0.675,      7.209,      3.019,      4.194]	cm
[001:07:59]	35212.9556187	[     1.492,      0.520,      4.184,  3.135e-05,      2.909,      3.381,      3.116,      5.886]	cmm
[001:08:08]	34778.1886254	[     1.492,      0.520,      4.184,  3.135e-05,      2.909,      3.381,      3.116,      3.452]	cmm
[001:08:19]	28186.5712166	[     1.501,      0.784,      4.184,      0.017,      0.675,      3.381,      3.019,      4.194]	cm
[001:08:31]	29316.9304971	[     1.414,      0.784,      4.184,      0.025,      0.675,      3.381,      3.019,      4.194]	cm
[001:08:39]	33248.5346078	[     1.492,      3.911,      0.383,  3.135e-05,      0.675,      7.209,      3.019,      1.335]	c
[001:08:44]	237497.613189	[     2.342,      0.784,     89.849,      0.022,      0.428,  3.163e-05,      2.076,      3.360]	c
[001:09:01]	29556.3943715	[     1.492,      1.652,      0.383,      0.022,      0.675,      5.522,      3.116,      4.194]	c
[001:09:13]	260206.077359	[     1.551,     72.653,      0.220,  2.385e-06,      0.001,      6.767,      2.382,      1.852]	r
[001:09:17]	115486.700177	[    16.606,      1.436,     11.434,      0.377,      0.001,  2.044e-10,      2.511,      0.902]	r
[001:09:31]	28263.5402661	[     1.501,      0.784,      4.184,      0.017,      0.675,      3.381,      3.019,      4.742]	cmm
[001:09:41]	28020.4138612	[     1.501,      0.784,      4.184,      0.017,      0.675,      3.381,      3.019,      3.341]	cmm
[001:09:48]	33887.0749216	[     1.492,      3.911,      0.383,  3.135e-05,      0.675,      6.157,      3.019,      1.335]	cm
[001:09:58]	32743.8313766	[     1.492,      3.911,      0.383,  3.135e-05,      0.675,      9.348,      3.019,      1.335]	cm
[001:10:04]	21684.0194976	[     1.492,      1.744,      0.383,  3.135e-05,      1.530,      5.522,      3.116,      1.141]	cm
[001:10:10]	20663.3040816	[     1.492,      1.476,      0.383,  3.135e-05,      1.530,      5.522,      3.116,      1.141]	cm
[001:10:22]	28174.059303	[     1.501,      0.784,      4.184,      0.017,      0.675,      3.381,      3.116,      4.194]	c
[001:10:28]	51952.4762121	[    16.606,      1.436,     11.434,      0.022,      0.675,      7.209,      2.511,      0.902]	c
[001:10:38]	50842.9626208	[     1.492,      3.911,      4.184,  3.135e-05,      0.675,      3.381,      3.116,      3.452]	c
[001:11:44]	1430449.55163	[     2.467,      0.177,      0.012,  4.874e-04,  3.210e-07,  2.098e-11,      0.860,      2.233]	r
[001:11:49]	1127924.31202	[     0.890,      0.182,      5.288,  3.190e-06,  1.975e-05,  2.936e-06,      4.883,      2.134]	r
[001:12:01]	40737.3541155	[     1.492,      3.911,      0.225,  2.061e-05,      0.675,      9.348,      3.999,      1.335]	cmm
