43270   , -2955.89    , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  1.2744e-05 ,  0.00282597 ])
43272   , -2955.89    , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  4.94114e-06,  0.00282597 ])
43274   , -2955.89    , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  1.96071e-06,  0.00282597 ])
43276   , -2955.89    , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  8.22286e-07,  0.00282597 ])
43278   , -2955.89    , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  3.87448e-07,  0.00282597 ])
43280   , -2955.89    , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  2.21354e-07,  0.00282597 ])
43281   , -2955.89    , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  7.0237e-08 ,  0.00282597 ])
43282   , -2955.89    , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  4.02837e-08,  0.00282597 ])
43283   , -2955.89    , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  2.17715e-08,  0.00282597 ])
43284   , -2955.89    , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  1.03304e-08,  0.00282597 ])
43285   , -2955.89    , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  3.25937e-09,  0.00282597 ])
43287   , -2955.89    , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  5.96026e-09,  0.00282597 ])
43288   , -2955.89    , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  1.59013e-09,  0.00282597 ])
43289   , -2955.89    , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  4.0901e-10 ,  0.00282597 ])
43290   , -2955.89    , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  4.0901e-10 ,  0.00282597 ])
43291   , -504702     , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  4.0901e-10 ,  1.00283    ])
43293   , -2955.89    , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  4.0901e-10 ,  0.00282597 ])
43295   , -479294     , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  4.0901e-10 ,  0.384792   ])
43296   , -468214     , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  4.0901e-10 ,  0.189985   ])
43299   , -257152     , array([ 0.198057   ,  0.0100031  ,  0.0388204  ,  4.0901e-10 ,  0.0743142  ])
