13727   , -1775.53    , array([ 0.512772   ,  89.6456    ,  0.737962   ,  0.0231393  ])
13728   , -1774.46    , array([ 0.512772   ,  89.6457    ,  0.737961   ,  0.0231162  ])
13729   , -1774.46    , array([ 0.512772   ,  89.6457    ,  0.737961   ,  0.0231162  ])
13730   , -1774.33    , array([ 0.513285   ,  89.6457    ,  0.737961   ,  0.0231162  ])
13731   , -1774.47    , array([ 0.512772   ,  89.7353    ,  0.737961   ,  0.0231162  ])
13732   , -1776.1     , array([ 0.512772   ,  89.6457    ,  0.738699   ,  0.0231162  ])
13733   , -1775.52    , array([ 0.512772   ,  89.6457    ,  0.737961   ,  0.0231393  ])
13740   , -1774.46    , array([ 0.512772   ,  89.6457    ,  0.73796    ,  0.0231162  ])
13741   , -1774.46    , array([ 0.512772   ,  89.6457    ,  0.73796    ,  0.0231162  ])
13742   , -1774.33    , array([ 0.513285   ,  89.6457    ,  0.73796    ,  0.0231162  ])
13743   , -1774.46    , array([ 0.512772   ,  89.7354    ,  0.73796    ,  0.0231162  ])
13744   , -1776.1     , array([ 0.512772   ,  89.6457    ,  0.738699   ,  0.0231162  ])
13745   , -1775.52    , array([ 0.512772   ,  89.6457    ,  0.73796    ,  0.0231393  ])
13746   , -1222.41    , array([ 0.458249   ,  97.698     ,  0.561089   ,  0.0201905  ])
13747   , -1222.41    , array([ 0.458249   ,  97.698     ,  0.561089   ,  0.0201905  ])
13748   , -1222.66    , array([ 0.458707   ,  97.698     ,  0.561089   ,  0.0201905  ])
13749   , -1222.41    , array([ 0.458249   ,  97.7958    ,  0.561089   ,  0.0201905  ])
13750   , -1223.78    , array([ 0.458249   ,  97.698     ,  0.561651   ,  0.0201905  ])
13751   , -1223.22    , array([ 0.458249   ,  97.698     ,  0.561089   ,  0.0202107  ])
13758   , -1222.41    , array([ 0.458249   ,  97.698     ,  0.561089   ,  0.0201905  ])
13759   , -1222.41    , array([ 0.458249   ,  97.698     ,  0.561089   ,  0.0201905  ])
13760   , -1222.66    , array([ 0.458707   ,  97.698     ,  0.561089   ,  0.0201905  ])
13761   , -1222.41    , array([ 0.458249   ,  97.7958    ,  0.561089   ,  0.0201905  ])
13762   , -1223.78    , array([ 0.458249   ,  97.698     ,  0.561651   ,  0.0201905  ])
13763   , -1223.22    , array([ 0.458249   ,  97.698     ,  0.561089   ,  0.0202107  ])
13764   , -1109.97    , array([ 0.446833   ,  99.6021    ,  0.527629   ,  0.0195866  ])
13765   , -1109.97    , array([ 0.446833   ,  99.6021    ,  0.527629   ,  0.0195866  ])
13766   , -1110.29    , array([ 0.44728    ,  99.6021    ,  0.527629   ,  0.0195866  ])
13767   , -1109.97    , array([ 0.446833   ,  99.7017    ,  0.527629   ,  0.0195866  ])
13768   , -1111.25    , array([ 0.446833   ,  99.6021    ,  0.528156   ,  0.0195866  ])
13769   , -1110.72    , array([ 0.446833   ,  99.6021    ,  0.527629   ,  0.0196062  ])
13776   , -1109.97    , array([ 0.446833   ,  99.6021    ,  0.527629   ,  0.0195866  ])
13777   , -1109.97    , array([ 0.446833   ,  99.6021    ,  0.527629   ,  0.0195866  ])
13778   , -1110.29    , array([ 0.44728    ,  99.6021    ,  0.527629   ,  0.0195866  ])
13779   , -1109.97    , array([ 0.446833   ,  99.7017    ,  0.527629   ,  0.0195866  ])
13780   , -1111.25    , array([ 0.446833   ,  99.6021    ,  0.528156   ,  0.0195866  ])
13781   , -1110.72    , array([ 0.446833   ,  99.6021    ,  0.527629   ,  0.0196062  ])
13788   , -1109.97    , array([ 0.446833   ,  99.6021    ,  0.527629   ,  0.0195866  ])
13789   , -1109.97    , array([ 0.446833   ,  99.6021    ,  0.527629   ,  0.0195866  ])
13790   , -1110.29    , array([ 0.44728    ,  99.6021    ,  0.527629   ,  0.0195866  ])
13791   , -1109.97    , array([ 0.446833   ,  99.7017    ,  0.527629   ,  0.0195866  ])
13792   , -1111.25    , array([ 0.446833   ,  99.6021    ,  0.528156   ,  0.0195866  ])
13793   , -1110.72    , array([ 0.446833   ,  99.6021    ,  0.527629   ,  0.0196062  ])
13794   , -1093.78    , array([ 0.445167   ,  99.8872    ,  0.522845   ,  0.0194987  ])
13795   , -1093.78    , array([ 0.445167   ,  99.8872    ,  0.522845   ,  0.0194987  ])
13796   , -1094.12    , array([ 0.445612   ,  99.8872    ,  0.522845   ,  0.0194987  ])
