39446   , -406.704    , array([ 0.251712   ,  0.552578   ,  0.365437   ,  1.458e-23  ])
39447   , -406.654    , array([ 0.251461   ,  0.553131   ,  0.365437   ,  1.458e-23  ])
39448   , -406.695    , array([ 0.251461   ,  0.552578   ,  0.365803   ,  1.458e-23  ])
39449   , -406.654    , array([ 0.251461   ,  0.552578   ,  0.365437   ,  1.45946e-23])
39450   , -400.924    , array([ 0.217082   ,  0.552578   ,  0.356426   ,  1.458e-23  ])
39451   , -400.924    , array([ 0.217082   ,  0.552578   ,  0.356426   ,  1.458e-23  ])
39452   , -400.946    , array([ 0.217299   ,  0.552578   ,  0.356426   ,  1.458e-23  ])
39453   , -400.924    , array([ 0.217082   ,  0.553131   ,  0.356426   ,  1.458e-23  ])
39454   , -400.949    , array([ 0.217082   ,  0.552578   ,  0.356782   ,  1.458e-23  ])
39455   , -400.924    , array([ 0.217082   ,  0.552578   ,  0.356426   ,  1.45946e-23])
39456   , -398.453    , array([ 0.191459   ,  0.552578   ,  0.347104   ,  1.458e-23  ])
39457   , -398.453    , array([ 0.191459   ,  0.552578   ,  0.347104   ,  1.458e-23  ])
39458   , -398.456    , array([ 0.19165    ,  0.552578   ,  0.347104   ,  1.458e-23  ])
39459   , -398.453    , array([ 0.191459   ,  0.553131   ,  0.347104   ,  1.458e-23  ])
39460   , -398.5      , array([ 0.191459   ,  0.552578   ,  0.347451   ,  1.458e-23  ])
39461   , -398.453    , array([ 0.191459   ,  0.552578   ,  0.347104   ,  1.45946e-23])
39462   , -396.273    , array([ 0.163242   ,  0.552578   ,  0.325617   ,  1.458e-23  ])
39463   , -396.273    , array([ 0.163242   ,  0.552578   ,  0.325617   ,  1.458e-23  ])
39464   , -396.283    , array([ 0.163406   ,  0.552578   ,  0.325617   ,  1.458e-23  ])
39465   , -396.273    , array([ 0.163242   ,  0.553131   ,  0.325617   ,  1.458e-23  ])
39466   , -396.275    , array([ 0.163242   ,  0.552578   ,  0.325942   ,  1.458e-23  ])
39467   , -396.273    , array([ 0.163242   ,  0.552578   ,  0.325617   ,  1.45946e-23])
