119801  , -70701.9    , array([ 0.00133218 ,  0.638265   ,  2.01019e-25,  0.291813   ,  1.67053e-05])
119802  , -70695      , array([ 0.00133084 ,  0.638904   ,  2.01019e-25,  0.291813   ,  1.67053e-05])
119803  , -70694.9    , array([ 0.00133084 ,  0.638265   ,  2.0122e-25 ,  0.291813   ,  1.67053e-05])
119804  , -70694.9    , array([ 0.00133084 ,  0.638265   ,  2.01019e-25,  0.292105   ,  1.67053e-05])
119805  , -70688      , array([ 0.00133084 ,  0.638265   ,  2.01019e-25,  0.291813   ,  1.6722e-05 ])
119806  , -70694.9    , array([ 0.00133084 ,  0.638265   ,  2.01019e-25,  0.291813   ,  1.67053e-05])
119807  , -70694.9    , array([ 0.00133084 ,  0.638265   ,  2.01019e-25,  0.291813   ,  1.67053e-05])
119808  , -70701.8    , array([ 0.00133217 ,  0.638265   ,  2.01019e-25,  0.291813   ,  1.67053e-05])
119809  , -70694.9    , array([ 0.00133084 ,  0.638904   ,  2.01019e-25,  0.291813   ,  1.67053e-05])
119810  , -70694.9    , array([ 0.00133084 ,  0.638265   ,  2.0122e-25 ,  0.291813   ,  1.67053e-05])
119811  , -70694.9    , array([ 0.00133084 ,  0.638265   ,  2.01019e-25,  0.292105   ,  1.67053e-05])
119812  , -70688      , array([ 0.00133084 ,  0.638265   ,  2.01019e-25,  0.291813   ,  1.67221e-05])
119813  , -67941.6    , array([ 0.0011158  ,  0.635546   ,  2.01019e-25,  0.291813   ,  2.00145e-05])
119814  , -67941.6    , array([ 0.0011158  ,  0.635546   ,  2.01019e-25,  0.291813   ,  2.00145e-05])
119815  , -67950      , array([ 0.00111692 ,  0.635546   ,  2.01019e-25,  0.291813   ,  2.00145e-05])
119816  , -67941.6    , array([ 0.0011158  ,  0.636182   ,  2.01019e-25,  0.291813   ,  2.00145e-05])
119817  , -67941.6    , array([ 0.0011158  ,  0.635546   ,  2.0122e-25 ,  0.291813   ,  2.00145e-05])
119818  , -67941.6    , array([ 0.0011158  ,  0.635546   ,  2.01019e-25,  0.292105   ,  2.00145e-05])
119819  , -67933.1    , array([ 0.0011158  ,  0.635546   ,  2.01019e-25,  0.291813   ,  2.00345e-05])
119820  , -67941.6    , array([ 0.0011158  ,  0.635546   ,  2.01019e-25,  0.291813   ,  2.00145e-05])
119821  , -67941.6    , array([ 0.0011158  ,  0.635546   ,  2.01019e-25,  0.291813   ,  2.00145e-05])
119822  , -67950      , array([ 0.00111692 ,  0.635546   ,  2.01019e-25,  0.291813   ,  2.00145e-05])
119823  , -67941.6    , array([ 0.0011158  ,  0.636182   ,  2.01019e-25,  0.291813   ,  2.00145e-05])
119824  , -67941.6    , array([ 0.0011158  ,  0.635546   ,  2.0122e-25 ,  0.291813   ,  2.00145e-05])
119825  , -67941.6    , array([ 0.0011158  ,  0.635546   ,  2.01019e-25,  0.292105   ,  2.00145e-05])
119826  , -67933.1    , array([ 0.0011158  ,  0.635546   ,  2.01019e-25,  0.291813   ,  2.00345e-05])
119827  , -67941.6    , array([ 0.0011158  ,  0.635546   ,  2.01019e-25,  0.291813   ,  2.00145e-05])
119828  , -67941.6    , array([ 0.0011158  ,  0.635546   ,  2.01019e-25,  0.291813   ,  2.00145e-05])
119829  , -67950      , array([ 0.00111692 ,  0.635546   ,  2.01019e-25,  0.291813   ,  2.00145e-05])
119830  , -67941.6    , array([ 0.0011158  ,  0.636182   ,  2.01019e-25,  0.291813   ,  2.00145e-05])
119831  , -67941.6    , array([ 0.0011158  ,  0.635546   ,  2.0122e-25 ,  0.291813   ,  2.00145e-05])
119832  , -67941.6    , array([ 0.0011158  ,  0.635546   ,  2.01019e-25,  0.292105   ,  2.00145e-05])
119833  , -67933.1    , array([ 0.0011158  ,  0.635546   ,  2.01019e-25,  0.291813   ,  2.00345e-05])
119834  , -66367.6    , array([ 0.00102169 ,  0.63419    ,  2.01019e-25,  0.291812   ,  2.19073e-05])
119835  , -66367.6    , array([ 0.00102169 ,  0.63419    ,  2.01019e-25,  0.291812   ,  2.19073e-05])
119836  , -66376.8    , array([ 0.00102271 ,  0.63419    ,  2.01019e-25,  0.291812   ,  2.19073e-05])
119837  , -66367.7    , array([ 0.00102169 ,  0.634825   ,  2.01019e-25,  0.291812   ,  2.19073e-05])
119838  , -66367.6    , array([ 0.00102169 ,  0.63419    ,  2.0122e-25 ,  0.291812   ,  2.19073e-05])
119839  , -66367.6    , array([ 0.00102169 ,  0.63419    ,  2.01019e-25,  0.292104   ,  2.19073e-05])
119840  , -66358.5    , array([ 0.00102169 ,  0.63419    ,  2.01019e-25,  0.291812   ,  2.19292e-05])
119841  , -66367.6    , array([ 0.00102169 ,  0.63419    ,  2.01019e-25,  0.291812   ,  2.19073e-05])
119842  , -66367.6    , array([ 0.00102169 ,  0.63419    ,  2.01019e-25,  0.291812   ,  2.19073e-05])
119843  , -66376.7    , array([ 0.00102271 ,  0.63419    ,  2.01019e-25,  0.291812   ,  2.19073e-05])
119844  , -66367.7    , array([ 0.00102169 ,  0.634825   ,  2.01019e-25,  0.291812   ,  2.19073e-05])
119845  , -66367.6    , array([ 0.00102169 ,  0.63419    ,  2.0122e-25 ,  0.291812   ,  2.19073e-05])
119846  , -66367.6    , array([ 0.00102169 ,  0.63419    ,  2.01019e-25,  0.292104   ,  2.19073e-05])
119847  , -66358.5    , array([ 0.00102169 ,  0.63419    ,  2.01019e-25,  0.291812   ,  2.19292e-05])
119848  , -66367.6    , array([ 0.00102169 ,  0.63419    ,  2.01019e-25,  0.291812   ,  2.19073e-05])
119849  , -66367.6    , array([ 0.00102169 ,  0.63419    ,  2.01019e-25,  0.291812   ,  2.19073e-05])
119850  , -66376.7    , array([ 0.00102271 ,  0.63419    ,  2.01019e-25,  0.291812   ,  2.19073e-05])
119851  , -66367.6    , array([ 0.00102169 ,  0.634825   ,  2.01019e-25,  0.291812   ,  2.19073e-05])
119852  , -66367.6    , array([ 0.00102169 ,  0.63419    ,  2.0122e-25 ,  0.291812   ,  2.19073e-05])
119853  , -66367.6    , array([ 0.00102169 ,  0.63419    ,  2.01019e-25,  0.292104   ,  2.19073e-05])
119854  , -66358.5    , array([ 0.00102169 ,  0.63419    ,  2.01019e-25,  0.291812   ,  2.19293e-05])
119862  , -66367.6    , array([ 0.00102169 ,  0.63419    ,  2.01019e-25,  0.291812   ,  2.19073e-05])
119863  , -66367.6    , array([ 0.00102169 ,  0.63419    ,  2.01019e-25,  0.291812   ,  2.19073e-05])
119864  , -66376.7    , array([ 0.00102271 ,  0.63419    ,  2.01019e-25,  0.291812   ,  2.19073e-05])
119865  , -66367.6    , array([ 0.00102169 ,  0.634825   ,  2.01019e-25,  0.291812   ,  2.19073e-05])
119866  , -66367.6    , array([ 0.00102169 ,  0.63419    ,  2.0122e-25 ,  0.291812   ,  2.19073e-05])
119867  , -66367.6    , array([ 0.00102169 ,  0.63419    ,  2.01019e-25,  0.292104   ,  2.19073e-05])
119868  , -66358.5    , array([ 0.00102169 ,  0.63419    ,  2.01019e-25,  0.291812   ,  2.19293e-05])
119869  , -66367.6    , array([ 0.00102169 ,  0.63419    ,  2.01019e-25,  0.291812   ,  2.19073e-05])
119870  , -66367.6    , array([ 0.00102169 ,  0.63419    ,  2.01019e-25,  0.291812   ,  2.19073e-05])
119871  , -66376.7    , array([ 0.00102271 ,  0.63419    ,  2.01019e-25,  0.291812   ,  2.19073e-05])
119872  , -66367.6    , array([ 0.00102169 ,  0.634825   ,  2.01019e-25,  0.291812   ,  2.19073e-05])
119873  , -66367.6    , array([ 0.00102169 ,  0.63419    ,  2.0122e-25 ,  0.291812   ,  2.19073e-05])
119874  , -66367.6    , array([ 0.00102169 ,  0.63419    ,  2.01019e-25,  0.292104   ,  2.19073e-05])
119875  , -66358.5    , array([ 0.00102169 ,  0.63419    ,  2.01019e-25,  0.291812   ,  2.19293e-05])
119878  , -65965.5    , array([ 0.00100042 ,  0.633852   ,  2.01019e-25,  0.291812   ,  2.24079e-05])
119883  , -66238      , array([ 0.00101458 ,  0.634083   ,  2.01019e-25,  0.291812   ,  2.20646e-05])
119884  , -66238      , array([ 0.00101458 ,  0.634083   ,  2.01019e-25,  0.291812   ,  2.20646e-05])
119885  , -66247.2    , array([ 0.0010156  ,  0.634083   ,  2.01019e-25,  0.291812   ,  2.20646e-05])
119886  , -66238.1    , array([ 0.00101458 ,  0.634718   ,  2.01019e-25,  0.291812   ,  2.20646e-05])
119887  , -66238      , array([ 0.00101458 ,  0.634083   ,  2.0122e-25 ,  0.291812   ,  2.20646e-05])
119888  , -66238      , array([ 0.00101458 ,  0.634083   ,  2.01019e-25,  0.292104   ,  2.20646e-05])
119889  , -66228.8    , array([ 0.00101458 ,  0.634083   ,  2.01019e-25,  0.291812   ,  2.20867e-05])
119890  , -66064.9    , array([ 0.00100522 ,  0.633941   ,  2.01019e-25,  0.291812   ,  2.22753e-05])
119891  , -66064.9    , array([ 0.00100522 ,  0.633941   ,  2.01019e-25,  0.291812   ,  2.22753e-05])
119892  , -66074.1    , array([ 0.00100623 ,  0.633941   ,  2.01019e-25,  0.291812   ,  2.22753e-05])
119893  , -66064.9    , array([ 0.00100522 ,  0.634575   ,  2.01019e-25,  0.291812   ,  2.22753e-05])
119894  , -66064.9    , array([ 0.00100522 ,  0.633941   ,  2.0122e-25 ,  0.291812   ,  2.22753e-05])
119895  , -66064.9    , array([ 0.00100522 ,  0.633941   ,  2.01019e-25,  0.292104   ,  2.22753e-05])
119896  , -66055.6    , array([ 0.00100522 ,  0.633941   ,  2.01019e-25,  0.291812   ,  2.22976e-05])
119897  , -66011.6    , array([ 0.00100237 ,  0.633897   ,  2.01019e-25,  0.291812   ,  2.23402e-05])
119898  , -66011.6    , array([ 0.00100237 ,  0.633897   ,  2.01019e-25,  0.291812   ,  2.23402e-05])
119899  , -66020.9    , array([ 0.00100338 ,  0.633897   ,  2.01019e-25,  0.291812   ,  2.23402e-05])
119900  , -66011.7    , array([ 0.00100237 ,  0.634531   ,  2.01019e-25,  0.291812   ,  2.23402e-05])
119901  , -66011.6    , array([ 0.00100237 ,  0.633897   ,  2.0122e-25 ,  0.291812   ,  2.23402e-05])
119902  , -66011.6    , array([ 0.00100237 ,  0.633897   ,  2.01019e-25,  0.292104   ,  2.23402e-05])
119903  , -66002.3    , array([ 0.00100237 ,  0.633897   ,  2.01019e-25,  0.291812   ,  2.23626e-05])
119904  , -66011.6    , array([ 0.00100237 ,  0.633897   ,  2.01019e-25,  0.291812   ,  2.23402e-05])
119905  , -66011.6    , array([ 0.00100237 ,  0.633897   ,  2.01019e-25,  0.291812   ,  2.23402e-05])
119906  , -66020.9    , array([ 0.00100338 ,  0.633897   ,  2.01019e-25,  0.291812   ,  2.23402e-05])
119907  , -66011.7    , array([ 0.00100237 ,  0.634531   ,  2.01019e-25,  0.291812   ,  2.23402e-05])
119908  , -66011.6    , array([ 0.00100237 ,  0.633897   ,  2.0122e-25 ,  0.291812   ,  2.23402e-05])
119909  , -66011.6    , array([ 0.00100237 ,  0.633897   ,  2.01019e-25,  0.292104   ,  2.23402e-05])
119910  , -66002.3    , array([ 0.00100237 ,  0.633897   ,  2.01019e-25,  0.291812   ,  2.23626e-05])
119911  , -66011.6    , array([ 0.00100237 ,  0.633897   ,  2.01019e-25,  0.291812   ,  2.23402e-05])
119912  , -66011.6    , array([ 0.00100237 ,  0.633897   ,  2.01019e-25,  0.291812   ,  2.23402e-05])
119913  , -66020.9    , array([ 0.00100338 ,  0.633897   ,  2.01019e-25,  0.291812   ,  2.23402e-05])
119914  , -66011.7    , array([ 0.00100237 ,  0.634531   ,  2.01019e-25,  0.291812   ,  2.23402e-05])
119915  , -66011.6    , array([ 0.00100237 ,  0.633897   ,  2.0122e-25 ,  0.291812   ,  2.23402e-05])
119916  , -66011.6    , array([ 0.00100237 ,  0.633897   ,  2.01019e-25,  0.292104   ,  2.23402e-05])
119917  , -66002.3    , array([ 0.00100237 ,  0.633897   ,  2.01019e-25,  0.291812   ,  2.23626e-05])
119918  , -65983.9    , array([ 0.0010009  ,  0.633875   ,  2.01019e-25,  0.291812   ,  2.2374e-05 ])
119919  , -65983.9    , array([ 0.0010009  ,  0.633875   ,  2.01019e-25,  0.291812   ,  2.2374e-05 ])
119920  , -65993.2    , array([ 0.0010019  ,  0.633875   ,  2.01019e-25,  0.291812   ,  2.2374e-05 ])
119921  , -65984      , array([ 0.0010009  ,  0.634509   ,  2.01019e-25,  0.291812   ,  2.2374e-05 ])
119922  , -65983.9    , array([ 0.0010009  ,  0.633875   ,  2.0122e-25 ,  0.291812   ,  2.2374e-05 ])
119923  , -65983.9    , array([ 0.0010009  ,  0.633875   ,  2.01019e-25,  0.292104   ,  2.2374e-05 ])
119924  , -65974.6    , array([ 0.0010009  ,  0.633875   ,  2.01019e-25,  0.291812   ,  2.23964e-05])
