Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
our_model	Round_5_Replicate_4	-396.22	800.44	602.99	9259.85	4.9438,0.7998,30.0,1.6025
our_model	Round_5_Replicate_5	-393.99	795.98	598.83	7452.42	30.0,0.997,15.9283,2.8446
our_model	Round_5_Replicate_6	-393.38	794.76	597.67	7481.84	25.3779,0.9941,26.4449,3.1188
our_model	Round_5_Replicate_7	-394.04	796.08	598.22	9305.5	8.2597,0.8008,25.0385,2.0515
our_model	Round_5_Replicate_8	-396.52	801.04	603.55	11750.11	3.7637,0.6301,30.0,1.2372
our_model	Round_5_Replicate_9	-395.79	799.58	602.2	6985.41	7.0046,1.0608,30.0,2.1976
our_model	Round_5_Replicate_10	-398.33	804.66	606.89	3254.66	30.0,2.2701,20.1117,4.7467
our_model	Round_5_Replicate_11	-395.75	799.5	602.1	10843.88	4.4642,0.6835,30.0,1.4163
our_model	Round_5_Replicate_12	-396.24	800.48	603.03	7787.65	5.8937,0.951,30.0,1.9046
our_model	Round_5_Replicate_13	-393.08	794.16	597.1	12965.02	20.0552,0.574,29.7455,2.0932
our_model	Round_5_Replicate_14	-396.55	801.1	603.6	9091.81	4.8612,0.8143,30.0,1.5968
our_model	Round_5_Replicate_15	-393.69	795.38	598.25	6056.83	30.0,1.2273,24.5519,3.6052
our_model	Round_5_Replicate_16	-393.17	794.34	597.26	14583.18	29.9904,0.5102,16.3183,1.8286
our_model	Round_5_Replicate_17	-393.76	795.52	598.38	8477.79	18.198,0.8768,17.0833,2.5098
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
our_model	Round_1_Replicate_1	-398.91	805.82	607.95	14875.01	30.0,0.4964,2.8327,1.0868
our_model	Round_1_Replicate_2	-393.23	794.46	597.38	7989.11	29.824,0.9312,29.8428,3.1204
