134123  , -28734.4    , array([ 0.422896   ,  0.558692   ,  1.42166    ,  2.66618e-18,  0.41027    ])
134124  , -28734.4    , array([ 0.422896   ,  0.558692   ,  1.42166    ,  2.66618e-18,  0.41027    ])
134125  , -28707.1    , array([ 0.423319   ,  0.558692   ,  1.42166    ,  2.66618e-18,  0.41027    ])
134126  , -28736.4    , array([ 0.422896   ,  0.559251   ,  1.42166    ,  2.66618e-18,  0.41027    ])
134127  , -28716.5    , array([ 0.422896   ,  0.558692   ,  1.42308    ,  2.66618e-18,  0.41027    ])
134128  , -28734.4    , array([ 0.422896   ,  0.558692   ,  1.42166    ,  2.66885e-18,  0.41027    ])
134129  , -28745.1    , array([ 0.422896   ,  0.558692   ,  1.42166    ,  2.66618e-18,  0.410681   ])
134137  , -28733.5    , array([ 0.422873   ,  0.558563   ,  1.42187    ,  2.66618e-18,  0.410302   ])
134138  , -28733.5    , array([ 0.422873   ,  0.558563   ,  1.42187    ,  2.66618e-18,  0.410302   ])
134139  , -28706.2    , array([ 0.423296   ,  0.558563   ,  1.42187    ,  2.66618e-18,  0.410302   ])
134140  , -28735.5    , array([ 0.422873   ,  0.559122   ,  1.42187    ,  2.66618e-18,  0.410302   ])
134141  , -28715.6    , array([ 0.422873   ,  0.558563   ,  1.4233     ,  2.66618e-18,  0.410302   ])
134142  , -28733.5    , array([ 0.422873   ,  0.558563   ,  1.42187    ,  2.66885e-18,  0.410302   ])
134143  , -28744.2    , array([ 0.422873   ,  0.558563   ,  1.42187    ,  2.66618e-18,  0.410712   ])
134144  , -28376.2    , array([ 0.4015     ,  0.447105   ,  1.64609    ,  2.66618e-18,  0.441826   ])
134145  , -28376.2    , array([ 0.4015     ,  0.447105   ,  1.64609    ,  2.66618e-18,  0.441826   ])
134146  , -28351.2    , array([ 0.401902   ,  0.447105   ,  1.64609    ,  2.66618e-18,  0.441826   ])
134147  , -28371.4    , array([ 0.4015     ,  0.447552   ,  1.64609    ,  2.66618e-18,  0.441826   ])
134148  , -28355.8    , array([ 0.4015     ,  0.447105   ,  1.64773    ,  2.66618e-18,  0.441826   ])
134149  , -28376.2    , array([ 0.4015     ,  0.447105   ,  1.64609    ,  2.66885e-18,  0.441826   ])
134150  , -28387.7    , array([ 0.4015     ,  0.447105   ,  1.64609    ,  2.66618e-18,  0.442268   ])
134151  , -27719.3    , array([ 0.356506   ,  0.403994   ,  1.83773    ,  2.66618e-18,  0.374185   ])
134152  , -27719.3    , array([ 0.356506   ,  0.403994   ,  1.83773    ,  2.66618e-18,  0.374185   ])
134153  , -27693.5    , array([ 0.356863   ,  0.403994   ,  1.83773    ,  2.66618e-18,  0.374185   ])
134154  , -27715.4    , array([ 0.356506   ,  0.404398   ,  1.83773    ,  2.66618e-18,  0.374185   ])
134155  , -27699.8    , array([ 0.356506   ,  0.403994   ,  1.83957    ,  2.66618e-18,  0.374185   ])
134156  , -27719.3    , array([ 0.356506   ,  0.403994   ,  1.83773    ,  2.66885e-18,  0.374185   ])
134157  , -27730.8    , array([ 0.356506   ,  0.403994   ,  1.83773    ,  2.66618e-18,  0.37456    ])
134158  , -26407.6    , array([ 0.354623   ,  0.392841   ,  1.96346    ,  2.66618e-18,  0.365168   ])
134159  , -26407.6    , array([ 0.354623   ,  0.392841   ,  1.96346    ,  2.66618e-18,  0.365168   ])
134160  , -26382.6    , array([ 0.354977   ,  0.392841   ,  1.96346    ,  2.66618e-18,  0.365168   ])
134161  , -26403.6    , array([ 0.354623   ,  0.393234   ,  1.96346    ,  2.66618e-18,  0.365168   ])
134162  , -26388.3    , array([ 0.354623   ,  0.392841   ,  1.96543    ,  2.66618e-18,  0.365168   ])
134163  , -26407.6    , array([ 0.354623   ,  0.392841   ,  1.96346    ,  2.66885e-18,  0.365168   ])
134164  , -26418.6    , array([ 0.354623   ,  0.392841   ,  1.96346    ,  2.66618e-18,  0.365534   ])
134165  , -21465.5    , array([ 0.347187   ,  0.351226   ,  2.5585     ,  2.66618e-18,  0.33122    ])
134166  , -21465.5    , array([ 0.347187   ,  0.351226   ,  2.5585     ,  2.66618e-18,  0.33122    ])
134167  , -21443.6    , array([ 0.347534   ,  0.351226   ,  2.5585     ,  2.66618e-18,  0.33122    ])
134168  , -21460.7    , array([ 0.347187   ,  0.351577   ,  2.5585     ,  2.66618e-18,  0.33122    ])
134169  , -21447.3    , array([ 0.347187   ,  0.351226   ,  2.56106    ,  2.66618e-18,  0.33122    ])
134170  , -21465.5    , array([ 0.347187   ,  0.351226   ,  2.5585     ,  2.66885e-18,  0.33122    ])
134171  , -21474.5    , array([ 0.347187   ,  0.351226   ,  2.5585     ,  2.66618e-18,  0.331552   ])
134172  , -10614      , array([ 0.424033   ,  0.320143   ,  4.69079    ,  2.66618e-18,  0.428963   ])
134173  , -10614      , array([ 0.424033   ,  0.320143   ,  4.69079    ,  2.66618e-18,  0.428963   ])
134174  , -10604.2    , array([ 0.424458   ,  0.320143   ,  4.69079    ,  2.66618e-18,  0.428963   ])
134175  , -10605.3    , array([ 0.424033   ,  0.320463   ,  4.69079    ,  2.66618e-18,  0.428963   ])
134176  , -10600.2    , array([ 0.424033   ,  0.320143   ,  4.69549    ,  2.66618e-18,  0.428963   ])
134177  , -10614      , array([ 0.424033   ,  0.320143   ,  4.69079    ,  2.66885e-18,  0.428963   ])
134178  , -10619.4    , array([ 0.424033   ,  0.320143   ,  4.69079    ,  2.66618e-18,  0.429393   ])
134186  , -10613.4    , array([ 0.424038   ,  0.320143   ,  4.69099    ,  2.66618e-18,  0.428968   ])
134187  , -10613.4    , array([ 0.424038   ,  0.320143   ,  4.69099    ,  2.66618e-18,  0.428968   ])
134188  , -10603.5    , array([ 0.424462   ,  0.320143   ,  4.69099    ,  2.66618e-18,  0.428968   ])
134189  , -10604.7    , array([ 0.424038   ,  0.320463   ,  4.69099    ,  2.66618e-18,  0.428968   ])
134190  , -10599.5    , array([ 0.424038   ,  0.320143   ,  4.69568    ,  2.66618e-18,  0.428968   ])
134191  , -10613.4    , array([ 0.424038   ,  0.320143   ,  4.69099    ,  2.66885e-18,  0.428968   ])
134192  , -10618.8    , array([ 0.424038   ,  0.320143   ,  4.69099    ,  2.66618e-18,  0.429397   ])
134193  , -10603.8    , array([ 0.424102   ,  0.320143   ,  4.69399    ,  2.66618e-18,  0.429032   ])
134194  , -10603.8    , array([ 0.424102   ,  0.320143   ,  4.69399    ,  2.66618e-18,  0.429032   ])
134195  , -10594      , array([ 0.424526   ,  0.320143   ,  4.69399    ,  2.66618e-18,  0.429032   ])
134196  , -10595.1    , array([ 0.424102   ,  0.320463   ,  4.69399    ,  2.66618e-18,  0.429032   ])
134197  , -10590      , array([ 0.424102   ,  0.320143   ,  4.69869    ,  2.66618e-18,  0.429032   ])
134198  , -10603.8    , array([ 0.424102   ,  0.320143   ,  4.69399    ,  2.66885e-18,  0.429032   ])
134199  , -10609.2    , array([ 0.424102   ,  0.320143   ,  4.69399    ,  2.66618e-18,  0.429461   ])
134200  , -5999.98    , array([ 0.494608   ,  0.320392   ,  8.99461    ,  2.66618e-18,  0.499559   ])
134201  , -5999.98    , array([ 0.494608   ,  0.320392   ,  8.99461    ,  2.66618e-18,  0.499559   ])
134202  , -6000.12    , array([ 0.495103   ,  0.320392   ,  8.99461    ,  2.66618e-18,  0.499559   ])
134203  , -6000.33    , array([ 0.494608   ,  0.320713   ,  8.99461    ,  2.66618e-18,  0.499559   ])
134204  , -6001.63    , array([ 0.494608   ,  0.320392   ,  9.0036     ,  2.66618e-18,  0.499559   ])
134205  , -5999.98    , array([ 0.494608   ,  0.320392   ,  8.99461    ,  2.66885e-18,  0.499559   ])
134206  , -6002.61    , array([ 0.494608   ,  0.320392   ,  8.99461    ,  2.66618e-18,  0.500059   ])
134207  , -5236.69    , array([ 0.391987   ,  0.286996   ,  9.2453     ,  2.66618e-18,  0.300854   ])
134208  , -5236.69    , array([ 0.391987   ,  0.286996   ,  9.2453     ,  2.66618e-18,  0.300854   ])
134209  , -5232.69    , array([ 0.392379   ,  0.286996   ,  9.2453     ,  2.66618e-18,  0.300854   ])
134210  , -5237.93    , array([ 0.391987   ,  0.287283   ,  9.2453     ,  2.66618e-18,  0.300854   ])
134211  , -5236.05    , array([ 0.391987   ,  0.286996   ,  9.25455    ,  2.66618e-18,  0.300854   ])
134212  , -5236.69    , array([ 0.391987   ,  0.286996   ,  9.2453     ,  2.66885e-18,  0.300854   ])
134213  , -5238.51    , array([ 0.391987   ,  0.286996   ,  9.2453     ,  2.66618e-18,  0.301155   ])
134214  , -5031.81    , array([ 0.380186   ,  0.279384   ,  9.6453     ,  2.66618e-18,  0.253039   ])
134215  , -5031.81    , array([ 0.380186   ,  0.279384   ,  9.6453     ,  2.66618e-18,  0.253039   ])
134216  , -5027.4     , array([ 0.380567   ,  0.279384   ,  9.6453     ,  2.66618e-18,  0.253039   ])
134217  , -5034.35    , array([ 0.380186   ,  0.279663   ,  9.6453     ,  2.66618e-18,  0.253039   ])
134218  , -5031.88    , array([ 0.380186   ,  0.279384   ,  9.65495    ,  2.66618e-18,  0.253039   ])
134219  , -5031.81    , array([ 0.380186   ,  0.279384   ,  9.6453     ,  2.66885e-18,  0.253039   ])
134220  , -5033.1     , array([ 0.380186   ,  0.279384   ,  9.6453     ,  2.66618e-18,  0.253293   ])
134221  , -4687.71    , array([ 0.384553   ,  0.269745   ,  9.98944    ,  2.66618e-18,  0.204032   ])
134222  , -4687.71    , array([ 0.384553   ,  0.269745   ,  9.98944    ,  2.66618e-18,  0.204032   ])
134223  , -4683.38    , array([ 0.384938   ,  0.269745   ,  9.98944    ,  2.66618e-18,  0.204032   ])
134224  , -4691.64    , array([ 0.384553   ,  0.270015   ,  9.98944    ,  2.66618e-18,  0.204032   ])
134225  , -4688.67    , array([ 0.384553   ,  0.269745   ,  9.99944    ,  2.66618e-18,  0.204032   ])
134226  , -4687.71    , array([ 0.384553   ,  0.269745   ,  9.98944    ,  2.66885e-18,  0.204032   ])
134227  , -4688.23    , array([ 0.384553   ,  0.269745   ,  9.98944    ,  2.66618e-18,  0.204236   ])
134235  , -4687.71    , array([ 0.384553   ,  0.269745   ,  9.98945    ,  2.66618e-18,  0.204032   ])
134236  , -4687.71    , array([ 0.384553   ,  0.269745   ,  9.98945    ,  2.66618e-18,  0.204032   ])
134237  , -4683.38    , array([ 0.384938   ,  0.269745   ,  9.98945    ,  2.66618e-18,  0.204032   ])
134238  , -4691.64    , array([ 0.384553   ,  0.270015   ,  9.98945    ,  2.66618e-18,  0.204032   ])
134239  , -4688.67    , array([ 0.384553   ,  0.269745   ,  9.99944    ,  2.66618e-18,  0.204032   ])
134240  , -4687.71    , array([ 0.384553   ,  0.269745   ,  9.98945    ,  2.66885e-18,  0.204032   ])
134241  , -4688.23    , array([ 0.384553   ,  0.269745   ,  9.98945    ,  2.66618e-18,  0.204236   ])
134249  , -4687.71    , array([ 0.384553   ,  0.269745   ,  9.98945    ,  2.66618e-18,  0.204032   ])
134250  , -4687.71    , array([ 0.384553   ,  0.269745   ,  9.98945    ,  2.66618e-18,  0.204032   ])
134251  , -4683.38    , array([ 0.384938   ,  0.269745   ,  9.98945    ,  2.66618e-18,  0.204032   ])
134252  , -4691.64    , array([ 0.384553   ,  0.270015   ,  9.98945    ,  2.66618e-18,  0.204032   ])
134253  , -4688.67    , array([ 0.384553   ,  0.269745   ,  9.99944    ,  2.66618e-18,  0.204032   ])
134254  , -4687.71    , array([ 0.384553   ,  0.269745   ,  9.98945    ,  2.66885e-18,  0.204032   ])
134255  , -4688.23    , array([ 0.384553   ,  0.269745   ,  9.98945    ,  2.66618e-18,  0.204236   ])
134263  , -4687.71    , array([ 0.384553   ,  0.269745   ,  9.98945    ,  2.66618e-18,  0.204032   ])
134264  , -4687.71    , array([ 0.384553   ,  0.269745   ,  9.98945    ,  2.66618e-18,  0.204032   ])
134265  , -4683.38    , array([ 0.384938   ,  0.269745   ,  9.98945    ,  2.66618e-18,  0.204032   ])
134266  , -4691.64    , array([ 0.384553   ,  0.270015   ,  9.98945    ,  2.66618e-18,  0.204032   ])
134267  , -4688.67    , array([ 0.384553   ,  0.269745   ,  9.99944    ,  2.66618e-18,  0.204032   ])
134268  , -4687.71    , array([ 0.384553   ,  0.269745   ,  9.98945    ,  2.66885e-18,  0.204032   ])
134269  , -4688.23    , array([ 0.384553   ,  0.269745   ,  9.98945    ,  2.66618e-18,  0.204236   ])
134277  , -4687.71    , array([ 0.384553   ,  0.269745   ,  9.98945    ,  2.66618e-18,  0.204032   ])
134278  , -4687.71    , array([ 0.384553   ,  0.269745   ,  9.98945    ,  2.66618e-18,  0.204032   ])
134279  , -4683.38    , array([ 0.384938   ,  0.269745   ,  9.98945    ,  2.66618e-18,  0.204032   ])
134280  , -4691.64    , array([ 0.384553   ,  0.270015   ,  9.98945    ,  2.66618e-18,  0.204032   ])
134281  , -4688.67    , array([ 0.384553   ,  0.269745   ,  9.99944    ,  2.66618e-18,  0.204032   ])
134282  , -4687.71    , array([ 0.384553   ,  0.269745   ,  9.98945    ,  2.66885e-18,  0.204032   ])
134283  , -4688.23    , array([ 0.384553   ,  0.269745   ,  9.98945    ,  2.66618e-18,  0.204236   ])
134291  , -4687.71    , array([ 0.384553   ,  0.269745   ,  9.98945    ,  2.66618e-18,  0.204032   ])
134292  , -4687.71    , array([ 0.384553   ,  0.269745   ,  9.98945    ,  2.66618e-18,  0.204032   ])
134293  , -4683.38    , array([ 0.384938   ,  0.269745   ,  9.98945    ,  2.66618e-18,  0.204032   ])
134294  , -4691.64    , array([ 0.384553   ,  0.270015   ,  9.98945    ,  2.66618e-18,  0.204032   ])
134295  , -4688.67    , array([ 0.384553   ,  0.269745   ,  9.99944    ,  2.66618e-18,  0.204032   ])
134296  , -4687.71    , array([ 0.384553   ,  0.269745   ,  9.98945    ,  2.66885e-18,  0.204032   ])
134297  , -4688.23    , array([ 0.384553   ,  0.269745   ,  9.98945    ,  2.66618e-18,  0.204236   ])
134305  , -4687.71    , array([ 0.384553   ,  0.269745   ,  9.98945    ,  2.66618e-18,  0.204032   ])
134306  , -4687.71    , array([ 0.384553   ,  0.269745   ,  9.98945    ,  2.66618e-18,  0.204032   ])
134307  , -4683.38    , array([ 0.384938   ,  0.269745   ,  9.98945    ,  2.66618e-18,  0.204032   ])
134308  , -4691.64    , array([ 0.384553   ,  0.270015   ,  9.98945    ,  2.66618e-18,  0.204032   ])
134309  , -4688.67    , array([ 0.384553   ,  0.269745   ,  9.99944    ,  2.66618e-18,  0.204032   ])
134310  , -4687.71    , array([ 0.384553   ,  0.269745   ,  9.98945    ,  2.66885e-18,  0.204032   ])
134311  , -4688.23    , array([ 0.384553   ,  0.269745   ,  9.98945    ,  2.66618e-18,  0.204236   ])
134319  , -4687.71    , array([ 0.384553   ,  0.269745   ,  9.98945    ,  2.66618e-18,  0.204032   ])
134320  , -4687.71    , array([ 0.384553   ,  0.269745   ,  9.98945    ,  2.66618e-18,  0.204032   ])
134321  , -4683.38    , array([ 0.384938   ,  0.269745   ,  9.98945    ,  2.66618e-18,  0.204032   ])
134322  , -4691.64    , array([ 0.384553   ,  0.270015   ,  9.98945    ,  2.66618e-18,  0.204032   ])
134323  , -4688.67    , array([ 0.384553   ,  0.269745   ,  9.99944    ,  2.66618e-18,  0.204032   ])
134324  , -4687.71    , array([ 0.384553   ,  0.269745   ,  9.98945    ,  2.66885e-18,  0.204032   ])
134325  , -4688.23    , array([ 0.384553   ,  0.269745   ,  9.98945    ,  2.66618e-18,  0.204236   ])
134333  , -4687.71    , array([ 0.384553   ,  0.269745   ,  9.98945    ,  2.66618e-18,  0.204032   ])
134334  , -4687.71    , array([ 0.384553   ,  0.269745   ,  9.98945    ,  2.66618e-18,  0.204032   ])
134335  , -4683.38    , array([ 0.384938   ,  0.269745   ,  9.98945    ,  2.66618e-18,  0.204032   ])
134336  , -4691.64    , array([ 0.384553   ,  0.270015   ,  9.98945    ,  2.66618e-18,  0.204032   ])
134337  , -4688.67    , array([ 0.384553   ,  0.269745   ,  9.99944    ,  2.66618e-18,  0.204032   ])
134338  , -4687.71    , array([ 0.384553   ,  0.269745   ,  9.98945    ,  2.66885e-18,  0.204032   ])
134339  , -4688.23    , array([ 0.384553   ,  0.269745   ,  9.98945    ,  2.66618e-18,  0.204236   ])
134347  , -4687.71    , array([ 0.384553   ,  0.269745   ,  9.98945    ,  2.66618e-18,  0.204032   ])
134348  , -4687.71    , array([ 0.384553   ,  0.269745   ,  9.98945    ,  2.66618e-18,  0.204032   ])
134349  , -4683.38    , array([ 0.384938   ,  0.269745   ,  9.98945    ,  2.66618e-18,  0.204032   ])
134350  , -4691.64    , array([ 0.384553   ,  0.270015   ,  9.98945    ,  2.66618e-18,  0.204032   ])
134351  , -4688.67    , array([ 0.384553   ,  0.269745   ,  9.99944    ,  2.66618e-18,  0.204032   ])
134352  , -4687.71    , array([ 0.384553   ,  0.269745   ,  9.98945    ,  2.66885e-18,  0.204032   ])
134353  , -4688.23    , array([ 0.384553   ,  0.269745   ,  9.98945    ,  2.66618e-18,  0.204236   ])
134354  , -4671.29    , array([ 0.385174   ,  0.26928    ,  9.99809    ,  2.66618e-18,  0.202633   ])
134355  , -4671.29    , array([ 0.385174   ,  0.26928    ,  9.99809    ,  2.66618e-18,  0.202633   ])
134356  , -4666.98    , array([ 0.38556    ,  0.26928    ,  9.99809    ,  2.66618e-18,  0.202633   ])
134357  , -4675.25    , array([ 0.385174   ,  0.269549   ,  9.99809    ,  2.66618e-18,  0.202633   ])
134359  , -4671.29    , array([ 0.385174   ,  0.26928    ,  9.99809    ,  2.66885e-18,  0.202633   ])
134360  , -4671.79    , array([ 0.385174   ,  0.26928    ,  9.99809    ,  2.66618e-18,  0.202836   ])
134361  , -4687.71    , array([ 0.384553   ,  0.269745   ,  9.98945    ,  2.66618e-18,  0.204032   ])
134362  , -4687.71    , array([ 0.384553   ,  0.269745   ,  9.98945    ,  2.66618e-18,  0.204032   ])
134363  , -4683.38    , array([ 0.384938   ,  0.269745   ,  9.98945    ,  2.66618e-18,  0.204032   ])
134364  , -4691.64    , array([ 0.384553   ,  0.270015   ,  9.98945    ,  2.66618e-18,  0.204032   ])
134365  , -4688.67    , array([ 0.384553   ,  0.269745   ,  9.99944    ,  2.66618e-18,  0.204032   ])
134366  , -4687.71    , array([ 0.384553   ,  0.269745   ,  9.98945    ,  2.66885e-18,  0.204032   ])
134367  , -4688.23    , array([ 0.384553   ,  0.269745   ,  9.98945    ,  2.66618e-18,  0.204236   ])
134368  , -4676.75    , array([ 0.384967   ,  0.269435   ,  9.9952     ,  2.66618e-18,  0.203098   ])
134369  , -4676.75    , array([ 0.384967   ,  0.269435   ,  9.9952     ,  2.66618e-18,  0.203098   ])
134370  , -4672.43    , array([ 0.385352   ,  0.269435   ,  9.9952     ,  2.66618e-18,  0.203098   ])
134371  , -4680.69    , array([ 0.384967   ,  0.269704   ,  9.9952     ,  2.66618e-18,  0.203098   ])
134373  , -4676.75    , array([ 0.384967   ,  0.269435   ,  9.9952     ,  2.66885e-18,  0.203098   ])
134374  , -4677.26    , array([ 0.384967   ,  0.269435   ,  9.9952     ,  2.66618e-18,  0.203301   ])
