46024   , -1652.96    , array([ 1.12899    ,  0.0682491  ,  5.04965e-53,  3.14536e-20,  0.0243538  ])
46025   , -1652.96    , array([ 1.12899    ,  0.0681809  ,  5.0547e-53 ,  3.14536e-20,  0.0243538  ])
46026   , -1652.96    , array([ 1.12899    ,  0.0681809  ,  5.04965e-53,  3.14851e-20,  0.0243538  ])
46027   , -1653.07    , array([ 1.12899    ,  0.0681809  ,  5.04965e-53,  3.14536e-20,  0.0243781  ])
46028   , -1636.19    , array([ 1.28883    ,  0.0671326  ,  5.04965e-53,  3.14536e-20,  0.024009   ])
46029   , -1636.19    , array([ 1.28883    ,  0.0671326  ,  5.04965e-53,  3.14536e-20,  0.024009   ])
46030   , -1636.12    , array([ 1.29012    ,  0.0671326  ,  5.04965e-53,  3.14536e-20,  0.024009   ])
46031   , -1636.19    , array([ 1.28883    ,  0.0671997  ,  5.04965e-53,  3.14536e-20,  0.024009   ])
46032   , -1636.19    , array([ 1.28883    ,  0.0671326  ,  5.0547e-53 ,  3.14536e-20,  0.024009   ])
46033   , -1636.19    , array([ 1.28883    ,  0.0671326  ,  5.04965e-53,  3.14851e-20,  0.024009   ])
46034   , -1636.21    , array([ 1.28883    ,  0.0671326  ,  5.04965e-53,  3.14536e-20,  0.024033   ])
46035   , -1633.01    , array([ 1.39217    ,  0.0671991  ,  5.04965e-53,  3.14536e-20,  0.0240542  ])
46036   , -1633.01    , array([ 1.39217    ,  0.0671991  ,  5.04965e-53,  3.14536e-20,  0.0240542  ])
46037   , -1632.99    , array([ 1.39357    ,  0.0671991  ,  5.04965e-53,  3.14536e-20,  0.0240542  ])
46038   , -1633.01    , array([ 1.39217    ,  0.0672664  ,  5.04965e-53,  3.14536e-20,  0.0240542  ])
46039   , -1633.01    , array([ 1.39217    ,  0.0671991  ,  5.0547e-53 ,  3.14536e-20,  0.0240542  ])
46040   , -1633.01    , array([ 1.39217    ,  0.0671991  ,  5.04965e-53,  3.14851e-20,  0.0240542  ])
46041   , -1633.01    , array([ 1.39217    ,  0.0671991  ,  5.04965e-53,  3.14536e-20,  0.0240782  ])
46042   , -1632.64    , array([ 1.43014    ,  0.0674375  ,  5.04965e-53,  3.14536e-20,  0.0241473  ])
46043   , -1632.64    , array([ 1.43014    ,  0.0674375  ,  5.04965e-53,  3.14536e-20,  0.0241473  ])
46044   , -1632.64    , array([ 1.43157    ,  0.0674375  ,  5.04965e-53,  3.14536e-20,  0.0241473  ])
46045   , -1632.64    , array([ 1.43014    ,  0.0675049  ,  5.04965e-53,  3.14536e-20,  0.0241473  ])
46046   , -1632.64    , array([ 1.43014    ,  0.0674375  ,  5.0547e-53 ,  3.14536e-20,  0.0241473  ])
46047   , -1632.64    , array([ 1.43014    ,  0.0674375  ,  5.04965e-53,  3.14851e-20,  0.0241473  ])
46048   , -1632.64    , array([ 1.43014    ,  0.0674375  ,  5.04965e-53,  3.14536e-20,  0.0241715  ])
46049   , -1632.58    , array([ 1.43616    ,  0.0675554  ,  5.04965e-53,  3.14536e-20,  0.0241915  ])
46050   , -1632.58    , array([ 1.43616    ,  0.0675554  ,  5.04965e-53,  3.14536e-20,  0.0241915  ])
46051   , -1632.58    , array([ 1.4376     ,  0.0675554  ,  5.04965e-53,  3.14536e-20,  0.0241915  ])
46052   , -1632.58    , array([ 1.43616    ,  0.067623   ,  5.04965e-53,  3.14536e-20,  0.0241915  ])
