44535   , -403.699    , array([ 0.214823   ,  29.6777    ,  0.368176   ,  2.13945e-90])
44536   , -403.855    , array([ 0.214823   ,  29.648     ,  0.368544   ,  2.13945e-90])
44537   , -403.699    , array([ 0.214823   ,  29.648     ,  0.368176   ,  2.14159e-90])
44538   , -400.386    , array([ 0.210031   ,  29.648     ,  0.356615   ,  2.13945e-90])
44539   , -400.386    , array([ 0.210031   ,  29.648     ,  0.356615   ,  2.13945e-90])
44540   , -400.397    , array([ 0.210241   ,  29.648     ,  0.356615   ,  2.13945e-90])
44541   , -400.386    , array([ 0.210031   ,  29.6777    ,  0.356615   ,  2.13945e-90])
44542   , -400.44     , array([ 0.210031   ,  29.648     ,  0.356972   ,  2.13945e-90])
44543   , -400.386    , array([ 0.210031   ,  29.648     ,  0.356615   ,  2.14159e-90])
44544   , -397.77     , array([ 0.185751   ,  29.648     ,  0.34069    ,  2.13945e-90])
44545   , -397.77     , array([ 0.185751   ,  29.648     ,  0.34069    ,  2.13945e-90])
44546   , -397.785    , array([ 0.185937   ,  29.648     ,  0.34069    ,  2.13945e-90])
44547   , -397.77     , array([ 0.185751   ,  29.6777    ,  0.34069    ,  2.13945e-90])
44548   , -397.774    , array([ 0.185751   ,  29.648     ,  0.341031   ,  2.13945e-90])
44549   , -397.77     , array([ 0.185751   ,  29.648     ,  0.34069    ,  2.14159e-90])
44550   , -396.421    , array([ 0.157479   ,  29.648     ,  0.325076   ,  2.13945e-90])
44551   , -396.421    , array([ 0.157479   ,  29.648     ,  0.325076   ,  2.13945e-90])
44552   , -396.399    , array([ 0.157637   ,  29.648     ,  0.325076   ,  2.13945e-90])
44553   , -396.421    , array([ 0.157479   ,  29.6777    ,  0.325076   ,  2.13945e-90])
44554   , -396.498    , array([ 0.157479   ,  29.648     ,  0.325401   ,  2.13945e-90])
44555   , -396.421    , array([ 0.157479   ,  29.648     ,  0.325076   ,  2.14159e-90])
44556   , -395.496    , array([ 0.144275   ,  29.648     ,  0.311554   ,  2.13945e-90])
44557   , -395.496    , array([ 0.144275   ,  29.648     ,  0.311554   ,  2.13945e-90])
44558   , -395.482    , array([ 0.144419   ,  29.648     ,  0.311554   ,  2.13945e-90])
44559   , -395.496    , array([ 0.144275   ,  29.6777    ,  0.311554   ,  2.13945e-90])
44560   , -395.547    , array([ 0.144275   ,  29.648     ,  0.311866   ,  2.13945e-90])
44561   , -395.496    , array([ 0.144275   ,  29.648     ,  0.311554   ,  2.14159e-90])
44562   , -394.65     , array([ 0.121515   ,  29.648     ,  0.286852   ,  2.13945e-90])
44563   , -394.65     , array([ 0.121515   ,  29.648     ,  0.286852   ,  2.13945e-90])
44564   , -394.629    , array([ 0.121637   ,  29.648     ,  0.286852   ,  2.13945e-90])
44565   , -394.65     , array([ 0.121515   ,  29.6777    ,  0.286852   ,  2.13945e-90])
44566   , -394.706    , array([ 0.121515   ,  29.648     ,  0.287139   ,  2.13945e-90])
44567   , -394.65     , array([ 0.121515   ,  29.648     ,  0.286852   ,  2.14159e-90])
44568   , -394.105    , array([ 0.105395   ,  29.648     ,  0.263358   ,  2.13945e-90])
44569   , -394.105    , array([ 0.105395   ,  29.648     ,  0.263358   ,  2.13945e-90])
44570   , -394.128    , array([ 0.1055     ,  29.648     ,  0.263358   ,  2.13945e-90])
44571   , -394.105    , array([ 0.105395   ,  29.6777    ,  0.263358   ,  2.13945e-90])
44572   , -394.074    , array([ 0.105395   ,  29.648     ,  0.263622   ,  2.13945e-90])
44573   , -394.105    , array([ 0.105395   ,  29.648     ,  0.263358   ,  2.14159e-90])
44574   , -393.744    , array([ 0.0904846  ,  29.648     ,  0.243014   ,  2.13945e-90])
44575   , -393.744    , array([ 0.0904846  ,  29.648     ,  0.243014   ,  2.13945e-90])
44576   , -393.732    , array([ 0.0905751  ,  29.648     ,  0.243014   ,  2.13945e-90])
44577   , -393.744    , array([ 0.0904846  ,  29.6777    ,  0.243014   ,  2.13945e-90])
44578   , -393.778    , array([ 0.0904846  ,  29.648     ,  0.243257   ,  2.13945e-90])
44579   , -393.744    , array([ 0.0904846  ,  29.648     ,  0.243014   ,  2.14159e-90])
44580   , -394.009    , array([ 0.0794703  ,  29.648     ,  0.226262   ,  2.13945e-90])
44581   , -394.009    , array([ 0.0794703  ,  29.648     ,  0.226262   ,  2.13945e-90])
44582   , -393.945    , array([ 0.0795498  ,  29.648     ,  0.226262   ,  2.13945e-90])
44583   , -394.009    , array([ 0.0794703  ,  29.6777    ,  0.226262   ,  2.13945e-90])
44584   , -394.125    , array([ 0.0794703  ,  29.648     ,  0.226489   ,  2.13945e-90])
44585   , -394.009    , array([ 0.0794703  ,  29.648     ,  0.226262   ,  2.14159e-90])
44586   , -393.736    , array([ 0.0882038  ,  29.648     ,  0.239624   ,  2.13945e-90])
44587   , -393.736    , array([ 0.0882038  ,  29.648     ,  0.239624   ,  2.13945e-90])
44588   , -393.716    , array([ 0.088292   ,  29.648     ,  0.239624   ,  2.13945e-90])
44589   , -393.736    , array([ 0.0882038  ,  29.6777    ,  0.239624   ,  2.13945e-90])
44590   , -393.781    , array([ 0.0882038  ,  29.648     ,  0.239863   ,  2.13945e-90])
44591   , -393.736    , array([ 0.0882038  ,  29.648     ,  0.239624   ,  2.14159e-90])
44592   , -393.733    , array([ 0.0879402  ,  29.648     ,  0.239214   ,  2.13945e-90])
44593   , -393.733    , array([ 0.0879402  ,  29.648     ,  0.239214   ,  2.13945e-90])
44594   , -393.713    , array([ 0.0880282  ,  29.648     ,  0.239214   ,  2.13945e-90])
44595   , -393.733    , array([ 0.0879402  ,  29.6777    ,  0.239214   ,  2.13945e-90])
44596   , -393.779    , array([ 0.0879402  ,  29.648     ,  0.239454   ,  2.13945e-90])
44597   , -393.733    , array([ 0.0879402  ,  29.648     ,  0.239214   ,  2.14159e-90])
44598   , -393.726    , array([ 0.0868938  ,  29.648     ,  0.237584   ,  2.13945e-90])
44599   , -393.726    , array([ 0.0868938  ,  29.648     ,  0.237584   ,  2.13945e-90])
44600   , -393.704    , array([ 0.0869807  ,  29.648     ,  0.237584   ,  2.13945e-90])
44601   , -393.726    , array([ 0.0868938  ,  29.6777    ,  0.237584   ,  2.13945e-90])
44602   , -393.776    , array([ 0.0868938  ,  29.648     ,  0.237822   ,  2.13945e-90])
44603   , -393.726    , array([ 0.0868938  ,  29.648     ,  0.237584   ,  2.14159e-90])
44604   , -393.732    , array([ 0.0828312  ,  29.648     ,  0.231173   ,  2.13945e-90])
44605   , -393.732    , array([ 0.0828312  ,  29.648     ,  0.231173   ,  2.13945e-90])
44606   , -393.698    , array([ 0.0829141  ,  29.648     ,  0.231173   ,  2.13945e-90])
44607   , -393.732    , array([ 0.0828312  ,  29.6777    ,  0.231173   ,  2.13945e-90])
44608   , -393.8      , array([ 0.0828312  ,  29.648     ,  0.231404   ,  2.13945e-90])
44609   , -393.732    , array([ 0.0828312  ,  29.648     ,  0.231173   ,  2.14159e-90])
44610   , -393.732    , array([ 0.0827309  ,  29.648     ,  0.231008   ,  2.13945e-90])
44611   , -393.732    , array([ 0.0827309  ,  29.648     ,  0.231008   ,  2.13945e-90])
44612   , -393.698    , array([ 0.0828137  ,  29.648     ,  0.231008   ,  2.13945e-90])
44613   , -393.732    , array([ 0.0827309  ,  29.6777    ,  0.231008   ,  2.13945e-90])
44614   , -393.8      , array([ 0.0827309  ,  29.648     ,  0.23124    ,  2.13945e-90])
44615   , -393.732    , array([ 0.0827309  ,  29.648     ,  0.231008   ,  2.14159e-90])
44616   , -393.731    , array([ 0.0823308  ,  29.648     ,  0.230352   ,  2.13945e-90])
44617   , -393.731    , array([ 0.0823308  ,  29.648     ,  0.230352   ,  2.13945e-90])
44618   , -393.696    , array([ 0.0824132  ,  29.648     ,  0.230352   ,  2.13945e-90])
44619   , -393.731    , array([ 0.0823308  ,  29.6777    ,  0.230352   ,  2.13945e-90])
44620   , -393.801    , array([ 0.0823308  ,  29.648     ,  0.230582   ,  2.13945e-90])
44621   , -393.731    , array([ 0.0823308  ,  29.648     ,  0.230352   ,  2.14159e-90])
44622   , -393.735    , array([ 0.0807496  ,  29.648     ,  0.227743   ,  2.13945e-90])
44623   , -393.735    , array([ 0.0807496  ,  29.648     ,  0.227743   ,  2.13945e-90])
44624   , -393.696    , array([ 0.0808304  ,  29.648     ,  0.227743   ,  2.13945e-90])
44625   , -393.735    , array([ 0.0807496  ,  29.6777    ,  0.227743   ,  2.13945e-90])
44626   , -393.81     , array([ 0.0807496  ,  29.648     ,  0.227971   ,  2.13945e-90])
44627   , -393.735    , array([ 0.0807496  ,  29.648     ,  0.227743   ,  2.14159e-90])
44628   , -393.731    , array([ 0.0819996  ,  29.648     ,  0.229807   ,  2.13945e-90])
