Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
our_model	Round_3_Replicate_10	-1411.14	2832.28	203.69	20402.89	0.8472,0.0681,4.6315,3.3542,0.0308
our_model	Round_4_Replicate_1	-1312.5	2635.0	3.12	19988.26	0.9912,0.1044,5.0648,2.451,0.0532
our_model	Round_4_Replicate_2	-1343.84	2697.68	66.95	20103.9	1.0207,0.0777,4.5752,3.5967,0.0379
our_model	Round_4_Replicate_3	-1326.1	2662.2	30.08	19808.25	1.0395,0.1154,4.9705,1.9461,0.0574
our_model	Round_4_Replicate_4	-1317.2	2644.4	12.53	19844.65	1.0719,0.1049,4.9458,2.392,0.0527
our_model	Round_4_Replicate_5	-1376.61	2763.22	134.7	19887.32	1.241,0.0744,4.2121,3.4011,0.0348
our_model	Round_4_Replicate_6	-1384.01	2778.02	150.23	19891.5	1.2542,0.0728,4.1768,3.4895,0.0339
our_model	Round_4_Replicate_7	-1312.84	2635.68	3.81	19964.68	0.9966,0.1056,5.0256,2.2389,0.0526
our_model	Round_4_Replicate_8	-1358.33	2726.66	97.85	20172.03	1.0096,0.0744,4.8786,3.4546,0.0353
our_model	Round_4_Replicate_9	-1317.73	2645.46	13.64	20050.47	1.0064,0.0899,4.8321,3.1037,0.0453
our_model	Round_4_Replicate_10	-1350.98	2711.96	81.89	19964.94	1.1252,0.0817,4.5991,2.4765,0.0372
our_model	Round_4_Replicate_11	-1313.57	2637.14	5.27	19900.91	1.0391,0.1042,4.97,2.4126,0.0524
our_model	Round_4_Replicate_12	-1311.12	2632.24	0.38	19982.88	1.0085,0.1003,5.0028,2.5479,0.0504
our_model	Round_4_Replicate_13	-1311.98	2633.96	2.11	20041.1	0.991,0.0963,4.9887,2.7409,0.0484
our_model	Round_4_Replicate_14	-1312.07	2634.14	2.27	19968.71	1.0001,0.1039,5.0228,2.3564,0.0518
our_model	Round_4_Replicate_15	-1318.75	2647.5	15.76	20144.16	0.9572,0.0926,5.1687,2.364,0.0446
our_model	Round_4_Replicate_16	-1331.23	2672.46	41.13	19940.94	1.1136,0.0867,4.834,2.9758,0.0421
our_model	Round_4_Replicate_17	-1318.61	2647.22	15.28	19843.03	1.0828,0.0954,4.3947,2.873,0.0472
our_model	Round_4_Replicate_18	-1318.55	2647.1	15.39	20038.37	1.015,0.0903,4.8103,2.613,0.0437
our_model	Round_4_Replicate_19	-1330.17	2670.34	38.68	20066.74	0.9362,0.1125,5.4725,1.6447,0.0539
our_model	Round_4_Replicate_20	-1312.12	2634.24	2.36	19940.19	1.011,0.1029,4.8671,2.3595,0.0509
