279481  , -2011.61    , array([ 0.894387   ,  0.0613748  ,  2.58773e-49,  9.09148    ,  0.0374452  ])
279482  , -2013.12    , array([ 0.894387   ,  0.0613134  ,  2.59032e-49,  9.09148    ,  0.0374452  ])
279483  , -2012.74    , array([ 0.894387   ,  0.0613134  ,  2.58773e-49,  9.10058    ,  0.0374452  ])
279484  , -2014.96    , array([ 0.894387   ,  0.0613134  ,  2.58773e-49,  9.09148    ,  0.0374827  ])
279492  , -2013.12    , array([ 0.894387   ,  0.0613134  ,  2.58773e-49,  9.09148    ,  0.0374452  ])
279493  , -2013.12    , array([ 0.894387   ,  0.0613134  ,  2.58773e-49,  9.09148    ,  0.0374452  ])
279494  , -2012.25    , array([ 0.895282   ,  0.0613134  ,  2.58773e-49,  9.09148    ,  0.0374452  ])
279495  , -2011.61    , array([ 0.894387   ,  0.0613748  ,  2.58773e-49,  9.09148    ,  0.0374452  ])
279496  , -2013.12    , array([ 0.894387   ,  0.0613134  ,  2.59032e-49,  9.09148    ,  0.0374452  ])
279497  , -2012.74    , array([ 0.894387   ,  0.0613134  ,  2.58773e-49,  9.10058    ,  0.0374452  ])
279498  , -2014.96    , array([ 0.894387   ,  0.0613134  ,  2.58773e-49,  9.09148    ,  0.0374827  ])
279499  , -1940.64    , array([ 0.882711   ,  0.0560247  ,  2.58773e-49,  9.83456    ,  0.0335719  ])
279500  , -1940.64    , array([ 0.882711   ,  0.0560247  ,  2.58773e-49,  9.83456    ,  0.0335719  ])
279501  , -1939.89    , array([ 0.883594   ,  0.0560247  ,  2.58773e-49,  9.83456    ,  0.0335719  ])
279502  , -1939.19    , array([ 0.882711   ,  0.0560808  ,  2.58773e-49,  9.83456    ,  0.0335719  ])
279503  , -1940.64    , array([ 0.882711   ,  0.0560247  ,  2.59032e-49,  9.83456    ,  0.0335719  ])
279504  , -1940.33    , array([ 0.882711   ,  0.0560247  ,  2.58773e-49,  9.8444     ,  0.0335719  ])
279505  , -1942.3     , array([ 0.882711   ,  0.0560247  ,  2.58773e-49,  9.83456    ,  0.0336055  ])
279513  , -1940.64    , array([ 0.882711   ,  0.0560247  ,  2.58773e-49,  9.83456    ,  0.0335719  ])
279514  , -1940.64    , array([ 0.882711   ,  0.0560247  ,  2.58773e-49,  9.83456    ,  0.0335719  ])
279515  , -1939.89    , array([ 0.883594   ,  0.0560247  ,  2.58773e-49,  9.83456    ,  0.0335719  ])
279516  , -1939.19    , array([ 0.882711   ,  0.0560808  ,  2.58773e-49,  9.83456    ,  0.0335719  ])
279517  , -1940.64    , array([ 0.882711   ,  0.0560247  ,  2.59032e-49,  9.83456    ,  0.0335719  ])
279518  , -1940.33    , array([ 0.882711   ,  0.0560247  ,  2.58773e-49,  9.8444     ,  0.0335719  ])
279519  , -1942.3     , array([ 0.882711   ,  0.0560247  ,  2.58773e-49,  9.83456    ,  0.0336055  ])
279520  , -1853.08    , array([ 0.879121   ,  0.0526124  ,  2.58773e-49,  9.96383    ,  0.0299997  ])
279521  , -1853.08    , array([ 0.879121   ,  0.0526124  ,  2.58773e-49,  9.96383    ,  0.0299997  ])
279522  , -1852.44    , array([ 0.880001   ,  0.0526124  ,  2.58773e-49,  9.96383    ,  0.0299997  ])
279523  , -1851.82    , array([ 0.879121   ,  0.0526651  ,  2.58773e-49,  9.96383    ,  0.0299997  ])
279524  , -1853.08    , array([ 0.879121   ,  0.0526124  ,  2.59032e-49,  9.96383    ,  0.0299997  ])
279525  , -1852.87    , array([ 0.879121   ,  0.0526124  ,  2.58773e-49,  9.9738     ,  0.0299997  ])
279526  , -1854.51    , array([ 0.879121   ,  0.0526124  ,  2.58773e-49,  9.96383    ,  0.0300298  ])
279527  , -1709.67    , array([ 0.881359   ,  0.049102   ,  2.58773e-49,  9.13072    ,  0.0246283  ])
279528  , -1709.67    , array([ 0.881359   ,  0.049102   ,  2.58773e-49,  9.13072    ,  0.0246283  ])
279529  , -1709.21    , array([ 0.88224    ,  0.049102   ,  2.58773e-49,  9.13072    ,  0.0246283  ])
279530  , -1709.15    , array([ 0.881359   ,  0.0491511  ,  2.58773e-49,  9.13072    ,  0.0246283  ])
279531  , -1709.67    , array([ 0.881359   ,  0.049102   ,  2.59032e-49,  9.13072    ,  0.0246283  ])
279532  , -1709.69    , array([ 0.881359   ,  0.049102   ,  2.58773e-49,  9.13986    ,  0.0246283  ])
279533  , -1710.38    , array([ 0.881359   ,  0.049102   ,  2.58773e-49,  9.13072    ,  0.024653   ])
