25042   , -2213.6     , array([ 0.0689314  ,  0.00101089 ,  6.33216e-39,  7.22141e-06])
25043   , -2213.16    , array([ 0.0689314  ,  0.00100397 ,  6.33216e-39,  7.20083e-06])
25044   , -2213.16    , array([ 0.0689314  ,  0.00100397 ,  6.33216e-39,  7.20083e-06])
25045   , -2213.16    , array([ 0.0690004  ,  0.00100397 ,  6.33216e-39,  7.20083e-06])
25046   , -2213.27    , array([ 0.0689314  ,  0.00100498 ,  6.33216e-39,  7.20083e-06])
25047   , -2213.16    , array([ 0.0689314  ,  0.00100397 ,  6.33849e-39,  7.20083e-06])
25048   , -2213.04    , array([ 0.0689314  ,  0.00100397 ,  6.33216e-39,  7.20803e-06])
25049   , -2213       , array([ 0.0689314  ,  0.00100204 ,  6.33216e-39,  7.19709e-06])
25050   , -2213       , array([ 0.0689314  ,  0.00100204 ,  6.33216e-39,  7.19709e-06])
25051   , -2213       , array([ 0.0690004  ,  0.00100204 ,  6.33216e-39,  7.19709e-06])
25052   , -2213.11    , array([ 0.0689314  ,  0.00100305 ,  6.33216e-39,  7.19709e-06])
25053   , -2213       , array([ 0.0689314  ,  0.00100204 ,  6.33849e-39,  7.19709e-06])
25054   , -2212.89    , array([ 0.0689314  ,  0.00100204 ,  6.33216e-39,  7.20429e-06])
25055   , -2213       , array([ 0.0689314  ,  0.00100204 ,  6.33216e-39,  7.19709e-06])
25056   , -2213       , array([ 0.0689314  ,  0.00100204 ,  6.33216e-39,  7.19709e-06])
25057   , -2213       , array([ 0.0690004  ,  0.00100204 ,  6.33216e-39,  7.19709e-06])
25058   , -2213.11    , array([ 0.0689314  ,  0.00100305 ,  6.33216e-39,  7.19709e-06])
25059   , -2213       , array([ 0.0689314  ,  0.00100204 ,  6.33849e-39,  7.19709e-06])
25060   , -2212.89    , array([ 0.0689314  ,  0.00100204 ,  6.33216e-39,  7.20429e-06])
25061   , -2212.85    , array([ 0.0689314  ,  0.00100025 ,  6.33216e-39,  7.1936e-06 ])
25062   , -2212.85    , array([ 0.0689314  ,  0.00100025 ,  6.33216e-39,  7.1936e-06 ])
25063   , -2212.85    , array([ 0.0690004  ,  0.00100025 ,  6.33216e-39,  7.1936e-06 ])
25064   , -2212.97    , array([ 0.0689314  ,  0.00100125 ,  6.33216e-39,  7.1936e-06 ])
25065   , -2212.85    , array([ 0.0689314  ,  0.00100025 ,  6.33849e-39,  7.1936e-06 ])
25066   , -2212.74    , array([ 0.0689314  ,  0.00100025 ,  6.33216e-39,  7.20079e-06])
25067   , -2212.85    , array([ 0.0689314  ,  0.00100025 ,  6.33216e-39,  7.1936e-06 ])
25068   , -2212.85    , array([ 0.0689314  ,  0.00100025 ,  6.33216e-39,  7.1936e-06 ])
25069   , -2212.85    , array([ 0.0690004  ,  0.00100025 ,  6.33216e-39,  7.1936e-06 ])
25070   , -2212.97    , array([ 0.0689314  ,  0.00100125 ,  6.33216e-39,  7.1936e-06 ])
25071   , -2212.85    , array([ 0.0689314  ,  0.00100025 ,  6.33849e-39,  7.1936e-06 ])
25072   , -2212.74    , array([ 0.0689314  ,  0.00100025 ,  6.33216e-39,  7.20079e-06])
25073   , -2212.85    , array([ 0.0689314  ,  0.00100025 ,  6.33216e-39,  7.1936e-06 ])
25074   , -2212.85    , array([ 0.0689314  ,  0.00100025 ,  6.33216e-39,  7.1936e-06 ])
