221456  , -79082.6    , array([ 2.72093    ,  0.00155946 ,  2.50368e-10,  0.00767206 ,  9.13648e-09])
221457  , -79082.6    , array([ 2.72093    ,  0.00155946 ,  2.50368e-10,  0.0076644  ,  9.14562e-09])
221458  , -79082.6    , array([ 2.72093    ,  0.00155946 ,  2.50368e-10,  0.0076644  ,  9.13648e-09])
221459  , -79082.6    , array([ 2.72093    ,  0.00155946 ,  2.50368e-10,  0.0076644  ,  9.13648e-09])
221460  , -79082.6    , array([ 2.72365    ,  0.00155946 ,  2.50368e-10,  0.0076644  ,  9.13648e-09])
221461  , -79082.6    , array([ 2.72093    ,  0.00156102 ,  2.50368e-10,  0.0076644  ,  9.13648e-09])
221462  , -79082.6    , array([ 2.72093    ,  0.00155946 ,  2.50618e-10,  0.0076644  ,  9.13648e-09])
221463  , -79082.6    , array([ 2.72093    ,  0.00155946 ,  2.50368e-10,  0.00767206 ,  9.13648e-09])
221464  , -79082.6    , array([ 2.72093    ,  0.00155946 ,  2.50368e-10,  0.0076644  ,  9.14562e-09])
221465  , -79078.6    , array([ 2.72       ,  0.00124346 ,  2.50368e-10,  0.0076644  ,  1.1465e-08 ])
221466  , -79078.6    , array([ 2.72       ,  0.00124346 ,  2.50368e-10,  0.0076644  ,  1.1465e-08 ])
221467  , -79078.6    , array([ 2.72272    ,  0.00124346 ,  2.50368e-10,  0.0076644  ,  1.1465e-08 ])
221468  , -79078.6    , array([ 2.72       ,  0.0012447  ,  2.50368e-10,  0.0076644  ,  1.1465e-08 ])
221469  , -79078.6    , array([ 2.72       ,  0.00124346 ,  2.50618e-10,  0.0076644  ,  1.1465e-08 ])
221470  , -79078.6    , array([ 2.72       ,  0.00124346 ,  2.50368e-10,  0.00767206 ,  1.1465e-08 ])
221471  , -79078.6    , array([ 2.72       ,  0.00124346 ,  2.50368e-10,  0.0076644  ,  1.14765e-08])
221472  , -79078.6    , array([ 2.72       ,  0.00124346 ,  2.50368e-10,  0.0076644  ,  1.1465e-08 ])
221473  , -79078.6    , array([ 2.72       ,  0.00124346 ,  2.50368e-10,  0.0076644  ,  1.1465e-08 ])
221474  , -79078.6    , array([ 2.72272    ,  0.00124346 ,  2.50368e-10,  0.0076644  ,  1.1465e-08 ])
221475  , -79078.6    , array([ 2.72       ,  0.0012447  ,  2.50368e-10,  0.0076644  ,  1.1465e-08 ])
221476  , -79078.6    , array([ 2.72       ,  0.00124346 ,  2.50618e-10,  0.0076644  ,  1.1465e-08 ])
221477  , -79078.6    , array([ 2.72       ,  0.00124346 ,  2.50368e-10,  0.00767206 ,  1.1465e-08 ])
221478  , -79078.6    , array([ 2.72       ,  0.00124346 ,  2.50368e-10,  0.0076644  ,  1.14765e-08])
221479  , -79078.6    , array([ 2.72       ,  0.00124346 ,  2.50368e-10,  0.0076644  ,  1.1465e-08 ])
221480  , -79078.6    , array([ 2.72       ,  0.00124346 ,  2.50368e-10,  0.0076644  ,  1.1465e-08 ])
221481  , -79078.6    , array([ 2.72272    ,  0.00124346 ,  2.50368e-10,  0.0076644  ,  1.1465e-08 ])
221482  , -79078.6    , array([ 2.72       ,  0.0012447  ,  2.50368e-10,  0.0076644  ,  1.1465e-08 ])
221483  , -79078.6    , array([ 2.72       ,  0.00124346 ,  2.50618e-10,  0.0076644  ,  1.1465e-08 ])
221484  , -79078.6    , array([ 2.72       ,  0.00124346 ,  2.50368e-10,  0.00767206 ,  1.1465e-08 ])
221485  , -79078.6    , array([ 2.72       ,  0.00124346 ,  2.50368e-10,  0.0076644  ,  1.14765e-08])
221486  , -79075.9    , array([ 2.71953    ,  0.00111035 ,  2.50368e-10,  0.0076644  ,  1.28432e-08])
221487  , -79075.9    , array([ 2.71953    ,  0.00111035 ,  2.50368e-10,  0.0076644  ,  1.28432e-08])
221488  , -79075.9    , array([ 2.72225    ,  0.00111035 ,  2.50368e-10,  0.0076644  ,  1.28432e-08])
221489  , -79075.9    , array([ 2.71953    ,  0.00111146 ,  2.50368e-10,  0.0076644  ,  1.28432e-08])
221490  , -79075.9    , array([ 2.71953    ,  0.00111035 ,  2.50618e-10,  0.0076644  ,  1.28432e-08])
221491  , -79075.9    , array([ 2.71953    ,  0.00111035 ,  2.50368e-10,  0.00767206 ,  1.28432e-08])
221492  , -79075.8    , array([ 2.71953    ,  0.00111035 ,  2.50368e-10,  0.0076644  ,  1.28561e-08])
221493  , -79075.9    , array([ 2.71953    ,  0.00111035 ,  2.50368e-10,  0.0076644  ,  1.28432e-08])
221494  , -79075.9    , array([ 2.71953    ,  0.00111035 ,  2.50368e-10,  0.0076644  ,  1.28432e-08])
221495  , -79075.9    , array([ 2.72225    ,  0.00111035 ,  2.50368e-10,  0.0076644  ,  1.28432e-08])
221496  , -79075.9    , array([ 2.71953    ,  0.00111146 ,  2.50368e-10,  0.0076644  ,  1.28432e-08])
221497  , -79075.9    , array([ 2.71953    ,  0.00111035 ,  2.50618e-10,  0.0076644  ,  1.28432e-08])
221498  , -79075.9    , array([ 2.71953    ,  0.00111035 ,  2.50368e-10,  0.00767206 ,  1.28432e-08])
221499  , -79075.8    , array([ 2.71953    ,  0.00111035 ,  2.50368e-10,  0.0076644  ,  1.28561e-08])
221500  , -79075.9    , array([ 2.71953    ,  0.00111035 ,  2.50368e-10,  0.0076644  ,  1.28432e-08])
221501  , -79075.9    , array([ 2.71953    ,  0.00111035 ,  2.50368e-10,  0.0076644  ,  1.28432e-08])
221502  , -79075.9    , array([ 2.72225    ,  0.00111035 ,  2.50368e-10,  0.0076644  ,  1.28432e-08])
221503  , -79075.9    , array([ 2.71953    ,  0.00111146 ,  2.50368e-10,  0.0076644  ,  1.28432e-08])
221504  , -79075.9    , array([ 2.71953    ,  0.00111035 ,  2.50618e-10,  0.0076644  ,  1.28432e-08])
221505  , -79075.9    , array([ 2.71953    ,  0.00111035 ,  2.50368e-10,  0.00767206 ,  1.28432e-08])
221506  , -79075.8    , array([ 2.71953    ,  0.00111035 ,  2.50368e-10,  0.0076644  ,  1.28561e-08])
221507  , -79074.2    , array([ 2.7193     ,  0.00104924 ,  2.50368e-10,  0.0076644  ,  1.35933e-08])
221508  , -79074.2    , array([ 2.7193     ,  0.00104924 ,  2.50368e-10,  0.0076644  ,  1.35933e-08])
221509  , -79074.2    , array([ 2.72202    ,  0.00104924 ,  2.50368e-10,  0.0076644  ,  1.35933e-08])
221510  , -79074.2    , array([ 2.7193     ,  0.00105029 ,  2.50368e-10,  0.0076644  ,  1.35933e-08])
221511  , -79074.2    , array([ 2.7193     ,  0.00104924 ,  2.50618e-10,  0.0076644  ,  1.35933e-08])
221512  , -79074.2    , array([ 2.7193     ,  0.00104924 ,  2.50368e-10,  0.00767206 ,  1.35933e-08])
221513  , -79074.2    , array([ 2.7193     ,  0.00104924 ,  2.50368e-10,  0.0076644  ,  1.36069e-08])
221514  , -79074.2    , array([ 2.7193     ,  0.00104924 ,  2.50368e-10,  0.0076644  ,  1.35933e-08])
221515  , -79074.2    , array([ 2.7193     ,  0.00104924 ,  2.50368e-10,  0.0076644  ,  1.35933e-08])
221516  , -79074.2    , array([ 2.72202    ,  0.00104924 ,  2.50368e-10,  0.0076644  ,  1.35933e-08])
221517  , -79074.2    , array([ 2.7193     ,  0.00105029 ,  2.50368e-10,  0.0076644  ,  1.35933e-08])
221518  , -79074.2    , array([ 2.7193     ,  0.00104924 ,  2.50618e-10,  0.0076644  ,  1.35933e-08])
221519  , -79074.2    , array([ 2.7193     ,  0.00104924 ,  2.50368e-10,  0.00767206 ,  1.35933e-08])
221520  , -79074.2    , array([ 2.7193     ,  0.00104924 ,  2.50368e-10,  0.0076644  ,  1.36069e-08])
221521  , -79074.2    , array([ 2.7193     ,  0.00104924 ,  2.50368e-10,  0.0076644  ,  1.35933e-08])
221522  , -79074.2    , array([ 2.7193     ,  0.00104924 ,  2.50368e-10,  0.0076644  ,  1.35933e-08])
221523  , -79074.2    , array([ 2.72202    ,  0.00104924 ,  2.50368e-10,  0.0076644  ,  1.35933e-08])
221524  , -79074.2    , array([ 2.7193     ,  0.00105029 ,  2.50368e-10,  0.0076644  ,  1.35933e-08])
221525  , -79074.2    , array([ 2.7193     ,  0.00104924 ,  2.50618e-10,  0.0076644  ,  1.35933e-08])
221526  , -79074.2    , array([ 2.7193     ,  0.00104924 ,  2.50368e-10,  0.00767206 ,  1.35933e-08])
221527  , -79074.2    , array([ 2.7193     ,  0.00104924 ,  2.50368e-10,  0.0076644  ,  1.36069e-08])
221528  , -79073.3    , array([ 2.71918    ,  0.00101996 ,  2.50368e-10,  0.0076644  ,  1.39845e-08])
221529  , -79073.3    , array([ 2.71918    ,  0.00101996 ,  2.50368e-10,  0.0076644  ,  1.39845e-08])
221530  , -79073.3    , array([ 2.7219     ,  0.00101996 ,  2.50368e-10,  0.0076644  ,  1.39845e-08])
