169727  , -5822.68    , array([ 65.7089    ,  0.02108    ,  0.00088728 ,  3.68461e-05,  0.0120826  ])
169728  , -5838.22    , array([ 65.7089    ,  0.02108    ,  0.00088728 ,  3.68093e-05,  0.0120947  ])
169736  , -5822.68    , array([ 65.7089    ,  0.02108    ,  0.00088728 ,  3.68093e-05,  0.0120826  ])
169737  , -5822.68    , array([ 65.7089    ,  0.02108    ,  0.00088728 ,  3.68093e-05,  0.0120826  ])
169738  , -5822.69    , array([ 65.7747    ,  0.02108    ,  0.00088728 ,  3.68093e-05,  0.0120826  ])
169739  , -5806.4     , array([ 65.7089    ,  0.0211011  ,  0.00088728 ,  3.68093e-05,  0.0120826  ])
169740  , -5822.68    , array([ 65.7089    ,  0.02108    ,  0.000888168,  3.68093e-05,  0.0120826  ])
169741  , -5822.68    , array([ 65.7089    ,  0.02108    ,  0.00088728 ,  3.68461e-05,  0.0120826  ])
169742  , -5838.22    , array([ 65.7089    ,  0.02108    ,  0.00088728 ,  3.68093e-05,  0.0120947  ])
169750  , -5822.68    , array([ 65.709     ,  0.02108    ,  0.00088728 ,  3.68093e-05,  0.0120826  ])
169751  , -5822.68    , array([ 65.709     ,  0.02108    ,  0.00088728 ,  3.68093e-05,  0.0120826  ])
169752  , -5822.69    , array([ 65.7747    ,  0.02108    ,  0.00088728 ,  3.68093e-05,  0.0120826  ])
169753  , -5806.4     , array([ 65.709     ,  0.0211011  ,  0.00088728 ,  3.68093e-05,  0.0120826  ])
169754  , -5822.68    , array([ 65.709     ,  0.02108    ,  0.000888168,  3.68093e-05,  0.0120826  ])
169755  , -5822.68    , array([ 65.709     ,  0.02108    ,  0.00088728 ,  3.68461e-05,  0.0120826  ])
169756  , -5838.22    , array([ 65.709     ,  0.02108    ,  0.00088728 ,  3.68093e-05,  0.0120947  ])
169764  , -5822.68    , array([ 65.709     ,  0.02108    ,  0.00088728 ,  3.68093e-05,  0.0120826  ])
169765  , -5822.68    , array([ 65.709     ,  0.02108    ,  0.00088728 ,  3.68093e-05,  0.0120826  ])
169766  , -5822.69    , array([ 65.7747    ,  0.02108    ,  0.00088728 ,  3.68093e-05,  0.0120826  ])
169767  , -5806.4     , array([ 65.709     ,  0.0211011  ,  0.00088728 ,  3.68093e-05,  0.0120826  ])
169768  , -5822.68    , array([ 65.709     ,  0.02108    ,  0.000888168,  3.68093e-05,  0.0120826  ])
169769  , -5822.68    , array([ 65.709     ,  0.02108    ,  0.00088728 ,  3.68461e-05,  0.0120826  ])
169770  , -5838.22    , array([ 65.709     ,  0.02108    ,  0.00088728 ,  3.68093e-05,  0.0120947  ])
169771  , -5739.12    , array([ 86.7857    ,  0.0201298  ,  0.00101039 ,  4.17281e-05,  0.0114483  ])
169772  , -5739.12    , array([ 86.7857    ,  0.0201298  ,  0.00101039 ,  4.17281e-05,  0.0114483  ])
169773  , -5739.13    , array([ 86.8725    ,  0.0201298  ,  0.00101039 ,  4.17281e-05,  0.0114483  ])
169774  , -5723.07    , array([ 86.7857    ,  0.0201499  ,  0.00101039 ,  4.17281e-05,  0.0114483  ])
169775  , -5739.12    , array([ 86.7857    ,  0.0201298  ,  0.0010114  ,  4.17281e-05,  0.0114483  ])
169776  , -5739.12    , array([ 86.7857    ,  0.0201298  ,  0.00101039 ,  4.17699e-05,  0.0114483  ])
169777  , -5754.44    , array([ 86.7857    ,  0.0201298  ,  0.00101039 ,  4.17281e-05,  0.0114598  ])
169778  , -5710.96    , array([ 95.3956    ,  0.0198166  ,  0.00105603 ,  4.35461e-05,  0.0112403  ])
169779  , -5710.96    , array([ 95.3956    ,  0.0198166  ,  0.00105603 ,  4.35461e-05,  0.0112403  ])
169780  , -5710.97    , array([ 95.491     ,  0.0198166  ,  0.00105603 ,  4.35461e-05,  0.0112403  ])
169781  , -5694.98    , array([ 95.3956    ,  0.0198364  ,  0.00105603 ,  4.35461e-05,  0.0112403  ])
169782  , -5710.96    , array([ 95.3956    ,  0.0198166  ,  0.00105708 ,  4.35461e-05,  0.0112403  ])
169783  , -5710.96    , array([ 95.3956    ,  0.0198166  ,  0.00105603 ,  4.35897e-05,  0.0112403  ])
169784  , -5726.21    , array([ 95.3956    ,  0.0198166  ,  0.00105603 ,  4.35461e-05,  0.0112516  ])
169785  , -5701.42    , array([ 98.5134    ,  0.0197112  ,  0.00107201 ,  4.41821e-05,  0.0111705  ])
169786  , -5701.42    , array([ 98.5134    ,  0.0197112  ,  0.00107201 ,  4.41821e-05,  0.0111705  ])
169787  , -5701.42    , array([ 98.612     ,  0.0197112  ,  0.00107201 ,  4.41821e-05,  0.0111705  ])
169788  , -5685.46    , array([ 98.5134    ,  0.0197309  ,  0.00107201 ,  4.41821e-05,  0.0111705  ])
169789  , -5701.42    , array([ 98.5134    ,  0.0197112  ,  0.00107308 ,  4.41821e-05,  0.0111705  ])
169790  , -5701.42    , array([ 98.5134    ,  0.0197112  ,  0.00107201 ,  4.42263e-05,  0.0111705  ])
169791  , -5716.64    , array([ 98.5134    ,  0.0197112  ,  0.00107201 ,  4.41821e-05,  0.0111816  ])
169792  , -5698.18    , array([ 99.5966    ,  0.0196755  ,  0.0010775  ,  4.44005e-05,  0.0111468  ])
169793  , -5698.18    , array([ 99.5966    ,  0.0196755  ,  0.0010775  ,  4.44005e-05,  0.0111468  ])
169794  , -5698.18    , array([ 99.6962    ,  0.0196755  ,  0.0010775  ,  4.44005e-05,  0.0111468  ])
169795  , -5682.23    , array([ 99.5966    ,  0.0196952  ,  0.0010775  ,  4.44005e-05,  0.0111468  ])
169796  , -5698.18    , array([ 99.5966    ,  0.0196755  ,  0.00107858 ,  4.44005e-05,  0.0111468  ])
169797  , -5698.18    , array([ 99.5966    ,  0.0196755  ,  0.0010775  ,  4.44449e-05,  0.0111468  ])
169798  , -5713.39    , array([ 99.5966    ,  0.0196755  ,  0.0010775  ,  4.44005e-05,  0.011158   ])
169799  , -5697.07    , array([ 99.9675    ,  0.0196634  ,  0.00107937 ,  4.44749e-05,  0.0111388  ])
169800  , -5697.07    , array([ 99.9675    ,  0.0196634  ,  0.00107937 ,  4.44749e-05,  0.0111388  ])
169802  , -5681.13    , array([ 99.9675    ,  0.0196831  ,  0.00107937 ,  4.44749e-05,  0.0111388  ])
169803  , -5697.07    , array([ 99.9675    ,  0.0196634  ,  0.00108045 ,  4.44749e-05,  0.0111388  ])
169804  , -5697.07    , array([ 99.9675    ,  0.0196634  ,  0.00107937 ,  4.45194e-05,  0.0111388  ])
169805  , -5712.28    , array([ 99.9675    ,  0.0196634  ,  0.00107937 ,  4.44749e-05,  0.0111499  ])
169806  , -5698.18    , array([ 99.5966    ,  0.0196755  ,  0.0010775  ,  4.44005e-05,  0.0111468  ])
169807  , -5698.18    , array([ 99.5966    ,  0.0196755  ,  0.0010775  ,  4.44005e-05,  0.0111468  ])
169808  , -5698.18    , array([ 99.6962    ,  0.0196755  ,  0.0010775  ,  4.44005e-05,  0.0111468  ])
169809  , -5682.23    , array([ 99.5966    ,  0.0196952  ,  0.0010775  ,  4.44005e-05,  0.0111468  ])
169810  , -5698.18    , array([ 99.5966    ,  0.0196755  ,  0.00107858 ,  4.44005e-05,  0.0111468  ])
169811  , -5698.18    , array([ 99.5966    ,  0.0196755  ,  0.0010775  ,  4.44449e-05,  0.0111468  ])
169812  , -5713.39    , array([ 99.5966    ,  0.0196755  ,  0.0010775  ,  4.44005e-05,  0.011158   ])
169813  , -5697.44    , array([ 99.8437    ,  0.0196674  ,  0.00107874 ,  4.44501e-05,  0.0111415  ])
169814  , -5697.44    , array([ 99.8437    ,  0.0196674  ,  0.00107874 ,  4.44501e-05,  0.0111415  ])
169815  , -5697.44    , array([ 99.9436    ,  0.0196674  ,  0.00107874 ,  4.44501e-05,  0.0111415  ])
169816  , -5681.5     , array([ 99.8437    ,  0.0196871  ,  0.00107874 ,  4.44501e-05,  0.0111415  ])
169817  , -5697.44    , array([ 99.8437    ,  0.0196674  ,  0.00107982 ,  4.44501e-05,  0.0111415  ])
169818  , -5697.44    , array([ 99.8437    ,  0.0196674  ,  0.00107874 ,  4.44946e-05,  0.0111415  ])
169819  , -5712.65    , array([ 99.8437    ,  0.0196674  ,  0.00107874 ,  4.44501e-05,  0.0111526  ])
169820  , -5697.2     , array([ 99.9262    ,  0.0196647  ,  0.00107916 ,  4.44667e-05,  0.0111397  ])
169821  , -5697.2     , array([ 99.9262    ,  0.0196647  ,  0.00107916 ,  4.44667e-05,  0.0111397  ])
