4150    , -2336.77    , array([ 0.0254263  ,  0.00244768 ,  3.37063e-09,  3.54092e-09])
4151    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.374e-09  ,  3.54092e-09])
4152    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54446e-09])
4153    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4154    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4155    , -2336.77    , array([ 0.0254517  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4156    , -2336.77    , array([ 0.0254263  ,  0.00244768 ,  3.37063e-09,  3.54092e-09])
4157    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.374e-09  ,  3.54092e-09])
4158    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54446e-09])
4159    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4160    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4161    , -2336.77    , array([ 0.0254517  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4162    , -2336.77    , array([ 0.0254263  ,  0.00244768 ,  3.37063e-09,  3.54092e-09])
4163    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.374e-09  ,  3.54092e-09])
4164    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54446e-09])
4165    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4166    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4167    , -2336.77    , array([ 0.0254517  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4168    , -2336.77    , array([ 0.0254263  ,  0.00244768 ,  3.37063e-09,  3.54092e-09])
4169    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.374e-09  ,  3.54092e-09])
4170    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54446e-09])
4171    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4172    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4173    , -2336.77    , array([ 0.0254517  ,  0.00244523 ,  3.37063e-09,  3.54092e-09])
4174    , -2336.77    , array([ 0.0254263  ,  0.00244768 ,  3.37063e-09,  3.54092e-09])
4175    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.374e-09  ,  3.54092e-09])
4176    , -2336.77    , array([ 0.0254263  ,  0.00244523 ,  3.37063e-09,  3.54446e-09])
4177    , -2336.79    , array([ 0.0297337  ,  0.0046397  ,  2.89535e-09,  1.87055e-09])
4178    , -2336.79    , array([ 0.0297337  ,  0.0046397  ,  2.89535e-09,  1.87055e-09])
4179    , -2336.79    , array([ 0.0297634  ,  0.0046397  ,  2.89535e-09,  1.87055e-09])
4180    , -2336.79    , array([ 0.0297337  ,  0.00464434 ,  2.89535e-09,  1.87055e-09])
4181    , -2336.79    , array([ 0.0297337  ,  0.0046397  ,  2.89824e-09,  1.87055e-09])
4182    , -2336.79    , array([ 0.0297337  ,  0.0046397  ,  2.89535e-09,  1.87242e-09])
4183    , -2336.79    , array([ 0.0296783  ,  0.00460445 ,  2.90059e-09,  1.88482e-09])
4184    , -2336.79    , array([ 0.0296783  ,  0.00460445 ,  2.90059e-09,  1.88482e-09])
4185    , -2336.79    , array([ 0.029708   ,  0.00460445 ,  2.90059e-09,  1.88482e-09])
4186    , -2336.79    , array([ 0.0296783  ,  0.00460906 ,  2.90059e-09,  1.88482e-09])
4187    , -2336.79    , array([ 0.0296783  ,  0.00460445 ,  2.90349e-09,  1.88482e-09])
4188    , -2336.79    , array([ 0.0296783  ,  0.00460445 ,  2.90059e-09,  1.8867e-09 ])
4189    , -2336.79    , array([ 0.029568   ,  0.00453477 ,  2.91111e-09,  1.91367e-09])
4190    , -2336.79    , array([ 0.029568   ,  0.00453477 ,  2.91111e-09,  1.91367e-09])
4191    , -2336.79    , array([ 0.0295975  ,  0.00453477 ,  2.91111e-09,  1.91367e-09])
4192    , -2336.79    , array([ 0.029568   ,  0.00453931 ,  2.91111e-09,  1.91367e-09])
4193    , -2336.79    , array([ 0.029568   ,  0.00453477 ,  2.91402e-09,  1.91367e-09])
4194    , -2336.79    , array([ 0.029568   ,  0.00453477 ,  2.91111e-09,  1.91559e-09])
4195    , -2336.79    , array([ 0.0293484  ,  0.00439854 ,  2.93225e-09,  1.97272e-09])
4196    , -2336.79    , array([ 0.0293484  ,  0.00439854 ,  2.93225e-09,  1.97272e-09])
4197    , -2336.79    , array([ 0.0293778  ,  0.00439854 ,  2.93225e-09,  1.97272e-09])
4198    , -2336.79    , array([ 0.0293484  ,  0.00440294 ,  2.93225e-09,  1.97272e-09])
4199    , -2336.79    , array([ 0.0293484  ,  0.00439854 ,  2.93519e-09,  1.97272e-09])
4200    , -2336.79    , array([ 0.0293484  ,  0.00439854 ,  2.93225e-09,  1.97469e-09])
4201    , -2336.79    , array([ 0.0289142  ,  0.00413825 ,  2.97501e-09,  2.09633e-09])
4202    , -2336.79    , array([ 0.0289142  ,  0.00413825 ,  2.97501e-09,  2.09633e-09])
4203    , -2336.79    , array([ 0.0289432  ,  0.00413825 ,  2.97501e-09,  2.09633e-09])
4204    , -2336.79    , array([ 0.0289142  ,  0.00414239 ,  2.97501e-09,  2.09633e-09])
4205    , -2336.79    , array([ 0.0289142  ,  0.00413825 ,  2.97798e-09,  2.09633e-09])
4206    , -2336.79    , array([ 0.0289142  ,  0.00413825 ,  2.97501e-09,  2.09843e-09])
4207    , -2336.79    , array([ 0.0280651  ,  0.00366296 ,  3.0624e-09 ,  2.36728e-09])
4208    , -2336.79    , array([ 0.0280651  ,  0.00366296 ,  3.0624e-09 ,  2.36728e-09])
4209    , -2336.79    , array([ 0.0280931  ,  0.00366296 ,  3.0624e-09 ,  2.36728e-09])
4210    , -2336.79    , array([ 0.0280651  ,  0.00366662 ,  3.0624e-09 ,  2.36728e-09])
4211    , -2336.79    , array([ 0.0280651  ,  0.00366296 ,  3.06546e-09,  2.36728e-09])
4212    , -2336.79    , array([ 0.0280651  ,  0.00366296 ,  3.0624e-09 ,  2.36965e-09])
4213    , -2336.78    , array([ 0.0264408  ,  0.00286987 ,  3.24495e-09,  3.01877e-09])
4214    , -2336.78    , array([ 0.0264408  ,  0.00286987 ,  3.24495e-09,  3.01877e-09])
4215    , -2336.78    , array([ 0.0264672  ,  0.00286987 ,  3.24495e-09,  3.01877e-09])
4216    , -2336.78    , array([ 0.0264408  ,  0.00287274 ,  3.24495e-09,  3.01877e-09])
4217    , -2336.78    , array([ 0.0264408  ,  0.00286987 ,  3.2482e-09 ,  3.01877e-09])
4218    , -2336.78    , array([ 0.0264408  ,  0.00286987 ,  3.24495e-09,  3.02179e-09])
4219    , -2336.75    , array([ 0.0234688  ,  0.00176167 ,  3.64335e-09,  4.90895e-09])
4220    , -2336.75    , array([ 0.0234688  ,  0.00176167 ,  3.64335e-09,  4.90895e-09])
4221    , -2336.75    , array([ 0.0234922  ,  0.00176167 ,  3.64335e-09,  4.90895e-09])
4222    , -2336.75    , array([ 0.0234688  ,  0.00176343 ,  3.64335e-09,  4.90895e-09])
