8879    , -394.663    , array([ 4.01676    ,  0.124451   ,  2.25227e-11,  0.289803   ])
8880    , -394.678    , array([ 4.01676    ,  0.124326   ,  2.25452e-11,  0.289803   ])
8881    , -394.722    , array([ 4.01676    ,  0.124326   ,  2.25227e-11,  0.290093   ])
8882    , -394.474    , array([ 4.01676    ,  0.11117    ,  2.25227e-11,  0.274308   ])
8883    , -394.474    , array([ 4.01676    ,  0.11117    ,  2.25227e-11,  0.274308   ])
8884    , -394.474    , array([ 4.02078    ,  0.11117    ,  2.25227e-11,  0.274308   ])
8885    , -394.44     , array([ 4.01676    ,  0.111281   ,  2.25227e-11,  0.274308   ])
8886    , -394.474    , array([ 4.01676    ,  0.11117    ,  2.25452e-11,  0.274308   ])
8887    , -394.551    , array([ 4.01676    ,  0.11117    ,  2.25227e-11,  0.274582   ])
8888    , -394.315    , array([ 4.01676    ,  0.105227   ,  2.25227e-11,  0.266168   ])
8889    , -394.315    , array([ 4.01676    ,  0.105227   ,  2.25227e-11,  0.266168   ])
8890    , -394.315    , array([ 4.02078    ,  0.105227   ,  2.25227e-11,  0.266168   ])
8891    , -394.278    , array([ 4.01676    ,  0.105332   ,  2.25227e-11,  0.266168   ])
8892    , -394.315    , array([ 4.01676    ,  0.105227   ,  2.25452e-11,  0.266168   ])
8893    , -394.392    , array([ 4.01676    ,  0.105227   ,  2.25227e-11,  0.266435   ])
8894    , -394.162    , array([ 4.01676    ,  0.10157    ,  2.25227e-11,  0.26072    ])
8895    , -394.162    , array([ 4.01676    ,  0.10157    ,  2.25227e-11,  0.26072    ])
8896    , -394.162    , array([ 4.02078    ,  0.10157    ,  2.25227e-11,  0.26072    ])
8897    , -394.129    , array([ 4.01676    ,  0.101672   ,  2.25227e-11,  0.26072    ])
8898    , -394.162    , array([ 4.01676    ,  0.10157    ,  2.25452e-11,  0.26072    ])
8899    , -394.232    , array([ 4.01676    ,  0.10157    ,  2.25227e-11,  0.260981   ])
8900    , -393.829    , array([ 4.01676    ,  0.088172   ,  2.25227e-11,  0.24002    ])
8901    , -393.829    , array([ 4.01676    ,  0.088172   ,  2.25227e-11,  0.24002    ])
8902    , -393.829    , array([ 4.02078    ,  0.088172   ,  2.25227e-11,  0.24002    ])
8903    , -393.796    , array([ 4.01676    ,  0.0882602  ,  2.25227e-11,  0.24002    ])
8904    , -393.829    , array([ 4.01676    ,  0.088172   ,  2.25452e-11,  0.24002    ])
8905    , -393.895    , array([ 4.01676    ,  0.088172   ,  2.25227e-11,  0.24026    ])
8906    , -393.673    , array([ 4.01676    ,  0.0774963  ,  2.25227e-11,  0.222015   ])
8907    , -393.673    , array([ 4.01676    ,  0.0774963  ,  2.25227e-11,  0.222015   ])
8908    , -393.673    , array([ 4.02078    ,  0.0774963  ,  2.25227e-11,  0.222015   ])
8909    , -393.634    , array([ 4.01676    ,  0.0775738  ,  2.25227e-11,  0.222015   ])
8910    , -393.673    , array([ 4.01676    ,  0.0774963  ,  2.25452e-11,  0.222015   ])
8911    , -393.748    , array([ 4.01676    ,  0.0774963  ,  2.25227e-11,  0.222238   ])
8912    , -393.595    , array([ 4.01676    ,  0.0748032  ,  2.25227e-11,  0.217056   ])
8913    , -393.595    , array([ 4.01676    ,  0.0748032  ,  2.25227e-11,  0.217056   ])
8914    , -393.595    , array([ 4.02078    ,  0.0748032  ,  2.25227e-11,  0.217056   ])
8915    , -393.559    , array([ 4.01676    ,  0.074878   ,  2.25227e-11,  0.217056   ])
8916    , -393.595    , array([ 4.01676    ,  0.0748032  ,  2.25452e-11,  0.217056   ])
8917    , -393.664    , array([ 4.01676    ,  0.0748032  ,  2.25227e-11,  0.217273   ])
8918    , -393.451    , array([ 4.01676    ,  0.0649346  ,  2.25226e-11,  0.1983     ])
8919    , -393.451    , array([ 4.01676    ,  0.0649346  ,  2.25226e-11,  0.1983     ])
8920    , -393.451    , array([ 4.02078    ,  0.0649346  ,  2.25226e-11,  0.1983     ])
8921    , -393.413    , array([ 4.01676    ,  0.0649996  ,  2.25226e-11,  0.1983     ])
8922    , -393.451    , array([ 4.01676    ,  0.0649346  ,  2.25452e-11,  0.1983     ])
8923    , -393.522    , array([ 4.01676    ,  0.0649346  ,  2.25226e-11,  0.198499   ])
8924    , -393.423    , array([ 4.01676    ,  0.0615706  ,  2.25226e-11,  0.191567   ])
8925    , -393.423    , array([ 4.01676    ,  0.0615706  ,  2.25226e-11,  0.191567   ])
8926    , -393.423    , array([ 4.02078    ,  0.0615706  ,  2.25226e-11,  0.191567   ])
8927    , -393.382    , array([ 4.01676    ,  0.0616322  ,  2.25226e-11,  0.191567   ])
8928    , -393.423    , array([ 4.01676    ,  0.0615706  ,  2.25452e-11,  0.191567   ])
8929    , -393.498    , array([ 4.01676    ,  0.0615706  ,  2.25226e-11,  0.191759   ])
8930    , -393.819    , array([ 4.01676    ,  0.0497692  ,  2.25226e-11,  0.166846   ])
8931    , -393.819    , array([ 4.01676    ,  0.0497692  ,  2.25226e-11,  0.166846   ])
8932    , -393.819    , array([ 4.02078    ,  0.0497692  ,  2.25226e-11,  0.166846   ])
8933    , -393.72     , array([ 4.01676    ,  0.049819   ,  2.25226e-11,  0.166846   ])
8934    , -393.819    , array([ 4.01676    ,  0.0497692  ,  2.25452e-11,  0.166846   ])
8935    , -393.979    , array([ 4.01676    ,  0.0497692  ,  2.25226e-11,  0.167012   ])
8936    , -393.425    , array([ 4.01676    ,  0.0591623  ,  2.25226e-11,  0.186668   ])
8937    , -393.425    , array([ 4.01676    ,  0.0591623  ,  2.25226e-11,  0.186668   ])
8938    , -393.425    , array([ 4.02078    ,  0.0591623  ,  2.25226e-11,  0.186668   ])
8939    , -393.379    , array([ 4.01676    ,  0.0592215  ,  2.25226e-11,  0.186668   ])
8940    , -393.425    , array([ 4.01676    ,  0.0591623  ,  2.25452e-11,  0.186668   ])
8941    , -393.508    , array([ 4.01676    ,  0.0591623  ,  2.25226e-11,  0.186855   ])
8942    , -393.421    , array([ 4.01676    ,  0.061052   ,  2.25226e-11,  0.190518   ])
8943    , -393.421    , array([ 4.01676    ,  0.061052   ,  2.25226e-11,  0.190518   ])
8944    , -393.421    , array([ 4.02078    ,  0.061052   ,  2.25226e-11,  0.190518   ])
8945    , -393.38     , array([ 4.01676    ,  0.0611131  ,  2.25226e-11,  0.190518   ])
8946    , -393.421    , array([ 4.01676    ,  0.061052   ,  2.25452e-11,  0.190518   ])
