254093  , -53923.1    , array([ 0.00421867 ,  0.2291     ,  1.25601e-06,  6.12275e-38,  0.000392264])
254094  , -53922.1    , array([ 0.00421867 ,  0.2291     ,  1.25601e-06,  6.11663e-38,  0.000392656])
254095  , -53919.4    , array([ 0.00421986 ,  0.228662   ,  1.25601e-06,  6.11663e-38,  0.000392984])
254096  , -53919.4    , array([ 0.00421986 ,  0.228662   ,  1.25601e-06,  6.11663e-38,  0.000392984])
254097  , -53919.3    , array([ 0.00422408 ,  0.228662   ,  1.25601e-06,  6.11663e-38,  0.000392984])
254098  , -53920.4    , array([ 0.00421986 ,  0.22889    ,  1.25601e-06,  6.11663e-38,  0.000392984])
254099  , -53919.4    , array([ 0.00421986 ,  0.228662   ,  1.25727e-06,  6.11663e-38,  0.000392984])
254100  , -53919.4    , array([ 0.00421986 ,  0.228662   ,  1.25601e-06,  6.12275e-38,  0.000392984])
254101  , -53918.4    , array([ 0.00421986 ,  0.228662   ,  1.25601e-06,  6.11663e-38,  0.000393377])
254109  , -53919.2    , array([ 0.00421992 ,  0.228638   ,  1.25601e-06,  6.11663e-38,  0.000393022])
254110  , -53919.2    , array([ 0.00421992 ,  0.228638   ,  1.25601e-06,  6.11663e-38,  0.000393022])
254111  , -53919.1    , array([ 0.00422414 ,  0.228638   ,  1.25601e-06,  6.11663e-38,  0.000393022])
254112  , -53920.2    , array([ 0.00421992 ,  0.228867   ,  1.25601e-06,  6.11663e-38,  0.000393022])
254113  , -53919.2    , array([ 0.00421992 ,  0.228638   ,  1.25727e-06,  6.11663e-38,  0.000393022])
254114  , -53919.2    , array([ 0.00421992 ,  0.228638   ,  1.25601e-06,  6.12275e-38,  0.000393022])
254115  , -53918.2    , array([ 0.00421992 ,  0.228638   ,  1.25601e-06,  6.11663e-38,  0.000393416])
254116  , -53918.3    , array([ 0.00422021 ,  0.228531   ,  1.25601e-06,  6.11663e-38,  0.0003932  ])
254117  , -53918.3    , array([ 0.00422021 ,  0.228531   ,  1.25601e-06,  6.11663e-38,  0.0003932  ])
254118  , -53918.2    , array([ 0.00422443 ,  0.228531   ,  1.25601e-06,  6.11663e-38,  0.0003932  ])
254119  , -53919.3    , array([ 0.00422021 ,  0.228759   ,  1.25601e-06,  6.11663e-38,  0.0003932  ])
254120  , -53918.3    , array([ 0.00422021 ,  0.228531   ,  1.25727e-06,  6.11663e-38,  0.0003932  ])
254121  , -53918.3    , array([ 0.00422021 ,  0.228531   ,  1.25601e-06,  6.12275e-38,  0.0003932  ])
254122  , -53917.3    , array([ 0.00422021 ,  0.228531   ,  1.25601e-06,  6.11663e-38,  0.000393593])
254123  , -83492.3    , array([ 0.0063885  ,  0.0136449  ,  1.25601e-06,  6.11663e-38,  0.00584667 ])
254124  , -83492.3    , array([ 0.0063885  ,  0.0136449  ,  1.25601e-06,  6.11663e-38,  0.00584667 ])
254125  , -83417.2    , array([ 0.00639489 ,  0.0136449  ,  1.25601e-06,  6.11663e-38,  0.00584667 ])
254126  , -83505.2    , array([ 0.0063885  ,  0.0136586  ,  1.25601e-06,  6.11663e-38,  0.00584667 ])
254127  , -83492.3    , array([ 0.0063885  ,  0.0136449  ,  1.25727e-06,  6.11663e-38,  0.00584667 ])
254128  , -83492.3    , array([ 0.0063885  ,  0.0136449  ,  1.25601e-06,  6.12275e-38,  0.00584667 ])
254129  , -83551.6    , array([ 0.0063885  ,  0.0136449  ,  1.25601e-06,  6.11663e-38,  0.00585252 ])
254130  , -54029.9    , array([ 0.00445431 ,  0.158334   ,  1.25601e-06,  6.11663e-38,  0.000558797])
254131  , -54029.9    , array([ 0.00445431 ,  0.158334   ,  1.25601e-06,  6.11663e-38,  0.000558797])
254132  , -54022.1    , array([ 0.00445876 ,  0.158334   ,  1.25601e-06,  6.11663e-38,  0.000558797])
254133  , -54031.7    , array([ 0.00445431 ,  0.158493   ,  1.25601e-06,  6.11663e-38,  0.000558797])
254134  , -54029.9    , array([ 0.00445431 ,  0.158334   ,  1.25727e-06,  6.11663e-38,  0.000558797])
254135  , -54029.9    , array([ 0.00445431 ,  0.158334   ,  1.25601e-06,  6.12275e-38,  0.000558797])
254136  , -54035.8    , array([ 0.00445431 ,  0.158334   ,  1.25601e-06,  6.11663e-38,  0.000559356])
254137  , -53760.4    , array([ 0.00432089 ,  0.194692   ,  1.25601e-06,  6.11663e-38,  0.000458428])
254138  , -53760.4    , array([ 0.00432089 ,  0.194692   ,  1.25601e-06,  6.11663e-38,  0.000458428])
254139  , -53757.2    , array([ 0.00432521 ,  0.194692   ,  1.25601e-06,  6.11663e-38,  0.000458428])
254140  , -53761.7    , array([ 0.00432089 ,  0.194887   ,  1.25601e-06,  6.11663e-38,  0.000458428])
254141  , -53760.4    , array([ 0.00432089 ,  0.194692   ,  1.25727e-06,  6.11663e-38,  0.000458428])
254142  , -53760.4    , array([ 0.00432089 ,  0.194692   ,  1.25601e-06,  6.12275e-38,  0.000458428])
254143  , -53762.3    , array([ 0.00432089 ,  0.194692   ,  1.25601e-06,  6.11663e-38,  0.000458886])
254144  , -53306      , array([ 0.00369603 ,  0.11634    ,  1.25601e-06,  6.11663e-38,  0.000406854])
