251848  , -3459.13    , array([ 1.78093    ,  0.00100053 ,  2.57041e-71,  1.53236e-46,  0.000275436])
251849  , -3459.13    , array([ 1.78271    ,  0.00100053 ,  2.57041e-71,  1.53236e-46,  0.000275436])
251850  , -3465.99    , array([ 1.78093    ,  0.00100154 ,  2.57041e-71,  1.53236e-46,  0.000275436])
251851  , -3459.13    , array([ 1.78093    ,  0.00100053 ,  2.57299e-71,  1.53236e-46,  0.000275436])
251852  , -3459.13    , array([ 1.78093    ,  0.00100053 ,  2.57041e-71,  1.53389e-46,  0.000275436])
251853  , -3452.27    , array([ 1.78093    ,  0.00100053 ,  2.57041e-71,  1.53236e-46,  0.000275712])
251857  , -3465.59    , array([ 1.78024    ,  0.00100088 ,  2.57041e-71,  1.53236e-46,  0.000275271])
251861  , -3459.13    , array([ 1.78093    ,  0.00100053 ,  2.57041e-71,  1.53236e-46,  0.000275436])
251862  , -3459.13    , array([ 1.78093    ,  0.00100053 ,  2.57041e-71,  1.53236e-46,  0.000275436])
251863  , -3459.13    , array([ 1.78271    ,  0.00100053 ,  2.57041e-71,  1.53236e-46,  0.000275436])
251864  , -3465.99    , array([ 1.78093    ,  0.00100154 ,  2.57041e-71,  1.53236e-46,  0.000275436])
251865  , -3459.13    , array([ 1.78093    ,  0.00100053 ,  2.57299e-71,  1.53236e-46,  0.000275436])
251866  , -3459.13    , array([ 1.78093    ,  0.00100053 ,  2.57041e-71,  1.53389e-46,  0.000275436])
251867  , -3452.27    , array([ 1.78093    ,  0.00100053 ,  2.57041e-71,  1.53236e-46,  0.000275712])
251868  , -3458.86    , array([ 1.78048    ,  0.0010001  ,  2.57041e-71,  1.53236e-46,  0.000275327])
251869  , -3458.86    , array([ 1.78048    ,  0.0010001  ,  2.57041e-71,  1.53236e-46,  0.000275327])
251870  , -3458.87    , array([ 1.78226    ,  0.0010001  ,  2.57041e-71,  1.53236e-46,  0.000275327])
251871  , -3465.73    , array([ 1.78048    ,  0.0010011  ,  2.57041e-71,  1.53236e-46,  0.000275327])
251872  , -3458.86    , array([ 1.78048    ,  0.0010001  ,  2.57299e-71,  1.53236e-46,  0.000275327])
251873  , -3458.86    , array([ 1.78048    ,  0.0010001  ,  2.57041e-71,  1.53389e-46,  0.000275327])
251874  , -3452.01    , array([ 1.78048    ,  0.0010001  ,  2.57041e-71,  1.53236e-46,  0.000275603])
251878  , -3465.63    , array([ 1.78032    ,  0.00100095 ,  2.57041e-71,  1.53236e-46,  0.000275291])
251882  , -3458.86    , array([ 1.78048    ,  0.0010001  ,  2.57041e-71,  1.53236e-46,  0.000275327])
251883  , -3458.86    , array([ 1.78048    ,  0.0010001  ,  2.57041e-71,  1.53236e-46,  0.000275327])
251884  , -3458.87    , array([ 1.78226    ,  0.0010001  ,  2.57041e-71,  1.53236e-46,  0.000275327])
251885  , -3465.73    , array([ 1.78048    ,  0.0010011  ,  2.57041e-71,  1.53236e-46,  0.000275327])
251886  , -3458.86    , array([ 1.78048    ,  0.0010001  ,  2.57299e-71,  1.53236e-46,  0.000275327])
251887  , -3458.86    , array([ 1.78048    ,  0.0010001  ,  2.57041e-71,  1.53389e-46,  0.000275327])
251888  , -3452.01    , array([ 1.78048    ,  0.0010001  ,  2.57041e-71,  1.53236e-46,  0.000275603])
251889  , -3458.86    , array([ 1.78048    ,  0.0010001  ,  2.57041e-71,  1.53236e-46,  0.000275327])
251890  , -3458.86    , array([ 1.78048    ,  0.0010001  ,  2.57041e-71,  1.53236e-46,  0.000275327])
251891  , -3458.87    , array([ 1.78226    ,  0.0010001  ,  2.57041e-71,  1.53236e-46,  0.000275327])
251892  , -3465.73    , array([ 1.78048    ,  0.0010011  ,  2.57041e-71,  1.53236e-46,  0.000275327])
251893  , -3458.86    , array([ 1.78048    ,  0.0010001  ,  2.57299e-71,  1.53236e-46,  0.000275327])
251894  , -3458.86    , array([ 1.78048    ,  0.0010001  ,  2.57041e-71,  1.53389e-46,  0.000275327])
251895  , -3452.01    , array([ 1.78048    ,  0.0010001  ,  2.57041e-71,  1.53236e-46,  0.000275603])
251896  , -3458.82    , array([ 1.7804     ,  0.00100003 ,  2.57041e-71,  1.53236e-46,  0.000275309])
251897  , -3458.82    , array([ 1.7804     ,  0.00100003 ,  2.57041e-71,  1.53236e-46,  0.000275309])
251898  , -3458.82    , array([ 1.78218    ,  0.00100003 ,  2.57041e-71,  1.53236e-46,  0.000275309])
251899  , -3465.68    , array([ 1.7804     ,  0.00100103 ,  2.57041e-71,  1.53236e-46,  0.000275309])
251900  , -3458.82    , array([ 1.7804     ,  0.00100003 ,  2.57299e-71,  1.53236e-46,  0.000275309])
251901  , -3458.82    , array([ 1.7804     ,  0.00100003 ,  2.57041e-71,  1.53389e-46,  0.000275309])
251902  , -3451.96    , array([ 1.7804     ,  0.00100003 ,  2.57041e-71,  1.53236e-46,  0.000275584])
251906  , -3465.65    , array([ 1.78035    ,  0.00100098 ,  2.57041e-71,  1.53236e-46,  0.000275297])
251910  , -3458.82    , array([ 1.7804     ,  0.00100003 ,  2.57041e-71,  1.53236e-46,  0.000275309])
251911  , -3458.82    , array([ 1.7804     ,  0.00100003 ,  2.57041e-71,  1.53236e-46,  0.000275309])
251912  , -3458.82    , array([ 1.78218    ,  0.00100003 ,  2.57041e-71,  1.53236e-46,  0.000275309])
251913  , -3465.68    , array([ 1.7804     ,  0.00100103 ,  2.57041e-71,  1.53236e-46,  0.000275309])
251914  , -3458.82    , array([ 1.7804     ,  0.00100003 ,  2.57299e-71,  1.53236e-46,  0.000275309])
251915  , -3458.82    , array([ 1.7804     ,  0.00100003 ,  2.57041e-71,  1.53389e-46,  0.000275309])
251916  , -3451.96    , array([ 1.7804     ,  0.00100003 ,  2.57041e-71,  1.53236e-46,  0.000275584])
251917  , -3458.82    , array([ 1.7804     ,  0.00100003 ,  2.57041e-71,  1.53236e-46,  0.000275309])
251918  , -3458.82    , array([ 1.7804     ,  0.00100003 ,  2.57041e-71,  1.53236e-46,  0.000275309])
251919  , -3458.82    , array([ 1.78218    ,  0.00100003 ,  2.57041e-71,  1.53236e-46,  0.000275309])
251920  , -3465.68    , array([ 1.7804     ,  0.00100103 ,  2.57041e-71,  1.53236e-46,  0.000275309])
251921  , -3458.82    , array([ 1.7804     ,  0.00100003 ,  2.57299e-71,  1.53236e-46,  0.000275309])
