1938    , -2336.79    , array([ 0.00612744 ,  0.00626455 ,  0.0169383  ,  0.0963541  ])
1939    , -2336.79    , array([ 0.00612744 ,  0.00626455 ,  0.0169383  ,  0.0963541  ])
1940    , -2336.79    , array([ 0.00613357 ,  0.00626455 ,  0.0169383  ,  0.0963541  ])
1941    , -2336.79    , array([ 0.00612744 ,  0.00627081 ,  0.0169383  ,  0.0963541  ])
1942    , -2336.79    , array([ 0.00612744 ,  0.00626455 ,  0.0169552  ,  0.0963541  ])
1943    , -2336.79    , array([ 0.00612744 ,  0.00626455 ,  0.0169383  ,  0.0964505  ])
1944    , -470.993    , array([ 0.00806444 ,  0.0715765  ,  0.0130864  ,  0.0549861  ])
1945    , -470.993    , array([ 0.00806444 ,  0.0715765  ,  0.0130864  ,  0.0549861  ])
1946    , -472.266    , array([ 0.00807251 ,  0.0715765  ,  0.0130864  ,  0.0549861  ])
1947    , -470.71     , array([ 0.00806444 ,  0.0716481  ,  0.0130864  ,  0.0549861  ])
1948    , -469.746    , array([ 0.00806444 ,  0.0715765  ,  0.0130995  ,  0.0549861  ])
1949    , -470.466    , array([ 0.00806444 ,  0.0715765  ,  0.0130864  ,  0.0550411  ])
1950    , -463.945    , array([ 0.00801377 ,  0.0676858  ,  0.0131641  ,  0.0556984  ])
1951    , -463.945    , array([ 0.00801377 ,  0.0676858  ,  0.0131641  ,  0.0556984  ])
1952    , -465.164    , array([ 0.00802179 ,  0.0676858  ,  0.0131641  ,  0.0556984  ])
1953    , -463.7      , array([ 0.00801377 ,  0.0677535  ,  0.0131641  ,  0.0556984  ])
1954    , -462.752    , array([ 0.00801377 ,  0.0676858  ,  0.0131773  ,  0.0556984  ])
1955    , -463.426    , array([ 0.00801377 ,  0.0676858  ,  0.0131641  ,  0.0557541  ])
1956    , -1339.17    , array([ 0.00700742 ,  0.0205918  ,  0.0149324  ,  0.0732582  ])
1957    , -1339.17    , array([ 0.00700742 ,  0.0205918  ,  0.0149324  ,  0.0732582  ])
1958    , -1337.4     , array([ 0.00701443 ,  0.0205918  ,  0.0149324  ,  0.0732582  ])
1959    , -1337.47    , array([ 0.00700742 ,  0.0206124  ,  0.0149324  ,  0.0732582  ])
1960    , -1340.9     , array([ 0.00700742 ,  0.0205918  ,  0.0149474  ,  0.0732582  ])
1961    , -1341.72    , array([ 0.00700742 ,  0.0205918  ,  0.0149324  ,  0.0733315  ])
1962    , -427.308    , array([ 0.00782564 ,  0.0548285  ,  0.0134611  ,  0.0584671  ])
1963    , -427.308    , array([ 0.00782564 ,  0.0548285  ,  0.0134611  ,  0.0584671  ])
1964    , -428.173    , array([ 0.00783347 ,  0.0548285  ,  0.0134611  ,  0.0584671  ])
1965    , -427.218    , array([ 0.00782564 ,  0.0548834  ,  0.0134611  ,  0.0584671  ])
1966    , -426.467    , array([ 0.00782564 ,  0.0548285  ,  0.0134746  ,  0.0584671  ])
1967    , -426.885    , array([ 0.00782564 ,  0.0548285  ,  0.0134611  ,  0.0585256  ])
1968    , -401.106    , array([ 0.00769772 ,  0.0473732  ,  0.0136711  ,  0.0604685  ])
1969    , -401.106    , array([ 0.00769772 ,  0.0473732  ,  0.0136711  ,  0.0604685  ])
1970    , -401.567    , array([ 0.00770542 ,  0.0473732  ,  0.0136711  ,  0.0604685  ])
1971    , -401.094    , array([ 0.00769772 ,  0.0474206  ,  0.0136711  ,  0.0604685  ])
1972    , -400.662    , array([ 0.00769772 ,  0.0473732  ,  0.0136848  ,  0.0604685  ])
1973    , -400.854    , array([ 0.00769772 ,  0.0473732  ,  0.0136711  ,  0.060529   ])
1974    , -512.255    , array([ 0.00734447 ,  0.031233   ,  0.0142879  ,  0.0665568  ])
1975    , -512.255    , array([ 0.00734447 ,  0.031233   ,  0.0142879  ,  0.0665568  ])
1976    , -511.027    , array([ 0.00735181 ,  0.031233   ,  0.0142879  ,  0.0665568  ])
1977    , -511.798    , array([ 0.00734447 ,  0.0312642  ,  0.0142879  ,  0.0665568  ])
1978    , -513.463    , array([ 0.00734447 ,  0.031233   ,  0.0143022  ,  0.0665568  ])
1979    , -513.367    , array([ 0.00734447 ,  0.031233   ,  0.0142879  ,  0.0666234  ])
1980    , -391.481    , array([ 0.00761267 ,  0.0429282  ,  0.0138146  ,  0.0618562  ])
1981    , -391.481    , array([ 0.00761267 ,  0.0429282  ,  0.0138146  ,  0.0618562  ])
1982    , -391.597    , array([ 0.00762028 ,  0.0429282  ,  0.0138146  ,  0.0618562  ])
1983    , -391.479    , array([ 0.00761267 ,  0.0429711  ,  0.0138146  ,  0.0618562  ])
1984    , -391.376    , array([ 0.00761267 ,  0.0429282  ,  0.0138284  ,  0.0618562  ])
1985    , -391.422    , array([ 0.00761267 ,  0.0429282  ,  0.0138146  ,  0.0619181  ])
1992    , -391.481    , array([ 0.00761266 ,  0.0429282  ,  0.0138145  ,  0.0618562  ])
1993    , -391.481    , array([ 0.00761266 ,  0.0429282  ,  0.0138145  ,  0.0618562  ])
1994    , -391.597    , array([ 0.00762027 ,  0.0429282  ,  0.0138145  ,  0.0618562  ])
1995    , -391.479    , array([ 0.00761266 ,  0.0429711  ,  0.0138145  ,  0.0618562  ])
1996    , -391.376    , array([ 0.00761266 ,  0.0429282  ,  0.0138284  ,  0.0618562  ])
1997    , -391.422    , array([ 0.00761266 ,  0.0429282  ,  0.0138145  ,  0.0619181  ])
1998    , -391.321    , array([ 0.00670939 ,  0.041332   ,  0.0122132  ,  0.0627681  ])
1999    , -391.321    , array([ 0.00670939 ,  0.041332   ,  0.0122132  ,  0.0627681  ])
2000    , -391.28     , array([ 0.0067161  ,  0.041332   ,  0.0122132  ,  0.0627681  ])
2001    , -391.308    , array([ 0.00670939 ,  0.0413734  ,  0.0122132  ,  0.0627681  ])
2002    , -391.37     , array([ 0.00670939 ,  0.041332   ,  0.0122255  ,  0.0627681  ])
2003    , -391.362    , array([ 0.00670939 ,  0.041332   ,  0.0122132  ,  0.0628309  ])
2004    , -391.298    , array([ 0.00647107 ,  0.0414121  ,  0.0117611  ,  0.0628578  ])
2005    , -391.298    , array([ 0.00647107 ,  0.0414121  ,  0.0117611  ,  0.0628578  ])
2006    , -391.258    , array([ 0.00647754 ,  0.0414121  ,  0.0117611  ,  0.0628578  ])
2007    , -391.285    , array([ 0.00647107 ,  0.0414535  ,  0.0117611  ,  0.0628578  ])
2008    , -391.346    , array([ 0.00647107 ,  0.0414121  ,  0.0117729  ,  0.0628578  ])
