28640   , -1718.15    , array([ 0.0853806  ,  0.372984   ,  0.0074712  ,  2.6379e-31 ])
28641   , -1718.15    , array([ 0.0853806  ,  0.372984   ,  0.0074712  ,  2.6379e-31 ])
28642   , -1718.25    , array([ 0.085466   ,  0.372984   ,  0.0074712  ,  2.6379e-31 ])
28643   , -1718.15    , array([ 0.0853806  ,  0.373357   ,  0.0074712  ,  2.6379e-31 ])
28644   , -1718       , array([ 0.0853806  ,  0.372984   ,  0.00747868 ,  2.6379e-31 ])
28645   , -1718.15    , array([ 0.0853806  ,  0.372984   ,  0.0074712  ,  2.64054e-31])
28646   , -3746.11    , array([ 1.72662    ,  0.372984   ,  0.16755    ,  2.6379e-31 ])
28647   , -3746.11    , array([ 1.72662    ,  0.372984   ,  0.16755    ,  2.6379e-31 ])
28648   , -3748.72    , array([ 1.72835    ,  0.372984   ,  0.16755    ,  2.6379e-31 ])
28649   , -3746.11    , array([ 1.72662    ,  0.373357   ,  0.16755    ,  2.6379e-31 ])
28650   , -3747.18    , array([ 1.72662    ,  0.372984   ,  0.167717   ,  2.6379e-31 ])
28651   , -3746.11    , array([ 1.72662    ,  0.372984   ,  0.16755    ,  2.64054e-31])
28652   , -1657.86    , array([ 0.186042   ,  0.372984   ,  0.0167216  ,  2.6379e-31 ])
28653   , -1657.86    , array([ 0.186042   ,  0.372984   ,  0.0167216  ,  2.6379e-31 ])
28654   , -1658.13    , array([ 0.186228   ,  0.372984   ,  0.0167216  ,  2.6379e-31 ])
28655   , -1657.86    , array([ 0.186042   ,  0.373357   ,  0.0167216  ,  2.6379e-31 ])
28656   , -1657.53    , array([ 0.186042   ,  0.372984   ,  0.0167383  ,  2.6379e-31 ])
28657   , -1657.86    , array([ 0.186042   ,  0.372984   ,  0.0167216  ,  2.64054e-31])
28658   , -1659.85    , array([ 0.384917   ,  0.372984   ,  0.0354727  ,  2.6379e-31 ])
28659   , -1659.85    , array([ 0.384917   ,  0.372984   ,  0.0354727  ,  2.6379e-31 ])
28660   , -1660.48    , array([ 0.385302   ,  0.372984   ,  0.0354727  ,  2.6379e-31 ])
