42940   , -2920.6     , array([ 1.27018    ,  0.275674   ,  2.04204    ,  2.76619    ,  4.99689    ])
42941   , -2920.58    , array([ 1.27018    ,  0.275674   ,  2.04204    ,  2.76619    ,  4.99808    ])
42942   , -2920.56    , array([ 1.27018    ,  0.275674   ,  2.04204    ,  2.76619    ,  4.99896    ])
42944   , -2920.56    , array([ 1.27018    ,  0.275674   ,  2.04204    ,  2.76619    ,  4.99896    ])
42945   , -3228.54    , array([ 2.27018    ,  0.275674   ,  2.04204    ,  2.76619    ,  4.99896    ])
42947   , -2920.56    , array([ 1.27018    ,  0.275674   ,  2.04204    ,  2.76619    ,  4.99896    ])
42948   , -6644.4     , array([ 0.652148   ,  0.275674   ,  2.04204    ,  2.76619    ,  4.99896    ])
42949   , -2741.24    , array([ 1.65215    ,  0.275674   ,  2.04204    ,  2.76619    ,  4.99896    ])
42950   , -2738.5     , array([ 1.50342    ,  0.275674   ,  2.04204    ,  2.76619    ,  4.99896    ])
42951   , -2730.95    , array([ 1.57338    ,  0.275674   ,  2.04204    ,  2.76619    ,  4.99896    ])
42952   , -2730.93    , array([ 1.57035    ,  0.275674   ,  2.04204    ,  2.76619    ,  4.99896    ])
42953   , -2730.94    , array([ 1.56735    ,  0.275674   ,  2.04204    ,  2.76619    ,  4.99896    ])
42954   , -2730.93    , array([ 1.57035    ,  0.275674   ,  2.04204    ,  2.76619    ,  4.99896    ])
42955   , -25269.1    , array([ 1.57035    ,  1.27567    ,  2.04204    ,  2.76619    ,  4.99896    ])
42957   , -2730.93    , array([ 1.57035    ,  0.275674   ,  2.04204    ,  2.76619    ,  4.99896    ])
42959   , -11329.2    , array([ 1.57035    ,  0.65764    ,  2.04204    ,  2.76619    ,  4.99896    ])
42960   , -6209.24    , array([ 1.57035    ,  0.466588   ,  2.04204    ,  2.76619    ,  4.99896    ])
42961   , -37219.5    , array([ 1.57035    ,  0.0396061  ,  2.04204    ,  2.76619    ,  4.99896    ])
42962   , -4092.18    , array([ 1.57035    ,  0.185504   ,  2.04204    ,  2.76619    ,  4.99896    ])
42963   , -2841       , array([ 1.57035    ,  0.294273   ,  2.04204    ,  2.76619    ,  4.99896    ])
42964   , -2715.09    , array([ 1.57035    ,  0.269657   ,  2.04204    ,  2.76619    ,  4.99896    ])
42965   , -2710.3     , array([ 1.57035    ,  0.26281    ,  2.04204    ,  2.76619    ,  4.99896    ])
42966   , -2710.08    , array([ 1.57035    ,  0.263905   ,  2.04204    ,  2.76619    ,  4.99896    ])
42967   , -2710.08    , array([ 1.57035    ,  0.264023   ,  2.04204    ,  2.76619    ,  4.99896    ])
42968   , -2710.08    , array([ 1.57035    ,  0.26414    ,  2.04204    ,  2.76619    ,  4.99896    ])
42969   , -2710.08    , array([ 1.57035    ,  0.264023   ,  2.04204    ,  2.76619    ,  4.99896    ])
42970   , -3960.23    , array([ 1.57035    ,  0.264023   ,  3.04204    ,  2.76619    ,  4.99896    ])
42971   , -5477.12    , array([ 1.57035    ,  0.264023   ,  0.424006   ,  2.76619    ,  4.99896    ])
42972   , -2710.08    , array([ 1.57035    ,  0.264023   ,  2.04204    ,  2.76619    ,  4.99896    ])
