159759  , -54058.7    , array([ 0.0273272  ,  9.87672    ,  0.45308    ,  5.98546e-58,  0.00271783 ])
159760  , -54058.7    , array([ 0.0273272  ,  9.87672    ,  0.452627   ,  5.99145e-58,  0.00271783 ])
159761  , -54058.5    , array([ 0.0273272  ,  9.87672    ,  0.452627   ,  5.98546e-58,  0.00272055 ])
159762  , -26693.3    , array([ 1.5225     ,  2.39438    ,  0.477211   ,  5.98546e-58,  0.237042   ])
159763  , -26693.3    , array([ 1.5225     ,  2.39438    ,  0.477211   ,  5.98546e-58,  0.237042   ])
159764  , -26691      , array([ 1.52402    ,  2.39438    ,  0.477211   ,  5.98546e-58,  0.237042   ])
159765  , -26708.3    , array([ 1.5225     ,  2.39678    ,  0.477211   ,  5.98546e-58,  0.237042   ])
159766  , -26693.1    , array([ 1.5225     ,  2.39438    ,  0.477689   ,  5.98546e-58,  0.237042   ])
159767  , -26693.3    , array([ 1.5225     ,  2.39438    ,  0.477211   ,  5.99145e-58,  0.237042   ])
159768  , -26690.7    , array([ 1.5225     ,  2.39438    ,  0.477211   ,  5.98546e-58,  0.237279   ])
159769  , -26690.3    , array([ 1.52292    ,  2.39415    ,  0.477213   ,  5.98546e-58,  0.237116   ])
159770  , -26690.3    , array([ 1.52292    ,  2.39415    ,  0.477213   ,  5.98546e-58,  0.237116   ])
159771  , -26688      , array([ 1.52445    ,  2.39415    ,  0.477213   ,  5.98546e-58,  0.237116   ])
159772  , -26705.4    , array([ 1.52292    ,  2.39654    ,  0.477213   ,  5.98546e-58,  0.237116   ])
159773  , -26690.1    , array([ 1.52292    ,  2.39415    ,  0.47769    ,  5.98546e-58,  0.237116   ])
159774  , -26690.3    , array([ 1.52292    ,  2.39415    ,  0.477213   ,  5.99145e-58,  0.237116   ])
159775  , -26687.8    , array([ 1.52292    ,  2.39415    ,  0.477213   ,  5.98546e-58,  0.237353   ])
159776  , -26664.3    , array([ 1.52674    ,  2.39204    ,  0.477229   ,  5.98546e-58,  0.237775   ])
159777  , -26664.3    , array([ 1.52674    ,  2.39204    ,  0.477229   ,  5.98546e-58,  0.237775   ])
159778  , -26662      , array([ 1.52826    ,  2.39204    ,  0.477229   ,  5.98546e-58,  0.237775   ])
159779  , -26679.4    , array([ 1.52674    ,  2.39443    ,  0.477229   ,  5.98546e-58,  0.237775   ])
159780  , -26664.1    , array([ 1.52674    ,  2.39204    ,  0.477706   ,  5.98546e-58,  0.237775   ])
159781  , -26664.3    , array([ 1.52674    ,  2.39204    ,  0.477229   ,  5.99145e-58,  0.237775   ])
159782  , -26661.8    , array([ 1.52674    ,  2.39204    ,  0.477229   ,  5.98546e-58,  0.238013   ])
159783  , -42796.1    , array([ 11.38      ,  1.17834    ,  0.490008   ,  5.98546e-58,  2.21716    ])
159784  , -42796.1    , array([ 11.38      ,  1.17834    ,  0.490008   ,  5.98546e-58,  2.21716    ])
159785  , -42807.9    , array([ 11.3913    ,  1.17834    ,  0.490008   ,  5.98546e-58,  2.21716    ])
159786  , -42765      , array([ 11.38      ,  1.17952    ,  0.490008   ,  5.98546e-58,  2.21716    ])
159787  , -42777.2    , array([ 11.38      ,  1.17834    ,  0.490499   ,  5.98546e-58,  2.21716    ])
159788  , -42796.1    , array([ 11.38      ,  1.17834    ,  0.490008   ,  5.99145e-58,  2.21716    ])
159789  , -42809.8    , array([ 11.38      ,  1.17834    ,  0.490008   ,  5.98546e-58,  2.21938    ])
159790  , -21953.6    , array([ 2.97432    ,  1.89095    ,  0.481434   ,  5.98546e-58,  0.498974   ])
159791  , -21953.6    , array([ 2.97432    ,  1.89095    ,  0.481434   ,  5.98546e-58,  0.498974   ])
159792  , -21952.9    , array([ 2.97729    ,  1.89095    ,  0.481434   ,  5.98546e-58,  0.498974   ])
159793  , -21966.5    , array([ 2.97432    ,  1.89285    ,  0.481434   ,  5.98546e-58,  0.498974   ])
159794  , -21951.2    , array([ 2.97432    ,  1.89095    ,  0.481916   ,  5.98546e-58,  0.498974   ])
159795  , -21953.6    , array([ 2.97432    ,  1.89095    ,  0.481434   ,  5.99145e-58,  0.498974   ])
159796  , -21956.3    , array([ 2.97432    ,  1.89095    ,  0.481434   ,  5.98546e-58,  0.499473   ])
159797  , -21825.5    , array([ 3.32477    ,  1.81815    ,  0.48214    ,  5.98546e-58,  0.564734   ])
159798  , -21825.5    , array([ 3.32477    ,  1.81815    ,  0.48214    ,  5.98546e-58,  0.564734   ])
159799  , -21825.4    , array([ 3.32809    ,  1.81815    ,  0.48214    ,  5.98546e-58,  0.564734   ])
159800  , -21836.9    , array([ 3.32477    ,  1.81997    ,  0.48214    ,  5.98546e-58,  0.564734   ])
159801  , -21822.4    , array([ 3.32477    ,  1.81815    ,  0.482622   ,  5.98546e-58,  0.564734   ])
159802  , -21825.5    , array([ 3.32477    ,  1.81815    ,  0.48214    ,  5.99145e-58,  0.564734   ])
