94225   , -3996.71    , array([ 0.338692   ,  0.0801783  ,  1.11263e-41,  0.0027785  ,  0.0239244  ])
94226   , -3992.3     , array([ 0.339031   ,  0.0801783  ,  1.11263e-41,  0.0027785  ,  0.0239244  ])
94227   , -4001.12    , array([ 0.338692   ,  0.0802586  ,  1.11263e-41,  0.0027785  ,  0.0239244  ])
94228   , -3996.71    , array([ 0.338692   ,  0.0801783  ,  1.11375e-41,  0.0027785  ,  0.0239244  ])
94229   , -3996.71    , array([ 0.338692   ,  0.0801783  ,  1.11263e-41,  0.00278128 ,  0.0239244  ])
94230   , -3995.94    , array([ 0.338692   ,  0.0801783  ,  1.11263e-41,  0.0027785  ,  0.0239484  ])
94231   , -3662.98    , array([ 0.634416   ,  0.14776    ,  1.11263e-41,  0.00277814 ,  0.0443612  ])
94232   , -3662.98    , array([ 0.634416   ,  0.14776    ,  1.11263e-41,  0.00277814 ,  0.0443612  ])
94233   , -3659.46    , array([ 0.635051   ,  0.14776    ,  1.11263e-41,  0.00277814 ,  0.0443612  ])
94234   , -3667.53    , array([ 0.634416   ,  0.147908   ,  1.11263e-41,  0.00277814 ,  0.0443612  ])
94235   , -3662.98    , array([ 0.634416   ,  0.14776    ,  1.11375e-41,  0.00277814 ,  0.0443612  ])
94236   , -3662.98    , array([ 0.634416   ,  0.14776    ,  1.11263e-41,  0.00278092 ,  0.0443612  ])
94237   , -3662.15    , array([ 0.634416   ,  0.14776    ,  1.11263e-41,  0.00277814 ,  0.0444055  ])
94245   , -3662.95    , array([ 0.634388   ,  0.147753   ,  1.11263e-41,  0.00277813 ,  0.044359   ])
94246   , -3662.95    , array([ 0.634388   ,  0.147753   ,  1.11263e-41,  0.00277813 ,  0.044359   ])
94247   , -3659.43    , array([ 0.635023   ,  0.147753   ,  1.11263e-41,  0.00277813 ,  0.044359   ])
94248   , -3667.5     , array([ 0.634388   ,  0.147901   ,  1.11263e-41,  0.00277813 ,  0.044359   ])
94249   , -3662.95    , array([ 0.634388   ,  0.147753   ,  1.11375e-41,  0.00277813 ,  0.044359   ])
94250   , -3662.96    , array([ 0.634388   ,  0.147753   ,  1.11263e-41,  0.00278091 ,  0.044359   ])
94251   , -3662.12    , array([ 0.634388   ,  0.147753   ,  1.11263e-41,  0.00277813 ,  0.0444034  ])
94252   , -3584.69    , array([ 0.507859   ,  0.11504    ,  1.11263e-41,  0.00275089 ,  0.0348176  ])
94253   , -3584.69    , array([ 0.507859   ,  0.11504    ,  1.11263e-41,  0.00275089 ,  0.0348176  ])
94254   , -3580.94    , array([ 0.508367   ,  0.11504    ,  1.11263e-41,  0.00275089 ,  0.0348176  ])
94255   , -3588.92    , array([ 0.507859   ,  0.115155   ,  1.11263e-41,  0.00275089 ,  0.0348176  ])
94256   , -3584.69    , array([ 0.507859   ,  0.11504    ,  1.11375e-41,  0.00275089 ,  0.0348176  ])
94257   , -3584.69    , array([ 0.507859   ,  0.11504    ,  1.11263e-41,  0.00275365 ,  0.0348176  ])
94258   , -3583.87    , array([ 0.507859   ,  0.11504    ,  1.11263e-41,  0.00275089 ,  0.0348524  ])
94259   , -3431.92    , array([ 0.518863   ,  0.112904   ,  1.11263e-41,  0.00263768 ,  0.034755   ])
94260   , -3431.92    , array([ 0.518863   ,  0.112904   ,  1.11263e-41,  0.00263768 ,  0.034755   ])
94261   , -3428.34    , array([ 0.519382   ,  0.112904   ,  1.11263e-41,  0.00263768 ,  0.034755   ])
94262   , -3435.76    , array([ 0.518863   ,  0.113017   ,  1.11263e-41,  0.00263768 ,  0.034755   ])
94263   , -3431.92    , array([ 0.518863   ,  0.112904   ,  1.11375e-41,  0.00263768 ,  0.034755   ])
94264   , -3431.92    , array([ 0.518863   ,  0.112904   ,  1.11263e-41,  0.00264032 ,  0.034755   ])
