308554  , -23966.5    , array([ 1.71854    ,  0.604102   ,  1.13362e-15,  5.92577    ,  0.490101   ])
308555  , -19421      , array([ 1.31843    ,  0.712543   ,  1.13362e-15,  2.39661    ,  0.412387   ])
308556  , -19421      , array([ 1.31843    ,  0.712543   ,  1.13362e-15,  2.39661    ,  0.412387   ])
308557  , -19411.5    , array([ 1.31975    ,  0.712543   ,  1.13362e-15,  2.39661    ,  0.412387   ])
308558  , -19436.1    , array([ 1.31843    ,  0.713256   ,  1.13362e-15,  2.39661    ,  0.412387   ])
308559  , -19421      , array([ 1.31843    ,  0.712543   ,  1.13476e-15,  2.39661    ,  0.412387   ])
308560  , -19424.8    , array([ 1.31843    ,  0.712543   ,  1.13362e-15,  2.399      ,  0.412387   ])
308561  , -19427.2    , array([ 1.31843    ,  0.712543   ,  1.13362e-15,  2.39661    ,  0.4128     ])
308562  , -17272.1    , array([ 1.44791    ,  0.65564    ,  1.13362e-15,  2.27493    ,  0.413255   ])
308563  , -17272.1    , array([ 1.44791    ,  0.65564    ,  1.13362e-15,  2.27493    ,  0.413255   ])
308564  , -17264.4    , array([ 1.44936    ,  0.65564    ,  1.13362e-15,  2.27493    ,  0.413255   ])
308565  , -17285.4    , array([ 1.44791    ,  0.656296   ,  1.13362e-15,  2.27493    ,  0.413255   ])
308566  , -17272.1    , array([ 1.44791    ,  0.65564    ,  1.13476e-15,  2.27493    ,  0.413255   ])
308567  , -17274.9    , array([ 1.44791    ,  0.65564    ,  1.13362e-15,  2.27721    ,  0.413255   ])
308568  , -17277.8    , array([ 1.44791    ,  0.65564    ,  1.13362e-15,  2.27493    ,  0.413668   ])
308569  , -13584.7    , array([ 1.68701    ,  0.517007   ,  1.13362e-15,  2.38572    ,  0.403199   ])
308570  , -13584.7    , array([ 1.68701    ,  0.517007   ,  1.13362e-15,  2.38572    ,  0.403199   ])
308571  , -13580.6    , array([ 1.6887     ,  0.517007   ,  1.13362e-15,  2.38572    ,  0.403199   ])
308572  , -13594.6    , array([ 1.68701    ,  0.517525   ,  1.13362e-15,  2.38572    ,  0.403199   ])
308573  , -13584.7    , array([ 1.68701    ,  0.517007   ,  1.13476e-15,  2.38572    ,  0.403199   ])
308574  , -13586.1    , array([ 1.68701    ,  0.517007   ,  1.13362e-15,  2.38811    ,  0.403199   ])
