242660  , -17862.1    , array([ 0.521559   ,  0.785646   ,  3.47014    ,  7.22511e-26,  0.117833   ])
242661  , -17845.9    , array([ 0.521559   ,  0.78486    ,  3.47361    ,  7.22511e-26,  0.117833   ])
242662  , -17846.6    , array([ 0.521559   ,  0.78486    ,  3.47014    ,  7.23233e-26,  0.117833   ])
242663  , -17839.9    , array([ 0.521559   ,  0.78486    ,  3.47014    ,  7.22511e-26,  0.117951   ])
242664  , -17826.1    , array([ 0.521532   ,  0.784205   ,  3.51033    ,  7.22511e-26,  0.117843   ])
242665  , -17826.1    , array([ 0.521532   ,  0.784205   ,  3.51033    ,  7.22511e-26,  0.117843   ])
242666  , -17818.1    , array([ 0.522054   ,  0.784205   ,  3.51033    ,  7.22511e-26,  0.117843   ])
242667  , -17841.6    , array([ 0.521532   ,  0.784989   ,  3.51033    ,  7.22511e-26,  0.117843   ])
242668  , -17825.4    , array([ 0.521532   ,  0.784205   ,  3.51384    ,  7.22511e-26,  0.117843   ])
242669  , -17826.1    , array([ 0.521532   ,  0.784205   ,  3.51033    ,  7.23233e-26,  0.117843   ])
242670  , -17819.3    , array([ 0.521532   ,  0.784205   ,  3.51033    ,  7.22511e-26,  0.117961   ])
242678  , -17825.6    , array([ 0.521532   ,  0.784191   ,  3.51114    ,  7.22511e-26,  0.117844   ])
242679  , -17825.6    , array([ 0.521532   ,  0.784191   ,  3.51114    ,  7.22511e-26,  0.117844   ])
242680  , -17817.6    , array([ 0.522054   ,  0.784191   ,  3.51114    ,  7.22511e-26,  0.117844   ])
242681  , -17841.2    , array([ 0.521532   ,  0.784976   ,  3.51114    ,  7.22511e-26,  0.117844   ])
242682  , -17825      , array([ 0.521532   ,  0.784191   ,  3.51465    ,  7.22511e-26,  0.117844   ])
242683  , -17825.6    , array([ 0.521532   ,  0.784191   ,  3.51114    ,  7.23233e-26,  0.117844   ])
242684  , -17818.9    , array([ 0.521532   ,  0.784191   ,  3.51114    ,  7.22511e-26,  0.117962   ])
242685  , -17820.8    , array([ 0.521526   ,  0.784034   ,  3.52084    ,  7.22511e-26,  0.117846   ])
242686  , -17820.8    , array([ 0.521526   ,  0.784034   ,  3.52084    ,  7.22511e-26,  0.117846   ])
242687  , -17812.8    , array([ 0.522047   ,  0.784034   ,  3.52084    ,  7.22511e-26,  0.117846   ])
242688  , -17836.4    , array([ 0.521526   ,  0.784819   ,  3.52084    ,  7.22511e-26,  0.117846   ])
242689  , -17820.2    , array([ 0.521526   ,  0.784034   ,  3.52436    ,  7.22511e-26,  0.117846   ])
242690  , -17820.8    , array([ 0.521526   ,  0.784034   ,  3.52084    ,  7.23233e-26,  0.117846   ])
242691  , -17814      , array([ 0.521526   ,  0.784034   ,  3.52084    ,  7.22511e-26,  0.117964   ])
242699  , -17820.7    , array([ 0.521526   ,  0.784031   ,  3.52105    ,  7.22511e-26,  0.117846   ])
242700  , -17820.7    , array([ 0.521526   ,  0.784031   ,  3.52105    ,  7.22511e-26,  0.117846   ])
242701  , -17812.7    , array([ 0.522047   ,  0.784031   ,  3.52105    ,  7.22511e-26,  0.117846   ])
242702  , -17836.3    , array([ 0.521526   ,  0.784816   ,  3.52105    ,  7.22511e-26,  0.117846   ])
242703  , -17820.1    , array([ 0.521526   ,  0.784031   ,  3.52457    ,  7.22511e-26,  0.117846   ])
242704  , -17820.7    , array([ 0.521526   ,  0.784031   ,  3.52105    ,  7.23233e-26,  0.117846   ])
242705  , -17813.9    , array([ 0.521526   ,  0.784031   ,  3.52105    ,  7.22511e-26,  0.117964   ])
242706  , -17819.5    , array([ 0.521524   ,  0.783992   ,  3.52345    ,  7.22511e-26,  0.117847   ])
242707  , -17819.5    , array([ 0.521524   ,  0.783992   ,  3.52345    ,  7.22511e-26,  0.117847   ])
242708  , -17811.5    , array([ 0.522046   ,  0.783992   ,  3.52345    ,  7.22511e-26,  0.117847   ])
242709  , -17835.1    , array([ 0.521524   ,  0.784777   ,  3.52345    ,  7.22511e-26,  0.117847   ])
242710  , -17818.9    , array([ 0.521524   ,  0.783992   ,  3.52697    ,  7.22511e-26,  0.117847   ])
242711  , -17819.5    , array([ 0.521524   ,  0.783992   ,  3.52345    ,  7.23233e-26,  0.117847   ])
242712  , -17812.7    , array([ 0.521524   ,  0.783992   ,  3.52345    ,  7.22511e-26,  0.117965   ])
242720  , -17819.5    , array([ 0.521524   ,  0.783992   ,  3.5235     ,  7.22511e-26,  0.117847   ])
242721  , -17819.5    , array([ 0.521524   ,  0.783992   ,  3.5235     ,  7.22511e-26,  0.117847   ])
242722  , -17811.5    , array([ 0.522046   ,  0.783992   ,  3.5235     ,  7.22511e-26,  0.117847   ])
242723  , -17835.1    , array([ 0.521524   ,  0.784776   ,  3.5235     ,  7.22511e-26,  0.117847   ])
242724  , -17818.9    , array([ 0.521524   ,  0.783992   ,  3.52702    ,  7.22511e-26,  0.117847   ])
242725  , -17819.5    , array([ 0.521524   ,  0.783992   ,  3.5235     ,  7.23233e-26,  0.117847   ])
242726  , -17812.7    , array([ 0.521524   ,  0.783992   ,  3.5235     ,  7.22511e-26,  0.117965   ])
242727  , -17819.2    , array([ 0.521524   ,  0.783982   ,  3.5241     ,  7.22511e-26,  0.117847   ])
242728  , -17819.2    , array([ 0.521524   ,  0.783982   ,  3.5241     ,  7.22511e-26,  0.117847   ])
242729  , -17811.2    , array([ 0.522045   ,  0.783982   ,  3.5241     ,  7.22511e-26,  0.117847   ])
242730  , -17834.8    , array([ 0.521524   ,  0.784766   ,  3.5241     ,  7.22511e-26,  0.117847   ])
242731  , -17818.6    , array([ 0.521524   ,  0.783982   ,  3.52762    ,  7.22511e-26,  0.117847   ])
242732  , -17819.2    , array([ 0.521524   ,  0.783982   ,  3.5241     ,  7.23233e-26,  0.117847   ])
242733  , -17812.4    , array([ 0.521524   ,  0.783982   ,  3.5241     ,  7.22511e-26,  0.117965   ])
242741  , -17819.2    , array([ 0.521524   ,  0.783982   ,  3.52411    ,  7.22511e-26,  0.117847   ])
242742  , -17819.2    , array([ 0.521524   ,  0.783982   ,  3.52411    ,  7.22511e-26,  0.117847   ])
242743  , -17811.2    , array([ 0.522045   ,  0.783982   ,  3.52411    ,  7.22511e-26,  0.117847   ])
242744  , -17834.8    , array([ 0.521524   ,  0.784766   ,  3.52411    ,  7.22511e-26,  0.117847   ])
242745  , -17818.6    , array([ 0.521524   ,  0.783982   ,  3.52764    ,  7.22511e-26,  0.117847   ])
242746  , -17819.2    , array([ 0.521524   ,  0.783982   ,  3.52411    ,  7.23233e-26,  0.117847   ])
242747  , -17812.4    , array([ 0.521524   ,  0.783982   ,  3.52411    ,  7.22511e-26,  0.117965   ])
242748  , -17819.1    , array([ 0.521524   ,  0.783979   ,  3.52426    ,  7.22511e-26,  0.117847   ])
242749  , -17819.1    , array([ 0.521524   ,  0.783979   ,  3.52426    ,  7.22511e-26,  0.117847   ])
242750  , -17811.1    , array([ 0.522045   ,  0.783979   ,  3.52426    ,  7.22511e-26,  0.117847   ])
242751  , -17834.7    , array([ 0.521524   ,  0.784764   ,  3.52426    ,  7.22511e-26,  0.117847   ])
242752  , -17818.5    , array([ 0.521524   ,  0.783979   ,  3.52779    ,  7.22511e-26,  0.117847   ])
242753  , -17819.1    , array([ 0.521524   ,  0.783979   ,  3.52426    ,  7.23233e-26,  0.117847   ])
242754  , -17812.3    , array([ 0.521524   ,  0.783979   ,  3.52426    ,  7.22511e-26,  0.117965   ])
242755  , -17668.5    , array([ 0.520267   ,  0.752988   ,  6.1435     ,  7.22511e-26,  0.118335   ])
242756  , -17668.5    , array([ 0.520267   ,  0.752988   ,  6.1435     ,  7.22511e-26,  0.118335   ])
242757  , -17665      , array([ 0.520787   ,  0.752988   ,  6.1435     ,  7.22511e-26,  0.118335   ])
242758  , -17685.3    , array([ 0.520267   ,  0.753741   ,  6.1435     ,  7.22511e-26,  0.118335   ])
242759  , -17671.6    , array([ 0.520267   ,  0.752988   ,  6.14964    ,  7.22511e-26,  0.118335   ])
242760  , -17668.5    , array([ 0.520267   ,  0.752988   ,  6.1435     ,  7.23233e-26,  0.118335   ])
242761  , -17659.8    , array([ 0.520267   ,  0.752988   ,  6.1435     ,  7.22511e-26,  0.118453   ])
242762  , -17502.4    , array([ 0.520902   ,  0.768513   ,  4.63767    ,  7.22511e-26,  0.118088   ])
242763  , -17502.4    , array([ 0.520902   ,  0.768513   ,  4.63767    ,  7.22511e-26,  0.118088   ])
242764  , -17496.5    , array([ 0.521423   ,  0.768513   ,  4.63767    ,  7.22511e-26,  0.118088   ])
242765  , -17518.6    , array([ 0.520902   ,  0.769281   ,  4.63767    ,  7.22511e-26,  0.118088   ])
242766  , -17503.2    , array([ 0.520902   ,  0.768513   ,  4.64231    ,  7.22511e-26,  0.118088   ])
242767  , -17502.4    , array([ 0.520902   ,  0.768513   ,  4.63767    ,  7.23233e-26,  0.118088   ])
242768  , -17494.5    , array([ 0.520902   ,  0.768513   ,  4.63767    ,  7.22511e-26,  0.118206   ])
242776  , -17501.8    , array([ 0.5209     ,  0.768474   ,  4.63903    ,  7.22511e-26,  0.118088   ])
242777  , -17501.8    , array([ 0.5209     ,  0.768474   ,  4.63903    ,  7.22511e-26,  0.118088   ])
242778  , -17495.9    , array([ 0.521421   ,  0.768474   ,  4.63903    ,  7.22511e-26,  0.118088   ])
242779  , -17518      , array([ 0.5209     ,  0.769243   ,  4.63903    ,  7.22511e-26,  0.118088   ])
242780  , -17502.6    , array([ 0.5209     ,  0.768474   ,  4.64367    ,  7.22511e-26,  0.118088   ])
242781  , -17501.8    , array([ 0.5209     ,  0.768474   ,  4.63903    ,  7.23233e-26,  0.118088   ])
242782  , -17493.9    , array([ 0.5209     ,  0.768474   ,  4.63903    ,  7.22511e-26,  0.118206   ])
242783  , -17496      , array([ 0.520882   ,  0.768098   ,  4.65227    ,  7.22511e-26,  0.118093   ])
242784  , -17496      , array([ 0.520882   ,  0.768098   ,  4.65227    ,  7.22511e-26,  0.118093   ])
242785  , -17490.2    , array([ 0.521403   ,  0.768098   ,  4.65227    ,  7.22511e-26,  0.118093   ])
242786  , -17512.2    , array([ 0.520882   ,  0.768867   ,  4.65227    ,  7.22511e-26,  0.118093   ])
242787  , -17496.8    , array([ 0.520882   ,  0.768098   ,  4.65692    ,  7.22511e-26,  0.118093   ])
242788  , -17496      , array([ 0.520882   ,  0.768098   ,  4.65227    ,  7.23233e-26,  0.118093   ])
242789  , -17488.1    , array([ 0.520882   ,  0.768098   ,  4.65227    ,  7.22511e-26,  0.118211   ])
242797  , -17495.9    , array([ 0.520882   ,  0.768089   ,  4.6526     ,  7.22511e-26,  0.118093   ])
242798  , -17495.9    , array([ 0.520882   ,  0.768089   ,  4.6526     ,  7.22511e-26,  0.118093   ])
242799  , -17490      , array([ 0.521403   ,  0.768089   ,  4.6526     ,  7.22511e-26,  0.118093   ])
242800  , -17512      , array([ 0.520882   ,  0.768857   ,  4.6526     ,  7.22511e-26,  0.118093   ])
242801  , -17496.7    , array([ 0.520882   ,  0.768089   ,  4.65726    ,  7.22511e-26,  0.118093   ])
242802  , -17495.9    , array([ 0.520882   ,  0.768089   ,  4.6526     ,  7.23233e-26,  0.118093   ])
242803  , -17487.9    , array([ 0.520882   ,  0.768089   ,  4.6526     ,  7.22511e-26,  0.118211   ])
242804  , -17494.5    , array([ 0.520877   ,  0.767996   ,  4.65588    ,  7.22511e-26,  0.118094   ])
242805  , -17494.5    , array([ 0.520877   ,  0.767996   ,  4.65588    ,  7.22511e-26,  0.118094   ])
242806  , -17488.6    , array([ 0.521398   ,  0.767996   ,  4.65588    ,  7.22511e-26,  0.118094   ])
242807  , -17510.6    , array([ 0.520877   ,  0.768765   ,  4.65588    ,  7.22511e-26,  0.118094   ])
242808  , -17495.3    , array([ 0.520877   ,  0.767996   ,  4.66053    ,  7.22511e-26,  0.118094   ])
242809  , -17494.5    , array([ 0.520877   ,  0.767996   ,  4.65588    ,  7.23233e-26,  0.118094   ])
242810  , -17486.5    , array([ 0.520877   ,  0.767996   ,  4.65588    ,  7.22511e-26,  0.118212   ])
242818  , -17494.4    , array([ 0.520877   ,  0.767994   ,  4.65596    ,  7.22511e-26,  0.118094   ])
242819  , -17494.4    , array([ 0.520877   ,  0.767994   ,  4.65596    ,  7.22511e-26,  0.118094   ])
242820  , -17488.6    , array([ 0.521398   ,  0.767994   ,  4.65596    ,  7.22511e-26,  0.118094   ])
242821  , -17510.6    , array([ 0.520877   ,  0.768762   ,  4.65596    ,  7.22511e-26,  0.118094   ])
242822  , -17495.2    , array([ 0.520877   ,  0.767994   ,  4.66062    ,  7.22511e-26,  0.118094   ])
242823  , -17494.4    , array([ 0.520877   ,  0.767994   ,  4.65596    ,  7.23233e-26,  0.118094   ])
242824  , -17486.5    , array([ 0.520877   ,  0.767994   ,  4.65596    ,  7.22511e-26,  0.118212   ])
242825  , -17494.1    , array([ 0.520876   ,  0.767971   ,  4.65678    ,  7.22511e-26,  0.118094   ])
242826  , -17494.1    , array([ 0.520876   ,  0.767971   ,  4.65678    ,  7.22511e-26,  0.118094   ])
242827  , -17488.2    , array([ 0.521397   ,  0.767971   ,  4.65678    ,  7.22511e-26,  0.118094   ])
242828  , -17510.2    , array([ 0.520876   ,  0.768739   ,  4.65678    ,  7.22511e-26,  0.118094   ])
242829  , -17494.9    , array([ 0.520876   ,  0.767971   ,  4.66144    ,  7.22511e-26,  0.118094   ])
242830  , -17494.1    , array([ 0.520876   ,  0.767971   ,  4.65678    ,  7.23233e-26,  0.118094   ])
242831  , -17486.1    , array([ 0.520876   ,  0.767971   ,  4.65678    ,  7.22511e-26,  0.118213   ])
242839  , -17494.1    , array([ 0.520876   ,  0.76797    ,  4.6568     ,  7.22511e-26,  0.118094   ])
242840  , -17494.1    , array([ 0.520876   ,  0.76797    ,  4.6568     ,  7.22511e-26,  0.118094   ])
242841  , -17488.2    , array([ 0.521397   ,  0.76797    ,  4.6568     ,  7.22511e-26,  0.118094   ])
242842  , -17510.2    , array([ 0.520876   ,  0.768739   ,  4.6568     ,  7.22511e-26,  0.118094   ])
242843  , -17494.9    , array([ 0.520876   ,  0.76797    ,  4.66146    ,  7.22511e-26,  0.118094   ])
242844  , -17494.1    , array([ 0.520876   ,  0.76797    ,  4.6568     ,  7.23233e-26,  0.118094   ])
242845  , -17486.1    , array([ 0.520876   ,  0.76797    ,  4.6568     ,  7.22511e-26,  0.118213   ])
242846  , -17494      , array([ 0.520876   ,  0.767964   ,  4.657      ,  7.22511e-26,  0.118095   ])
242847  , -17494      , array([ 0.520876   ,  0.767964   ,  4.657      ,  7.22511e-26,  0.118095   ])
242848  , -17488.1    , array([ 0.521397   ,  0.767964   ,  4.657      ,  7.22511e-26,  0.118095   ])
242849  , -17510.1    , array([ 0.520876   ,  0.768733   ,  4.657      ,  7.22511e-26,  0.118095   ])
242850  , -17494.8    , array([ 0.520876   ,  0.767964   ,  4.66166    ,  7.22511e-26,  0.118095   ])
242851  , -17494      , array([ 0.520876   ,  0.767964   ,  4.657      ,  7.23233e-26,  0.118095   ])
242852  , -17486      , array([ 0.520876   ,  0.767964   ,  4.657      ,  7.22511e-26,  0.118213   ])
242853  , -17675.4    , array([ 0.517169   ,  0.695183   ,  8.32259    ,  7.22511e-26,  0.119069   ])
242854  , -17675.4    , array([ 0.517169   ,  0.695183   ,  8.32259    ,  7.22511e-26,  0.119069   ])
242855  , -17674.5    , array([ 0.517687   ,  0.695183   ,  8.32259    ,  7.22511e-26,  0.119069   ])
242856  , -17693      , array([ 0.517169   ,  0.695878   ,  8.32259    ,  7.22511e-26,  0.119069   ])
242857  , -17681.9    , array([ 0.517169   ,  0.695183   ,  8.33092    ,  7.22511e-26,  0.119069   ])
242858  , -17675.4    , array([ 0.517169   ,  0.695183   ,  8.32259    ,  7.23233e-26,  0.119069   ])
242859  , -17666.8    , array([ 0.517169   ,  0.695183   ,  8.32259    ,  7.22511e-26,  0.119188   ])
242860  , -17194      , array([ 0.519186   ,  0.733959   ,  6.06459    ,  7.22511e-26,  0.118537   ])
242861  , -17194      , array([ 0.519186   ,  0.733959   ,  6.06459    ,  7.22511e-26,  0.118537   ])
242862  , -17190.2    , array([ 0.519706   ,  0.733959   ,  6.06459    ,  7.22511e-26,  0.118537   ])
242863  , -17210.7    , array([ 0.519186   ,  0.734693   ,  6.06459    ,  7.22511e-26,  0.118537   ])
242864  , -17196.8    , array([ 0.519186   ,  0.733959   ,  6.07065    ,  7.22511e-26,  0.118537   ])
242865  , -17194      , array([ 0.519186   ,  0.733959   ,  6.06459    ,  7.23233e-26,  0.118537   ])
242866  , -17185.4    , array([ 0.519186   ,  0.733959   ,  6.06459    ,  7.22511e-26,  0.118656   ])
242867  , -16570.8    , array([ 0.519974   ,  0.705367   ,  6.12194    ,  7.22511e-26,  0.118242   ])
242868  , -16570.8    , array([ 0.519974   ,  0.705367   ,  6.12194    ,  7.22511e-26,  0.118242   ])
242869  , -16567      , array([ 0.520495   ,  0.705367   ,  6.12194    ,  7.22511e-26,  0.118242   ])
242870  , -16587.5    , array([ 0.519974   ,  0.706072   ,  6.12194    ,  7.22511e-26,  0.118242   ])
242871  , -16573.6    , array([ 0.519974   ,  0.705367   ,  6.12807    ,  7.22511e-26,  0.118242   ])
242872  , -16570.8    , array([ 0.519974   ,  0.705367   ,  6.12194    ,  7.23233e-26,  0.118242   ])
242873  , -16562.1    , array([ 0.519974   ,  0.705367   ,  6.12194    ,  7.22511e-26,  0.11836    ])
242874  , -14088.4    , array([ 0.523139   ,  0.60171    ,  6.35684    ,  7.22511e-26,  0.117069   ])
242875  , -14088.4    , array([ 0.523139   ,  0.60171    ,  6.35684    ,  7.22511e-26,  0.117069   ])
242876  , -14084.6    , array([ 0.523662   ,  0.60171    ,  6.35684    ,  7.22511e-26,  0.117069   ])
242877  , -14105      , array([ 0.523139   ,  0.602312   ,  6.35684    ,  7.22511e-26,  0.117069   ])
242878  , -14091.3    , array([ 0.523139   ,  0.60171    ,  6.3632     ,  7.22511e-26,  0.117069   ])
242879  , -14088.4    , array([ 0.523139   ,  0.60171    ,  6.35684    ,  7.23233e-26,  0.117069   ])
242880  , -14079.9    , array([ 0.523139   ,  0.60171    ,  6.35684    ,  7.22511e-26,  0.117186   ])
242881  , -5439.23    , array([ 0.535991   ,  0.318621   ,  7.39009    ,  7.22511e-26,  0.112494   ])
242882  , -5439.23    , array([ 0.535991   ,  0.318621   ,  7.39009    ,  7.22511e-26,  0.112494   ])
242883  , -5435.86    , array([ 0.536527   ,  0.318621   ,  7.39009    ,  7.22511e-26,  0.112494   ])
242884  , -5450.33    , array([ 0.535991   ,  0.31894    ,  7.39009    ,  7.22511e-26,  0.112494   ])
