23474   , -1675.59    , array([ 1.13278    ,  0.0668135  ,  0.00119843 ,  2.78885e-37,  0.0247894  ])
23475   , -1651.39    , array([ 1.4524     ,  0.0641174  ,  0.00105887 ,  2.78885e-37,  0.0237477  ])
23476   , -1651.39    , array([ 1.4524     ,  0.0641174  ,  0.00105887 ,  2.78885e-37,  0.0237477  ])
23477   , -1651.39    , array([ 1.45385    ,  0.0641174  ,  0.00105887 ,  2.78885e-37,  0.0237477  ])
23478   , -1650.36    , array([ 1.4524     ,  0.0641816  ,  0.00105887 ,  2.78885e-37,  0.0237477  ])
23479   , -1651.39    , array([ 1.4524     ,  0.0641174  ,  0.00105993 ,  2.78885e-37,  0.0237477  ])
23480   , -1651.39    , array([ 1.4524     ,  0.0641174  ,  0.00105887 ,  2.79164e-37,  0.0237477  ])
23481   , -1652.38    , array([ 1.4524     ,  0.0641174  ,  0.00105887 ,  2.78885e-37,  0.0237715  ])
23482   , -1639.79    , array([ 1.43545    ,  0.0657822  ,  0.00112409 ,  2.78885e-37,  0.0240577  ])
23483   , -1639.79    , array([ 1.43545    ,  0.0657822  ,  0.00112409 ,  2.78885e-37,  0.0240577  ])
23484   , -1639.79    , array([ 1.43688    ,  0.0657822  ,  0.00112409 ,  2.78885e-37,  0.0240577  ])
23485   , -1639.15    , array([ 1.43545    ,  0.065848   ,  0.00112409 ,  2.78885e-37,  0.0240577  ])
23486   , -1639.79    , array([ 1.43545    ,  0.0657822  ,  0.00112522 ,  2.78885e-37,  0.0240577  ])
23487   , -1639.79    , array([ 1.43545    ,  0.0657822  ,  0.00112409 ,  2.79164e-37,  0.0240577  ])
23488   , -1640.41    , array([ 1.43545    ,  0.0657822  ,  0.00112409 ,  2.78885e-37,  0.0240818  ])
23489   , -1632.61    , array([ 1.45179    ,  0.0674417  ,  0.00129645 ,  2.78885e-37,  0.0241473  ])
23490   , -1632.61    , array([ 1.45179    ,  0.0674417  ,  0.00129645 ,  2.78885e-37,  0.0241473  ])
23491   , -1632.61    , array([ 1.45325    ,  0.0674417  ,  0.00129645 ,  2.78885e-37,  0.0241473  ])
23492   , -1632.61    , array([ 1.45179    ,  0.0675092  ,  0.00129645 ,  2.78885e-37,  0.0241473  ])
23493   , -1632.61    , array([ 1.45179    ,  0.0674417  ,  0.00129775 ,  2.78885e-37,  0.0241473  ])
23494   , -1632.61    , array([ 1.45179    ,  0.0674417  ,  0.00129645 ,  2.79164e-37,  0.0241473  ])
23495   , -1632.59    , array([ 1.45179    ,  0.0674417  ,  0.00129645 ,  2.78885e-37,  0.0241714  ])
23496   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.00140189 ,  2.78885e-37,  0.0242552  ])
23497   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.00140189 ,  2.78885e-37,  0.0242552  ])
23498   , -1632.43    , array([ 1.43107    ,  0.0677347  ,  0.00140189 ,  2.78885e-37,  0.0242552  ])
23499   , -1632.43    , array([ 1.42964    ,  0.0678024  ,  0.00140189 ,  2.78885e-37,  0.0242552  ])
23500   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.0014033  ,  2.78885e-37,  0.0242552  ])
23501   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.00140189 ,  2.79164e-37,  0.0242552  ])
23502   , -1632.43    , array([ 1.42964    ,  0.0677347  ,  0.00140189 ,  2.78885e-37,  0.0242795  ])
