145970  , -9136.64    , array([ 0.0121509  ,  0.00395876 ,  7.08428    ,  3.49767e-45,  0.00143477 ])
145971  , -9136.64    , array([ 0.0121509  ,  0.00395876 ,  7.08428    ,  3.49767e-45,  0.00143477 ])
145972  , -9125.74    , array([ 0.0121631  ,  0.00395876 ,  7.08428    ,  3.49767e-45,  0.00143477 ])
145973  , -9136.68    , array([ 0.0121509  ,  0.00396272 ,  7.08428    ,  3.49767e-45,  0.00143477 ])
145974  , -9136.46    , array([ 0.0121509  ,  0.00395876 ,  7.09137    ,  3.49767e-45,  0.00143477 ])
145975  , -9136.64    , array([ 0.0121509  ,  0.00395876 ,  7.08428    ,  3.50117e-45,  0.00143477 ])
145976  , -9147.15    , array([ 0.0121509  ,  0.00395876 ,  7.08428    ,  3.49767e-45,  0.0014362  ])
145977  , -9132.11    , array([ 0.012292   ,  0.00400396 ,  7.10923    ,  3.49767e-45,  0.00145152 ])
145978  , -9132.11    , array([ 0.012292   ,  0.00400396 ,  7.10923    ,  3.49767e-45,  0.00145152 ])
145979  , -9121.22    , array([ 0.0123043  ,  0.00400396 ,  7.10923    ,  3.49767e-45,  0.00145152 ])
145980  , -9132.15    , array([ 0.012292   ,  0.00400797 ,  7.10923    ,  3.49767e-45,  0.00145152 ])
145981  , -9131.93    , array([ 0.012292   ,  0.00400396 ,  7.11635    ,  3.49767e-45,  0.00145152 ])
145982  , -9132.11    , array([ 0.012292   ,  0.00400396 ,  7.10923    ,  3.50117e-45,  0.00145152 ])
145983  , -9142.61    , array([ 0.012292   ,  0.00400396 ,  7.10923    ,  3.49767e-45,  0.00145297 ])
145984  , -9113.32    , array([ 0.0128729  ,  0.00418997 ,  7.20993    ,  3.49767e-45,  0.00152051 ])
145985  , -9113.32    , array([ 0.0128729  ,  0.00418997 ,  7.20993    ,  3.49767e-45,  0.00152051 ])
145986  , -9102.44    , array([ 0.0128857  ,  0.00418997 ,  7.20993    ,  3.49767e-45,  0.00152051 ])
145987  , -9113.34    , array([ 0.0128729  ,  0.00419416 ,  7.20993    ,  3.49767e-45,  0.00152051 ])
145988  , -9113.13    , array([ 0.0128729  ,  0.00418997 ,  7.21714    ,  3.49767e-45,  0.00152051 ])
145989  , -9113.32    , array([ 0.0128729  ,  0.00418997 ,  7.20993    ,  3.50117e-45,  0.00152051 ])
145990  , -9123.8     , array([ 0.0128729  ,  0.00418997 ,  7.20993    ,  3.49767e-45,  0.00152203 ])
145991  , -9026.27    , array([ 0.0154841  ,  0.00502453 ,  7.62718    ,  3.49767e-45,  0.00183088 ])
145992  , -9026.27    , array([ 0.0154841  ,  0.00502453 ,  7.62718    ,  3.49767e-45,  0.00183088 ])
145993  , -9015.47    , array([ 0.0154996  ,  0.00502453 ,  7.62718    ,  3.49767e-45,  0.00183088 ])
145994  , -9026.23    , array([ 0.0154841  ,  0.00502955 ,  7.62718    ,  3.49767e-45,  0.00183088 ])
145995  , -9026.03    , array([ 0.0154841  ,  0.00502453 ,  7.63481    ,  3.49767e-45,  0.00183088 ])
145996  , -9026.27    , array([ 0.0154841  ,  0.00502453 ,  7.62718    ,  3.50117e-45,  0.00183088 ])
145997  , -9036.64    , array([ 0.0154841  ,  0.00502453 ,  7.62718    ,  3.49767e-45,  0.00183271 ])
145998  , -8407.36    , array([ 0.032414   ,  0.0103904  ,  9.55203    ,  3.49767e-45,  0.00384893 ])
145999  , -8407.36    , array([ 0.032414   ,  0.0103904  ,  9.55203    ,  3.49767e-45,  0.00384893 ])
146000  , -8397.12    , array([ 0.0324464  ,  0.0103904  ,  9.55203    ,  3.49767e-45,  0.00384893 ])
146001  , -8407.24    , array([ 0.032414   ,  0.0104008  ,  9.55203    ,  3.49767e-45,  0.00384893 ])
146002  , -8406.78    , array([ 0.032414   ,  0.0103904  ,  9.56159    ,  3.49767e-45,  0.00384893 ])
146003  , -8407.36    , array([ 0.032414   ,  0.0103904  ,  9.55203    ,  3.50117e-45,  0.00384893 ])
146004  , -8416.65    , array([ 0.032414   ,  0.0103904  ,  9.55203    ,  3.49767e-45,  0.00385278 ])
146012  , -8407.34    , array([ 0.0324146  ,  0.0103906  ,  9.55208    ,  3.49767e-45,  0.003849   ])
146013  , -8407.34    , array([ 0.0324146  ,  0.0103906  ,  9.55208    ,  3.49767e-45,  0.003849   ])
146014  , -8397.1     , array([ 0.032447   ,  0.0103906  ,  9.55208    ,  3.49767e-45,  0.003849   ])
146015  , -8407.22    , array([ 0.0324146  ,  0.010401   ,  9.55208    ,  3.49767e-45,  0.003849   ])
146016  , -8406.76    , array([ 0.0324146  ,  0.0103906  ,  9.56164    ,  3.49767e-45,  0.003849   ])
146017  , -8407.34    , array([ 0.0324146  ,  0.0103906  ,  9.55208    ,  3.50117e-45,  0.003849   ])
146018  , -8416.63    , array([ 0.0324146  ,  0.0103906  ,  9.55208    ,  3.49767e-45,  0.00385285 ])
146019  , -8407.32    , array([ 0.0324151  ,  0.0103907  ,  9.55213    ,  3.49767e-45,  0.00384907 ])
146020  , -8407.32    , array([ 0.0324151  ,  0.0103907  ,  9.55213    ,  3.49767e-45,  0.00384907 ])
146021  , -8397.07    , array([ 0.0324476  ,  0.0103907  ,  9.55213    ,  3.49767e-45,  0.00384907 ])
146022  , -8407.2     , array([ 0.0324151  ,  0.0104011  ,  9.55213    ,  3.49767e-45,  0.00384907 ])
146023  , -8406.74    , array([ 0.0324151  ,  0.0103907  ,  9.56169    ,  3.49767e-45,  0.00384907 ])
146024  , -8407.32    , array([ 0.0324151  ,  0.0103907  ,  9.55213    ,  3.50117e-45,  0.00384907 ])
146025  , -8416.61    , array([ 0.0324151  ,  0.0103907  ,  9.55213    ,  3.49767e-45,  0.00385292 ])
146033  , -8407.31    , array([ 0.0324153  ,  0.0103908  ,  9.55215    ,  3.49767e-45,  0.00384908 ])
146034  , -8407.31    , array([ 0.0324153  ,  0.0103908  ,  9.55215    ,  3.49767e-45,  0.00384908 ])
146035  , -8397.07    , array([ 0.0324477  ,  0.0103908  ,  9.55215    ,  3.49767e-45,  0.00384908 ])
146036  , -8407.19    , array([ 0.0324153  ,  0.0104012  ,  9.55215    ,  3.49767e-45,  0.00384908 ])
