135040  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.76168e-27,  6.68234e-30,  1.31595e-11])
135041  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68903e-30,  1.31595e-11])
135042  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31727e-11])
135043  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135044  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135045  , -79089.4    , array([ 0.00190228 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135046  , -79089.4    , array([ 0.00190038 ,  0.117971   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135047  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.76168e-27,  6.68234e-30,  1.31595e-11])
135048  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68903e-30,  1.31595e-11])
135049  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31727e-11])
135050  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135051  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135052  , -79089.4    , array([ 0.00190228 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135053  , -79089.4    , array([ 0.00190038 ,  0.117971   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135054  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.76168e-27,  6.68234e-30,  1.31595e-11])
135055  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68903e-30,  1.31595e-11])
135056  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31727e-11])
135057  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135058  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135059  , -79089.4    , array([ 0.00190228 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135060  , -79089.4    , array([ 0.00190038 ,  0.117971   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135061  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.76168e-27,  6.68234e-30,  1.31595e-11])
135062  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68903e-30,  1.31595e-11])
135063  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31727e-11])
135064  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135065  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135066  , -79089.4    , array([ 0.00190228 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135067  , -79089.4    , array([ 0.00190038 ,  0.117971   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135068  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.76168e-27,  6.68234e-30,  1.31595e-11])
135069  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68903e-30,  1.31595e-11])
135070  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31727e-11])
135071  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135072  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135073  , -79089.4    , array([ 0.00190228 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135074  , -79089.4    , array([ 0.00190038 ,  0.117971   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135075  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.76168e-27,  6.68234e-30,  1.31595e-11])
135076  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68903e-30,  1.31595e-11])
135077  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31727e-11])
135078  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135079  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135080  , -79089.4    , array([ 0.00190228 ,  0.117853   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135081  , -79089.4    , array([ 0.00190038 ,  0.117971   ,  2.75892e-27,  6.68234e-30,  1.31595e-11])
135082  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.76168e-27,  6.68234e-30,  1.31595e-11])
135083  , -79089.4    , array([ 0.00190038 ,  0.117853   ,  2.75892e-27,  6.68903e-30,  1.31595e-11])
