748     , -12868.2    , array([ 0.00106364 ,  3.40414    ,  2.9782e-06 ,  0.000628664])
749     , -12868.2    , array([ 0.00106364 ,  3.40414    ,  2.97523e-06,  0.000629293])
750     , -12868.2    , array([ 0.0010532  ,  3.4004     ,  2.94942e-06,  0.000629052])
751     , -12868.2    , array([ 0.0010532  ,  3.4004     ,  2.94942e-06,  0.000629052])
752     , -12868.2    , array([ 0.00105426 ,  3.4004     ,  2.94942e-06,  0.000629052])
753     , -12868.2    , array([ 0.0010532  ,  3.4038     ,  2.94942e-06,  0.000629052])
754     , -12868.2    , array([ 0.0010532  ,  3.4004     ,  2.95237e-06,  0.000629052])
755     , -12868.2    , array([ 0.0010532  ,  3.4004     ,  2.94942e-06,  0.000629681])
762     , -12868.2    , array([ 0.0010532  ,  3.4004     ,  2.94942e-06,  0.000629052])
763     , -12868.2    , array([ 0.0010532  ,  3.4004     ,  2.94942e-06,  0.000629052])
764     , -12868.2    , array([ 0.00105426 ,  3.4004     ,  2.94942e-06,  0.000629052])
765     , -12868.2    , array([ 0.0010532  ,  3.4038     ,  2.94942e-06,  0.000629052])
766     , -12868.2    , array([ 0.0010532  ,  3.4004     ,  2.95237e-06,  0.000629052])
767     , -12868.2    , array([ 0.0010532  ,  3.4004     ,  2.94942e-06,  0.000629681])
768     , -12868.2    , array([ 0.0010532  ,  3.4004     ,  2.94942e-06,  0.000629052])
769     , -12868.2    , array([ 0.0010532  ,  3.4004     ,  2.94942e-06,  0.000629052])
770     , -12868.2    , array([ 0.00105426 ,  3.4004     ,  2.94942e-06,  0.000629052])
771     , -12868.2    , array([ 0.0010532  ,  3.4038     ,  2.94942e-06,  0.000629052])
772     , -12868.2    , array([ 0.0010532  ,  3.4004     ,  2.95237e-06,  0.000629052])
773     , -12868.2    , array([ 0.0010532  ,  3.4004     ,  2.94942e-06,  0.000629681])
774     , -12868.1    , array([ 0.00102058 ,  3.38849    ,  2.86854e-06,  0.000630292])
775     , -12868.1    , array([ 0.00102058 ,  3.38849    ,  2.86854e-06,  0.000630292])
776     , -12868.1    , array([ 0.0010216  ,  3.38849    ,  2.86854e-06,  0.000630292])
777     , -12868.1    , array([ 0.00102058 ,  3.39188    ,  2.86854e-06,  0.000630292])
778     , -12868.1    , array([ 0.00102058 ,  3.38849    ,  2.87141e-06,  0.000630292])
779     , -12868.1    , array([ 0.00102058 ,  3.38849    ,  2.86854e-06,  0.000630922])
780     , -12868.1    , array([ 0.00102058 ,  3.38849    ,  2.86854e-06,  0.000630292])
781     , -12868.1    , array([ 0.00102058 ,  3.38849    ,  2.86854e-06,  0.000630292])
782     , -12868.1    , array([ 0.0010216  ,  3.38849    ,  2.86854e-06,  0.000630292])
783     , -12868.1    , array([ 0.00102058 ,  3.39188    ,  2.86854e-06,  0.000630292])
784     , -12868.1    , array([ 0.00102058 ,  3.38849    ,  2.87141e-06,  0.000630292])
785     , -12868.1    , array([ 0.00102058 ,  3.38849    ,  2.86854e-06,  0.000630922])
786     , -12868.1    , array([ 0.00102058 ,  3.38849    ,  2.86854e-06,  0.000630292])
787     , -12868.1    , array([ 0.00102058 ,  3.38849    ,  2.86854e-06,  0.000630292])
788     , -12868.1    , array([ 0.0010216  ,  3.38849    ,  2.86854e-06,  0.000630292])
789     , -12868.1    , array([ 0.00102058 ,  3.39188    ,  2.86854e-06,  0.000630292])
790     , -12868.1    , array([ 0.00102058 ,  3.38849    ,  2.87141e-06,  0.000630292])
791     , -12868.1    , array([ 0.00102058 ,  3.38849    ,  2.86854e-06,  0.000630922])
792     , -12868.1    , array([ 0.00102058 ,  3.38849    ,  2.86854e-06,  0.000630292])
793     , -12868.1    , array([ 0.00102058 ,  3.38849    ,  2.86854e-06,  0.000630292])
794     , -12868.1    , array([ 0.0010216  ,  3.38849    ,  2.86854e-06,  0.000630292])
795     , -12868.1    , array([ 0.00102058 ,  3.39188    ,  2.86854e-06,  0.000630292])
796     , -12868.1    , array([ 0.00102058 ,  3.38849    ,  2.87141e-06,  0.000630292])
797     , -12868.1    , array([ 0.00102058 ,  3.38849    ,  2.86854e-06,  0.000630922])
798     , -12868.1    , array([ 0.00102058 ,  3.38849    ,  2.86854e-06,  0.000630292])
799     , -12868.1    , array([ 0.00102058 ,  3.38849    ,  2.86854e-06,  0.000630292])
800     , -12868.1    , array([ 0.0010216  ,  3.38849    ,  2.86854e-06,  0.000630292])
801     , -12868.1    , array([ 0.00102058 ,  3.39188    ,  2.86854e-06,  0.000630292])
802     , -12868.1    , array([ 0.00102058 ,  3.38849    ,  2.87141e-06,  0.000630292])
803     , -12868.1    , array([ 0.00102058 ,  3.38849    ,  2.86854e-06,  0.000630922])
804     , -12868.1    , array([ 0.00102058 ,  3.38849    ,  2.86854e-06,  0.000630292])
805     , -12868.1    , array([ 0.00102058 ,  3.38849    ,  2.86854e-06,  0.000630292])
806     , -12868.1    , array([ 0.0010216  ,  3.38849    ,  2.86854e-06,  0.000630292])
807     , -12868.1    , array([ 0.00102058 ,  3.39188    ,  2.86854e-06,  0.000630292])
808     , -12868.1    , array([ 0.00102058 ,  3.38849    ,  2.87141e-06,  0.000630292])
809     , -12868.1    , array([ 0.00102058 ,  3.38849    ,  2.86854e-06,  0.000630922])
810     , -12876.1    , array([ 0.0136594  ,  4.52478    ,  2.83864e-05,  0.000535845])
811     , -12876.1    , array([ 0.0136594  ,  4.52478    ,  2.83864e-05,  0.000535845])
812     , -12876.1    , array([ 0.0136731  ,  4.52478    ,  2.83864e-05,  0.000535845])
813     , -12876.1    , array([ 0.0136594  ,  4.52931    ,  2.83864e-05,  0.000535845])
814     , -12876.1    , array([ 0.0136594  ,  4.52478    ,  2.84148e-05,  0.000535845])
815     , -12876.1    , array([ 0.0136594  ,  4.52478    ,  2.83864e-05,  0.000536381])
816     , -12872.8    , array([ 0.00441385 ,  3.98937    ,  1.04618e-05,  0.000575098])
817     , -12872.8    , array([ 0.00441385 ,  3.98937    ,  1.04618e-05,  0.000575098])
818     , -12872.9    , array([ 0.00441827 ,  3.98937    ,  1.04618e-05,  0.000575098])
819     , -12872.8    , array([ 0.00441385 ,  3.99336    ,  1.04618e-05,  0.000575098])
820     , -12872.8    , array([ 0.00441385 ,  3.98937    ,  1.04722e-05,  0.000575098])
821     , -12872.8    , array([ 0.00441385 ,  3.98937    ,  1.04618e-05,  0.000575673])
823     , -12869.2    , array([ 0.00142628 ,  3.51731    ,  3.85566e-06,  0.000617227])
824     , -12869.2    , array([ 0.00142628 ,  3.51731    ,  3.85566e-06,  0.000617227])
825     , -12869.3    , array([ 0.0014277  ,  3.51731    ,  3.85566e-06,  0.000617227])
826     , -12869.2    , array([ 0.00142628 ,  3.52083    ,  3.85566e-06,  0.000617227])
827     , -12869.2    , array([ 0.00142628 ,  3.51731    ,  3.85952e-06,  0.000617227])
828     , -12869.2    , array([ 0.00142628 ,  3.51731    ,  3.85566e-06,  0.000617845])
830     , -12868.3    , array([ 0.00107535 ,  3.4083     ,  3.00416e-06,  0.000628233])
