52103   , -1632.53    , array([ 1.43739    ,  0.0676595  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52104   , -1632.53    , array([ 1.43739    ,  0.0676595  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52105   , -1632.53    , array([ 1.43883    ,  0.0676595  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52106   , -1632.53    , array([ 1.43739    ,  0.0677272  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52107   , -1632.53    , array([ 1.43739    ,  0.0676595  ,  6.69994e-12,  6.25519e-34,  0.0242298  ])
52108   , -1632.53    , array([ 1.43739    ,  0.0676595  ,  6.69324e-12,  6.26145e-34,  0.0242298  ])
52109   , -1632.53    , array([ 1.43739    ,  0.0676595  ,  6.69324e-12,  6.25519e-34,  0.024254   ])
52110   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52111   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52112   , -1632.53    , array([ 1.43883    ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52113   , -1632.53    , array([ 1.4374     ,  0.0677273  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52114   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69994e-12,  6.25519e-34,  0.0242298  ])
52115   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69324e-12,  6.26145e-34,  0.0242298  ])
52116   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.024254   ])
52117   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52118   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52119   , -1632.53    , array([ 1.43883    ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52120   , -1632.53    , array([ 1.4374     ,  0.0677273  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52121   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69994e-12,  6.25519e-34,  0.0242298  ])
52122   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69324e-12,  6.26145e-34,  0.0242298  ])
52123   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.024254   ])
52124   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52125   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52126   , -1632.53    , array([ 1.43883    ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52127   , -1632.53    , array([ 1.4374     ,  0.0677273  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52128   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69994e-12,  6.25519e-34,  0.0242298  ])
52129   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69324e-12,  6.26145e-34,  0.0242298  ])
52130   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.024254   ])
52131   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52132   , -1632.53    , array([ 1.4374     ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
52133   , -1632.53    , array([ 1.43883    ,  0.0676596  ,  6.69324e-12,  6.25519e-34,  0.0242298  ])
