64801   , -2782.59    , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  0.0729493  ,  0.00291489 ])
64803   , -2781.85    , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  0.0278643  ,  0.00291489 ])
64805   , -2781.57    , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  0.0106434  ,  0.00291489 ])
64807   , -2781.46    , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  0.00406562 ,  0.00291489 ])
64809   , -2781.42    , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  0.00155312 ,  0.00291489 ])
64811   , -2781.4     , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  0.000593431,  0.00291489 ])
64813   , -2781.39    , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  0.000226863,  0.00291489 ])
64815   , -2781.39    , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  8.68461e-05,  0.00291489 ])
64817   , -2781.39    , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  3.33645e-05,  0.00291489 ])
64819   , -2781.39    , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  1.29363e-05,  0.00291489 ])
64821   , -2781.39    , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  5.13348e-06,  0.00291489 ])
64823   , -2781.39    , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  2.15305e-06,  0.00291489 ])
64825   , -2781.39    , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  1.01463e-06,  0.00291489 ])
64827   , -2781.39    , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  5.79791e-07,  0.00291489 ])
64828   , -2781.39    , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  1.84162e-07,  0.00291489 ])
64829   , -2781.39    , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  1.05743e-07,  0.00291489 ])
64830   , -2781.39    , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  5.72777e-08,  0.00291489 ])
64831   , -2781.39    , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  2.73244e-08,  0.00291489 ])
64832   , -2781.39    , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  8.81226e-09,  0.00291489 ])
64834   , -2781.39    , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  1.58833e-08,  0.00291489 ])
64835   , -2781.39    , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  4.44213e-09,  0.00291489 ])
64836   , -2781.39    , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  1.36609e-09,  0.00291489 ])
64837   , -2781.39    , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  1.36609e-09,  0.00291489 ])
64838   , -484795     , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  1.36609e-09,  1.00291    ])
64840   , -2781.39    , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  1.36609e-09,  0.00291489 ])
64842   , -462000     , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  1.36609e-09,  0.384881   ])
64843   , -452361     , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  1.36609e-09,  0.19021    ])
64846   , -255620     , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  1.36609e-09,  0.0744553  ])
64848   , -96244.8    , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  1.36609e-09,  0.0302409  ])
64850   , -33740.7    , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  1.36609e-09,  0.0133525  ])
64852   , -10191.4    , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  1.36609e-09,  0.00690169 ])
64854   , -3355.31    , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  1.36609e-09,  0.00443771 ])
64855   , -2362.15    , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  1.36609e-09,  0.00336294 ])
64856   , -2359.04    , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  1.36609e-09,  0.003522   ])
64857   , -2352.29    , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  1.36609e-09,  0.00344895 ])
64858   , -2352.32    , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  1.36609e-09,  0.00345429 ])
64859   , -2352.33    , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  1.36609e-09,  0.00344361 ])
64861   , -2352.29    , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  1.36609e-09,  0.00344895 ])
64862   , -2360.9     , array([ 1.207      ,  0.0100004  ,  0.067325   ,  1.36609e-09,  0.00344895 ])
64864   , -2352.29    , array([ 0.207004   ,  0.0100004  ,  0.067325   ,  1.36609e-09,  0.00344895 ])
64866   , -2321.2     , array([ 0.58897    ,  0.0100004  ,  0.067325   ,  1.36609e-09,  0.00344895 ])
64867   , -2304.47    , array([ 0.397988   ,  0.0100004  ,  0.067325   ,  1.36609e-09,  0.00344895 ])
64868   , -2307.76    , array([ 0.443985   ,  0.0100004  ,  0.067325   ,  1.36609e-09,  0.00344895 ])
64869   , -2303.67    , array([ 0.325038   ,  0.0100004  ,  0.067325   ,  1.36609e-09,  0.00344895 ])
64870   , -2302.97    , array([ 0.350657   ,  0.0100004  ,  0.067325   ,  1.36609e-09,  0.00344895 ])
64871   , -2302.98    , array([ 0.354676   ,  0.0100004  ,  0.067325   ,  1.36609e-09,  0.00344895 ])
