18849   , -393.421    , array([ 0.520318   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18850   , -393.441    , array([ 0.519798   ,  0.0718313  ,  5.29747e-24,  0.210013   ])
18851   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.30277e-24,  0.210013   ])
18852   , -393.402    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210223   ])
18853   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18854   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18855   , -393.421    , array([ 0.520318   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18856   , -393.441    , array([ 0.519798   ,  0.0718313  ,  5.29747e-24,  0.210013   ])
18857   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.30277e-24,  0.210013   ])
18858   , -393.402    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210223   ])
18859   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18860   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18861   , -393.421    , array([ 0.520318   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18862   , -393.441    , array([ 0.519798   ,  0.0718313  ,  5.29747e-24,  0.210013   ])
18863   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.30277e-24,  0.210013   ])
18864   , -393.402    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210223   ])
18865   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18866   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18867   , -393.421    , array([ 0.520318   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18868   , -393.441    , array([ 0.519798   ,  0.0718313  ,  5.29747e-24,  0.210013   ])
18869   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.30277e-24,  0.210013   ])
18870   , -393.402    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210223   ])
18871   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18872   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18873   , -393.421    , array([ 0.520318   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18874   , -393.441    , array([ 0.519798   ,  0.0718313  ,  5.29747e-24,  0.210013   ])
18875   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.30277e-24,  0.210013   ])
18876   , -393.402    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210223   ])
18877   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18878   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18879   , -393.421    , array([ 0.520318   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18880   , -393.441    , array([ 0.519798   ,  0.0718313  ,  5.29747e-24,  0.210013   ])
18881   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.30277e-24,  0.210013   ])
18882   , -393.402    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210223   ])
18883   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18884   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18885   , -393.421    , array([ 0.520318   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18886   , -393.441    , array([ 0.519798   ,  0.0718313  ,  5.29747e-24,  0.210013   ])
18887   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.30277e-24,  0.210013   ])
18888   , -393.402    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210223   ])
18889   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18890   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18891   , -393.421    , array([ 0.520318   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18892   , -393.441    , array([ 0.519798   ,  0.0718313  ,  5.29747e-24,  0.210013   ])
18893   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.30277e-24,  0.210013   ])
18894   , -393.402    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210223   ])
18895   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18896   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18897   , -393.421    , array([ 0.520318   ,  0.0717595  ,  5.29747e-24,  0.210013   ])
18898   , -393.441    , array([ 0.519798   ,  0.0718313  ,  5.29747e-24,  0.210013   ])
18899   , -393.421    , array([ 0.519798   ,  0.0717595  ,  5.30277e-24,  0.210013   ])
18900   , -393.402    , array([ 0.519798   ,  0.0717595  ,  5.29747e-24,  0.210223   ])
18901   , -393.421    , array([ 0.519798   ,  0.0720445  ,  5.29747e-24,  0.210571   ])
18902   , -393.421    , array([ 0.519798   ,  0.0720445  ,  5.29747e-24,  0.210571   ])
18903   , -393.421    , array([ 0.520318   ,  0.0720445  ,  5.29747e-24,  0.210571   ])
18904   , -393.44     , array([ 0.519798   ,  0.0721166  ,  5.29747e-24,  0.210571   ])
18905   , -393.421    , array([ 0.519798   ,  0.0720445  ,  5.30277e-24,  0.210571   ])
18906   , -393.404    , array([ 0.519798   ,  0.0720445  ,  5.29747e-24,  0.210782   ])
18907   , -393.421    , array([ 0.519798   ,  0.0719732  ,  5.29747e-24,  0.210431   ])
18908   , -393.421    , array([ 0.519798   ,  0.0719732  ,  5.29747e-24,  0.210431   ])
18909   , -393.421    , array([ 0.520318   ,  0.0719732  ,  5.29747e-24,  0.210431   ])
18910   , -393.44     , array([ 0.519798   ,  0.0720452  ,  5.29747e-24,  0.210431   ])
18911   , -393.421    , array([ 0.519798   ,  0.0719732  ,  5.30277e-24,  0.210431   ])
18912   , -393.403    , array([ 0.519798   ,  0.0719732  ,  5.29747e-24,  0.210642   ])
18913   , -393.421    , array([ 0.519798   ,  0.0718307  ,  5.29747e-24,  0.210152   ])
18914   , -393.421    , array([ 0.519798   ,  0.0718307  ,  5.29747e-24,  0.210152   ])
18915   , -393.421    , array([ 0.520318   ,  0.0718307  ,  5.29747e-24,  0.210152   ])
18916   , -393.441    , array([ 0.519798   ,  0.0719026  ,  5.29747e-24,  0.210152   ])
18917   , -393.421    , array([ 0.519798   ,  0.0718307  ,  5.30277e-24,  0.210152   ])
18918   , -393.402    , array([ 0.519798   ,  0.0718307  ,  5.29747e-24,  0.210362   ])
18919   , -393.421    , array([ 0.519798   ,  0.0715466  ,  5.29747e-24,  0.209595   ])
18920   , -393.421    , array([ 0.519798   ,  0.0716891  ,  5.29747e-24,  0.209875   ])
18921   , -393.421    , array([ 0.519798   ,  0.0717709  ,  5.29747e-24,  0.210035   ])
18922   , -393.421    , array([ 0.519798   ,  0.0718046  ,  5.29747e-24,  0.210101   ])
18923   , -393.421    , array([ 0.519798   ,  0.0718046  ,  5.29747e-24,  0.210101   ])
18924   , -393.421    , array([ 0.520318   ,  0.0718046  ,  5.29747e-24,  0.210101   ])
18925   , -393.441    , array([ 0.519798   ,  0.0718764  ,  5.29747e-24,  0.210101   ])
18926   , -393.421    , array([ 0.519798   ,  0.0718046  ,  5.30277e-24,  0.210101   ])
18927   , -393.402    , array([ 0.519798   ,  0.0718046  ,  5.29747e-24,  0.210311   ])
18928   , -393.421    , array([ 0.519798   ,  0.0717847  ,  5.29747e-24,  0.210062   ])
18929   , -393.421    , array([ 0.519798   ,  0.0717965  ,  5.29747e-24,  0.210085   ])
18930   , -393.421    , array([ 0.519798   ,  0.071801   ,  5.29747e-24,  0.210094   ])
18931   , -393.421    , array([ 0.519798   ,  0.0718031  ,  5.29747e-24,  0.210098   ])
18932   , -393.421    , array([ 0.519798   ,  0.0718039  ,  5.29747e-24,  0.2101     ])
18933   , -393.421    , array([ 0.519798   ,  0.0718043  ,  5.29747e-24,  0.2101     ])
18934   , -393.421    , array([ 0.519798   ,  0.0718045  ,  5.29747e-24,  0.210101   ])
18935   , -393.421    , array([ 0.519798   ,  0.0718045  ,  5.29747e-24,  0.210101   ])
