49421   , -709159     , array([ 0.0143831  ,  0.00516647 ,  1.01575e-12,  4.9085e-53 ,  0.0738708  ])
49422   , -708918     , array([ 0.0143975  ,  0.00516647 ,  1.01575e-12,  4.9085e-53 ,  0.0738708  ])
49423   , -716367     , array([ 0.0143831  ,  0.00517164 ,  1.01575e-12,  4.9085e-53 ,  0.0738708  ])
49424   , -709159     , array([ 0.0143831  ,  0.00516647 ,  1.01676e-12,  4.9085e-53 ,  0.0738708  ])
49425   , -709159     , array([ 0.0143831  ,  0.00516647 ,  1.01575e-12,  4.91341e-53,  0.0738708  ])
49426   , -709927     , array([ 0.0143831  ,  0.00516647 ,  1.01575e-12,  4.9085e-53 ,  0.0739447  ])
49427   , -709831     , array([ 0.0143787  ,  0.0051633  ,  1.01558e-12,  4.9085e-53 ,  0.0738957  ])
49428   , -709395     , array([ 0.0143816  ,  0.00516536 ,  1.01569e-12,  4.9085e-53 ,  0.0738796  ])
49429   , -709247     , array([ 0.0143825  ,  0.00516606 ,  1.01573e-12,  4.9085e-53 ,  0.0738741  ])
49430   , -709192     , array([ 0.0143829  ,  0.00516632 ,  1.01574e-12,  4.9085e-53 ,  0.073872   ])
49431   , -709171     , array([ 0.014383   ,  0.00516642 ,  1.01574e-12,  4.9085e-53 ,  0.0738713  ])
