650     , -12860.1    , array([ 0.00100393 ,  0.956944   ,  3.0522e-06 ,  0.00116962 ])
651     , -12860.2    , array([ 0.00100494 ,  0.956944   ,  3.0522e-06 ,  0.00116962 ])
652     , -12860.1    , array([ 0.00100393 ,  0.957901   ,  3.0522e-06 ,  0.00116962 ])
653     , -12860.1    , array([ 0.00100393 ,  0.956944   ,  3.05525e-06,  0.00116962 ])
654     , -12860.1    , array([ 0.00100393 ,  0.956944   ,  3.0522e-06 ,  0.00117079 ])
655     , -12860.1    , array([ 0.00100393 ,  0.956944   ,  3.0522e-06 ,  0.00116962 ])
656     , -12860.1    , array([ 0.00100393 ,  0.956944   ,  3.0522e-06 ,  0.00116962 ])
657     , -12860.2    , array([ 0.00100494 ,  0.956944   ,  3.0522e-06 ,  0.00116962 ])
658     , -12860.1    , array([ 0.00100393 ,  0.957901   ,  3.0522e-06 ,  0.00116962 ])
659     , -12860.1    , array([ 0.00100393 ,  0.956944   ,  3.05525e-06,  0.00116962 ])
660     , -12860.1    , array([ 0.00100393 ,  0.956944   ,  3.0522e-06 ,  0.00117079 ])
661     , -12860.1    , array([ 0.00100393 ,  0.956944   ,  3.0522e-06 ,  0.00116962 ])
662     , -12860.1    , array([ 0.00100393 ,  0.956944   ,  3.0522e-06 ,  0.00116962 ])
663     , -12860.2    , array([ 0.00100494 ,  0.956944   ,  3.0522e-06 ,  0.00116962 ])
664     , -12860.1    , array([ 0.00100393 ,  0.957901   ,  3.0522e-06 ,  0.00116962 ])
665     , -12860.1    , array([ 0.00100393 ,  0.956944   ,  3.05525e-06,  0.00116962 ])
666     , -12860.1    , array([ 0.00100393 ,  0.956944   ,  3.0522e-06 ,  0.00117079 ])
667     , -12860.1    , array([ 0.00100393 ,  0.956944   ,  3.0522e-06 ,  0.00116962 ])
668     , -12860.1    , array([ 0.00100393 ,  0.956944   ,  3.0522e-06 ,  0.00116962 ])
669     , -12860.2    , array([ 0.00100494 ,  0.956944   ,  3.0522e-06 ,  0.00116962 ])
670     , -12860.1    , array([ 0.00100393 ,  0.957901   ,  3.0522e-06 ,  0.00116962 ])
671     , -12860.1    , array([ 0.00100393 ,  0.956944   ,  3.05525e-06,  0.00116962 ])
672     , -12860.1    , array([ 0.00100393 ,  0.956944   ,  3.0522e-06 ,  0.00117079 ])
