45455   , -2164.27    , array([ 2.36961    ,  0.0726358  ,  3.92411e-87,  4.71013e-22,  0.0312024  ])
45456   , -2158.75    , array([ 2.36954    ,  0.0726363  ,  3.92411e-87,  4.71013e-22,  0.0311714  ])
45457   , -2158.75    , array([ 2.36954    ,  0.0726363  ,  3.92411e-87,  4.71013e-22,  0.0311714  ])
45458   , -2158.89    , array([ 2.37191    ,  0.0726363  ,  3.92411e-87,  4.71013e-22,  0.0311714  ])
45459   , -2153.44    , array([ 2.36954    ,  0.072709   ,  3.92411e-87,  4.71013e-22,  0.0311714  ])
45460   , -2158.75    , array([ 2.36954    ,  0.0726363  ,  3.92803e-87,  4.71013e-22,  0.0311714  ])
45461   , -2158.75    , array([ 2.36954    ,  0.0726363  ,  3.92411e-87,  4.71484e-22,  0.0311714  ])
45462   , -2164.26    , array([ 2.36954    ,  0.0726363  ,  3.92411e-87,  4.71013e-22,  0.0312026  ])
45463   , -199352     , array([ 0.0283941  ,  0.233031   ,  3.92411e-87,  4.71013e-22,  0.0939561  ])
45464   , -199352     , array([ 0.0283941  ,  0.233031   ,  3.92411e-87,  4.71013e-22,  0.0939561  ])
45465   , -199189     , array([ 0.0284225  ,  0.233031   ,  3.92411e-87,  4.71013e-22,  0.0939561  ])
45466   , -199364     , array([ 0.0283941  ,  0.233265   ,  3.92411e-87,  4.71013e-22,  0.0939561  ])
45467   , -199352     , array([ 0.0283941  ,  0.233031   ,  3.92803e-87,  4.71013e-22,  0.0939561  ])
45468   , -199352     , array([ 0.0283941  ,  0.233031   ,  3.92411e-87,  4.71484e-22,  0.0939561  ])
45469   , -199487     , array([ 0.0283941  ,  0.233031   ,  3.92411e-87,  4.71013e-22,  0.0940501  ])
45470   , -2420.07    , array([ 0.97529    ,  0.0917769  ,  3.92411e-87,  4.71013e-22,  0.0388956  ])
45471   , -2420.07    , array([ 0.97529    ,  0.0917769  ,  3.92411e-87,  4.71013e-22,  0.0388956  ])
45472   , -2419.02    , array([ 0.976266   ,  0.0917769  ,  3.92411e-87,  4.71013e-22,  0.0388956  ])
45473   , -2415.26    , array([ 0.97529    ,  0.0918687  ,  3.92411e-87,  4.71013e-22,  0.0388956  ])
45474   , -2420.07    , array([ 0.97529    ,  0.0917769  ,  3.92803e-87,  4.71013e-22,  0.0388956  ])
45475   , -2420.07    , array([ 0.97529    ,  0.0917769  ,  3.92411e-87,  4.71484e-22,  0.0388956  ])
45476   , -2426.17    , array([ 0.97529    ,  0.0917769  ,  3.92411e-87,  4.71013e-22,  0.0389345  ])
45477   , -2130.44    , array([ 1.85402    ,  0.0774867  ,  3.92411e-87,  4.71013e-22,  0.0331381  ])
45478   , -2130.44    , array([ 1.85402    ,  0.0774867  ,  3.92411e-87,  4.71013e-22,  0.0331381  ])
45479   , -2130.48    , array([ 1.85588    ,  0.0774867  ,  3.92411e-87,  4.71013e-22,  0.0331381  ])
45480   , -2125.26    , array([ 1.85402    ,  0.0775643  ,  3.92411e-87,  4.71013e-22,  0.0331381  ])
45481   , -2130.44    , array([ 1.85402    ,  0.0774867  ,  3.92803e-87,  4.71013e-22,  0.0331381  ])
45482   , -2130.44    , array([ 1.85402    ,  0.0774867  ,  3.92411e-87,  4.71484e-22,  0.0331381  ])
45483   , -2135.94    , array([ 1.85402    ,  0.0774867  ,  3.92411e-87,  4.71013e-22,  0.0331713  ])
45484   , -2069.39    , array([ 1.85905    ,  0.0779492  ,  3.92411e-87,  4.71013e-22,  0.0329424  ])
45485   , -2069.39    , array([ 1.85905    ,  0.0779492  ,  3.92411e-87,  4.71013e-22,  0.0329424  ])
45486   , -2069.43    , array([ 1.86091    ,  0.0779492  ,  3.92411e-87,  4.71013e-22,  0.0329424  ])
45487   , -2064.58    , array([ 1.85905    ,  0.0780272  ,  3.92411e-87,  4.71013e-22,  0.0329424  ])
45488   , -2069.39    , array([ 1.85905    ,  0.0779492  ,  3.92803e-87,  4.71013e-22,  0.0329424  ])
45489   , -2069.39    , array([ 1.85905    ,  0.0779492  ,  3.92411e-87,  4.71484e-22,  0.0329424  ])
45490   , -2074.51    , array([ 1.85905    ,  0.0779492  ,  3.92411e-87,  4.71013e-22,  0.0329753  ])
45491   , -1869.34    , array([ 1.87929    ,  0.0798268  ,  3.92411e-87,  4.71013e-22,  0.0321708  ])
45492   , -1869.34    , array([ 1.87929    ,  0.0798268  ,  3.92411e-87,  4.71013e-22,  0.0321708  ])
45493   , -1869.4     , array([ 1.88117    ,  0.0798268  ,  3.92411e-87,  4.71013e-22,  0.0321708  ])
45494   , -1866.01    , array([ 1.87929    ,  0.0799067  ,  3.92411e-87,  4.71013e-22,  0.0321708  ])
45495   , -1869.34    , array([ 1.87929    ,  0.0798268  ,  3.92803e-87,  4.71013e-22,  0.0321708  ])
45496   , -1869.34    , array([ 1.87929    ,  0.0798268  ,  3.92411e-87,  4.71484e-22,  0.0321708  ])
45497   , -1872.98    , array([ 1.87929    ,  0.0798268  ,  3.92411e-87,  4.71013e-22,  0.0322029  ])
45498   , -1656.21    , array([ 1.72501    ,  0.0820971  ,  3.92411e-87,  4.71013e-22,  0.0295716  ])
45499   , -1656.21    , array([ 1.72501    ,  0.0820971  ,  3.92411e-87,  4.71013e-22,  0.0295716  ])
45500   , -1656.28    , array([ 1.72674    ,  0.0820971  ,  3.92411e-87,  4.71013e-22,  0.0295716  ])
45501   , -1656.24    , array([ 1.72501    ,  0.0821792  ,  3.92411e-87,  4.71013e-22,  0.0295716  ])
45502   , -1656.21    , array([ 1.72501    ,  0.0820971  ,  3.92803e-87,  4.71013e-22,  0.0295716  ])
45503   , -1656.21    , array([ 1.72501    ,  0.0820971  ,  3.92411e-87,  4.71484e-22,  0.0295716  ])
45504   , -1656.45    , array([ 1.72501    ,  0.0820971  ,  3.92411e-87,  4.71013e-22,  0.0296012  ])
45505   , -1646.46    , array([ 1.6566     ,  0.0794038  ,  3.92411e-87,  4.71013e-22,  0.028409   ])
45506   , -1646.46    , array([ 1.6566     ,  0.0794038  ,  3.92411e-87,  4.71013e-22,  0.028409   ])
45507   , -1646.51    , array([ 1.65826    ,  0.0794038  ,  3.92411e-87,  4.71013e-22,  0.028409   ])
45508   , -1646.64    , array([ 1.6566     ,  0.0794832  ,  3.92411e-87,  4.71013e-22,  0.028409   ])
45509   , -1646.46    , array([ 1.6566     ,  0.0794038  ,  3.92803e-87,  4.71013e-22,  0.028409   ])
45510   , -1646.46    , array([ 1.6566     ,  0.0794038  ,  3.92411e-87,  4.71484e-22,  0.028409   ])
45511   , -1646.48    , array([ 1.6566     ,  0.0794038  ,  3.92411e-87,  4.71013e-22,  0.0284374  ])
45512   , -1634.74    , array([ 1.53369    ,  0.0734512  ,  3.92411e-87,  4.71013e-22,  0.02621    ])
45513   , -1634.74    , array([ 1.53369    ,  0.0734512  ,  3.92411e-87,  4.71013e-22,  0.02621    ])
