91454   , -27809.3    , array([ 4.47452    ,  0.0490393  ,  0.00100068 ,  2.03272e-40,  0.0609026  ])
91455   , -27809.3    , array([ 4.47452    ,  0.0490393  ,  0.00100068 ,  2.03272e-40,  0.0609026  ])
91456   , -27809.8    , array([ 4.479      ,  0.0490393  ,  0.00100068 ,  2.03272e-40,  0.0609026  ])
91457   , -27764.8    , array([ 4.47452    ,  0.0490884  ,  0.00100068 ,  2.03272e-40,  0.0609026  ])
91458   , -27809.3    , array([ 4.47452    ,  0.0490393  ,  0.00100168 ,  2.03272e-40,  0.0609026  ])
91459   , -27809.3    , array([ 4.47452    ,  0.0490393  ,  0.00100068 ,  2.03476e-40,  0.0609026  ])
91460   , -27854.4    , array([ 4.47452    ,  0.0490393  ,  0.00100068 ,  2.03272e-40,  0.0609635  ])
91461   , -27809.3    , array([ 4.47468    ,  0.049039   ,  0.00100065 ,  2.03272e-40,  0.0609021  ])
91462   , -27809.3    , array([ 4.47468    ,  0.049039   ,  0.00100065 ,  2.03272e-40,  0.0609021  ])
91463   , -27809.8    , array([ 4.47915    ,  0.049039   ,  0.00100065 ,  2.03272e-40,  0.0609021  ])
91464   , -27764.8    , array([ 4.47468    ,  0.049088   ,  0.00100065 ,  2.03272e-40,  0.0609021  ])
91465   , -27809.3    , array([ 4.47468    ,  0.049039   ,  0.00100165 ,  2.03272e-40,  0.0609021  ])
91466   , -27809.3    , array([ 4.47468    ,  0.049039   ,  0.00100065 ,  2.03476e-40,  0.0609021  ])
91467   , -27854.4    , array([ 4.47468    ,  0.049039   ,  0.00100065 ,  2.03272e-40,  0.060963   ])
91468   , -25098.8    , array([ 36.0314    ,  0.0314111  ,  0.000155027,  2.03272e-40,  0.0363091  ])
91469   , -25098.8    , array([ 36.0314    ,  0.0314111  ,  0.000155027,  2.03272e-40,  0.0363091  ])
91470   , -25098.9    , array([ 36.0675    ,  0.0314111  ,  0.000155027,  2.03272e-40,  0.0363091  ])
91471   , -25056.6    , array([ 36.0314    ,  0.0314425  ,  0.000155027,  2.03272e-40,  0.0363091  ])
91472   , -25098.8    , array([ 36.0314    ,  0.0314111  ,  0.000155182,  2.03272e-40,  0.0363091  ])
91473   , -25098.8    , array([ 36.0314    ,  0.0314111  ,  0.000155027,  2.03476e-40,  0.0363091  ])
91474   , -25140.6    , array([ 36.0314    ,  0.0314111  ,  0.000155027,  2.03272e-40,  0.0363454  ])
91475   , -25098.8    , array([ 36.0318    ,  0.031411   ,  0.000155025,  2.03272e-40,  0.036309   ])
91476   , -25098.8    , array([ 36.0318    ,  0.031411   ,  0.000155025,  2.03272e-40,  0.036309   ])
91477   , -25098.9    , array([ 36.0678    ,  0.031411   ,  0.000155025,  2.03272e-40,  0.036309   ])
91478   , -25056.6    , array([ 36.0318    ,  0.0314425  ,  0.000155025,  2.03272e-40,  0.036309   ])
91479   , -25098.8    , array([ 36.0318    ,  0.031411   ,  0.00015518 ,  2.03272e-40,  0.036309   ])
91480   , -25098.8    , array([ 36.0318    ,  0.031411   ,  0.000155025,  2.03476e-40,  0.036309   ])
