63536   , -14291.9    , array([ 72.5655    ,  0.0086826  ,  0.124924   ,  6.89658e-29,  0.00119048 ])
63537   , -14291.9    , array([ 72.6381    ,  0.0086826  ,  0.124924   ,  6.89658e-29,  0.00119048 ])
63538   , -14314.5    , array([ 72.5655    ,  0.00869129 ,  0.124924   ,  6.89658e-29,  0.00119048 ])
63539   , -14291.9    , array([ 72.5655    ,  0.0086826  ,  0.125049   ,  6.89658e-29,  0.00119048 ])
63540   , -14291.9    , array([ 72.5655    ,  0.0086826  ,  0.124924   ,  6.90348e-29,  0.00119048 ])
63541   , -14269.3    , array([ 72.5655    ,  0.0086826  ,  0.124924   ,  6.89658e-29,  0.00119167 ])
63542   , -14291      , array([ 72.6958    ,  0.00868673 ,  0.125024   ,  6.89658e-29,  0.0011911  ])
63543   , -14291      , array([ 72.6958    ,  0.00868673 ,  0.125024   ,  6.89658e-29,  0.0011911  ])
63544   , -14291      , array([ 72.7686    ,  0.00868673 ,  0.125024   ,  6.89658e-29,  0.0011911  ])
63545   , -14313.5    , array([ 72.6958    ,  0.00869542 ,  0.125024   ,  6.89658e-29,  0.0011911  ])
63546   , -14291      , array([ 72.6958    ,  0.00868673 ,  0.125149   ,  6.89658e-29,  0.0011911  ])
63547   , -14291      , array([ 72.6958    ,  0.00868673 ,  0.125024   ,  6.90348e-29,  0.0011911  ])
63548   , -14268.4    , array([ 72.6958    ,  0.00868673 ,  0.125024   ,  6.89658e-29,  0.00119229 ])
63556   , -14290.9    , array([ 72.7036    ,  0.00868697 ,  0.12503    ,  6.89658e-29,  0.00119114 ])
63557   , -14290.9    , array([ 72.7036    ,  0.00868697 ,  0.12503    ,  6.89658e-29,  0.00119114 ])
63558   , -14290.9    , array([ 72.7763    ,  0.00868697 ,  0.12503    ,  6.89658e-29,  0.00119114 ])
63559   , -14313.5    , array([ 72.7036    ,  0.00869566 ,  0.12503    ,  6.89658e-29,  0.00119114 ])
63560   , -14290.9    , array([ 72.7036    ,  0.00868697 ,  0.125155   ,  6.89658e-29,  0.00119114 ])
63561   , -14290.9    , array([ 72.7036    ,  0.00868697 ,  0.12503    ,  6.90348e-29,  0.00119114 ])
63562   , -14268.3    , array([ 72.7036    ,  0.00868697 ,  0.12503    ,  6.89658e-29,  0.00119233 ])
63563   , -14290.7    , array([ 72.7362    ,  0.008688   ,  0.125055   ,  6.89658e-29,  0.00119129 ])
63564   , -14290.7    , array([ 72.7362    ,  0.008688   ,  0.125055   ,  6.89658e-29,  0.00119129 ])
63565   , -14290.7    , array([ 72.809     ,  0.008688   ,  0.125055   ,  6.89658e-29,  0.00119129 ])
63566   , -14313.2    , array([ 72.7362    ,  0.00869669 ,  0.125055   ,  6.89658e-29,  0.00119129 ])
63567   , -14290.7    , array([ 72.7362    ,  0.008688   ,  0.12518    ,  6.89658e-29,  0.00119129 ])
63568   , -14290.7    , array([ 72.7362    ,  0.008688   ,  0.125055   ,  6.90348e-29,  0.00119129 ])
63569   , -14268.1    , array([ 72.7362    ,  0.008688   ,  0.125055   ,  6.89658e-29,  0.00119248 ])
63577   , -14290.7    , array([ 72.7381    ,  0.00868806 ,  0.125056   ,  6.89658e-29,  0.0011913  ])
63578   , -14290.7    , array([ 72.7381    ,  0.00868806 ,  0.125056   ,  6.89658e-29,  0.0011913  ])
63579   , -14290.7    , array([ 72.8109    ,  0.00868806 ,  0.125056   ,  6.89658e-29,  0.0011913  ])
63580   , -14313.2    , array([ 72.7381    ,  0.00869675 ,  0.125056   ,  6.89658e-29,  0.0011913  ])
63581   , -14290.7    , array([ 72.7381    ,  0.00868806 ,  0.125181   ,  6.89658e-29,  0.0011913  ])
63582   , -14290.7    , array([ 72.7381    ,  0.00868806 ,  0.125056   ,  6.90348e-29,  0.0011913  ])
63583   , -14268.1    , array([ 72.7381    ,  0.00868806 ,  0.125056   ,  6.89658e-29,  0.00119249 ])
63584   , -14290.6    , array([ 72.7463    ,  0.00868832 ,  0.125062   ,  6.89658e-29,  0.00119134 ])
63585   , -14290.6    , array([ 72.7463    ,  0.00868832 ,  0.125062   ,  6.89658e-29,  0.00119134 ])
63586   , -14290.6    , array([ 72.8191    ,  0.00868832 ,  0.125062   ,  6.89658e-29,  0.00119134 ])
63587   , -14313.2    , array([ 72.7463    ,  0.00869701 ,  0.125062   ,  6.89658e-29,  0.00119134 ])
63588   , -14290.6    , array([ 72.7463    ,  0.00868832 ,  0.125187   ,  6.89658e-29,  0.00119134 ])
