29138   , -4138.34    , array([ 0.816338   ,  0.0949827  ,  1.02091e-39,  8.15842    ,  0.105348   ])
29139   , -4140.77    , array([ 0.815522   ,  0.0950777  ,  1.02091e-39,  8.15842    ,  0.105348   ])
29140   , -4141.8     , array([ 0.815522   ,  0.0949827  ,  1.02193e-39,  8.15842    ,  0.105348   ])
29141   , -4139.71    , array([ 0.815522   ,  0.0949827  ,  1.02091e-39,  8.16658    ,  0.105348   ])
29142   , -4144.39    , array([ 0.815522   ,  0.0949827  ,  1.02091e-39,  8.15842    ,  0.105453   ])
29150   , -4141.79    , array([ 0.815522   ,  0.0949826  ,  1.02091e-39,  8.15843    ,  0.105348   ])
29151   , -4141.79    , array([ 0.815522   ,  0.0949826  ,  1.02091e-39,  8.15843    ,  0.105348   ])
29152   , -4138.34    , array([ 0.816338   ,  0.0949826  ,  1.02091e-39,  8.15843    ,  0.105348   ])
29153   , -4140.76    , array([ 0.815522   ,  0.0950776  ,  1.02091e-39,  8.15843    ,  0.105348   ])
29154   , -4141.79    , array([ 0.815522   ,  0.0949826  ,  1.02193e-39,  8.15843    ,  0.105348   ])
29155   , -4139.7     , array([ 0.815522   ,  0.0949826  ,  1.02091e-39,  8.1666     ,  0.105348   ])
29156   , -4144.38    , array([ 0.815522   ,  0.0949826  ,  1.02091e-39,  8.15843    ,  0.105453   ])
29164   , -4141.79    , array([ 0.815522   ,  0.0949825  ,  1.02091e-39,  8.15844    ,  0.105348   ])
29165   , -4141.79    , array([ 0.815522   ,  0.0949825  ,  1.02091e-39,  8.15844    ,  0.105348   ])
29166   , -4138.33    , array([ 0.816338   ,  0.0949825  ,  1.02091e-39,  8.15844    ,  0.105348   ])
29167   , -4140.76    , array([ 0.815522   ,  0.0950776  ,  1.02091e-39,  8.15844    ,  0.105348   ])
29168   , -4141.79    , array([ 0.815522   ,  0.0949825  ,  1.02193e-39,  8.15844    ,  0.105348   ])
29169   , -4139.7     , array([ 0.815522   ,  0.0949825  ,  1.02091e-39,  8.1666     ,  0.105348   ])
29170   , -4144.38    , array([ 0.815522   ,  0.0949825  ,  1.02091e-39,  8.15844    ,  0.105453   ])
29178   , -4141.79    , array([ 0.815522   ,  0.0949825  ,  1.02091e-39,  8.15844    ,  0.105348   ])
29179   , -4141.79    , array([ 0.815522   ,  0.0949825  ,  1.02091e-39,  8.15844    ,  0.105348   ])
29180   , -4138.33    , array([ 0.816338   ,  0.0949825  ,  1.02091e-39,  8.15844    ,  0.105348   ])
29181   , -4140.76    , array([ 0.815522   ,  0.0950775  ,  1.02091e-39,  8.15844    ,  0.105348   ])
29182   , -4141.79    , array([ 0.815522   ,  0.0949825  ,  1.02193e-39,  8.15844    ,  0.105348   ])
29183   , -4139.7     , array([ 0.815522   ,  0.0949825  ,  1.02091e-39,  8.1666     ,  0.105348   ])
29184   , -4144.38    , array([ 0.815522   ,  0.0949825  ,  1.02091e-39,  8.15844    ,  0.105453   ])
29185   , -3760.88    , array([ 0.832206   ,  0.0834335  ,  1.02091e-39,  9.90225    ,  0.10278    ])
29186   , -3760.88    , array([ 0.832206   ,  0.0834335  ,  1.02091e-39,  9.90225    ,  0.10278    ])
29187   , -3757.96    , array([ 0.833039   ,  0.0834335  ,  1.02091e-39,  9.90225    ,  0.10278    ])
29188   , -3760.26    , array([ 0.832206   ,  0.0835169  ,  1.02091e-39,  9.90225    ,  0.10278    ])
29189   , -3760.88    , array([ 0.832206   ,  0.0834335  ,  1.02193e-39,  9.90225    ,  0.10278    ])
29190   , -3759.18    , array([ 0.832206   ,  0.0834335  ,  1.02091e-39,  9.91216    ,  0.10278    ])
29191   , -3762.77    , array([ 0.832206   ,  0.0834335  ,  1.02091e-39,  9.90225    ,  0.102883   ])
29199   , -3760.88    , array([ 0.832206   ,  0.0834334  ,  1.02091e-39,  9.90226    ,  0.10278    ])
29200   , -3760.88    , array([ 0.832206   ,  0.0834334  ,  1.02091e-39,  9.90226    ,  0.10278    ])
29201   , -3757.96    , array([ 0.833039   ,  0.0834334  ,  1.02091e-39,  9.90226    ,  0.10278    ])
29202   , -3760.26    , array([ 0.832206   ,  0.0835169  ,  1.02091e-39,  9.90226    ,  0.10278    ])
29203   , -3760.88    , array([ 0.832206   ,  0.0834334  ,  1.02193e-39,  9.90226    ,  0.10278    ])
29204   , -3759.18    , array([ 0.832206   ,  0.0834334  ,  1.02091e-39,  9.91217    ,  0.10278    ])
29205   , -3762.77    , array([ 0.832206   ,  0.0834334  ,  1.02091e-39,  9.90226    ,  0.102883   ])
29213   , -3760.88    , array([ 0.832207   ,  0.0834334  ,  1.02091e-39,  9.90226    ,  0.10278    ])
29214   , -3760.88    , array([ 0.832207   ,  0.0834334  ,  1.02091e-39,  9.90226    ,  0.10278    ])
29215   , -3757.96    , array([ 0.833039   ,  0.0834334  ,  1.02091e-39,  9.90226    ,  0.10278    ])
