99546   , -7404.52    , array([ 0.532315   ,  0.0926061  ,  9.57022    ,  4.17132    ,  1.06797    ])
99548   , -1994.14    , array([ 0.532315   ,  0.0926061  ,  9.57022    ,  4.17132    ,  0.0679719  ])
99550   , -5693.77    , array([ 0.532315   ,  0.0926061  ,  9.57022    ,  4.17132    ,  0.449938   ])
99551   , -5249.8     , array([ 0.532315   ,  0.0926061  ,  9.57022    ,  4.17132    ,  0.258925   ])
99554   , -3752.49    , array([ 0.532315   ,  0.0926061  ,  9.57022    ,  4.17132    ,  0.14091    ])
99555   , -3324.55    , array([ 0.532315   ,  0.0926061  ,  9.57022    ,  4.17132    ,  0.0335301  ])
99556   , -2350.85    , array([ 0.532315   ,  0.0926061  ,  9.57022    ,  4.17132    ,  0.0838091  ])
99557   , -1972.28    , array([ 0.532315   ,  0.0926061  ,  9.57022    ,  4.17132    ,  0.0666311  ])
99558   , -1909.24    , array([ 0.532315   ,  0.0926061  ,  9.57022    ,  4.17132    ,  0.0539876  ])
99559   , -1893.12    , array([ 0.532315   ,  0.0926061  ,  9.57022    ,  4.17132    ,  0.0572295  ])
99560   , -1893.26    , array([ 0.532315   ,  0.0926061  ,  9.57022    ,  4.17132    ,  0.0579558  ])
99561   , -1893.02    , array([ 0.532315   ,  0.0926061  ,  9.57022    ,  4.17132    ,  0.0575207  ])
99562   , -1893.04    , array([ 0.532315   ,  0.0926061  ,  9.57022    ,  4.17132    ,  0.0574162  ])
99563   , -1893.04    , array([ 0.532315   ,  0.0926061  ,  9.57022    ,  4.17132    ,  0.0576252  ])
99565   , -1893.02    , array([ 0.532315   ,  0.0926061  ,  9.57022    ,  4.17132    ,  0.0575207  ])
99566   , -2346.18    , array([ 1.53231    ,  0.0926061  ,  9.57022    ,  4.17132    ,  0.0575207  ])
99568   , -1893.02    , array([ 0.532315   ,  0.0926061  ,  9.57022    ,  4.17132    ,  0.0575207  ])
99570   , -1840.75    , array([ 0.914281   ,  0.0926061  ,  9.57022    ,  4.17132    ,  0.0575207  ])
99571   , -1745.3     , array([ 0.723298   ,  0.0926061  ,  9.57022    ,  4.17132    ,  0.0575207  ])
99572   , -1749.2     , array([ 0.743827   ,  0.0926061  ,  9.57022    ,  4.17132    ,  0.0575207  ])
99573   , -1745.27    , array([ 0.681383   ,  0.0926061  ,  9.57022    ,  4.17132    ,  0.0575207  ])
