1       , -54514.6    , array([ 1.05645    ,  0.331943   ,  2.3602     ,  0.474839   ,  0.00748377 ])
83      , -1886.73    , array([ 1.63448    ,  0.0557184  ,  2.16033    ,  0.448989   ,  0.024177   ])
84      , -1890.63    , array([ 1.63448    ,  0.0557184  ,  2.16033    ,  0.448541   ,  0.0242012  ])
85      , -1886.81    , array([ 1.63457    ,  0.055721   ,  2.1603     ,  0.448543   ,  0.0241782  ])
86      , -1886.81    , array([ 1.63457    ,  0.055721   ,  2.1603     ,  0.448543   ,  0.0241782  ])
87      , -1886.95    , array([ 1.63621    ,  0.055721   ,  2.1603     ,  0.448543   ,  0.0241782  ])
88      , -1882.37    , array([ 1.63457    ,  0.0557767  ,  2.1603     ,  0.448543   ,  0.0241782  ])
89      , -1886.68    , array([ 1.63457    ,  0.055721   ,  2.16246    ,  0.448543   ,  0.0241782  ])
90      , -1886.72    , array([ 1.63457    ,  0.055721   ,  2.1603     ,  0.448992   ,  0.0241782  ])
91      , -1890.62    , array([ 1.63457    ,  0.055721   ,  2.1603     ,  0.448543   ,  0.0242024  ])
99      , -1886.81    , array([ 1.63461    ,  0.055722   ,  2.16028    ,  0.448544   ,  0.0241787  ])
100     , -1886.81    , array([ 1.63461    ,  0.055722   ,  2.16028    ,  0.448544   ,  0.0241787  ])
101     , -1886.94    , array([ 1.63624    ,  0.055722   ,  2.16028    ,  0.448544   ,  0.0241787  ])
102     , -1882.37    , array([ 1.63461    ,  0.0557778  ,  2.16028    ,  0.448544   ,  0.0241787  ])
103     , -1886.68    , array([ 1.63461    ,  0.055722   ,  2.16245    ,  0.448544   ,  0.0241787  ])
104     , -1886.71    , array([ 1.63461    ,  0.055722   ,  2.16028    ,  0.448993   ,  0.0241787  ])
105     , -1890.62    , array([ 1.63461    ,  0.055722   ,  2.16028    ,  0.448544   ,  0.0242029  ])
106     , -1886.8     , array([ 1.63463    ,  0.0557227  ,  2.16028    ,  0.448545   ,  0.024179   ])
107     , -1886.8     , array([ 1.63463    ,  0.0557227  ,  2.16028    ,  0.448545   ,  0.024179   ])
108     , -1886.94    , array([ 1.63627    ,  0.0557227  ,  2.16028    ,  0.448545   ,  0.024179   ])
109     , -1882.37    , array([ 1.63463    ,  0.0557784  ,  2.16028    ,  0.448545   ,  0.024179   ])
110     , -1886.67    , array([ 1.63463    ,  0.0557227  ,  2.16244    ,  0.448545   ,  0.024179   ])
111     , -1886.71    , array([ 1.63463    ,  0.0557227  ,  2.16028    ,  0.448993   ,  0.024179   ])
112     , -1890.61    , array([ 1.63463    ,  0.0557227  ,  2.16028    ,  0.448545   ,  0.0242032  ])
120     , -1886.8     , array([ 1.63464    ,  0.0557229  ,  2.16027    ,  0.448545   ,  0.0241791  ])
121     , -1886.8     , array([ 1.63464    ,  0.0557229  ,  2.16027    ,  0.448545   ,  0.0241791  ])
122     , -1886.94    , array([ 1.63628    ,  0.0557229  ,  2.16027    ,  0.448545   ,  0.0241791  ])
123     , -1882.36    , array([ 1.63464    ,  0.0557787  ,  2.16027    ,  0.448545   ,  0.0241791  ])
124     , -1886.67    , array([ 1.63464    ,  0.0557229  ,  2.16243    ,  0.448545   ,  0.0241791  ])
125     , -1886.71    , array([ 1.63464    ,  0.0557229  ,  2.16027    ,  0.448994   ,  0.0241791  ])
126     , -1890.61    , array([ 1.63464    ,  0.0557229  ,  2.16027    ,  0.448545   ,  0.0242033  ])
127     , -1886.8     , array([ 1.63465    ,  0.0557231  ,  2.16027    ,  0.448545   ,  0.0241792  ])
128     , -1886.8     , array([ 1.63465    ,  0.0557231  ,  2.16027    ,  0.448545   ,  0.0241792  ])
129     , -1886.94    , array([ 1.63628    ,  0.0557231  ,  2.16027    ,  0.448545   ,  0.0241792  ])
130     , -1882.36    , array([ 1.63465    ,  0.0557788  ,  2.16027    ,  0.448545   ,  0.0241792  ])
131     , -1886.67    , array([ 1.63465    ,  0.0557231  ,  2.16243    ,  0.448545   ,  0.0241792  ])
132     , -1886.71    , array([ 1.63465    ,  0.0557231  ,  2.16027    ,  0.448994   ,  0.0241792  ])
133     , -1890.61    , array([ 1.63465    ,  0.0557231  ,  2.16027    ,  0.448545   ,  0.0242033  ])
134     , -9132.57    , array([ 16.6173    ,  0.361821   ,  1.11182    ,  0.557482   ,  0.17572    ])
135     , -9132.57    , array([ 16.6173    ,  0.361821   ,  1.11182    ,  0.557482   ,  0.17572    ])
136     , -9134.05    , array([ 16.6339    ,  0.361821   ,  1.11182    ,  0.557482   ,  0.17572    ])
137     , -9134.97    , array([ 16.6173    ,  0.362183   ,  1.11182    ,  0.557482   ,  0.17572    ])
138     , -9131.92    , array([ 16.6173    ,  0.361821   ,  1.11293    ,  0.557482   ,  0.17572    ])
139     , -9132.69    , array([ 16.6173    ,  0.361821   ,  1.11182    ,  0.558039   ,  0.17572    ])
140     , -9139.73    , array([ 16.6173    ,  0.361821   ,  1.11182    ,  0.557482   ,  0.175896   ])
141     , -1867.81    , array([ 1.95599    ,  0.0644039  ,  2.05203    ,  0.456156   ,  0.0281906  ])
142     , -1867.81    , array([ 1.95599    ,  0.0644039  ,  2.05203    ,  0.456156   ,  0.0281906  ])
143     , -1868.01    , array([ 1.95795    ,  0.0644039  ,  2.05203    ,  0.456156   ,  0.0281906  ])
144     , -1863.5     , array([ 1.95599    ,  0.0644683  ,  2.05203    ,  0.456156   ,  0.0281906  ])
145     , -1867.66    , array([ 1.95599    ,  0.0644039  ,  2.05408    ,  0.456156   ,  0.0281906  ])
146     , -1867.71    , array([ 1.95599    ,  0.0644039  ,  2.05203    ,  0.456613   ,  0.0281906  ])
147     , -1871.62    , array([ 1.95599    ,  0.0644039  ,  2.05203    ,  0.456156   ,  0.0282188  ])
148     , -1807.35    , array([ 2.16329    ,  0.0672457  ,  2.34728    ,  0.829478   ,  0.0298089  ])
149     , -1807.35    , array([ 2.16329    ,  0.0672457  ,  2.34728    ,  0.829478   ,  0.0298089  ])
150     , -1807.6     , array([ 2.16546    ,  0.0672457  ,  2.34728    ,  0.829478   ,  0.0298089  ])
151     , -1803.54    , array([ 2.16329    ,  0.067313   ,  2.34728    ,  0.829478   ,  0.0298089  ])
152     , -1807.21    , array([ 2.16329    ,  0.0672457  ,  2.34963    ,  0.829478   ,  0.0298089  ])
153     , -1807.18    , array([ 2.16329    ,  0.0672457  ,  2.34728    ,  0.830308   ,  0.0298089  ])
154     , -1810.65    , array([ 2.16329    ,  0.0672457  ,  2.34728    ,  0.829478   ,  0.0298387  ])
155     , -2835.2     , array([ 3.23676    ,  0.0799237  ,  4.01877    ,  9.06923    ,  0.0372662  ])
156     , -2835.2     , array([ 3.23676    ,  0.0799237  ,  4.01877    ,  9.06923    ,  0.0372662  ])
157     , -2835.64    , array([ 3.24       ,  0.0799237  ,  4.01877    ,  9.06923    ,  0.0372662  ])
158     , -2842.24    , array([ 3.23676    ,  0.0800037  ,  4.01877    ,  9.06923    ,  0.0372662  ])
159     , -2835.87    , array([ 3.23676    ,  0.0799237  ,  4.02279    ,  9.06923    ,  0.0372662  ])
160     , -2838.02    , array([ 3.23676    ,  0.0799237  ,  4.01877    ,  9.07831    ,  0.0372662  ])
161     , -2832.02    , array([ 3.23676    ,  0.0799237  ,  4.01877    ,  9.06923    ,  0.0373035  ])
162     , -1669.2     , array([ 2.46963    ,  0.0711736  ,  2.80104    ,  1.82061    ,  0.0320787  ])
163     , -1669.2     , array([ 2.46963    ,  0.0711736  ,  2.80104    ,  1.82061    ,  0.0320787  ])
164     , -1669.5     , array([ 2.4721     ,  0.0711736  ,  2.80104    ,  1.82061    ,  0.0320787  ])
165     , -1666.92    , array([ 2.46963    ,  0.0712448  ,  2.80104    ,  1.82061    ,  0.0320787  ])
166     , -1669.14    , array([ 2.46963    ,  0.0711736  ,  2.80384    ,  1.82061    ,  0.0320787  ])
167     , -1668.96    , array([ 2.46963    ,  0.0711736  ,  2.80104    ,  1.82243    ,  0.0320787  ])
168     , -1671.08    , array([ 2.46963    ,  0.0711736  ,  2.80104    ,  1.82061    ,  0.0321108  ])
169     , -1614.37    , array([ 2.74432    ,  0.074465   ,  3.22436    ,  3.40494    ,  0.0340094  ])
170     , -1614.37    , array([ 2.74432    ,  0.074465   ,  3.22436    ,  3.40494    ,  0.0340094  ])
171     , -1614.73    , array([ 2.74707    ,  0.074465   ,  3.22436    ,  3.40494    ,  0.0340094  ])
172     , -1614.49    , array([ 2.74432    ,  0.0745395  ,  3.22436    ,  3.40494    ,  0.0340094  ])
173     , -1614.47    , array([ 2.74432    ,  0.074465   ,  3.22759    ,  3.40494    ,  0.0340094  ])
174     , -1614.39    , array([ 2.74432    ,  0.074465   ,  3.22436    ,  3.40835    ,  0.0340094  ])
175     , -1614.4     , array([ 2.74432    ,  0.074465   ,  3.22436    ,  3.40494    ,  0.0340434  ])
176     , -1612.56    , array([ 2.63753    ,  0.0732089  ,  3.05802    ,  2.69022    ,  0.0332695  ])
177     , -1612.56    , array([ 2.63753    ,  0.0732089  ,  3.05802    ,  2.69022    ,  0.0332695  ])
178     , -1612.9     , array([ 2.64017    ,  0.0732089  ,  3.05802    ,  2.69022    ,  0.0332695  ])
179     , -1611.62    , array([ 2.63753    ,  0.0732821  ,  3.05802    ,  2.69022    ,  0.0332695  ])
180     , -1612.59    , array([ 2.63753    ,  0.0732089  ,  3.06108    ,  2.69022    ,  0.0332695  ])
181     , -1612.42    , array([ 2.63753    ,  0.0732089  ,  3.05802    ,  2.69291    ,  0.0332695  ])
182     , -1613.36    , array([ 2.63753    ,  0.0732089  ,  3.05802    ,  2.69022    ,  0.0333028  ])
183     , -1608.1     , array([ 2.68943    ,  0.0738229  ,  3.13858    ,  3.02008    ,  0.0336307  ])
184     , -1608.1     , array([ 2.68943    ,  0.0738229  ,  3.13858    ,  3.02008    ,  0.0336307  ])
185     , -1608.45    , array([ 2.69212    ,  0.0738229  ,  3.13858    ,  3.02008    ,  0.0336307  ])
186     , -1607.65    , array([ 2.68943    ,  0.0738967  ,  3.13858    ,  3.02008    ,  0.0336307  ])
187     , -1608.16    , array([ 2.68943    ,  0.0738229  ,  3.14172    ,  3.02008    ,  0.0336307  ])
188     , -1608.02    , array([ 2.68943    ,  0.0738229  ,  3.13858    ,  3.0231     ,  0.0336307  ])
189     , -1608.53    , array([ 2.68943    ,  0.0738229  ,  3.13858    ,  3.02008    ,  0.0336643  ])
197     , -1608.1     , array([ 2.68943    ,  0.0738229  ,  3.13857    ,  3.02011    ,  0.0336307  ])
198     , -1608.1     , array([ 2.68943    ,  0.0738229  ,  3.13857    ,  3.02011    ,  0.0336307  ])
199     , -1608.45    , array([ 2.69212    ,  0.0738229  ,  3.13857    ,  3.02011    ,  0.0336307  ])
200     , -1607.65    , array([ 2.68943    ,  0.0738967  ,  3.13857    ,  3.02011    ,  0.0336307  ])
201     , -1608.16    , array([ 2.68943    ,  0.0738229  ,  3.14171    ,  3.02011    ,  0.0336307  ])
202     , -1608.02    , array([ 2.68943    ,  0.0738229  ,  3.13857    ,  3.02313    ,  0.0336307  ])
203     , -1608.53    , array([ 2.68943    ,  0.0738229  ,  3.13857    ,  3.02011    ,  0.0336643  ])
204     , -1608.1     , array([ 2.68943    ,  0.0738229  ,  3.13856    ,  3.02016    ,  0.0336307  ])
205     , -1608.1     , array([ 2.68943    ,  0.0738229  ,  3.13856    ,  3.02016    ,  0.0336307  ])
206     , -1608.45    , array([ 2.69212    ,  0.0738229  ,  3.13856    ,  3.02016    ,  0.0336307  ])
207     , -1607.65    , array([ 2.68943    ,  0.0738968  ,  3.13856    ,  3.02016    ,  0.0336307  ])
208     , -1608.16    , array([ 2.68943    ,  0.0738229  ,  3.1417     ,  3.02016    ,  0.0336307  ])
209     , -1608.02    , array([ 2.68943    ,  0.0738229  ,  3.13856    ,  3.02318    ,  0.0336307  ])
210     , -1608.53    , array([ 2.68943    ,  0.0738229  ,  3.13856    ,  3.02016    ,  0.0336644  ])
218     , -1608.1     , array([ 2.68943    ,  0.0738229  ,  3.13856    ,  3.02017    ,  0.0336307  ])
219     , -1608.1     , array([ 2.68943    ,  0.0738229  ,  3.13856    ,  3.02017    ,  0.0336307  ])
220     , -1608.45    , array([ 2.69213    ,  0.0738229  ,  3.13856    ,  3.02017    ,  0.0336307  ])
221     , -1607.65    , array([ 2.68943    ,  0.0738968  ,  3.13856    ,  3.02017    ,  0.0336307  ])
222     , -1608.16    , array([ 2.68943    ,  0.0738229  ,  3.1417     ,  3.02017    ,  0.0336307  ])
223     , -1608.02    , array([ 2.68943    ,  0.0738229  ,  3.13856    ,  3.02319    ,  0.0336307  ])
224     , -1608.53    , array([ 2.68943    ,  0.0738229  ,  3.13856    ,  3.02017    ,  0.0336644  ])
225     , -1608.1     , array([ 2.68944    ,  0.073823   ,  3.13856    ,  3.02018    ,  0.0336307  ])
226     , -1608.1     , array([ 2.68944    ,  0.073823   ,  3.13856    ,  3.02018    ,  0.0336307  ])
227     , -1608.45    , array([ 2.69213    ,  0.073823   ,  3.13856    ,  3.02018    ,  0.0336307  ])
228     , -1607.65    , array([ 2.68944    ,  0.0738968  ,  3.13856    ,  3.02018    ,  0.0336307  ])
229     , -1608.16    , array([ 2.68944    ,  0.073823   ,  3.1417     ,  3.02018    ,  0.0336307  ])
230     , -1608.02    , array([ 2.68944    ,  0.073823   ,  3.13856    ,  3.0232     ,  0.0336307  ])
231     , -1608.53    , array([ 2.68944    ,  0.073823   ,  3.13856    ,  3.02018    ,  0.0336644  ])
239     , -1608.1     , array([ 2.68944    ,  0.073823   ,  3.13856    ,  3.02018    ,  0.0336307  ])
240     , -1608.1     , array([ 2.68944    ,  0.073823   ,  3.13856    ,  3.02018    ,  0.0336307  ])
241     , -1608.45    , array([ 2.69213    ,  0.073823   ,  3.13856    ,  3.02018    ,  0.0336307  ])
242     , -1607.65    , array([ 2.68944    ,  0.0738968  ,  3.13856    ,  3.02018    ,  0.0336307  ])
243     , -1608.16    , array([ 2.68944    ,  0.073823   ,  3.1417     ,  3.02018    ,  0.0336307  ])
244     , -1608.02    , array([ 2.68944    ,  0.073823   ,  3.13856    ,  3.0232     ,  0.0336307  ])
245     , -1608.53    , array([ 2.68944    ,  0.073823   ,  3.13856    ,  3.02018    ,  0.0336644  ])
246     , -1608.1     , array([ 2.68944    ,  0.073823   ,  3.13856    ,  3.02019    ,  0.0336307  ])
247     , -1608.1     , array([ 2.68944    ,  0.073823   ,  3.13856    ,  3.02019    ,  0.0336307  ])
248     , -1608.45    , array([ 2.69213    ,  0.073823   ,  3.13856    ,  3.02019    ,  0.0336307  ])
249     , -1607.65    , array([ 2.68944    ,  0.0738968  ,  3.13856    ,  3.02019    ,  0.0336307  ])
250     , -1608.16    , array([ 2.68944    ,  0.073823   ,  3.1417     ,  3.02019    ,  0.0336307  ])
251     , -1608.02    , array([ 2.68944    ,  0.073823   ,  3.13856    ,  3.02321    ,  0.0336307  ])
252     , -1608.53    , array([ 2.68944    ,  0.073823   ,  3.13856    ,  3.02019    ,  0.0336644  ])
253     , -2490.39    , array([ 2.92643    ,  0.0769316  ,  2.51794    ,  9.00525    ,  0.0352618  ])
254     , -2490.39    , array([ 2.92643    ,  0.0769316  ,  2.51794    ,  9.00525    ,  0.0352618  ])
255     , -2490.77    , array([ 2.92936    ,  0.0769316  ,  2.51794    ,  9.00525    ,  0.0352618  ])
256     , -2496.52    , array([ 2.92643    ,  0.0770086  ,  2.51794    ,  9.00525    ,  0.0352618  ])
257     , -2490.67    , array([ 2.92643    ,  0.0769316  ,  2.52046    ,  9.00525    ,  0.0352618  ])
258     , -2492.83    , array([ 2.92643    ,  0.0769316  ,  2.51794    ,  9.01426    ,  0.0352618  ])
259     , -2487.35    , array([ 2.92643    ,  0.0769316  ,  2.51794    ,  9.00525    ,  0.035297   ])
260     , -1605.14    , array([ 2.70941    ,  0.0740903  ,  3.07854    ,  3.32361    ,  0.0337706  ])
261     , -1605.14    , array([ 2.70941    ,  0.0740903  ,  3.07854    ,  3.32361    ,  0.0337706  ])
262     , -1605.49    , array([ 2.71212    ,  0.0740903  ,  3.07854    ,  3.32361    ,  0.0337706  ])
263     , -1605.08    , array([ 2.70941    ,  0.0741644  ,  3.07854    ,  3.32361    ,  0.0337706  ])
264     , -1605.21    , array([ 2.70941    ,  0.0740903  ,  3.08162    ,  3.32361    ,  0.0337706  ])
265     , -1605.12    , array([ 2.70941    ,  0.0740903  ,  3.07854    ,  3.32694    ,  0.0337706  ])
266     , -1605.28    , array([ 2.70941    ,  0.0740903  ,  3.07854    ,  3.32361    ,  0.0338044  ])
267     , -1599.4     , array([ 2.68327    ,  0.0739998  ,  2.98996    ,  3.3175     ,  0.03365    ])
268     , -1599.4     , array([ 2.68327    ,  0.0739998  ,  2.98996    ,  3.3175     ,  0.03365    ])
269     , -1599.75    , array([ 2.68595    ,  0.0739998  ,  2.98996    ,  3.3175     ,  0.03365    ])
270     , -1599.34    , array([ 2.68327    ,  0.0740739  ,  2.98996    ,  3.3175     ,  0.03365    ])
271     , -1599.46    , array([ 2.68327    ,  0.0739998  ,  2.99295    ,  3.3175     ,  0.03365    ])
272     , -1599.39    , array([ 2.68327    ,  0.0739998  ,  2.98996    ,  3.32082    ,  0.03365    ])
273     , -1599.55    , array([ 2.68327    ,  0.0739998  ,  2.98996    ,  3.3175     ,  0.0336837  ])
274     , -1579.87    , array([ 2.58118    ,  0.0736391  ,  2.66039    ,  3.29315    ,  0.0331719  ])
275     , -1579.87    , array([ 2.58118    ,  0.0736391  ,  2.66039    ,  3.29315    ,  0.0331719  ])
276     , -1580.2     , array([ 2.58377    ,  0.0736391  ,  2.66039    ,  3.29315    ,  0.0331719  ])
277     , -1579.78    , array([ 2.58118    ,  0.0737128  ,  2.66039    ,  3.29315    ,  0.0331719  ])
278     , -1579.9     , array([ 2.58118    ,  0.0736391  ,  2.66305    ,  3.29315    ,  0.0331719  ])
279     , -1579.85    , array([ 2.58118    ,  0.0736391  ,  2.66039    ,  3.29644    ,  0.0331719  ])
280     , -1580.01    , array([ 2.58118    ,  0.0736391  ,  2.66039    ,  3.29315    ,  0.033205   ])
281     , -1534.73    , array([ 2.23482    ,  0.070893   ,  2.66835    ,  3.32117    ,  0.0315275  ])
282     , -1534.73    , array([ 2.23482    ,  0.070893   ,  2.66835    ,  3.32117    ,  0.0315275  ])
283     , -1535.03    , array([ 2.23706    ,  0.070893   ,  2.66835    ,  3.32117    ,  0.0315275  ])
284     , -1534.69    , array([ 2.23482    ,  0.0709639  ,  2.66835    ,  3.32117    ,  0.0315275  ])
285     , -1534.75    , array([ 2.23482    ,  0.070893   ,  2.67101    ,  3.32117    ,  0.0315275  ])
286     , -1534.71    , array([ 2.23482    ,  0.070893   ,  2.66835    ,  3.32449    ,  0.0315275  ])
287     , -1534.72    , array([ 2.23482    ,  0.070893   ,  2.66835    ,  3.32117    ,  0.031559   ])
288     , -1455.72    , array([ 1.6425     ,  0.0707219  ,  2.61151    ,  3.08954    ,  0.030851   ])
289     , -1455.72    , array([ 1.6425     ,  0.0707219  ,  2.61151    ,  3.08954    ,  0.030851   ])
290     , -1455.94    , array([ 1.64415    ,  0.0707219  ,  2.61151    ,  3.08954    ,  0.030851   ])
291     , -1455.72    , array([ 1.6425     ,  0.0707926  ,  2.61151    ,  3.08954    ,  0.030851   ])
292     , -1455.71    , array([ 1.6425     ,  0.0707219  ,  2.61413    ,  3.08954    ,  0.030851   ])
293     , -1455.71    , array([ 1.6425     ,  0.0707219  ,  2.61151    ,  3.09263    ,  0.030851   ])
294     , -1455.57    , array([ 1.6425     ,  0.0707219  ,  2.61151    ,  3.08954    ,  0.0308818  ])
295     , -1480.32    , array([ 0.814308   ,  0.0749249  ,  3.06619    ,  2.47785    ,  0.0319207  ])
296     , -1480.32    , array([ 0.814308   ,  0.0749249  ,  3.06619    ,  2.47785    ,  0.0319207  ])
297     , -1479.77    , array([ 0.815122   ,  0.0749249  ,  3.06619    ,  2.47785    ,  0.0319207  ])
298     , -1480.49    , array([ 0.814308   ,  0.0749999  ,  3.06619    ,  2.47785    ,  0.0319207  ])
299     , -1480.13    , array([ 0.814308   ,  0.0749249  ,  3.06926    ,  2.47785    ,  0.0319207  ])
300     , -1480.3     , array([ 0.814308   ,  0.0749249  ,  3.06619    ,  2.48033    ,  0.0319207  ])
301     , -1480.16    , array([ 0.814308   ,  0.0749249  ,  3.06619    ,  2.47785    ,  0.0319526  ])
302     , -1406.19    , array([ 1.17366    ,  0.0727049  ,  2.82022    ,  2.77969    ,  0.0313588  ])
303     , -1406.19    , array([ 1.17366    ,  0.0727049  ,  2.82022    ,  2.77969    ,  0.0313588  ])
304     , -1406.2     , array([ 1.17484    ,  0.0727049  ,  2.82022    ,  2.77969    ,  0.0313588  ])
305     , -1406.25    , array([ 1.17366    ,  0.0727777  ,  2.82022    ,  2.77969    ,  0.0313588  ])
306     , -1406.12    , array([ 1.17366    ,  0.0727049  ,  2.82304    ,  2.77969    ,  0.0313588  ])
307     , -1406.18    , array([ 1.17366    ,  0.0727049  ,  2.82022    ,  2.78247    ,  0.0313588  ])
