85081   , -53131.4    , array([ 0.0447925  ,  3.2696     ,  5.68837e-26,  0.0171371  ,  0.00413105 ])
85082   , -53128.6    , array([ 0.0447925  ,  3.2696     ,  5.68837e-26,  0.01712    ,  0.00413519 ])
85083   , -1.03947e+06, array([ 0.00640384 ,  0.564674   ,  5.68837e-26,  0.0170209  ,  2.55927    ])
85084   , -1.03947e+06, array([ 0.00640384 ,  0.564674   ,  5.68837e-26,  0.0170209  ,  2.55927    ])
85085   , -1.03917e+06, array([ 0.00641025 ,  0.564674   ,  5.68837e-26,  0.0170209  ,  2.55927    ])
85086   , -1.03968e+06, array([ 0.00640384 ,  0.565239   ,  5.68837e-26,  0.0170209  ,  2.55927    ])
85087   , -1.03947e+06, array([ 0.00640384 ,  0.564674   ,  5.69406e-26,  0.0170209  ,  2.55927    ])
85088   , -1.03943e+06, array([ 0.00640384 ,  0.564674   ,  5.68837e-26,  0.017038   ,  2.55927    ])
85089   , -1.03951e+06, array([ 0.00640384 ,  0.564674   ,  5.68837e-26,  0.0170209  ,  2.56183    ])
85090   , -53054.2    , array([ 0.0444292  ,  3.24564    ,  5.68837e-26,  0.0171196  ,  0.00424378 ])
85091   , -53054.2    , array([ 0.0444292  ,  3.24564    ,  5.68837e-26,  0.0171196  ,  0.00424378 ])
85092   , -53054.5    , array([ 0.0444736  ,  3.24564    ,  5.68837e-26,  0.0171196  ,  0.00424378 ])
85093   , -53055      , array([ 0.0444292  ,  3.24889    ,  5.68837e-26,  0.0171196  ,  0.00424378 ])
85094   , -53054.2    , array([ 0.0444292  ,  3.24564    ,  5.69406e-26,  0.0171196  ,  0.00424378 ])
85095   , -53054.2    , array([ 0.0444292  ,  3.24564    ,  5.68837e-26,  0.0171367  ,  0.00424378 ])
85096   , -53052.1    , array([ 0.0444292  ,  3.24564    ,  5.68837e-26,  0.0171196  ,  0.00424803 ])
85097   , -52116.1    , array([ 0.0272441  ,  0.67059    ,  5.68837e-26,  0.0172503  ,  0.00256984 ])
85098   , -52116.1    , array([ 0.0272441  ,  0.67059    ,  5.68837e-26,  0.0172503  ,  0.00256984 ])
85099   , -52115.8    , array([ 0.0272713  ,  0.67059    ,  5.68837e-26,  0.0172503  ,  0.00256984 ])
85100   , -52118.1    , array([ 0.0272441  ,  0.671261   ,  5.68837e-26,  0.0172503  ,  0.00256984 ])
85101   , -52116.1    , array([ 0.0272441  ,  0.67059    ,  5.69406e-26,  0.0172503  ,  0.00256984 ])
85102   , -52116.1    , array([ 0.0272441  ,  0.67059    ,  5.68837e-26,  0.0172676  ,  0.00256984 ])
85103   , -52113.5    , array([ 0.0272441  ,  0.67059    ,  5.68837e-26,  0.0172503  ,  0.00257242 ])
85104   , -7523.03    , array([ 0.003852   ,  0.00122204 ,  5.68837e-26,  0.0177835  ,  0.000345559])
85105   , -7523.03    , array([ 0.003852   ,  0.00122204 ,  5.68837e-26,  0.0177835  ,  0.000345559])
85106   , -7515.02    , array([ 0.00385585 ,  0.00122204 ,  5.68837e-26,  0.0177835  ,  0.000345559])
85107   , -7528.5     , array([ 0.003852   ,  0.00122326 ,  5.68837e-26,  0.0177835  ,  0.000345559])
85108   , -7523.03    , array([ 0.003852   ,  0.00122204 ,  5.69406e-26,  0.0177835  ,  0.000345559])
85109   , -7523.03    , array([ 0.003852   ,  0.00122204 ,  5.68837e-26,  0.0178013  ,  0.000345559])
85110   , -7525.57    , array([ 0.003852   ,  0.00122204 ,  5.68837e-26,  0.0177835  ,  0.000345904])
85118   , -7508       , array([ 0.00384721 ,  0.00121714 ,  5.68837e-26,  0.0177839  ,  0.000345118])
85119   , -7508       , array([ 0.00384721 ,  0.00121714 ,  5.68837e-26,  0.0177839  ,  0.000345118])
85120   , -7499.99    , array([ 0.00385105 ,  0.00121714 ,  5.68837e-26,  0.0177839  ,  0.000345118])
85121   , -7513.4     , array([ 0.00384721 ,  0.00121836 ,  5.68837e-26,  0.0177839  ,  0.000345118])
85122   , -7508       , array([ 0.00384721 ,  0.00121714 ,  5.69406e-26,  0.0177839  ,  0.000345118])
85123   , -7508       , array([ 0.00384721 ,  0.00121714 ,  5.68837e-26,  0.0178016  ,  0.000345118])
85124   , -7510.59    , array([ 0.00384721 ,  0.00121714 ,  5.68837e-26,  0.0177839  ,  0.000345463])
85132   , -7507.99    , array([ 0.0038472  ,  0.00121714 ,  5.68837e-26,  0.0177839  ,  0.000345118])
85133   , -7507.99    , array([ 0.0038472  ,  0.00121714 ,  5.68837e-26,  0.0177839  ,  0.000345118])
85134   , -7499.98    , array([ 0.00385105 ,  0.00121714 ,  5.68837e-26,  0.0177839  ,  0.000345118])
85135   , -7513.39    , array([ 0.0038472  ,  0.00121836 ,  5.68837e-26,  0.0177839  ,  0.000345118])
85136   , -7507.99    , array([ 0.0038472  ,  0.00121714 ,  5.69406e-26,  0.0177839  ,  0.000345118])
85137   , -7507.99    , array([ 0.0038472  ,  0.00121714 ,  5.68837e-26,  0.0178016  ,  0.000345118])
85138   , -7510.59    , array([ 0.0038472  ,  0.00121714 ,  5.68837e-26,  0.0177839  ,  0.000345463])
