142811  , -1755.63    , array([ 2.90234    ,  0.070969   ,  8.55036e-43,  1.04359e-53,  0.0242112  ])
142812  , -1755.63    , array([ 2.90234    ,  0.070969   ,  8.55036e-43,  1.04359e-53,  0.0242112  ])
142813  , -1755.8     , array([ 2.90525    ,  0.070969   ,  8.55036e-43,  1.04359e-53,  0.0242112  ])
142814  , -1757.31    , array([ 2.90234    ,  0.07104    ,  8.55036e-43,  1.04359e-53,  0.0242112  ])
142815  , -1755.63    , array([ 2.90234    ,  0.070969   ,  8.55891e-43,  1.04359e-53,  0.0242112  ])
142816  , -1755.63    , array([ 2.90234    ,  0.070969   ,  8.55036e-43,  1.04464e-53,  0.0242112  ])
142817  , -1754       , array([ 2.90234    ,  0.070969   ,  8.55036e-43,  1.04359e-53,  0.0242354  ])
142818  , -1755.63    , array([ 2.90231    ,  0.0709709  ,  8.55036e-43,  1.04359e-53,  0.0242119  ])
142819  , -1755.63    , array([ 2.90231    ,  0.0709709  ,  8.55036e-43,  1.04359e-53,  0.0242119  ])
142820  , -1755.8     , array([ 2.90521    ,  0.0709709  ,  8.55036e-43,  1.04359e-53,  0.0242119  ])
142821  , -1757.31    , array([ 2.90231    ,  0.0710419  ,  8.55036e-43,  1.04359e-53,  0.0242119  ])
142822  , -1755.63    , array([ 2.90231    ,  0.0709709  ,  8.55891e-43,  1.04359e-53,  0.0242119  ])
142823  , -1755.63    , array([ 2.90231    ,  0.0709709  ,  8.55036e-43,  1.04464e-53,  0.0242119  ])
142824  , -1754       , array([ 2.90231    ,  0.0709709  ,  8.55036e-43,  1.04359e-53,  0.0242361  ])
142832  , -1755.63    , array([ 2.90224    ,  0.0709743  ,  8.55036e-43,  1.04359e-53,  0.024213   ])
142833  , -1755.63    , array([ 2.90224    ,  0.0709743  ,  8.55036e-43,  1.04359e-53,  0.024213   ])
142834  , -1755.8     , array([ 2.90515    ,  0.0709743  ,  8.55036e-43,  1.04359e-53,  0.024213   ])
142835  , -1757.31    , array([ 2.90224    ,  0.0710453  ,  8.55036e-43,  1.04359e-53,  0.024213   ])
142836  , -1755.63    , array([ 2.90224    ,  0.0709743  ,  8.55891e-43,  1.04359e-53,  0.024213   ])
142837  , -1755.63    , array([ 2.90224    ,  0.0709743  ,  8.55036e-43,  1.04464e-53,  0.024213   ])
142838  , -1754       , array([ 2.90224    ,  0.0709743  ,  8.55036e-43,  1.04359e-53,  0.0242372  ])
142839  , -1755.63    , array([ 2.90224    ,  0.0709747  ,  8.55036e-43,  1.04359e-53,  0.0242132  ])
142840  , -1755.63    , array([ 2.90224    ,  0.0709747  ,  8.55036e-43,  1.04359e-53,  0.0242132  ])
142841  , -1755.8     , array([ 2.90514    ,  0.0709747  ,  8.55036e-43,  1.04359e-53,  0.0242132  ])
142842  , -1757.31    , array([ 2.90224    ,  0.0710458  ,  8.55036e-43,  1.04359e-53,  0.0242132  ])
142843  , -1755.63    , array([ 2.90224    ,  0.0709747  ,  8.55891e-43,  1.04359e-53,  0.0242132  ])
142844  , -1755.63    , array([ 2.90224    ,  0.0709747  ,  8.55036e-43,  1.04464e-53,  0.0242132  ])
142845  , -1754       , array([ 2.90224    ,  0.0709747  ,  8.55036e-43,  1.04359e-53,  0.0242374  ])
142853  , -1755.62    , array([ 2.90222    ,  0.0709756  ,  8.55036e-43,  1.04359e-53,  0.0242135  ])
142854  , -1755.62    , array([ 2.90222    ,  0.0709756  ,  8.55036e-43,  1.04359e-53,  0.0242135  ])
142855  , -1755.8     , array([ 2.90512    ,  0.0709756  ,  8.55036e-43,  1.04359e-53,  0.0242135  ])
142856  , -1757.31    , array([ 2.90222    ,  0.0710466  ,  8.55036e-43,  1.04359e-53,  0.0242135  ])
142857  , -1755.62    , array([ 2.90222    ,  0.0709756  ,  8.55891e-43,  1.04359e-53,  0.0242135  ])
142858  , -1755.62    , array([ 2.90222    ,  0.0709756  ,  8.55036e-43,  1.04464e-53,  0.0242135  ])
142859  , -1754       , array([ 2.90222    ,  0.0709756  ,  8.55036e-43,  1.04359e-53,  0.0242377  ])
142860  , -1755.62    , array([ 2.90222    ,  0.0709757  ,  8.55036e-43,  1.04359e-53,  0.0242135  ])
142861  , -1755.62    , array([ 2.90222    ,  0.0709757  ,  8.55036e-43,  1.04359e-53,  0.0242135  ])
142862  , -1755.8     , array([ 2.90512    ,  0.0709757  ,  8.55036e-43,  1.04359e-53,  0.0242135  ])
142863  , -1757.31    , array([ 2.90222    ,  0.0710467  ,  8.55036e-43,  1.04359e-53,  0.0242135  ])
142864  , -1755.62    , array([ 2.90222    ,  0.0709757  ,  8.55891e-43,  1.04359e-53,  0.0242135  ])
142865  , -1755.62    , array([ 2.90222    ,  0.0709757  ,  8.55036e-43,  1.04464e-53,  0.0242135  ])
142866  , -1754       , array([ 2.90222    ,  0.0709757  ,  8.55036e-43,  1.04359e-53,  0.0242377  ])
142874  , -1755.62    , array([ 2.90221    ,  0.0709759  ,  8.55036e-43,  1.04359e-53,  0.0242136  ])
142875  , -1755.62    , array([ 2.90221    ,  0.0709759  ,  8.55036e-43,  1.04359e-53,  0.0242136  ])
142876  , -1755.8     , array([ 2.90512    ,  0.0709759  ,  8.55036e-43,  1.04359e-53,  0.0242136  ])
142877  , -1757.31    , array([ 2.90221    ,  0.0710469  ,  8.55036e-43,  1.04359e-53,  0.0242136  ])
142878  , -1755.62    , array([ 2.90221    ,  0.0709759  ,  8.55891e-43,  1.04359e-53,  0.0242136  ])
142879  , -1755.62    , array([ 2.90221    ,  0.0709759  ,  8.55036e-43,  1.04464e-53,  0.0242136  ])
142880  , -1754       , array([ 2.90221    ,  0.0709759  ,  8.55036e-43,  1.04359e-53,  0.0242378  ])
142881  , -1755.62    , array([ 2.90221    ,  0.0709759  ,  8.55036e-43,  1.04359e-53,  0.0242136  ])
142882  , -1755.62    , array([ 2.90221    ,  0.0709759  ,  8.55036e-43,  1.04359e-53,  0.0242136  ])
142883  , -1755.8     , array([ 2.90512    ,  0.0709759  ,  8.55036e-43,  1.04359e-53,  0.0242136  ])
142884  , -1757.31    , array([ 2.90221    ,  0.071047   ,  8.55036e-43,  1.04359e-53,  0.0242136  ])
142885  , -1755.62    , array([ 2.90221    ,  0.0709759  ,  8.55891e-43,  1.04359e-53,  0.0242136  ])
142886  , -1755.62    , array([ 2.90221    ,  0.0709759  ,  8.55036e-43,  1.04464e-53,  0.0242136  ])
142887  , -1754       , array([ 2.90221    ,  0.0709759  ,  8.55036e-43,  1.04359e-53,  0.0242378  ])
142888  , -165614     , array([ 0.493209   ,  3.54278    ,  8.55036e-43,  1.04359e-53,  1.22659    ])
142889  , -165614     , array([ 0.493209   ,  3.54278    ,  8.55036e-43,  1.04359e-53,  1.22659    ])
142890  , -165496     , array([ 0.493702   ,  3.54278    ,  8.55036e-43,  1.04359e-53,  1.22659    ])
142891  , -165629     , array([ 0.493209   ,  3.54633    ,  8.55036e-43,  1.04359e-53,  1.22659    ])
142892  , -165614     , array([ 0.493209   ,  3.54278    ,  8.55891e-43,  1.04359e-53,  1.22659    ])
142893  , -165614     , array([ 0.493209   ,  3.54278    ,  8.55036e-43,  1.04464e-53,  1.22659    ])
142894  , -165738     , array([ 0.493209   ,  3.54278    ,  8.55036e-43,  1.04359e-53,  1.22781    ])
142895  , -2302.53    , array([ 2.01506    ,  0.158741   ,  8.55036e-43,  1.04359e-53,  0.0543193  ])
142896  , -2302.53    , array([ 2.01506    ,  0.158741   ,  8.55036e-43,  1.04359e-53,  0.0543193  ])
142897  , -2302.65    , array([ 2.01708    ,  0.158741   ,  8.55036e-43,  1.04359e-53,  0.0543193  ])
142898  , -2304.5     , array([ 2.01506    ,  0.158899   ,  8.55036e-43,  1.04359e-53,  0.0543193  ])
142899  , -2302.53    , array([ 2.01506    ,  0.158741   ,  8.55891e-43,  1.04359e-53,  0.0543193  ])
142900  , -2302.53    , array([ 2.01506    ,  0.158741   ,  8.55036e-43,  1.04464e-53,  0.0543193  ])
142901  , -2302.49    , array([ 2.01506    ,  0.158741   ,  8.55036e-43,  1.04359e-53,  0.0543737  ])
142902  , -1754.32    , array([ 2.86234    ,  0.0731757  ,  8.55036e-43,  1.04359e-53,  0.0249669  ])
142903  , -1754.32    , array([ 2.86234    ,  0.0731757  ,  8.55036e-43,  1.04359e-53,  0.0249669  ])
142904  , -1754.5     , array([ 2.8652     ,  0.0731757  ,  8.55036e-43,  1.04359e-53,  0.0249669  ])
142905  , -1756.02    , array([ 2.86234    ,  0.0732489  ,  8.55036e-43,  1.04359e-53,  0.0249669  ])
142906  , -1754.32    , array([ 2.86234    ,  0.0731757  ,  8.55891e-43,  1.04359e-53,  0.0249669  ])
142907  , -1754.32    , array([ 2.86234    ,  0.0731757  ,  8.55036e-43,  1.04464e-53,  0.0249669  ])
142908  , -1752.71    , array([ 2.86234    ,  0.0731757  ,  8.55036e-43,  1.04359e-53,  0.0249919  ])
142909  , -1751.6     , array([ 2.82586    ,  0.0732998  ,  8.55036e-43,  1.04359e-53,  0.0250178  ])
142910  , -1751.6     , array([ 2.82586    ,  0.0732998  ,  8.55036e-43,  1.04359e-53,  0.0250178  ])
142911  , -1751.78    , array([ 2.82869    ,  0.0732998  ,  8.55036e-43,  1.04359e-53,  0.0250178  ])
142912  , -1753.29    , array([ 2.82586    ,  0.0733731  ,  8.55036e-43,  1.04359e-53,  0.0250178  ])
142913  , -1751.6     , array([ 2.82586    ,  0.0732998  ,  8.55891e-43,  1.04359e-53,  0.0250178  ])
142914  , -1751.6     , array([ 2.82586    ,  0.0732998  ,  8.55036e-43,  1.04464e-53,  0.0250178  ])
142915  , -1750.01    , array([ 2.82586    ,  0.0732998  ,  8.55036e-43,  1.04359e-53,  0.0250428  ])
142916  , -1740.78    , array([ 2.68454    ,  0.0737982  ,  8.55036e-43,  1.04359e-53,  0.0252222  ])
142917  , -1740.78    , array([ 2.68454    ,  0.0737982  ,  8.55036e-43,  1.04359e-53,  0.0252222  ])
142918  , -1740.96    , array([ 2.68722    ,  0.0737982  ,  8.55036e-43,  1.04359e-53,  0.0252222  ])
142919  , -1742.42    , array([ 2.68454    ,  0.0738721  ,  8.55036e-43,  1.04359e-53,  0.0252222  ])
142920  , -1740.78    , array([ 2.68454    ,  0.0737982  ,  8.55891e-43,  1.04359e-53,  0.0252222  ])
142921  , -1740.78    , array([ 2.68454    ,  0.0737982  ,  8.55036e-43,  1.04464e-53,  0.0252222  ])
142922  , -1739.24    , array([ 2.68454    ,  0.0737982  ,  8.55036e-43,  1.04359e-53,  0.0252474  ])
142923  , -1699.86    , array([ 2.18647    ,  0.075826   ,  8.55036e-43,  1.04359e-53,  0.0260567  ])
142924  , -1699.86    , array([ 2.18647    ,  0.075826   ,  8.55036e-43,  1.04359e-53,  0.0260567  ])
142925  , -1700.02    , array([ 2.18865    ,  0.075826   ,  8.55036e-43,  1.04359e-53,  0.0260567  ])
142926  , -1701.29    , array([ 2.18647    ,  0.0759019  ,  8.55036e-43,  1.04359e-53,  0.0260567  ])
142927  , -1699.86    , array([ 2.18647    ,  0.075826   ,  8.55891e-43,  1.04359e-53,  0.0260567  ])
142928  , -1699.86    , array([ 2.18647    ,  0.075826   ,  8.55036e-43,  1.04464e-53,  0.0260567  ])
142929  , -1698.54    , array([ 2.18647    ,  0.075826   ,  8.55036e-43,  1.04359e-53,  0.0260827  ])
142930  , -1679.5     , array([ 1.16368    ,  0.0791548  ,  8.55036e-43,  1.04359e-53,  0.0275086  ])
142931  , -1679.5     , array([ 1.16368    ,  0.0791548  ,  8.55036e-43,  1.04359e-53,  0.0275086  ])
142932  , -1679.28    , array([ 1.16485    ,  0.0791548  ,  8.55036e-43,  1.04359e-53,  0.0275086  ])
142933  , -1680.38    , array([ 1.16368    ,  0.079234   ,  8.55036e-43,  1.04359e-53,  0.0275086  ])
142934  , -1679.5     , array([ 1.16368    ,  0.0791548  ,  8.55891e-43,  1.04359e-53,  0.0275086  ])
142935  , -1679.5     , array([ 1.16368    ,  0.0791548  ,  8.55036e-43,  1.04464e-53,  0.0275086  ])
142936  , -1678.92    , array([ 1.16368    ,  0.0791548  ,  8.55036e-43,  1.04359e-53,  0.0275361  ])
142937  , -1662.36    , array([ 1.66801    ,  0.077237   ,  8.55036e-43,  1.04359e-53,  0.0266701  ])
142938  , -1662.36    , array([ 1.66801    ,  0.077237   ,  8.55036e-43,  1.04359e-53,  0.0266701  ])
142939  , -1662.43    , array([ 1.66968    ,  0.077237   ,  8.55036e-43,  1.04359e-53,  0.0266701  ])
142940  , -1663.56    , array([ 1.66801    ,  0.0773143  ,  8.55036e-43,  1.04359e-53,  0.0266701  ])
142941  , -1662.36    , array([ 1.66801    ,  0.077237   ,  8.55891e-43,  1.04359e-53,  0.0266701  ])
142942  , -1662.36    , array([ 1.66801    ,  0.077237   ,  8.55036e-43,  1.04464e-53,  0.0266701  ])
142943  , -1661.29    , array([ 1.66801    ,  0.077237   ,  8.55036e-43,  1.04359e-53,  0.0266968  ])
142944  , -1633.68    , array([ 1.44142    ,  0.0665147  ,  8.55036e-43,  1.04359e-53,  0.0239715  ])
142945  , -1633.68    , array([ 1.44142    ,  0.0665147  ,  8.55036e-43,  1.04359e-53,  0.0239715  ])
142946  , -1633.68    , array([ 1.44286    ,  0.0665147  ,  8.55036e-43,  1.04359e-53,  0.0239715  ])
142947  , -1633.48    , array([ 1.44142    ,  0.0665813  ,  8.55036e-43,  1.04359e-53,  0.0239715  ])
142948  , -1633.68    , array([ 1.44142    ,  0.0665147  ,  8.55891e-43,  1.04359e-53,  0.0239715  ])
142949  , -1633.68    , array([ 1.44142    ,  0.0665147  ,  8.55036e-43,  1.04464e-53,  0.0239715  ])
142950  , -1633.86    , array([ 1.44142    ,  0.0665147  ,  8.55036e-43,  1.04359e-53,  0.0239955  ])
142951  , -1632.53    , array([ 1.4117     ,  0.067941   ,  8.55036e-43,  1.04359e-53,  0.024321   ])
142952  , -1632.53    , array([ 1.4117     ,  0.067941   ,  8.55036e-43,  1.04359e-53,  0.024321   ])
142953  , -1632.52    , array([ 1.41311    ,  0.067941   ,  8.55036e-43,  1.04359e-53,  0.024321   ])
142954  , -1632.54    , array([ 1.4117     ,  0.0680089  ,  8.55036e-43,  1.04359e-53,  0.024321   ])
142955  , -1632.53    , array([ 1.4117     ,  0.067941   ,  8.55891e-43,  1.04359e-53,  0.024321   ])
142956  , -1632.53    , array([ 1.4117     ,  0.067941   ,  8.55036e-43,  1.04464e-53,  0.024321   ])
142957  , -1632.53    , array([ 1.4117     ,  0.067941   ,  8.55036e-43,  1.04359e-53,  0.0243453  ])
142958  , -1632.58    , array([ 1.45089    ,  0.0676632  ,  8.55036e-43,  1.04359e-53,  0.0242142  ])
142959  , -1632.58    , array([ 1.45089    ,  0.0676632  ,  8.55036e-43,  1.04359e-53,  0.0242142  ])
142960  , -1632.58    , array([ 1.45235    ,  0.0676632  ,  8.55036e-43,  1.04359e-53,  0.0242142  ])
142961  , -1632.6     , array([ 1.45089    ,  0.0677309  ,  8.55036e-43,  1.04359e-53,  0.0242142  ])
142962  , -1632.58    , array([ 1.45089    ,  0.0676632  ,  8.55891e-43,  1.04359e-53,  0.0242142  ])
142963  , -1632.58    , array([ 1.45089    ,  0.0676632  ,  8.55036e-43,  1.04464e-53,  0.0242142  ])
142964  , -1632.55    , array([ 1.45089    ,  0.0676632  ,  8.55036e-43,  1.04359e-53,  0.0242384  ])
142965  , -1632.49    , array([ 1.42472    ,  0.0678477  ,  8.55036e-43,  1.04359e-53,  0.0242851  ])
142966  , -1632.49    , array([ 1.42472    ,  0.0678477  ,  8.55036e-43,  1.04359e-53,  0.0242851  ])
142967  , -1632.48    , array([ 1.42614    ,  0.0678477  ,  8.55036e-43,  1.04359e-53,  0.0242851  ])
142968  , -1632.5     , array([ 1.42472    ,  0.0679156  ,  8.55036e-43,  1.04359e-53,  0.0242851  ])
142969  , -1632.49    , array([ 1.42472    ,  0.0678477  ,  8.55891e-43,  1.04359e-53,  0.0242851  ])
142970  , -1632.49    , array([ 1.42472    ,  0.0678477  ,  8.55036e-43,  1.04464e-53,  0.0242851  ])
142971  , -1632.48    , array([ 1.42472    ,  0.0678477  ,  8.55036e-43,  1.04359e-53,  0.0243094  ])
142972  , -1632.54    , array([ 1.43616    ,  0.0676428  ,  8.55036e-43,  1.04359e-53,  0.0242252  ])
142973  , -1632.54    , array([ 1.43616    ,  0.0676428  ,  8.55036e-43,  1.04359e-53,  0.0242252  ])
142974  , -1632.54    , array([ 1.43759    ,  0.0676428  ,  8.55036e-43,  1.04359e-53,  0.0242252  ])
142975  , -1632.54    , array([ 1.43616    ,  0.0677104  ,  8.55036e-43,  1.04359e-53,  0.0242252  ])
142976  , -1632.54    , array([ 1.43616    ,  0.0676428  ,  8.55891e-43,  1.04359e-53,  0.0242252  ])
142977  , -1632.54    , array([ 1.43616    ,  0.0676428  ,  8.55036e-43,  1.04464e-53,  0.0242252  ])
