122081  , -3161.59    , array([ 0.239399   ,  0.0383183  ,  8.87805e-17,  1.37791e-07,  0.0130162  ])
122082  , -3165.5     , array([ 0.23916    ,  0.0383566  ,  8.87805e-17,  1.37791e-07,  0.0130162  ])
122083  , -3164.66    , array([ 0.23916    ,  0.0383183  ,  8.88693e-17,  1.37791e-07,  0.0130162  ])
122084  , -3164.66    , array([ 0.23916    ,  0.0383183  ,  8.87805e-17,  1.37929e-07,  0.0130162  ])
122085  , -3166.17    , array([ 0.23916    ,  0.0383183  ,  8.87805e-17,  1.37791e-07,  0.0130292  ])
122086  , -2569.98    , array([ 0.238974   ,  0.0251425  ,  1.00476e-18,  1.38034e-07,  0.00894375 ])
122087  , -2569.98    , array([ 0.238974   ,  0.0251425  ,  1.00476e-18,  1.38034e-07,  0.00894375 ])
122088  , -2568.42    , array([ 0.239213   ,  0.0251425  ,  1.00476e-18,  1.38034e-07,  0.00894375 ])
122089  , -2569.3     , array([ 0.238974   ,  0.0251676  ,  1.00476e-18,  1.38034e-07,  0.00894375 ])
122090  , -2569.98    , array([ 0.238974   ,  0.0251425  ,  1.00577e-18,  1.38034e-07,  0.00894375 ])
122091  , -2569.98    , array([ 0.238974   ,  0.0251425  ,  1.00476e-18,  1.38172e-07,  0.00894375 ])
122092  , -2571.66    , array([ 0.238974   ,  0.0251425  ,  1.00476e-18,  1.38034e-07,  0.0089527  ])
122093  , -2369.84    , array([ 0.238331   ,  0.0193217  ,  2.80006e-20,  1.38205e-07,  0.00667948 ])
122094  , -2369.84    , array([ 0.238331   ,  0.0193217  ,  2.80006e-20,  1.38205e-07,  0.00667948 ])
122095  , -2368.98    , array([ 0.23857    ,  0.0193217  ,  2.80006e-20,  1.38205e-07,  0.00667948 ])
122096  , -2369.89    , array([ 0.238331   ,  0.019341   ,  2.80006e-20,  1.38205e-07,  0.00667948 ])
122097  , -2369.84    , array([ 0.238331   ,  0.0193217  ,  2.80286e-20,  1.38205e-07,  0.00667948 ])
122098  , -2369.84    , array([ 0.238331   ,  0.0193217  ,  2.80006e-20,  1.38343e-07,  0.00667948 ])
122099  , -2370.23    , array([ 0.238331   ,  0.0193217  ,  2.80006e-20,  1.38205e-07,  0.00668616 ])
122100  , -2296.5     , array([ 0.24999    ,  0.0162207  ,  2.88471e-21,  1.38348e-07,  0.00565505 ])
122101  , -2296.5     , array([ 0.24999    ,  0.0162207  ,  2.88471e-21,  1.38348e-07,  0.00565505 ])
122102  , -2295.97    , array([ 0.25024    ,  0.0162207  ,  2.88471e-21,  1.38348e-07,  0.00565505 ])
122103  , -2296.26    , array([ 0.24999    ,  0.0162369  ,  2.88471e-21,  1.38348e-07,  0.00565505 ])
122104  , -2296.5     , array([ 0.24999    ,  0.0162207  ,  2.8876e-21 ,  1.38348e-07,  0.00565505 ])
122105  , -2296.5     , array([ 0.24999    ,  0.0162207  ,  2.88471e-21,  1.38486e-07,  0.00565505 ])
122106  , -2296.89    , array([ 0.24999    ,  0.0162207  ,  2.88471e-21,  1.38348e-07,  0.00566071 ])
122107  , -2263.46    , array([ 0.267308   ,  0.0148444  ,  6.62192e-22,  1.38456e-07,  0.00516576 ])
122108  , -2263.46    , array([ 0.267308   ,  0.0148444  ,  6.62192e-22,  1.38456e-07,  0.00516576 ])
122109  , -2263.11    , array([ 0.267575   ,  0.0148444  ,  6.62192e-22,  1.38456e-07,  0.00516576 ])
122110  , -2263.26    , array([ 0.267308   ,  0.0148593  ,  6.62192e-22,  1.38456e-07,  0.00516576 ])
122111  , -2263.46    , array([ 0.267308   ,  0.0148444  ,  6.62855e-22,  1.38456e-07,  0.00516576 ])
122112  , -2263.46    , array([ 0.267308   ,  0.0148444  ,  6.62192e-22,  1.38594e-07,  0.00516576 ])
122113  , -2263.65    , array([ 0.267308   ,  0.0148444  ,  6.62192e-22,  1.38456e-07,  0.00517093 ])
122114  , -2233.7     , array([ 0.299137   ,  0.0144601  ,  2.63412e-22,  1.3856e-07 ,  0.00503792 ])
122115  , -2233.7     , array([ 0.299137   ,  0.0144601  ,  2.63412e-22,  1.3856e-07 ,  0.00503792 ])
122116  , -2233.47    , array([ 0.299436   ,  0.0144601  ,  2.63412e-22,  1.3856e-07 ,  0.00503792 ])
122117  , -2233.48    , array([ 0.299137   ,  0.0144745  ,  2.63412e-22,  1.3856e-07 ,  0.00503792 ])
122118  , -2233.7     , array([ 0.299137   ,  0.0144601  ,  2.63675e-22,  1.3856e-07 ,  0.00503792 ])
122119  , -2233.7     , array([ 0.299137   ,  0.0144601  ,  2.63412e-22,  1.38699e-07,  0.00503792 ])
122120  , -2233.81    , array([ 0.299137   ,  0.0144601  ,  2.63412e-22,  1.3856e-07 ,  0.00504296 ])
122121  , -2181.25    , array([ 0.378377   ,  0.0153965  ,  1.60637e-22,  1.38706e-07,  0.00537817 ])
122122  , -2181.25    , array([ 0.378377   ,  0.0153965  ,  1.60637e-22,  1.38706e-07,  0.00537817 ])
122123  , -2181.13    , array([ 0.378755   ,  0.0153965  ,  1.60637e-22,  1.38706e-07,  0.00537817 ])
122124  , -2181.01    , array([ 0.378377   ,  0.0154119  ,  1.60637e-22,  1.38706e-07,  0.00537817 ])
