38493   , -395.882    , array([ 0.417419   ,  0.141414   ,  2.19821e-27,  0.310924   ])
38494   , -394.735    , array([ 0.417419   ,  0.127865   ,  2.19821e-27,  0.29332    ])
38495   , -394.735    , array([ 0.417419   ,  0.127865   ,  2.19821e-27,  0.29332    ])
38496   , -394.735    , array([ 0.417836   ,  0.127865   ,  2.19821e-27,  0.29332    ])
38497   , -394.728    , array([ 0.417419   ,  0.127993   ,  2.19821e-27,  0.29332    ])
38498   , -394.735    , array([ 0.417419   ,  0.127865   ,  2.20041e-27,  0.29332    ])
38499   , -394.764    , array([ 0.417419   ,  0.127865   ,  2.19821e-27,  0.293614   ])
38500   , -395.431    , array([ 0.417419   ,  0.0966229  ,  2.19821e-27,  0.256254   ])
38501   , -395.431    , array([ 0.417419   ,  0.0966229  ,  2.19821e-27,  0.256254   ])
38502   , -395.431    , array([ 0.417836   ,  0.0966229  ,  2.19821e-27,  0.256254   ])
38503   , -395.329    , array([ 0.417419   ,  0.0967196  ,  2.19821e-27,  0.256254   ])
38504   , -395.431    , array([ 0.417419   ,  0.0966229  ,  2.20041e-27,  0.256254   ])
38505   , -395.617    , array([ 0.417419   ,  0.0966229  ,  2.19821e-27,  0.25651    ])
38506   , -394.451    , array([ 0.417419   ,  0.115684   ,  2.19821e-27,  0.279496   ])
38507   , -394.451    , array([ 0.417419   ,  0.115684   ,  2.19821e-27,  0.279496   ])
38508   , -394.451    , array([ 0.417836   ,  0.115684   ,  2.19821e-27,  0.279496   ])
38509   , -394.43     , array([ 0.417419   ,  0.115799   ,  2.19821e-27,  0.279496   ])
38510   , -394.451    , array([ 0.417419   ,  0.115684   ,  2.20041e-27,  0.279496   ])
38511   , -394.505    , array([ 0.417419   ,  0.115684   ,  2.19821e-27,  0.279776   ])
38512   , -394.241    , array([ 0.417419   ,  0.106675   ,  2.19821e-27,  0.267729   ])
38513   , -394.241    , array([ 0.417419   ,  0.106675   ,  2.19821e-27,  0.267729   ])
38514   , -394.241    , array([ 0.417836   ,  0.106675   ,  2.19821e-27,  0.267729   ])
38515   , -394.214    , array([ 0.417419   ,  0.106782   ,  2.19821e-27,  0.267729   ])
38516   , -394.241    , array([ 0.417419   ,  0.106675   ,  2.20041e-27,  0.267729   ])
38517   , -394.302    , array([ 0.417419   ,  0.106675   ,  2.19821e-27,  0.267997   ])
38518   , -394.075    , array([ 0.417419   ,  0.100928   ,  2.19821e-27,  0.259477   ])
38519   , -394.075    , array([ 0.417419   ,  0.100928   ,  2.19821e-27,  0.259477   ])
38520   , -394.075    , array([ 0.417836   ,  0.100928   ,  2.19821e-27,  0.259477   ])
38521   , -394.049    , array([ 0.417419   ,  0.101029   ,  2.19821e-27,  0.259477   ])
38522   , -394.075    , array([ 0.417419   ,  0.100928   ,  2.20041e-27,  0.259477   ])
38523   , -394.133    , array([ 0.417419   ,  0.100928   ,  2.19821e-27,  0.259736   ])
38524   , -393.956    , array([ 0.417419   ,  0.0965775  ,  2.19821e-27,  0.252945   ])
38525   , -393.956    , array([ 0.417419   ,  0.0965775  ,  2.19821e-27,  0.252945   ])
38526   , -393.956    , array([ 0.417836   ,  0.0965775  ,  2.19821e-27,  0.252945   ])
38527   , -393.931    , array([ 0.417419   ,  0.0966741  ,  2.19821e-27,  0.252945   ])
38528   , -393.956    , array([ 0.417419   ,  0.0965775  ,  2.20041e-27,  0.252945   ])
38529   , -394.011    , array([ 0.417419   ,  0.0965775  ,  2.19821e-27,  0.253198   ])
38530   , -393.838    , array([ 0.417419   ,  0.0809705  ,  2.19821e-27,  0.22842    ])
38531   , -393.838    , array([ 0.417419   ,  0.0809705  ,  2.19821e-27,  0.22842    ])
38532   , -393.838    , array([ 0.417836   ,  0.0809705  ,  2.19821e-27,  0.22842    ])
38533   , -393.79     , array([ 0.417419   ,  0.0810515  ,  2.19821e-27,  0.22842    ])
38534   , -393.838    , array([ 0.417419   ,  0.0809705  ,  2.20041e-27,  0.22842    ])
38535   , -393.929    , array([ 0.417419   ,  0.0809705  ,  2.19821e-27,  0.228648   ])
38536   , -393.728    , array([ 0.417419   ,  0.0765619  ,  2.19821e-27,  0.220553   ])
38537   , -393.728    , array([ 0.417419   ,  0.0765619  ,  2.19821e-27,  0.220553   ])
38538   , -393.728    , array([ 0.417836   ,  0.0765619  ,  2.19821e-27,  0.220553   ])
38539   , -393.681    , array([ 0.417419   ,  0.0766385  ,  2.19821e-27,  0.220553   ])
38540   , -393.728    , array([ 0.417419   ,  0.0765619  ,  2.20041e-27,  0.220553   ])
38541   , -393.815    , array([ 0.417419   ,  0.0765619  ,  2.19821e-27,  0.220773   ])
38542   , -393.898    , array([ 0.417419   ,  0.0612006  ,  2.19821e-27,  0.191702   ])
38543   , -393.898    , array([ 0.417419   ,  0.0612006  ,  2.19821e-27,  0.191702   ])
38544   , -393.898    , array([ 0.417836   ,  0.0612006  ,  2.19821e-27,  0.191702   ])
38545   , -393.811    , array([ 0.417419   ,  0.0612618  ,  2.19821e-27,  0.191702   ])
38546   , -393.898    , array([ 0.417419   ,  0.0612006  ,  2.20041e-27,  0.191702   ])
38547   , -394.043    , array([ 0.417419   ,  0.0612006  ,  2.19821e-27,  0.191894   ])
38548   , -393.675    , array([ 0.417419   ,  0.0728126  ,  2.19821e-27,  0.213728   ])
38549   , -393.675    , array([ 0.417419   ,  0.0728126  ,  2.19821e-27,  0.213728   ])
38550   , -393.675    , array([ 0.417836   ,  0.0728126  ,  2.19821e-27,  0.213728   ])
38551   , -393.627    , array([ 0.417419   ,  0.0728855  ,  2.19821e-27,  0.213728   ])
38552   , -393.675    , array([ 0.417419   ,  0.0728126  ,  2.20041e-27,  0.213728   ])
38553   , -393.765    , array([ 0.417419   ,  0.0728126  ,  2.19821e-27,  0.213942   ])
38554   , -393.591    , array([ 0.417419   ,  0.0703786  ,  2.19821e-27,  0.209039   ])
38555   , -393.591    , array([ 0.417419   ,  0.0703786  ,  2.19821e-27,  0.209039   ])
38556   , -393.591    , array([ 0.417836   ,  0.0703786  ,  2.19821e-27,  0.209039   ])
38557   , -393.546    , array([ 0.417419   ,  0.070449   ,  2.19821e-27,  0.209039   ])
38558   , -393.591    , array([ 0.417419   ,  0.0703786  ,  2.20041e-27,  0.209039   ])
38559   , -393.673    , array([ 0.417419   ,  0.0703786  ,  2.19821e-27,  0.209248   ])
38560   , -393.425    , array([ 0.417419   ,  0.0614293  ,  2.19821e-27,  0.19129    ])
38561   , -393.425    , array([ 0.417419   ,  0.0614293  ,  2.19821e-27,  0.19129    ])
38562   , -393.425    , array([ 0.417836   ,  0.0614293  ,  2.19821e-27,  0.19129    ])
38563   , -393.384    , array([ 0.417419   ,  0.0614908  ,  2.19821e-27,  0.19129    ])
38564   , -393.425    , array([ 0.417419   ,  0.0614293  ,  2.20041e-27,  0.19129    ])
38565   , -393.502    , array([ 0.417419   ,  0.0614293  ,  2.19821e-27,  0.191481   ])
38566   , -393.437    , array([ 0.417419   ,  0.0577704  ,  2.19821e-27,  0.183804   ])
38567   , -393.437    , array([ 0.417419   ,  0.0577704  ,  2.19821e-27,  0.183804   ])
38568   , -393.437    , array([ 0.417836   ,  0.0577704  ,  2.19821e-27,  0.183804   ])
38569   , -393.387    , array([ 0.417419   ,  0.0578282  ,  2.19821e-27,  0.183804   ])
38570   , -393.437    , array([ 0.417419   ,  0.0577704  ,  2.20041e-27,  0.183804   ])
38571   , -393.526    , array([ 0.417419   ,  0.0577704  ,  2.19821e-27,  0.183988   ])
38572   , -393.423    , array([ 0.417419   ,  0.0606456  ,  2.19821e-27,  0.1897     ])
38573   , -393.423    , array([ 0.417419   ,  0.0606456  ,  2.19821e-27,  0.1897     ])
38574   , -393.423    , array([ 0.417836   ,  0.0606456  ,  2.19821e-27,  0.1897     ])
38575   , -393.381    , array([ 0.417419   ,  0.0607063  ,  2.19821e-27,  0.1897     ])
38576   , -393.423    , array([ 0.417419   ,  0.0606456  ,  2.20041e-27,  0.1897     ])
38577   , -393.502    , array([ 0.417419   ,  0.0606456  ,  2.19821e-27,  0.18989    ])
38578   , -393.428    , array([ 0.417419   ,  0.0587324  ,  2.19821e-27,  0.185788   ])
38579   , -393.428    , array([ 0.417419   ,  0.0587324  ,  2.19821e-27,  0.185788   ])
38580   , -393.428    , array([ 0.417836   ,  0.0587324  ,  2.19821e-27,  0.185788   ])
38581   , -393.381    , array([ 0.417419   ,  0.0587911  ,  2.19821e-27,  0.185788   ])
38582   , -393.428    , array([ 0.417419   ,  0.0587324  ,  2.20041e-27,  0.185788   ])
38583   , -393.513    , array([ 0.417419   ,  0.0587324  ,  2.19821e-27,  0.185973   ])
38584   , -393.423    , array([ 0.417419   ,  0.0602425  ,  2.19821e-27,  0.188879   ])
38585   , -393.423    , array([ 0.417419   ,  0.0602425  ,  2.19821e-27,  0.188879   ])
38586   , -393.423    , array([ 0.417836   ,  0.0602425  ,  2.19821e-27,  0.188879   ])
38587   , -393.38     , array([ 0.417419   ,  0.0603028  ,  2.19821e-27,  0.188879   ])
38588   , -393.423    , array([ 0.417419   ,  0.0602425  ,  2.20041e-27,  0.188879   ])
38589   , -393.503    , array([ 0.417419   ,  0.0602425  ,  2.19821e-27,  0.189068   ])
38590   , -393.426    , array([ 0.417419   ,  0.0592415  ,  2.19821e-27,  0.186833   ])
38591   , -393.426    , array([ 0.417419   ,  0.0592415  ,  2.19821e-27,  0.186833   ])
38592   , -393.426    , array([ 0.417836   ,  0.0592415  ,  2.19821e-27,  0.186833   ])
38593   , -393.38     , array([ 0.417419   ,  0.0593008  ,  2.19821e-27,  0.186833   ])
38594   , -393.426    , array([ 0.417419   ,  0.0592415  ,  2.20041e-27,  0.186833   ])
38595   , -393.508    , array([ 0.417419   ,  0.0592415  ,  2.19821e-27,  0.18702    ])
38596   , -393.423    , array([ 0.417419   ,  0.0600335  ,  2.19821e-27,  0.188453   ])
38597   , -393.423    , array([ 0.417419   ,  0.0600335  ,  2.19821e-27,  0.188453   ])
38598   , -393.423    , array([ 0.417836   ,  0.0600335  ,  2.19821e-27,  0.188453   ])
38599   , -393.379    , array([ 0.417419   ,  0.0600935  ,  2.19821e-27,  0.188453   ])
38600   , -393.423    , array([ 0.417419   ,  0.0600335  ,  2.20041e-27,  0.188453   ])
38601   , -393.503    , array([ 0.417419   ,  0.0600335  ,  2.19821e-27,  0.188641   ])
38602   , -393.423    , array([ 0.417419   ,  0.0601986  ,  2.19821e-27,  0.18879    ])
38603   , -393.423    , array([ 0.417419   ,  0.0601986  ,  2.19821e-27,  0.18879    ])
38604   , -393.423    , array([ 0.417836   ,  0.0601986  ,  2.19821e-27,  0.18879    ])
