266961  , -68483.7    , array([ 0.0276792  ,  0.0425063  ,  4.22722e-39,  4.053e-47  ,  0.022927   ])
266962  , -68551      , array([ 0.0276515  ,  0.0425489  ,  4.22722e-39,  4.053e-47  ,  0.022927   ])
266963  , -68546.6    , array([ 0.0276515  ,  0.0425063  ,  4.23145e-39,  4.053e-47  ,  0.022927   ])
266964  , -68546.6    , array([ 0.0276515  ,  0.0425063  ,  4.22722e-39,  4.05706e-47,  0.022927   ])
266965  , -68599.2    , array([ 0.0276515  ,  0.0425063  ,  4.22722e-39,  4.053e-47  ,  0.02295    ])
266973  , -68546.2    , array([ 0.0276487  ,  0.0425007  ,  4.22722e-39,  4.053e-47  ,  0.0229242  ])
266974  , -68546.2    , array([ 0.0276487  ,  0.0425007  ,  4.22722e-39,  4.053e-47  ,  0.0229242  ])
266975  , -68483.2    , array([ 0.0276763  ,  0.0425007  ,  4.22722e-39,  4.053e-47  ,  0.0229242  ])
266976  , -68550.5    , array([ 0.0276487  ,  0.0425432  ,  4.22722e-39,  4.053e-47  ,  0.0229242  ])
266977  , -68546.2    , array([ 0.0276487  ,  0.0425007  ,  4.23145e-39,  4.053e-47  ,  0.0229242  ])
266978  , -68546.2    , array([ 0.0276487  ,  0.0425007  ,  4.22722e-39,  4.05706e-47,  0.0229242  ])
266979  , -68598.8    , array([ 0.0276487  ,  0.0425007  ,  4.22722e-39,  4.053e-47  ,  0.0229471  ])
266980  , -68545.8    , array([ 0.0276458  ,  0.042495   ,  4.22722e-39,  4.053e-47  ,  0.0229214  ])
266981  , -68545.8    , array([ 0.0276458  ,  0.042495   ,  4.22722e-39,  4.053e-47  ,  0.0229214  ])
266982  , -68482.8    , array([ 0.0276734  ,  0.042495   ,  4.22722e-39,  4.053e-47  ,  0.0229214  ])
266983  , -68550.1    , array([ 0.0276458  ,  0.0425375  ,  4.22722e-39,  4.053e-47  ,  0.0229214  ])
266984  , -68545.8    , array([ 0.0276458  ,  0.042495   ,  4.23145e-39,  4.053e-47  ,  0.0229214  ])
266985  , -68545.8    , array([ 0.0276458  ,  0.042495   ,  4.22722e-39,  4.05706e-47,  0.0229214  ])
266986  , -68598.3    , array([ 0.0276458  ,  0.042495   ,  4.22722e-39,  4.053e-47  ,  0.0229443  ])
266987  , -55899      , array([ 0.00400003 ,  0.00361119 ,  4.22722e-39,  4.053e-47  ,  0.00238264 ])
266988  , -55899      , array([ 0.00400003 ,  0.00361119 ,  4.22722e-39,  4.053e-47  ,  0.00238264 ])
