206378  , -18604.5    , array([ 0.0534912  ,  0.030785   ,  1.57598e-12,  2.11064    ,  0.0123883  ])
206379  , -18604.3    , array([ 0.0534912  ,  0.030785   ,  1.5744e-12 ,  2.11275    ,  0.0123883  ])
206380  , -18623.7    , array([ 0.0534912  ,  0.030785   ,  1.5744e-12 ,  2.11064    ,  0.0124007  ])
206388  , -18604.5    , array([ 0.0534911  ,  0.0307848  ,  1.5744e-12 ,  2.11075    ,  0.0123883  ])
206389  , -18604.5    , array([ 0.0534911  ,  0.0307848  ,  1.5744e-12 ,  2.11075    ,  0.0123883  ])
206390  , -18581.5    , array([ 0.0535446  ,  0.0307848  ,  1.5744e-12 ,  2.11075    ,  0.0123883  ])
206391  , -18606.1    , array([ 0.0534911  ,  0.0308156  ,  1.5744e-12 ,  2.11075    ,  0.0123883  ])
206392  , -18604.5    , array([ 0.0534911  ,  0.0307848  ,  1.57598e-12,  2.11075    ,  0.0123883  ])
206393  , -18604.2    , array([ 0.0534911  ,  0.0307848  ,  1.5744e-12 ,  2.11286    ,  0.0123883  ])
206394  , -18623.7    , array([ 0.0534911  ,  0.0307848  ,  1.5744e-12 ,  2.11075    ,  0.0124007  ])
206395  , -18604.4    , array([ 0.053491   ,  0.0307846  ,  1.5744e-12 ,  2.11086    ,  0.0123883  ])
206396  , -18604.4    , array([ 0.053491   ,  0.0307846  ,  1.5744e-12 ,  2.11086    ,  0.0123883  ])
206397  , -18581.5    , array([ 0.0535446  ,  0.0307846  ,  1.5744e-12 ,  2.11086    ,  0.0123883  ])
206398  , -18606      , array([ 0.053491   ,  0.0308154  ,  1.5744e-12 ,  2.11086    ,  0.0123883  ])
206399  , -18604.4    , array([ 0.053491   ,  0.0307846  ,  1.57598e-12,  2.11086    ,  0.0123883  ])
206400  , -18604.2    , array([ 0.053491   ,  0.0307846  ,  1.5744e-12 ,  2.11297    ,  0.0123883  ])
206401  , -18623.7    , array([ 0.053491   ,  0.0307846  ,  1.5744e-12 ,  2.11086    ,  0.0124007  ])
206409  , -18604.4    , array([ 0.053491   ,  0.0307846  ,  1.5744e-12 ,  2.11088    ,  0.0123883  ])
206410  , -18604.4    , array([ 0.053491   ,  0.0307846  ,  1.5744e-12 ,  2.11088    ,  0.0123883  ])
206411  , -18581.5    , array([ 0.0535445  ,  0.0307846  ,  1.5744e-12 ,  2.11088    ,  0.0123883  ])
206412  , -18606      , array([ 0.053491   ,  0.0308154  ,  1.5744e-12 ,  2.11088    ,  0.0123883  ])
206413  , -18604.4    , array([ 0.053491   ,  0.0307846  ,  1.57598e-12,  2.11088    ,  0.0123883  ])
206414  , -18604.2    , array([ 0.053491   ,  0.0307846  ,  1.5744e-12 ,  2.113      ,  0.0123883  ])
206415  , -18623.7    , array([ 0.053491   ,  0.0307846  ,  1.5744e-12 ,  2.11088    ,  0.0124007  ])
206416  , -18604.4    , array([ 0.053491   ,  0.0307845  ,  1.5744e-12 ,  2.11091    ,  0.0123883  ])
206417  , -18604.4    , array([ 0.053491   ,  0.0307845  ,  1.5744e-12 ,  2.11091    ,  0.0123883  ])
206418  , -18581.5    , array([ 0.0535445  ,  0.0307845  ,  1.5744e-12 ,  2.11091    ,  0.0123883  ])
206419  , -18606      , array([ 0.053491   ,  0.0308153  ,  1.5744e-12 ,  2.11091    ,  0.0123883  ])
206420  , -18604.4    , array([ 0.053491   ,  0.0307845  ,  1.57598e-12,  2.11091    ,  0.0123883  ])
206421  , -18604.2    , array([ 0.053491   ,  0.0307845  ,  1.5744e-12 ,  2.11302    ,  0.0123883  ])
206422  , -18623.7    , array([ 0.053491   ,  0.0307845  ,  1.5744e-12 ,  2.11091    ,  0.0124007  ])
206430  , -18604.4    , array([ 0.053491   ,  0.0307845  ,  1.5744e-12 ,  2.11092    ,  0.0123883  ])
206431  , -18604.4    , array([ 0.053491   ,  0.0307845  ,  1.5744e-12 ,  2.11092    ,  0.0123883  ])
206432  , -18581.5    , array([ 0.0535445  ,  0.0307845  ,  1.5744e-12 ,  2.11092    ,  0.0123883  ])
206433  , -18606      , array([ 0.053491   ,  0.0308153  ,  1.5744e-12 ,  2.11092    ,  0.0123883  ])
206434  , -18604.4    , array([ 0.053491   ,  0.0307845  ,  1.57598e-12,  2.11092    ,  0.0123883  ])
206435  , -18604.2    , array([ 0.053491   ,  0.0307845  ,  1.5744e-12 ,  2.11303    ,  0.0123883  ])
206436  , -18623.7    , array([ 0.053491   ,  0.0307845  ,  1.5744e-12 ,  2.11092    ,  0.0124007  ])
206437  , -18604.4    , array([ 0.053491   ,  0.0307845  ,  1.5744e-12 ,  2.11092    ,  0.0123883  ])
206438  , -18604.4    , array([ 0.053491   ,  0.0307845  ,  1.5744e-12 ,  2.11092    ,  0.0123883  ])
206439  , -18581.5    , array([ 0.0535445  ,  0.0307845  ,  1.5744e-12 ,  2.11092    ,  0.0123883  ])
