632     , -2336.76    , array([ 0.0315789  ,  0.113749   ,  7.12835e-08,  9.266e-57  ])
633     , -2336.76    , array([ 0.0316105  ,  0.113749   ,  7.12835e-08,  9.266e-57  ])
634     , -2336.76    , array([ 0.0315789  ,  0.113863   ,  7.12835e-08,  9.266e-57  ])
635     , -2336.76    , array([ 0.0315789  ,  0.113749   ,  7.13549e-08,  9.266e-57  ])
636     , -2336.76    , array([ 0.0315789  ,  0.113749   ,  7.12835e-08,  9.27527e-57])
637     , -2336.76    , array([ 0.0315789  ,  0.113749   ,  7.12835e-08,  9.266e-57  ])
638     , -2336.76    , array([ 0.0315789  ,  0.113749   ,  7.12835e-08,  9.266e-57  ])
639     , -2336.76    , array([ 0.0316105  ,  0.113749   ,  7.12835e-08,  9.266e-57  ])
640     , -2336.76    , array([ 0.0315789  ,  0.113863   ,  7.12835e-08,  9.266e-57  ])
641     , -2336.76    , array([ 0.0315789  ,  0.113749   ,  7.13549e-08,  9.266e-57  ])
642     , -2336.76    , array([ 0.0315789  ,  0.113749   ,  7.12835e-08,  9.27527e-57])
643     , -2336.76    , array([ 0.0315789  ,  0.113749   ,  7.12835e-08,  9.266e-57  ])
644     , -2336.76    , array([ 0.0315789  ,  0.113749   ,  7.12835e-08,  9.266e-57  ])
645     , -2336.76    , array([ 0.0316105  ,  0.113749   ,  7.12835e-08,  9.266e-57  ])
646     , -2336.76    , array([ 0.0315789  ,  0.113863   ,  7.12835e-08,  9.266e-57  ])
647     , -2336.76    , array([ 0.0315789  ,  0.113749   ,  7.13549e-08,  9.266e-57  ])
648     , -2336.76    , array([ 0.0315789  ,  0.113749   ,  7.12835e-08,  9.27527e-57])
649     , -2336.76    , array([ 0.0315789  ,  0.113749   ,  7.12835e-08,  9.266e-57  ])
650     , -2336.76    , array([ 0.0315789  ,  0.113749   ,  7.12835e-08,  9.266e-57  ])
651     , -2336.76    , array([ 0.0316105  ,  0.113749   ,  7.12835e-08,  9.266e-57  ])
652     , -2336.76    , array([ 0.0315789  ,  0.113863   ,  7.12835e-08,  9.266e-57  ])
653     , -2336.76    , array([ 0.0315789  ,  0.113749   ,  7.13549e-08,  9.266e-57  ])
654     , -2336.76    , array([ 0.0315789  ,  0.113749   ,  7.12835e-08,  9.27527e-57])
655     , -2336.76    , array([ 0.0315789  ,  0.113749   ,  7.12835e-08,  9.266e-57  ])
656     , -2336.76    , array([ 0.0315789  ,  0.113749   ,  7.12835e-08,  9.266e-57  ])
657     , -2336.76    , array([ 0.0316105  ,  0.113749   ,  7.12835e-08,  9.266e-57  ])
658     , -2336.76    , array([ 0.0315789  ,  0.113863   ,  7.12835e-08,  9.266e-57  ])
659     , -2336.76    , array([ 0.0315789  ,  0.113749   ,  7.13549e-08,  9.266e-57  ])
660     , -2336.76    , array([ 0.0315789  ,  0.113749   ,  7.12835e-08,  9.27527e-57])
661     , -2336.76    , array([ 0.0315789  ,  0.113749   ,  7.12835e-08,  9.266e-57  ])
662     , -2336.76    , array([ 0.0315789  ,  0.113749   ,  7.12835e-08,  9.266e-57  ])
663     , -2336.76    , array([ 0.0316105  ,  0.113749   ,  7.12835e-08,  9.266e-57  ])
664     , -2336.76    , array([ 0.0315789  ,  0.113863   ,  7.12835e-08,  9.266e-57  ])
665     , -2336.76    , array([ 0.0315789  ,  0.113749   ,  7.13549e-08,  9.266e-57  ])
666     , -2336.76    , array([ 0.0315789  ,  0.113749   ,  7.12835e-08,  9.27527e-57])
667     , -2336.75    , array([ 0.00819624 ,  0.113749   ,  2.33893e-08,  9.266e-57  ])
668     , -2336.75    , array([ 0.00819624 ,  0.113749   ,  2.33893e-08,  9.266e-57  ])
669     , -2336.75    , array([ 0.00820444 ,  0.113749   ,  2.33893e-08,  9.266e-57  ])
670     , -2336.75    , array([ 0.00819624 ,  0.113863   ,  2.33893e-08,  9.266e-57  ])
671     , -2336.75    , array([ 0.00819624 ,  0.113749   ,  2.34127e-08,  9.266e-57  ])
672     , -2336.75    , array([ 0.00819624 ,  0.113749   ,  2.33893e-08,  9.27527e-57])
674     , -2336.74    , array([ 0.00212732 ,  0.113749   ,  7.67444e-09,  9.266e-57  ])
