89590   , -72843.1    , array([ 3.23476    ,  52.3197    ,  2.65388    ,  2.58793    ,  0.190977   ])
89591   , -72659.1    , array([ 3.23476    ,  52.3197    ,  2.65388    ,  2.58793    ,  0.185863   ])
89592   , -71197.8    , array([ 3.23476    ,  52.3197    ,  2.65388    ,  2.58793    ,  0.139738   ])
89593   , -70530.6    , array([ 3.23476    ,  52.3197    ,  2.65388    ,  2.58793    ,  0.0863631  ])
89594   , -70586.3    , array([ 3.23476    ,  52.3197    ,  2.65388    ,  2.58793    ,  0.0806373  ])
89595   , -70510.3    , array([ 3.23476    ,  52.3197    ,  2.65388    ,  2.58793    ,  0.0964327  ])
89596   , -70650      , array([ 3.23476    ,  52.3197    ,  2.65388    ,  2.58793    ,  0.112974   ])
89597   , -70506.8    , array([ 3.23476    ,  52.3197    ,  2.65388    ,  2.58793    ,  0.0934721  ])
89598   , -70507.1    , array([ 3.23476    ,  52.3197    ,  2.65388    ,  2.58793    ,  0.0944069  ])
89599   , -70507.3    , array([ 3.23476    ,  52.3197    ,  2.65388    ,  2.58793    ,  0.0925374  ])
89600   , -85117.7    , array([ 5.82269    ,  54.9076    ,  5.24181    ,  5.17586    ,  0.186944   ])
89601   , -70506.8    , array([ 3.23476    ,  52.3197    ,  2.65388    ,  2.58793    ,  0.0934721  ])
89602   , -73320.5    , array([ 4.23476    ,  52.3197    ,  2.65388    ,  2.58793    ,  0.0934721  ])
89603   , -61844.5    , array([ 1.61673    ,  52.3197    ,  2.65388    ,  2.58793    ,  0.0934721  ])
89605   , -61844.5    , array([ 1.61673    ,  52.3197    ,  2.65388    ,  2.58793    ,  0.0934721  ])
89606   , -51911.6    , array([ 0.616728   ,  52.3197    ,  2.65388    ,  2.58793    ,  0.0934721  ])
89608   , -57121.5    , array([ 1.11668    ,  52.3197    ,  2.65388    ,  2.58793    ,  0.0934721  ])
89609   , -52386.1    , array([ 0.38066    ,  52.3197    ,  2.65388    ,  2.58793    ,  0.0934721  ])
89610   , -51575.6    , array([ 0.558197   ,  52.3197    ,  2.65388    ,  2.58793    ,  0.0934721  ])
89611   , -51465.6    , array([ 0.52171    ,  52.3197    ,  2.65388    ,  2.58793    ,  0.0934721  ])
89612   , -51505.8    , array([ 0.467834   ,  52.3197    ,  2.65388    ,  2.58793    ,  0.0934721  ])
89613   , -51465.6    , array([ 0.52171    ,  52.3197    ,  2.65388    ,  2.58793    ,  0.0934721  ])
89614   , -51477.4    , array([ 0.52171    ,  53.3197    ,  2.65388    ,  2.58793    ,  0.0934721  ])
89615   , -51445.6    , array([ 0.52171    ,  50.7017    ,  2.65388    ,  2.58793    ,  0.0934721  ])
89616   , -51410.5    , array([ 0.52171    ,  48.0836    ,  2.65388    ,  2.58793    ,  0.0934721  ])
89617   , -51344.8    , array([ 0.52171    ,  43.8476    ,  2.65388    ,  2.58793    ,  0.0934721  ])
