167217  , -1635.96    , array([ 1.4216     ,  0.0640318  ,  3.75151e-08,  4.77008e-39,  0.0229384  ])
167218  , -1635.94    , array([ 1.4216     ,  0.0640318  ,  3.75151e-08,  4.76531e-39,  0.0229613  ])
167219  , -1633.53    , array([ 1.4714     ,  0.0664361  ,  4.09809e-08,  4.76531e-39,  0.0237988  ])
167220  , -1633.53    , array([ 1.4714     ,  0.0664361  ,  4.09809e-08,  4.76531e-39,  0.0237988  ])
167221  , -1633.54    , array([ 1.47288    ,  0.0664361  ,  4.09809e-08,  4.76531e-39,  0.0237988  ])
167222  , -1633.51    , array([ 1.4714     ,  0.0665026  ,  4.09809e-08,  4.76531e-39,  0.0237988  ])
167223  , -1633.53    , array([ 1.4714     ,  0.0664361  ,  4.10219e-08,  4.76531e-39,  0.0237988  ])
167224  , -1633.53    , array([ 1.4714     ,  0.0664361  ,  4.09809e-08,  4.77008e-39,  0.0237988  ])
167225  , -1633.51    , array([ 1.4714     ,  0.0664361  ,  4.09809e-08,  4.76531e-39,  0.0238226  ])
167226  , -1632.75    , array([ 1.46084    ,  0.067385   ,  5.12921e-08,  4.76531e-39,  0.0241337  ])
167227  , -1632.75    , array([ 1.46084    ,  0.067385   ,  5.12921e-08,  4.76531e-39,  0.0241337  ])
167228  , -1632.76    , array([ 1.46231    ,  0.067385   ,  5.12921e-08,  4.76531e-39,  0.0241337  ])
167229  , -1632.75    , array([ 1.46084    ,  0.0674525  ,  5.12921e-08,  4.76531e-39,  0.0241337  ])
167230  , -1632.75    , array([ 1.46084    ,  0.067385   ,  5.13435e-08,  4.76531e-39,  0.0241337  ])
167231  , -1632.75    , array([ 1.46084    ,  0.067385   ,  5.12921e-08,  4.77008e-39,  0.0241337  ])
167232  , -1632.74    , array([ 1.46084    ,  0.067385   ,  5.12921e-08,  4.76531e-39,  0.0241579  ])
167233  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167234  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167235  , -1632.51    , array([ 1.43999    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167236  , -1632.51    , array([ 1.43855    ,  0.0677857  ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167237  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.26623e-08,  4.76531e-39,  0.02425    ])
167238  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.77008e-39,  0.02425    ])
167239  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.0242743  ])
167240  , -1632.53    , array([ 1.43665    ,  0.0676585  ,  6.27812e-08,  4.76531e-39,  0.0242291  ])
167241  , -1632.53    , array([ 1.43665    ,  0.0676585  ,  6.27812e-08,  4.76531e-39,  0.0242291  ])
167242  , -1632.53    , array([ 1.43808    ,  0.0676585  ,  6.27812e-08,  4.76531e-39,  0.0242291  ])
167243  , -1632.53    , array([ 1.43665    ,  0.0677262  ,  6.27812e-08,  4.76531e-39,  0.0242291  ])
167244  , -1632.53    , array([ 1.43665    ,  0.0676585  ,  6.2844e-08 ,  4.76531e-39,  0.0242291  ])
167245  , -1632.53    , array([ 1.43665    ,  0.0676585  ,  6.27812e-08,  4.77008e-39,  0.0242291  ])
167246  , -1632.53    , array([ 1.43665    ,  0.0676585  ,  6.27812e-08,  4.76531e-39,  0.0242533  ])
167247  , -1632.51    , array([ 1.43853    ,  0.0677174  ,  6.26015e-08,  4.76531e-39,  0.0242498  ])
167248  , -1632.51    , array([ 1.43853    ,  0.0677174  ,  6.26015e-08,  4.76531e-39,  0.0242498  ])
167249  , -1632.51    , array([ 1.43997    ,  0.0677174  ,  6.26015e-08,  4.76531e-39,  0.0242498  ])
167250  , -1632.51    , array([ 1.43853    ,  0.0677851  ,  6.26015e-08,  4.76531e-39,  0.0242498  ])
167251  , -1632.51    , array([ 1.43853    ,  0.0677174  ,  6.26641e-08,  4.76531e-39,  0.0242498  ])
167252  , -1632.51    , array([ 1.43853    ,  0.0677174  ,  6.26015e-08,  4.77008e-39,  0.0242498  ])
167253  , -1632.51    , array([ 1.43853    ,  0.0677174  ,  6.26015e-08,  4.76531e-39,  0.0242741  ])
167254  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167255  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167256  , -1632.51    , array([ 1.43999    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167257  , -1632.51    , array([ 1.43855    ,  0.0677857  ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167258  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.26623e-08,  4.76531e-39,  0.02425    ])
167259  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.77008e-39,  0.02425    ])
167260  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.0242743  ])
167261  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167262  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167263  , -1632.51    , array([ 1.43999    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167264  , -1632.51    , array([ 1.43855    ,  0.0677857  ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167265  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.26623e-08,  4.76531e-39,  0.02425    ])
167266  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.77008e-39,  0.02425    ])
167267  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.0242743  ])
167268  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167269  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167270  , -1632.51    , array([ 1.43999    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167271  , -1632.51    , array([ 1.43855    ,  0.0677857  ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167272  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.26623e-08,  4.76531e-39,  0.02425    ])
167273  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.77008e-39,  0.02425    ])
167274  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.0242743  ])
167275  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167276  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167277  , -1632.51    , array([ 1.43999    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
