301307  , -24123.5    , array([ 0.817516   ,  0.00161242 ,  0.000124154,  0.000706908,  0.000148555])
301308  , -24123.5    , array([ 0.818334   ,  0.00161242 ,  0.000124154,  0.000706908,  0.000148555])
301309  , -24149.7    , array([ 0.817516   ,  0.00161403 ,  0.000124154,  0.000706908,  0.000148555])
301310  , -24123.5    , array([ 0.817516   ,  0.00161242 ,  0.000124278,  0.000706908,  0.000148555])
301311  , -24123.5    , array([ 0.817516   ,  0.00161242 ,  0.000124154,  0.000707616,  0.000148555])
301312  , -24097.2    , array([ 0.817516   ,  0.00161242 ,  0.000124154,  0.000706908,  0.000148704])
301313  , -23609.4    , array([ 0.817011   ,  0.00159722 ,  0.000124154,  0.000706908,  0.000150065])
301314  , -23609.4    , array([ 0.817011   ,  0.00159722 ,  0.000124154,  0.000706908,  0.000150065])
301315  , -23609.4    , array([ 0.817829   ,  0.00159722 ,  0.000124154,  0.000706908,  0.000150065])
301316  , -23635.6    , array([ 0.817011   ,  0.00159882 ,  0.000124154,  0.000706908,  0.000150065])
301317  , -23609.4    , array([ 0.817011   ,  0.00159722 ,  0.000124278,  0.000706908,  0.000150065])
301318  , -23609.4    , array([ 0.817011   ,  0.00159722 ,  0.000124154,  0.000707616,  0.000150065])
301319  , -23583.2    , array([ 0.817011   ,  0.00159722 ,  0.000124154,  0.000706908,  0.000150215])
301320  , -7907.25    , array([ 0.799132   ,  0.00113769 ,  0.000124154,  0.000706908,  0.000215576])
301321  , -7907.25    , array([ 0.799132   ,  0.00113769 ,  0.000124154,  0.000706908,  0.000215576])
301322  , -7907.27    , array([ 0.799932   ,  0.00113769 ,  0.000124154,  0.000706908,  0.000215576])
301323  , -7923.79    , array([ 0.799132   ,  0.00113883 ,  0.000124154,  0.000706908,  0.000215576])
301324  , -7907.25    , array([ 0.799132   ,  0.00113769 ,  0.000124278,  0.000706908,  0.000215576])
301325  , -7907.25    , array([ 0.799132   ,  0.00113769 ,  0.000124154,  0.000707616,  0.000215576])
301326  , -7890.71    , array([ 0.799132   ,  0.00113769 ,  0.000124154,  0.000706908,  0.000215792])
301334  , -7907.15    , array([ 0.799132   ,  0.00113769 ,  0.000124154,  0.000706908,  0.000215577])
301335  , -7907.15    , array([ 0.799132   ,  0.00113769 ,  0.000124154,  0.000706908,  0.000215577])
301336  , -7907.17    , array([ 0.799932   ,  0.00113769 ,  0.000124154,  0.000706908,  0.000215577])
301337  , -7923.7     , array([ 0.799132   ,  0.00113882 ,  0.000124154,  0.000706908,  0.000215577])
