31845   , -1836.42    , array([ 0.023695   ,  0.00100079 ,  8.01571e-45,  5.30506e-05])
31848   , -1836.29    , array([ 0.023695   ,  0.00100006 ,  8.01571e-45,  5.30523e-05])
31849   , -1836.29    , array([ 0.023695   ,  0.00100006 ,  8.01571e-45,  5.30523e-05])
31850   , -1836.29    , array([ 0.0237187  ,  0.00100006 ,  8.01571e-45,  5.30523e-05])
31851   , -1836.46    , array([ 0.023695   ,  0.00100106 ,  8.01571e-45,  5.30523e-05])
31852   , -1836.29    , array([ 0.023695   ,  0.00100006 ,  8.02373e-45,  5.30523e-05])
31853   , -1836.12    , array([ 0.023695   ,  0.00100006 ,  8.01571e-45,  5.31054e-05])
31854   , -1836.29    , array([ 0.023695   ,  0.00100006 ,  8.01571e-45,  5.30523e-05])
31855   , -1836.29    , array([ 0.023695   ,  0.00100006 ,  8.01571e-45,  5.30523e-05])
31856   , -1836.29    , array([ 0.0237187  ,  0.00100006 ,  8.01571e-45,  5.30523e-05])
31857   , -1836.46    , array([ 0.023695   ,  0.00100106 ,  8.01571e-45,  5.30523e-05])
31858   , -1836.29    , array([ 0.023695   ,  0.00100006 ,  8.02373e-45,  5.30523e-05])
31859   , -1836.12    , array([ 0.023695   ,  0.00100006 ,  8.01571e-45,  5.31054e-05])
31860   , -2333.83    , array([ 0.023695   ,  0.409892   ,  8.01571e-45,  0.000107735])
31861   , -2333.83    , array([ 0.023695   ,  0.409892   ,  8.01571e-45,  0.000107735])
31862   , -2333.83    , array([ 0.0237187  ,  0.409892   ,  8.01571e-45,  0.000107735])
31863   , -2333.84    , array([ 0.023695   ,  0.410302   ,  8.01571e-45,  0.000107735])
31864   , -2333.83    , array([ 0.023695   ,  0.409892   ,  8.02373e-45,  0.000107735])
31865   , -2333.83    , array([ 0.023695   ,  0.409892   ,  8.01571e-45,  0.000107843])
31866   , -2326.49    , array([ 0.023695   ,  0.150329   ,  8.01571e-45,  9.57328e-05])
31867   , -2326.49    , array([ 0.023695   ,  0.150329   ,  8.01571e-45,  9.57328e-05])
31868   , -2326.49    , array([ 0.0237187  ,  0.150329   ,  8.01571e-45,  9.57328e-05])
31869   , -2326.51    , array([ 0.023695   ,  0.150479   ,  8.01571e-45,  9.57328e-05])
31870   , -2326.49    , array([ 0.023695   ,  0.150329   ,  8.02373e-45,  9.57328e-05])
31871   , -2326.48    , array([ 0.023695   ,  0.150329   ,  8.01571e-45,  9.58286e-05])
31872   , -2270.23    , array([ 0.023695   ,  0.0202203  ,  8.01571e-45,  7.55902e-05])
31873   , -2270.23    , array([ 0.023695   ,  0.0202203  ,  8.01571e-45,  7.55902e-05])
31874   , -2270.23    , array([ 0.0237187  ,  0.0202203  ,  8.01571e-45,  7.55902e-05])
31875   , -2270.3     , array([ 0.023695   ,  0.0202405  ,  8.01571e-45,  7.55902e-05])
31876   , -2270.23    , array([ 0.023695   ,  0.0202203  ,  8.02373e-45,  7.55902e-05])
31877   , -2270.17    , array([ 0.023695   ,  0.0202203  ,  8.01571e-45,  7.56658e-05])
31879   , -2028.99    , array([ 0.023695   ,  0.00271977 ,  8.01571e-45,  5.96857e-05])
31880   , -2028.99    , array([ 0.023695   ,  0.00271977 ,  8.01571e-45,  5.96857e-05])
31881   , -2028.99    , array([ 0.0237187  ,  0.00271977 ,  8.01571e-45,  5.96857e-05])
31882   , -2029.2     , array([ 0.023695   ,  0.00272249 ,  8.01571e-45,  5.96857e-05])
31883   , -2028.99    , array([ 0.023695   ,  0.00271977 ,  8.02373e-45,  5.96857e-05])
31884   , -2028.77    , array([ 0.023695   ,  0.00271977 ,  8.01571e-45,  5.97454e-05])
31886   , -1928.02    , array([ 0.023695   ,  0.00164709 ,  8.01571e-45,  5.62628e-05])
31887   , -1928.02    , array([ 0.023695   ,  0.00164709 ,  8.01571e-45,  5.62628e-05])
31888   , -1928.02    , array([ 0.0237187  ,  0.00164709 ,  8.01571e-45,  5.62628e-05])
31889   , -1928.25    , array([ 0.023695   ,  0.00164874 ,  8.01571e-45,  5.62628e-05])
31890   , -1928.02    , array([ 0.023695   ,  0.00164709 ,  8.02373e-45,  5.62628e-05])
31891   , -1927.79    , array([ 0.023695   ,  0.00164709 ,  8.01571e-45,  5.63191e-05])
31892   , -1878.66    , array([ 0.023695   ,  0.00128177 ,  8.01571e-45,  5.46257e-05])
31893   , -1878.66    , array([ 0.023695   ,  0.00128177 ,  8.01571e-45,  5.46257e-05])
