142777  , -1632.6     , array([ 1.431      ,  0.0675132  ,  2.50292e-46,  3.11059e-33,  0.0241743  ])
142778  , -1632.6     , array([ 1.431      ,  0.0675132  ,  2.50292e-46,  3.10749e-33,  0.0241984  ])
142779  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142780  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142781  , -1632.53    , array([ 1.43741    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142782  , -1632.54    , array([ 1.43597    ,  0.0677204  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142783  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50542e-46,  2.86536e-33,  0.0242265  ])
142784  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86823e-33,  0.0242265  ])
142785  , -1632.53    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242508  ])
142786  , -1632.54    , array([ 1.43649    ,  0.0676514  ,  2.50292e-46,  2.81383e-33,  0.0242266  ])
142787  , -1632.54    , array([ 1.43649    ,  0.0676514  ,  2.50292e-46,  2.81383e-33,  0.0242266  ])
142788  , -1632.54    , array([ 1.43793    ,  0.0676514  ,  2.50292e-46,  2.81383e-33,  0.0242266  ])
142789  , -1632.54    , array([ 1.43649    ,  0.0677191  ,  2.50292e-46,  2.81383e-33,  0.0242266  ])
142790  , -1632.54    , array([ 1.43649    ,  0.0676514  ,  2.50542e-46,  2.81383e-33,  0.0242266  ])
142791  , -1632.54    , array([ 1.43649    ,  0.0676514  ,  2.50292e-46,  2.81665e-33,  0.0242266  ])
142792  , -1632.54    , array([ 1.43649    ,  0.0676514  ,  2.50292e-46,  2.81383e-33,  0.0242508  ])
142793  , -1632.54    , array([ 1.43603    ,  0.0676526  ,  2.50292e-46,  2.86013e-33,  0.0242265  ])
142794  , -1632.54    , array([ 1.43603    ,  0.0676526  ,  2.50292e-46,  2.86013e-33,  0.0242265  ])
142795  , -1632.53    , array([ 1.43746    ,  0.0676526  ,  2.50292e-46,  2.86013e-33,  0.0242265  ])
142796  , -1632.54    , array([ 1.43603    ,  0.0677202  ,  2.50292e-46,  2.86013e-33,  0.0242265  ])
142797  , -1632.54    , array([ 1.43603    ,  0.0676526  ,  2.50542e-46,  2.86013e-33,  0.0242265  ])
142798  , -1632.54    , array([ 1.43603    ,  0.0676526  ,  2.50292e-46,  2.86299e-33,  0.0242265  ])
142799  , -1632.53    , array([ 1.43603    ,  0.0676526  ,  2.50292e-46,  2.86013e-33,  0.0242508  ])
142800  , -1632.54    , array([ 1.43598    ,  0.0676527  ,  2.50292e-46,  2.86478e-33,  0.0242265  ])
142801  , -1632.54    , array([ 1.43598    ,  0.0676527  ,  2.50292e-46,  2.86478e-33,  0.0242265  ])
142802  , -1632.53    , array([ 1.43742    ,  0.0676527  ,  2.50292e-46,  2.86478e-33,  0.0242265  ])
142803  , -1632.54    , array([ 1.43598    ,  0.0677203  ,  2.50292e-46,  2.86478e-33,  0.0242265  ])
142804  , -1632.54    , array([ 1.43598    ,  0.0676527  ,  2.50542e-46,  2.86478e-33,  0.0242265  ])
142805  , -1632.54    , array([ 1.43598    ,  0.0676527  ,  2.50292e-46,  2.86764e-33,  0.0242265  ])
142806  , -1632.53    , array([ 1.43598    ,  0.0676527  ,  2.50292e-46,  2.86478e-33,  0.0242508  ])
142807  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.8653e-33 ,  0.0242265  ])
142808  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.8653e-33 ,  0.0242265  ])
142809  , -1632.53    , array([ 1.43741    ,  0.0676527  ,  2.50292e-46,  2.8653e-33 ,  0.0242265  ])
142810  , -1632.54    , array([ 1.43597    ,  0.0677204  ,  2.50292e-46,  2.8653e-33 ,  0.0242265  ])
142811  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50542e-46,  2.8653e-33 ,  0.0242265  ])
142812  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86817e-33,  0.0242265  ])
142813  , -1632.53    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.8653e-33 ,  0.0242508  ])
142814  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142815  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142816  , -1632.53    , array([ 1.43741    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142817  , -1632.54    , array([ 1.43597    ,  0.0677204  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142818  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50542e-46,  2.86536e-33,  0.0242265  ])
142819  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86822e-33,  0.0242265  ])
142820  , -1632.53    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242508  ])
142821  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142822  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142823  , -1632.53    , array([ 1.43741    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142824  , -1632.54    , array([ 1.43597    ,  0.0677204  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
142825  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50542e-46,  2.86536e-33,  0.0242265  ])
142826  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86823e-33,  0.0242265  ])
142827  , -1632.53    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242508  ])
142828  , -1632.54    , array([ 1.43597    ,  0.0676527  ,  2.50292e-46,  2.86536e-33,  0.0242265  ])
