117554  , -5234.58    , array([ 1.01572    ,  0.0862926  ,  2.49799e-48,  6.21253e-09,  0.0483972  ])
117555  , -5234.58    , array([ 1.01572    ,  0.0862926  ,  2.4955e-48 ,  6.21874e-09,  0.0483972  ])
117556  , -5249.69    , array([ 1.01572    ,  0.0862926  ,  2.4955e-48 ,  6.21253e-09,  0.0484456  ])
117557  , -4942.55    , array([ 1.02568    ,  0.0865015  ,  2.4955e-48 ,  6.2125e-09 ,  0.0475916  ])
117558  , -4942.55    , array([ 1.02568    ,  0.0865015  ,  2.4955e-48 ,  6.2125e-09 ,  0.0475916  ])
117559  , -4941.31    , array([ 1.02671    ,  0.0865015  ,  2.4955e-48 ,  6.2125e-09 ,  0.0475916  ])
117560  , -4929.72    , array([ 1.02568    ,  0.0865881  ,  2.4955e-48 ,  6.2125e-09 ,  0.0475916  ])
117561  , -4942.55    , array([ 1.02568    ,  0.0865015  ,  2.49799e-48,  6.2125e-09 ,  0.0475916  ])
117562  , -4942.55    , array([ 1.02568    ,  0.0865015  ,  2.4955e-48 ,  6.21871e-09,  0.0475916  ])
117563  , -4957       , array([ 1.02568    ,  0.0865015  ,  2.4955e-48 ,  6.2125e-09 ,  0.0476392  ])
117564  , -3905.13    , array([ 1.06649    ,  0.0873424  ,  2.4955e-48 ,  6.21237e-09,  0.0445013  ])
117565  , -3905.13    , array([ 1.06649    ,  0.0873424  ,  2.4955e-48 ,  6.21237e-09,  0.0445013  ])
117566  , -3904.11    , array([ 1.06756    ,  0.0873424  ,  2.4955e-48 ,  6.21237e-09,  0.0445013  ])
117567  , -3894.69    , array([ 1.06649    ,  0.0874298  ,  2.4955e-48 ,  6.21237e-09,  0.0445013  ])
117568  , -3905.13    , array([ 1.06649    ,  0.0873424  ,  2.49799e-48,  6.21237e-09,  0.0445013  ])
117569  , -3905.13    , array([ 1.06649    ,  0.0873424  ,  2.4955e-48 ,  6.21859e-09,  0.0445013  ])
117570  , -3916.95    , array([ 1.06649    ,  0.0873424  ,  2.4955e-48 ,  6.21237e-09,  0.0445459  ])
117571  , -2045.64    , array([ 1.14612    ,  0.0850445  ,  2.4955e-48 ,  6.212e-09  ,  0.0348524  ])
117572  , -2045.64    , array([ 1.14612    ,  0.0850445  ,  2.4955e-48 ,  6.212e-09  ,  0.0348524  ])
117573  , -2045.13    , array([ 1.14727    ,  0.0850445  ,  2.4955e-48 ,  6.212e-09  ,  0.0348524  ])
117574  , -2041.76    , array([ 1.14612    ,  0.0851296  ,  2.4955e-48 ,  6.212e-09  ,  0.0348524  ])
117575  , -2045.64    , array([ 1.14612    ,  0.0850445  ,  2.49799e-48,  6.212e-09  ,  0.0348524  ])
117576  , -2045.64    , array([ 1.14612    ,  0.0850445  ,  2.4955e-48 ,  6.21822e-09,  0.0348524  ])
117577  , -2050.25    , array([ 1.14612    ,  0.0850445  ,  2.4955e-48 ,  6.212e-09  ,  0.0348872  ])
117578  , -1666.81    , array([ 1.21167    ,  0.0795354  ,  2.4955e-48 ,  6.21175e-09,  0.0284192  ])
117579  , -1666.81    , array([ 1.21167    ,  0.0795354  ,  2.4955e-48 ,  6.21175e-09,  0.0284192  ])
117580  , -1666.61    , array([ 1.21288    ,  0.0795354  ,  2.4955e-48 ,  6.21175e-09,  0.0284192  ])
117581  , -1666.92    , array([ 1.21167    ,  0.079615   ,  2.4955e-48 ,  6.21175e-09,  0.0284192  ])
117582  , -1666.81    , array([ 1.21167    ,  0.0795354  ,  2.49799e-48,  6.21175e-09,  0.0284192  ])
117583  , -1666.81    , array([ 1.21167    ,  0.0795354  ,  2.4955e-48 ,  6.21797e-09,  0.0284192  ])
117584  , -1667.04    , array([ 1.21167    ,  0.0795354  ,  2.4955e-48 ,  6.21175e-09,  0.0284476  ])
