334     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
335     , -2336.73    , array([ 0.0547155  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
336     , -2336.73    , array([ 0.0546609  ,  0.00124385 ,  1.4515e-46 ,  5.04656e-09])
337     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.45296e-46,  5.04656e-09])
338     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.0516e-09 ])
339     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
340     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
341     , -2336.73    , array([ 0.0547155  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
342     , -2336.73    , array([ 0.0546609  ,  0.00124385 ,  1.4515e-46 ,  5.04656e-09])
343     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.45296e-46,  5.04656e-09])
344     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.0516e-09 ])
351     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
352     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
353     , -2336.73    , array([ 0.0547155  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
354     , -2336.73    , array([ 0.0546609  ,  0.00124385 ,  1.4515e-46 ,  5.04656e-09])
355     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.45296e-46,  5.04656e-09])
356     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.0516e-09 ])
357     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
358     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
359     , -2336.73    , array([ 0.0547155  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
360     , -2336.73    , array([ 0.0546609  ,  0.00124385 ,  1.4515e-46 ,  5.04656e-09])
361     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.45296e-46,  5.04656e-09])
362     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.0516e-09 ])
363     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
364     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
365     , -2336.73    , array([ 0.0547155  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
366     , -2336.73    , array([ 0.0546609  ,  0.00124385 ,  1.4515e-46 ,  5.04656e-09])
367     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.45296e-46,  5.04656e-09])
368     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.0516e-09 ])
369     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
370     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
371     , -2336.73    , array([ 0.0547155  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
372     , -2336.73    , array([ 0.0546609  ,  0.00124385 ,  1.4515e-46 ,  5.04656e-09])
373     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.45296e-46,  5.04656e-09])
374     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.0516e-09 ])
375     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
376     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
377     , -2336.73    , array([ 0.0547155  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
378     , -2336.73    , array([ 0.0546609  ,  0.00124385 ,  1.4515e-46 ,  5.04656e-09])
379     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.45296e-46,  5.04656e-09])
380     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.0516e-09 ])
381     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
382     , -2336.73    , array([ 0.0546609  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
383     , -2336.73    , array([ 0.0547155  ,  0.0012426  ,  1.4515e-46 ,  5.04656e-09])
