1486    , -1546.65    , array([ 0.319651   ,  2.82365    ,  0.0358577  ,  8.29813e-10])
1487    , -1546.16    , array([ 0.319651   ,  2.82083    ,  0.0358936  ,  8.29813e-10])
1488    , -1546.65    , array([ 0.319651   ,  2.82083    ,  0.0358577  ,  8.30643e-10])
1489    , -4602.45    , array([ 1.91768    ,  2.82082    ,  0.256617   ,  8.29816e-10])
1490    , -4602.45    , array([ 1.91768    ,  2.82082    ,  0.256617   ,  8.29816e-10])
1491    , -4606.11    , array([ 1.9196     ,  2.82082    ,  0.256617   ,  8.29816e-10])
1492    , -4602.45    , array([ 1.91768    ,  2.82364    ,  0.256617   ,  8.29816e-10])
1493    , -4603.85    , array([ 1.91768    ,  2.82082    ,  0.256874   ,  8.29816e-10])
1494    , -4602.45    , array([ 1.91768    ,  2.82082    ,  0.256617   ,  8.30646e-10])
1495    , -1546.24    , array([ 0.343735   ,  2.82083    ,  0.0388361  ,  8.29813e-10])
1496    , -1546.24    , array([ 0.343735   ,  2.82083    ,  0.0388361  ,  8.29813e-10])
1497    , -1546.81    , array([ 0.344079   ,  2.82083    ,  0.0388361  ,  8.29813e-10])
1498    , -1546.24    , array([ 0.343735   ,  2.82365    ,  0.0388361  ,  8.29813e-10])
1499    , -1545.73    , array([ 0.343735   ,  2.82083    ,  0.038875   ,  8.29813e-10])
1500    , -1546.24    , array([ 0.343735   ,  2.82083    ,  0.0388361  ,  8.30643e-10])
1507    , -1546.24    , array([ 0.343735   ,  2.82083    ,  0.0388362  ,  8.29813e-10])
1508    , -1546.24    , array([ 0.343735   ,  2.82083    ,  0.0388362  ,  8.29813e-10])
1509    , -1546.81    , array([ 0.344079   ,  2.82083    ,  0.0388362  ,  8.29813e-10])
1510    , -1546.24    , array([ 0.343735   ,  2.82365    ,  0.0388362  ,  8.29813e-10])
1511    , -1545.73    , array([ 0.343735   ,  2.82083    ,  0.0388751  ,  8.29813e-10])
1512    , -1546.24    , array([ 0.343735   ,  2.82083    ,  0.0388362  ,  8.30643e-10])
1513    , -1546.24    , array([ 0.343738   ,  2.82083    ,  0.0388366  ,  8.29813e-10])
1514    , -1546.24    , array([ 0.343738   ,  2.82083    ,  0.0388366  ,  8.29813e-10])
1515    , -1546.81    , array([ 0.344082   ,  2.82083    ,  0.0388366  ,  8.29813e-10])
1516    , -1546.24    , array([ 0.343738   ,  2.82365    ,  0.0388366  ,  8.29813e-10])
1517    , -1545.73    , array([ 0.343738   ,  2.82083    ,  0.0388755  ,  8.29813e-10])
1518    , -1546.24    , array([ 0.343738   ,  2.82083    ,  0.0388366  ,  8.30643e-10])
1519    , -18477.6    , array([ 7.66024    ,  2.82081    ,  1.54294    ,  8.29837e-10])
1520    , -18477.6    , array([ 7.66024    ,  2.82081    ,  1.54294    ,  8.29837e-10])
1521    , -18488.8    , array([ 7.66791    ,  2.82081    ,  1.54294    ,  8.29837e-10])
1522    , -18477.6    , array([ 7.66024    ,  2.82363    ,  1.54294    ,  8.29837e-10])
1523    , -18479.1    , array([ 7.66024    ,  2.82081    ,  1.54448    ,  8.29837e-10])
1524    , -18477.6    , array([ 7.66024    ,  2.82081    ,  1.54294    ,  8.30667e-10])
1525    , -1545.94    , array([ 0.347503   ,  2.82083    ,  0.0393417  ,  8.29813e-10])
1526    , -1545.94    , array([ 0.347503   ,  2.82083    ,  0.0393417  ,  8.29813e-10])
1527    , -1546.52    , array([ 0.34785    ,  2.82083    ,  0.0393417  ,  8.29813e-10])
1528    , -1545.94    , array([ 0.347503   ,  2.82365    ,  0.0393417  ,  8.29813e-10])
1529    , -1545.42    , array([ 0.347503   ,  2.82083    ,  0.039381   ,  8.29813e-10])
1530    , -1545.94    , array([ 0.347503   ,  2.82083    ,  0.0393417  ,  8.30643e-10])
1531    , -1545.32    , array([ 0.347714   ,  2.82083    ,  0.0394159  ,  8.29813e-10])
1532    , -1545.32    , array([ 0.347714   ,  2.82083    ,  0.0394159  ,  8.29813e-10])
1533    , -1545.91    , array([ 0.348062   ,  2.82083    ,  0.0394159  ,  8.29813e-10])
1534    , -1545.32    , array([ 0.347714   ,  2.82365    ,  0.0394159  ,  8.29813e-10])
1535    , -1544.81    , array([ 0.347714   ,  2.82083    ,  0.0394553  ,  8.29813e-10])
1536    , -1545.32    , array([ 0.347714   ,  2.82083    ,  0.0394159  ,  8.30643e-10])
1537    , -1542.87    , array([ 0.348562   ,  2.82083    ,  0.0397143  ,  8.29814e-10])
1538    , -1542.87    , array([ 0.348562   ,  2.82083    ,  0.0397143  ,  8.29814e-10])
1539    , -1543.46    , array([ 0.348911   ,  2.82083    ,  0.0397143  ,  8.29814e-10])
1540    , -1542.87    , array([ 0.348562   ,  2.82365    ,  0.0397143  ,  8.29814e-10])
1541    , -1542.35    , array([ 0.348562   ,  2.82083    ,  0.039754   ,  8.29814e-10])
1542    , -1542.87    , array([ 0.348562   ,  2.82083    ,  0.0397143  ,  8.30644e-10])
1543    , -1533       , array([ 0.351976   ,  2.82083    ,  0.0409307  ,  8.29817e-10])
1544    , -1533       , array([ 0.351976   ,  2.82083    ,  0.0409307  ,  8.29817e-10])
1545    , -1533.59    , array([ 0.352328   ,  2.82083    ,  0.0409307  ,  8.29817e-10])
1546    , -1533       , array([ 0.351976   ,  2.82365    ,  0.0409307  ,  8.29817e-10])
1547    , -1532.47    , array([ 0.351976   ,  2.82083    ,  0.0409716  ,  8.29817e-10])
1548    , -1533       , array([ 0.351976   ,  2.82083    ,  0.0409307  ,  8.30647e-10])
1549    , -1492.58    , array([ 0.365965   ,  2.82083    ,  0.0461802  ,  8.2983e-10 ])
1550    , -1492.58    , array([ 0.365965   ,  2.82083    ,  0.0461802  ,  8.2983e-10 ])
1551    , -1493.21    , array([ 0.366332   ,  2.82083    ,  0.0461802  ,  8.2983e-10 ])
1552    , -1492.58    , array([ 0.365965   ,  2.82365    ,  0.0461802  ,  8.2983e-10 ])
1553    , -1492.03    , array([ 0.365965   ,  2.82083    ,  0.0462264  ,  8.2983e-10 ])
1554    , -1492.58    , array([ 0.365965   ,  2.82083    ,  0.0461802  ,  8.3066e-10 ])
1555    , -1322.47    , array([ 0.427711   ,  2.82083    ,  0.0748316  ,  8.29882e-10])
1556    , -1322.47    , array([ 0.427711   ,  2.82083    ,  0.0748316  ,  8.29882e-10])
1557    , -1323.34    , array([ 0.428139   ,  2.82083    ,  0.0748316  ,  8.29882e-10])
1558    , -1322.47    , array([ 0.427711   ,  2.82366    ,  0.0748316  ,  8.29882e-10])
1559    , -1321.84    , array([ 0.427711   ,  2.82083    ,  0.0749065  ,  8.29882e-10])
1560    , -1322.47    , array([ 0.427711   ,  2.82083    ,  0.0748316  ,  8.30713e-10])
1561    , -1611.46    , array([ 0.797977   ,  2.82084    ,  0.515943   ,  8.30092e-10])
1562    , -1611.46    , array([ 0.797977   ,  2.82084    ,  0.515943   ,  8.30092e-10])
1563    , -1614.19    , array([ 0.798776   ,  2.82084    ,  0.515943   ,  8.30092e-10])
1564    , -1611.46    , array([ 0.797977   ,  2.82367    ,  0.515943   ,  8.30092e-10])
1565    , -1611.53    , array([ 0.797977   ,  2.82084    ,  0.516459   ,  8.30092e-10])
1566    , -1611.46    , array([ 0.797977   ,  2.82084    ,  0.515943   ,  8.30922e-10])
1567    , -1123.59    , array([ 0.547504   ,  2.82084    ,  0.160728   ,  8.29965e-10])
1568    , -1123.59    , array([ 0.547504   ,  2.82084    ,  0.160728   ,  8.29965e-10])
1569    , -1125.08    , array([ 0.548052   ,  2.82084    ,  0.160728   ,  8.29965e-10])
1570    , -1123.59    , array([ 0.547504   ,  2.82366    ,  0.160728   ,  8.29965e-10])
1571    , -1123.02    , array([ 0.547504   ,  2.82084    ,  0.160888   ,  8.29965e-10])
1572    , -1123.59    , array([ 0.547504   ,  2.82084    ,  0.160728   ,  8.30796e-10])
1573    , -1649.81    , array([ 0.657744   ,  2.82086    ,  1.1413     ,  8.30279e-10])
1574    , -1649.81    , array([ 0.657744   ,  2.82086    ,  1.1413     ,  8.30279e-10])
1575    , -1650.54    , array([ 0.658402   ,  2.82086    ,  1.1413     ,  8.30279e-10])
1576    , -1649.81    , array([ 0.657744   ,  2.82369    ,  1.1413     ,  8.30279e-10])
1577    , -1650.72    , array([ 0.657744   ,  2.82086    ,  1.14245    ,  8.30279e-10])
1578    , -1649.81    , array([ 0.657744   ,  2.82086    ,  1.1413     ,  8.3111e-10 ])
1579    , -943.635    , array([ 0.579547   ,  2.82085    ,  0.295144   ,  8.30063e-10])
1580    , -943.635    , array([ 0.579547   ,  2.82085    ,  0.295144   ,  8.30063e-10])
1581    , -945.355    , array([ 0.580127   ,  2.82085    ,  0.295144   ,  8.30063e-10])
1582    , -943.635    , array([ 0.579547   ,  2.82367    ,  0.295144   ,  8.30063e-10])
1583    , -943.37     , array([ 0.579547   ,  2.82085    ,  0.295439   ,  8.30063e-10])
1584    , -943.635    , array([ 0.579547   ,  2.82085    ,  0.295144   ,  8.30893e-10])
1585    , -662.899    , array([ 0.484158   ,  2.82086    ,  0.36202    ,  8.30143e-10])
1586    , -662.899    , array([ 0.484158   ,  2.82086    ,  0.36202    ,  8.30143e-10])
1587    , -663.967    , array([ 0.484642   ,  2.82086    ,  0.36202    ,  8.30143e-10])
1588    , -662.899    , array([ 0.484158   ,  2.82368    ,  0.36202    ,  8.30143e-10])
1589    , -662.89     , array([ 0.484158   ,  2.82086    ,  0.362382   ,  8.30143e-10])
1590    , -662.899    , array([ 0.484158   ,  2.82086    ,  0.36202    ,  8.30974e-10])
1591    , -459.473    , array([ 0.330203   ,  2.82087    ,  0.291495   ,  8.30209e-10])
1592    , -459.473    , array([ 0.330203   ,  2.82087    ,  0.291495   ,  8.30209e-10])
1593    , -459.646    , array([ 0.330533   ,  2.82087    ,  0.291495   ,  8.30209e-10])
1594    , -459.473    , array([ 0.330203   ,  2.82369    ,  0.291495   ,  8.30209e-10])
1595    , -459.262    , array([ 0.330203   ,  2.82087    ,  0.291786   ,  8.30209e-10])
1596    , -459.473    , array([ 0.330203   ,  2.82087    ,  0.291495   ,  8.31039e-10])
1597    , -425.048    , array([ 0.306605   ,  2.82089    ,  0.365829   ,  8.30296e-10])
1598    , -425.048    , array([ 0.306605   ,  2.82089    ,  0.365829   ,  8.30296e-10])
1599    , -425.202    , array([ 0.306912   ,  2.82089    ,  0.365829   ,  8.30296e-10])
1600    , -425.048    , array([ 0.306605   ,  2.82371    ,  0.365829   ,  8.30296e-10])
1601    , -425.097    , array([ 0.306605   ,  2.82089    ,  0.366195   ,  8.30296e-10])
1602    , -425.048    , array([ 0.306605   ,  2.82089    ,  0.365829   ,  8.31127e-10])
1603    , -414.811    , array([ 0.28254    ,  2.82091    ,  0.364077   ,  8.30347e-10])
1604    , -414.811    , array([ 0.28254    ,  2.82091    ,  0.364077   ,  8.30347e-10])
1605    , -414.908    , array([ 0.282823   ,  2.82091    ,  0.364077   ,  8.30347e-10])
1606    , -414.811    , array([ 0.28254    ,  2.82373    ,  0.364077   ,  8.30347e-10])
1607    , -414.84     , array([ 0.28254    ,  2.82091    ,  0.364441   ,  8.30347e-10])
1608    , -414.811    , array([ 0.28254    ,  2.82091    ,  0.364077   ,  8.31178e-10])
1609    , -405.303    , array([ 0.245827   ,  2.82095    ,  0.361952   ,  8.30465e-10])
1610    , -405.303    , array([ 0.245827   ,  2.82095    ,  0.361952   ,  8.30465e-10])
1611    , -405.348    , array([ 0.246073   ,  2.82095    ,  0.361952   ,  8.30465e-10])
1612    , -405.303    , array([ 0.245827   ,  2.82377    ,  0.361952   ,  8.30465e-10])
1613    , -405.323    , array([ 0.245827   ,  2.82095    ,  0.362314   ,  8.30465e-10])
1614    , -405.303    , array([ 0.245827   ,  2.82095    ,  0.361952   ,  8.31295e-10])
1615    , -401.005    , array([ 0.217637   ,  2.82099    ,  0.356792   ,  8.306e-10  ])
1616    , -401.005    , array([ 0.217637   ,  2.82099    ,  0.356792   ,  8.306e-10  ])
1617    , -401.028    , array([ 0.217855   ,  2.82099    ,  0.356792   ,  8.306e-10  ])
1618    , -401.005    , array([ 0.217637   ,  2.82381    ,  0.356792   ,  8.306e-10  ])
1619    , -401.033    , array([ 0.217637   ,  2.82099    ,  0.357149   ,  8.306e-10  ])
1620    , -401.005    , array([ 0.217637   ,  2.82099    ,  0.356792   ,  8.31431e-10])
1621    , -398.003    , array([ 0.187299   ,  2.82105    ,  0.339075   ,  8.30805e-10])
1622    , -398.003    , array([ 0.187299   ,  2.82105    ,  0.339075   ,  8.30805e-10])
1623    , -398.028    , array([ 0.187486   ,  2.82105    ,  0.339075   ,  8.30805e-10])
1624    , -398.003    , array([ 0.187299   ,  2.82388    ,  0.339075   ,  8.30805e-10])
1625    , -397.974    , array([ 0.187299   ,  2.82105    ,  0.339414   ,  8.30805e-10])
1626    , -398.003    , array([ 0.187299   ,  2.82105    ,  0.339075   ,  8.31636e-10])
1627    , -411.454    , array([ 0.139255   ,  2.82118    ,  0.325709   ,  8.31233e-10])
1628    , -411.454    , array([ 0.139255   ,  2.82118    ,  0.325709   ,  8.31233e-10])
1629    , -411.217    , array([ 0.139395   ,  2.82118    ,  0.325709   ,  8.31233e-10])
1630    , -411.454    , array([ 0.139255   ,  2.82401    ,  0.325709   ,  8.31233e-10])
1631    , -411.948    , array([ 0.139255   ,  2.82118    ,  0.326035   ,  8.31233e-10])
