86778   , -69726.6    , array([ 0.679891   ,  7.8046     ,  3.29559e-19,  5.65447    ,  0.00868496 ])
86779   , -69725.6    , array([ 0.679891   ,  7.7968     ,  3.29889e-19,  5.65447    ,  0.00868496 ])
86780   , -69726.1    , array([ 0.679891   ,  7.7968     ,  3.29559e-19,  5.66012    ,  0.00868496 ])
86781   , -69718      , array([ 0.679891   ,  7.7968     ,  3.29559e-19,  5.65447    ,  0.00869365 ])
86789   , -69725.6    , array([ 0.679891   ,  7.79681    ,  3.29559e-19,  5.65447    ,  0.00868496 ])
86790   , -69725.6    , array([ 0.679891   ,  7.79681    ,  3.29559e-19,  5.65447    ,  0.00868496 ])
86791   , -69732.4    , array([ 0.680571   ,  7.79681    ,  3.29559e-19,  5.65447    ,  0.00868496 ])
86792   , -69726.6    , array([ 0.679891   ,  7.80461    ,  3.29559e-19,  5.65447    ,  0.00868496 ])
86793   , -69725.6    , array([ 0.679891   ,  7.79681    ,  3.29889e-19,  5.65447    ,  0.00868496 ])
86794   , -69726.1    , array([ 0.679891   ,  7.79681    ,  3.29559e-19,  5.66013    ,  0.00868496 ])
86795   , -69718      , array([ 0.679891   ,  7.79681    ,  3.29559e-19,  5.65447    ,  0.00869365 ])
86796   , -69204.8    , array([ 0.648377   ,  8.70394    ,  3.29559e-19,  8.41159    ,  0.00939727 ])
86797   , -69204.8    , array([ 0.648377   ,  8.70394    ,  3.29559e-19,  8.41159    ,  0.00939727 ])
86798   , -69212      , array([ 0.649026   ,  8.70394    ,  3.29559e-19,  8.41159    ,  0.00939727 ])
86799   , -69205.7    , array([ 0.648377   ,  8.71265    ,  3.29559e-19,  8.41159    ,  0.00939727 ])
86800   , -69204.8    , array([ 0.648377   ,  8.70394    ,  3.29889e-19,  8.41159    ,  0.00939727 ])
86801   , -69205.7    , array([ 0.648377   ,  8.70394    ,  3.29559e-19,  8.42       ,  0.00939727 ])
86802   , -69197.3    , array([ 0.648377   ,  8.70394    ,  3.29559e-19,  8.41159    ,  0.00940667 ])
86810   , -69204.7    , array([ 0.64842    ,  8.70501    ,  3.29559e-19,  8.41149    ,  0.00939807 ])
86811   , -69204.7    , array([ 0.64842    ,  8.70501    ,  3.29559e-19,  8.41149    ,  0.00939807 ])
86812   , -69212      , array([ 0.649069   ,  8.70501    ,  3.29559e-19,  8.41149    ,  0.00939807 ])
86813   , -69205.7    , array([ 0.64842    ,  8.71372    ,  3.29559e-19,  8.41149    ,  0.00939807 ])
86814   , -69204.7    , array([ 0.64842    ,  8.70501    ,  3.29889e-19,  8.41149    ,  0.00939807 ])
86815   , -69205.7    , array([ 0.64842    ,  8.70501    ,  3.29559e-19,  8.4199     ,  0.00939807 ])
86816   , -69197.3    , array([ 0.64842    ,  8.70501    ,  3.29559e-19,  8.41149    ,  0.00940747 ])
86817   , -70364.1    , array([ 2.26103    ,  90.3116    ,  3.29559e-19,  6.69379    ,  0.0468308  ])
86818   , -70364.1    , array([ 2.26103    ,  90.3116    ,  3.29559e-19,  6.69379    ,  0.0468308  ])
86819   , -70373      , array([ 2.26329    ,  90.3116    ,  3.29559e-19,  6.69379    ,  0.0468308  ])
86820   , -70364.4    , array([ 2.26103    ,  90.4019    ,  3.29559e-19,  6.69379    ,  0.0468308  ])
86821   , -70364.1    , array([ 2.26103    ,  90.3116    ,  3.29889e-19,  6.69379    ,  0.0468308  ])
86822   , -70367.5    , array([ 2.26103    ,  90.3116    ,  3.29559e-19,  6.70049    ,  0.0468308  ])
86823   , -70360.6    , array([ 2.26103    ,  90.3116    ,  3.29559e-19,  6.69379    ,  0.0468776  ])
86824   , -68998.7    , array([ 0.960411   ,  18.1674    ,  3.29559e-19,  7.82842    ,  0.015574   ])
86825   , -68998.7    , array([ 0.960411   ,  18.1674    ,  3.29559e-19,  7.82842    ,  0.015574   ])
86826   , -69006.5    , array([ 0.961372   ,  18.1674    ,  3.29559e-19,  7.82842    ,  0.015574   ])
86827   , -68999.4    , array([ 0.960411   ,  18.1856    ,  3.29559e-19,  7.82842    ,  0.015574   ])
86828   , -68998.7    , array([ 0.960411   ,  18.1674    ,  3.29889e-19,  7.82842    ,  0.015574   ])
