57077   , -10055.4    , array([ 1.34556    ,  0.600532   ,  2.58793    ,  2.58842    ,  4.90983    ])
57078   , -4671.96    , array([ 1.34556    ,  0.386835   ,  2.58793    ,  2.58842    ,  4.90983    ])
57079   , -3229.61    , array([ 1.34556    ,  0.254763   ,  2.58793    ,  2.58842    ,  4.90983    ])
57080   , -4629.03    , array([ 1.34556    ,  0.188497   ,  2.58793    ,  2.58842    ,  4.90983    ])
57081   , -3244.36    , array([ 1.34556    ,  0.286996   ,  2.58793    ,  2.58842    ,  4.90983    ])
57082   , -3463.43    , array([ 1.34556    ,  0.230719   ,  2.58793    ,  2.58842    ,  4.90983    ])
57083   , -3229.61    , array([ 1.34556    ,  0.254763   ,  2.58793    ,  2.58842    ,  4.90983    ])
57084   , -4543.96    , array([ 1.34556    ,  0.254763   ,  3.58793    ,  2.58842    ,  4.90983    ])
57085   , -4125.52    , array([ 1.34556    ,  0.254763   ,  0.969895   ,  2.58842    ,  4.90983    ])
57086   , -3229.61    , array([ 1.34556    ,  0.254763   ,  2.58793    ,  2.58842    ,  4.90983    ])
57087   , -2888.86    , array([ 1.34556    ,  0.254763   ,  1.96989    ,  2.58842    ,  4.90983    ])
57088   , -3018.67    , array([ 1.34556    ,  0.254763   ,  1.58793    ,  2.58842    ,  4.90983    ])
57089   , -2888.5     , array([ 1.34556    ,  0.254763   ,  1.96371    ,  2.58842    ,  4.90983    ])
57090   , -2887.77    , array([ 1.34556    ,  0.254763   ,  1.93902    ,  2.58842    ,  4.90983    ])
57091   , -2905.18    , array([ 1.34556    ,  0.254763   ,  1.80492    ,  2.58842    ,  4.90983    ])
57092   , -2887.78    , array([ 1.34556    ,  0.254763   ,  1.93253    ,  2.58842    ,  4.90983    ])
57093   , -2887.85    , array([ 1.34556    ,  0.254763   ,  1.94551    ,  2.58842    ,  4.90983    ])
57094   , -2887.77    , array([ 1.34556    ,  0.254763   ,  1.93902    ,  2.58842    ,  4.90983    ])
57095   , -2878.21    , array([ 1.34556    ,  0.254763   ,  1.93902    ,  3.58842    ,  4.90983    ])
57096   , -4789.69    , array([ 1.34556    ,  0.254763   ,  1.93902    ,  5.20645    ,  4.90983    ])
57097   , -2878.21    , array([ 1.34556    ,  0.254763   ,  1.93902    ,  3.58842    ,  4.90983    ])
57098   , -3445.28    , array([ 1.34556    ,  0.254763   ,  1.93902    ,  4.20645    ,  4.90983    ])
57099   , -2703.69    , array([ 1.34556    ,  0.254763   ,  1.93902    ,  3.20645    ,  4.90983    ])
57100   , -2706.14    , array([ 1.34556    ,  0.254763   ,  1.93902    ,  2.90148    ,  4.90983    ])
57101   , -2686.48    , array([ 1.34556    ,  0.254763   ,  1.93902    ,  3.05992    ,  4.90983    ])
57102   , -2686.47    , array([ 1.34556    ,  0.254763   ,  1.93902    ,  3.0552     ,  4.90983    ])
57103   , -2686.48    , array([ 1.34556    ,  0.254763   ,  1.93902    ,  3.05053    ,  4.90983    ])
57104   , -2686.47    , array([ 1.34556    ,  0.254763   ,  1.93902    ,  3.0552     ,  4.90983    ])
57106   , -2768.91    , array([ 1.34556    ,  0.254763   ,  1.93902    ,  3.0552     ,  3.2918     ])
57107   , -2686.47    , array([ 1.34556    ,  0.254763   ,  1.93902    ,  3.0552     ,  4.90983    ])
57108   , -2705.68    , array([ 1.34556    ,  0.254763   ,  1.93902    ,  3.0552     ,  4.2918     ])
57110   , -2694.87    , array([ 1.34556    ,  0.254763   ,  1.93902    ,  3.0552     ,  4.60081    ])
57112   , -2689.43    , array([ 1.34556    ,  0.254763   ,  1.93902    ,  3.0552     ,  4.7918     ])
57113   , -2685.16    , array([ 1.34556    ,  0.254763   ,  1.93902    ,  3.0552     ,  4.96556    ])
57115   , -2685.65    , array([ 1.34556    ,  0.254763   ,  1.93902    ,  3.0552     ,  4.94427    ])
57116   , -2684.86    , array([ 1.34556    ,  0.254763   ,  1.93902    ,  3.0552     ,  4.97871    ])
57117   , -2684.68    , array([ 1.34556    ,  0.254763   ,  1.93902    ,  3.0552     ,  4.98684    ])
57118   , -2684.56    , array([ 1.34556    ,  0.254763   ,  1.93902    ,  3.0552     ,  4.99187    ])
57119   , -2684.49    , array([ 1.34556    ,  0.254763   ,  1.93902    ,  3.0552     ,  4.99498    ])
57120   , -2684.45    , array([ 1.34556    ,  0.254763   ,  1.93902    ,  3.0552     ,  4.99689    ])
57121   , -2684.42    , array([ 1.34556    ,  0.254763   ,  1.93902    ,  3.0552     ,  4.99808    ])
57122   , -2684.4     , array([ 1.34556    ,  0.254763   ,  1.93902    ,  3.0552     ,  4.99896    ])
57124   , -2684.4     , array([ 1.34556    ,  0.254763   ,  1.93902    ,  3.0552     ,  4.99896    ])
57125   , -2971.6     , array([ 2.34556    ,  0.254763   ,  1.93902    ,  3.0552     ,  4.99896    ])
57127   , -2684.4     , array([ 1.34556    ,  0.254763   ,  1.93902    ,  3.0552     ,  4.99896    ])
57128   , -5514.83    , array([ 0.727523   ,  0.254763   ,  1.93902    ,  3.0552     ,  4.99896    ])
57129   , -2549.34    , array([ 1.72752    ,  0.254763   ,  1.93902    ,  3.0552     ,  4.99896    ])
57130   , -2543.49    , array([ 1.57838    ,  0.254763   ,  1.93902    ,  3.0552     ,  4.99896    ])
57131   , -2538.8     , array([ 1.64132    ,  0.254763   ,  1.93902    ,  3.0552     ,  4.99896    ])
57132   , -2538.77    , array([ 1.63807    ,  0.254763   ,  1.93902    ,  3.0552     ,  4.99896    ])
57133   , -2538.76    , array([ 1.63515    ,  0.254763   ,  1.93902    ,  3.0552     ,  4.99896    ])
57134   , -2538.78    , array([ 1.63225    ,  0.254763   ,  1.93902    ,  3.0552     ,  4.99896    ])
57135   , -2538.76    , array([ 1.63515    ,  0.254763   ,  1.93902    ,  3.0552     ,  4.99896    ])
57136   , -26275      , array([ 1.63515    ,  1.25476    ,  1.93902    ,  3.0552     ,  4.99896    ])
57138   , -2538.76    , array([ 1.63515    ,  0.254763   ,  1.93902    ,  3.0552     ,  4.99896    ])
57140   , -11778.9    , array([ 1.63515    ,  0.636729   ,  1.93902    ,  3.0552     ,  4.99896    ])
57141   , -6302.09    , array([ 1.63515    ,  0.445671   ,  1.93902    ,  3.0552     ,  4.99896    ])
57142   , -59673      , array([ 1.63515    ,  0.0186948  ,  1.93902    ,  3.0552     ,  4.99896    ])
57143   , -4284.36    , array([ 1.63515    ,  0.164593   ,  1.93902    ,  3.0552     ,  4.99896    ])
57144   , -2704.27    , array([ 1.63515    ,  0.279311   ,  1.93902    ,  3.0552     ,  4.99896    ])
57145   , -2531.93    , array([ 1.63515    ,  0.252221   ,  1.93902    ,  3.0552     ,  4.99896    ])
57146   , -2524.8     , array([ 1.63515    ,  0.244516   ,  1.93902    ,  3.0552     ,  4.99896    ])
57147   , -2524.52    , array([ 1.63515    ,  0.245677   ,  1.93902    ,  3.0552     ,  4.99896    ])
57148   , -2524.52    , array([ 1.63515    ,  0.245775   ,  1.93902    ,  3.0552     ,  4.99896    ])
57149   , -2524.52    , array([ 1.63515    ,  0.245865   ,  1.93902    ,  3.0552     ,  4.99896    ])
