48444   , -2533.31    , array([ 1.13058    ,  0.193992   ,  2.32699    ,  4.26332    ,  4.90983    ])
48445   , -2516.41    , array([ 1.13058    ,  0.193992   ,  2.32699    ,  4.06561    ,  4.90983    ])
48446   , -2516.41    , array([ 1.13058    ,  0.193992   ,  2.32699    ,  4.07029    ,  4.90983    ])
48447   , -2516.41    , array([ 1.13058    ,  0.193992   ,  2.32699    ,  4.06561    ,  4.90983    ])
48449   , -2539.21    , array([ 1.13058    ,  0.193992   ,  2.32699    ,  4.06561    ,  3.2918     ])
48450   , -2516.41    , array([ 1.13058    ,  0.193992   ,  2.32699    ,  4.06561    ,  4.90983    ])
48451   , -2521.53    , array([ 1.13058    ,  0.193992   ,  2.32699    ,  4.06561    ,  4.2918     ])
48453   , -2518.62    , array([ 1.13058    ,  0.193992   ,  2.32699    ,  4.06561    ,  4.60081    ])
48455   , -2517.18    , array([ 1.13058    ,  0.193992   ,  2.32699    ,  4.06561    ,  4.7918     ])
48456   , -2516.07    , array([ 1.13058    ,  0.193992   ,  2.32699    ,  4.06561    ,  4.96556    ])
48458   , -2516.2     , array([ 1.13058    ,  0.193992   ,  2.32699    ,  4.06561    ,  4.94427    ])
48459   , -2515.99    , array([ 1.13058    ,  0.193992   ,  2.32699    ,  4.06561    ,  4.97871    ])
48460   , -2515.94    , array([ 1.13058    ,  0.193992   ,  2.32699    ,  4.06561    ,  4.98684    ])
48461   , -2515.91    , array([ 1.13058    ,  0.193992   ,  2.32699    ,  4.06561    ,  4.99187    ])
48462   , -2515.9     , array([ 1.13058    ,  0.193992   ,  2.32699    ,  4.06561    ,  4.99498    ])
48463   , -2515.89    , array([ 1.13058    ,  0.193992   ,  2.32699    ,  4.06561    ,  4.99689    ])
48464   , -2515.88    , array([ 1.13058    ,  0.193992   ,  2.32699    ,  4.06561    ,  4.99808    ])
48465   , -2515.87    , array([ 1.13058    ,  0.193992   ,  2.32699    ,  4.06561    ,  4.99896    ])
48467   , -2515.87    , array([ 1.13058    ,  0.193992   ,  2.32699    ,  4.06561    ,  4.99896    ])
48468   , -2923.83    , array([ 2.13058    ,  0.193992   ,  2.32699    ,  4.06561    ,  4.99896    ])
48470   , -2515.87    , array([ 1.13058    ,  0.193992   ,  2.32699    ,  4.06561    ,  4.99896    ])
48471   , -6623.93    , array([ 0.512545   ,  0.193992   ,  2.32699    ,  4.06561    ,  4.99896    ])
48472   , -2407.56    , array([ 1.51255    ,  0.193992   ,  2.32699    ,  4.06561    ,  4.99896    ])
48473   , -2383.87    , array([ 1.34384    ,  0.193992   ,  2.32699    ,  4.06561    ,  4.99896    ])
48474   , -2381.8     , array([ 1.39288    ,  0.193992   ,  2.32699    ,  4.06561    ,  4.99896    ])
48475   , -2381.55    , array([ 1.38223    ,  0.193992   ,  2.32699    ,  4.06561    ,  4.99896    ])
48476   , -2381.54    , array([ 1.37971    ,  0.193992   ,  2.32699    ,  4.06561    ,  4.99896    ])
48477   , -2381.56    , array([ 1.37722    ,  0.193992   ,  2.32699    ,  4.06561    ,  4.99896    ])
48478   , -2381.54    , array([ 1.37971    ,  0.193992   ,  2.32699    ,  4.06561    ,  4.99896    ])
48479   , -30571.1    , array([ 1.37971    ,  1.19399    ,  2.32699    ,  4.06561    ,  4.99896    ])
48481   , -2381.54    , array([ 1.37971    ,  0.193992   ,  2.32699    ,  4.06561    ,  4.99896    ])
48483   , -14560      , array([ 1.37971    ,  0.575958   ,  2.32699    ,  4.06561    ,  4.99896    ])
48484   , -7634.76    , array([ 1.37971    ,  0.384877   ,  2.32699    ,  4.06561    ,  4.99896    ])
