310276  , -2565.61    , array([ 8.21371    ,  0.00589119 ,  4.93101e-28,  1.38113    ,  0.00194368 ])
310277  , -2565.61    , array([ 8.22192    ,  0.00589119 ,  4.93101e-28,  1.38113    ,  0.00194368 ])
310278  , -2567.25    , array([ 8.21371    ,  0.00589708 ,  4.93101e-28,  1.38113    ,  0.00194368 ])
310279  , -2565.61    , array([ 8.21371    ,  0.00589119 ,  4.93594e-28,  1.38113    ,  0.00194368 ])
310280  , -2565.61    , array([ 8.21371    ,  0.00589119 ,  4.93101e-28,  1.38251    ,  0.00194368 ])
310281  , -2563.84    , array([ 8.21371    ,  0.00589119 ,  4.93101e-28,  1.38113    ,  0.00194562 ])
310282  , -2565.59    , array([ 8.21368    ,  0.00589165 ,  4.93101e-28,  1.38114    ,  0.00194383 ])
310283  , -2565.59    , array([ 8.21368    ,  0.00589165 ,  4.93101e-28,  1.38114    ,  0.00194383 ])
310284  , -2565.6     , array([ 8.2219     ,  0.00589165 ,  4.93101e-28,  1.38114    ,  0.00194383 ])
310285  , -2567.23    , array([ 8.21368    ,  0.00589754 ,  4.93101e-28,  1.38114    ,  0.00194383 ])
310286  , -2565.59    , array([ 8.21368    ,  0.00589165 ,  4.93594e-28,  1.38114    ,  0.00194383 ])
310287  , -2565.59    , array([ 8.21368    ,  0.00589165 ,  4.93101e-28,  1.38252    ,  0.00194383 ])
310288  , -2563.82    , array([ 8.21368    ,  0.00589165 ,  4.93101e-28,  1.38114    ,  0.00194577 ])
310296  , -2565.59    , array([ 8.21367    ,  0.00589176 ,  4.93101e-28,  1.38114    ,  0.00194387 ])
310297  , -2565.59    , array([ 8.21367    ,  0.00589176 ,  4.93101e-28,  1.38114    ,  0.00194387 ])
310298  , -2565.6     , array([ 8.22189    ,  0.00589176 ,  4.93101e-28,  1.38114    ,  0.00194387 ])
310299  , -2567.23    , array([ 8.21367    ,  0.00589766 ,  4.93101e-28,  1.38114    ,  0.00194387 ])
310300  , -2565.59    , array([ 8.21367    ,  0.00589176 ,  4.93594e-28,  1.38114    ,  0.00194387 ])
310301  , -2565.59    , array([ 8.21367    ,  0.00589176 ,  4.93101e-28,  1.38252    ,  0.00194387 ])
310302  , -2563.82    , array([ 8.21367    ,  0.00589176 ,  4.93101e-28,  1.38114    ,  0.00194581 ])
310303  , -2565.59    , array([ 8.21367    ,  0.00589188 ,  4.93101e-28,  1.38114    ,  0.00194391 ])
310304  , -2565.59    , array([ 8.21367    ,  0.00589188 ,  4.93101e-28,  1.38114    ,  0.00194391 ])
310305  , -2565.59    , array([ 8.22189    ,  0.00589188 ,  4.93101e-28,  1.38114    ,  0.00194391 ])
